district,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P,Tot_P_P_total
Albert Park,36565.0,37438.0,73990.0,1443.0,1365.0,2850.0,2476.0,2463.0,4890.0,1171.0,1204.0,2346.0,2397.0,2536.0,5024.0,8941.0,9236.0,18122.0,6477.0,6345.0,12879.0,4892.0,5082.0,10005.0,4135.0,4082.0,8170.0,2784.0,2911.0,5702.0,1424.0,1539.0,3058.0,355.0,496.0,943.0,34928.0,35666.0,70654.0,1632.0,1751.0,3380.0,111.0,113.0,278.0,0.0,7.0,7.0,0.0,3.0,3.0,118.0,135.0,296.0,20195.0,20116.0,40338.0,14086.0,15160.0,29260.0,24646.0,24321.0,48957.0,9629.0,10931.0,20516.0,26335.0,26835.0,53218.0,383.0,405.0,825.0,2324.0,2317.0,4602.0,1007.0,1041.0,2012.0,1204.0,1402.0,2584.0,2383.0,3131.0,5505.0,24659.0,25873.0,50466.0,2274.0,2193.0,4433.0,1977.0,1769.0,3688.0,699.0,592.0,1317.0,549.0,657.0,1304.0,88.0,166.0,327.0,33255.0,34201.0,67426.0,3124.0,2650.0,5696.0,73990.0
Ashwood,39672.0,40947.0,80602.0,1938.0,1873.0,3807.0,5070.0,4903.0,10013.0,2603.0,2463.0,5083.0,3207.0,2820.0,6012.0,5521.0,4935.0,10505.0,5219.0,5640.0,10890.0,5301.0,5820.0,11140.0,4517.0,4899.0,9372.0,3218.0,3578.0,6764.0,2049.0,2624.0,4731.0,957.0,1378.0,2343.0,38700.0,39970.0,78693.0,926.0,955.0,1936.0,88.0,49.0,148.0,0.0,0.0,0.0,0.0,5.0,5.0,97.0,57.0,168.0,22186.0,22287.0,44482.0,16048.0,17341.0,33442.0,22729.0,22536.0,45288.0,15457.0,17046.0,32509.0,31304.0,32353.0,63671.0,714.0,662.0,1378.0,4882.0,4728.0,9612.0,2408.0,2261.0,4644.0,1953.0,1756.0,3642.0,1720.0,2115.0,3743.0,24310.0,25314.0,49610.0,2372.0,2390.0,4761.0,2181.0,2296.0,4440.0,1068.0,1178.0,2244.0,929.0,1262.0,2176.0,200.0,291.0,614.0,37736.0,38980.0,76812.0,1629.0,1700.0,3353.0,80602.0
Bass,32398.0,33461.0,65879.0,1892.0,1911.0,3817.0,3920.0,3742.0,7710.0,1619.0,1612.0,3309.0,1447.0,1472.0,2904.0,3761.0,4075.0,7886.0,3771.0,3917.0,7696.0,3860.0,4031.0,7836.0,4460.0,4953.0,9480.0,4595.0,4655.0,9202.0,2296.0,2291.0,4575.0,603.0,837.0,1457.0,30667.0,31868.0,62534.0,1686.0,1624.0,3390.0,365.0,300.0,684.0,15.0,3.0,20.0,0.0,3.0,7.0,382.0,324.0,757.0,24769.0,25563.0,50297.0,5468.0,5776.0,11199.0,27534.0,28401.0,55967.0,2804.0,3034.0,5877.0,28648.0,29309.0,57889.0,516.0,455.0,1044.0,3632.0,3429.0,7108.0,1121.0,1224.0,2410.0,338.0,409.0,814.0,538.0,1193.0,1770.0,10538.0,13601.0,24171.0,4346.0,4109.0,8451.0,5764.0,4680.0,10400.0,2404.0,2019.0,4396.0,1261.0,1284.0,2514.0,103.0,103.0,232.0,29634.0,30735.0,60392.0,2342.0,2450.0,4794.0,65879.0
Bayswater,35635.0,37316.0,72983.0,2142.0,2157.0,4255.0,4413.0,4063.0,8513.0,1984.0,1775.0,3681.0,2104.0,2041.0,4102.0,5145.0,5246.0,10404.0,5399.0,5609.0,10958.0,4530.0,4637.0,9230.0,3943.0,4390.0,8312.0,3391.0,4102.0,7517.0,2001.0,2243.0,4297.0,642.0,1031.0,1694.0,34772.0,36508.0,71286.0,794.0,817.0,1680.0,188.0,275.0,546.0,0.0,0.0,3.0,0.0,7.0,11.0,211.0,279.0,567.0,23601.0,23933.0,47561.0,10663.0,12108.0,22790.0,24922.0,25574.0,50448.0,9360.0,10255.0,19681.0,30253.0,31292.0,61588.0,648.0,591.0,1319.0,4176.0,3843.0,8034.0,1628.0,1468.0,3114.0,820.0,927.0,1809.0,1139.0,1706.0,2843.0,16469.0,18643.0,35117.0,3794.0,3667.0,7439.0,4366.0,4026.0,8390.0,1762.0,1751.0,3511.0,1060.0,1338.0,2385.0,160.0,231.0,451.0,34028.0,35438.0,69472.0,1468.0,1765.0,3278.0,72983.0
Bellarine,33351.0,36117.0,69516.0,1717.0,1661.0,3387.0,4268.0,4099.0,8402.0,1821.0,1725.0,3466.0,1450.0,1399.0,2837.0,3038.0,3239.0,6250.0,3703.0,4227.0,7903.0,4004.0,4590.0,8618.0,4456.0,5437.0,9942.0,5230.0,5744.0,10964.0,2751.0,3005.0,5750.0,729.0,1174.0,2013.0,31560.0,34369.0,65971.0,1803.0,1726.0,3495.0,268.0,250.0,580.0,3.0,0.0,3.0,0.0,0.0,12.0,280.0,268.0,602.0,27260.0,29630.0,56873.0,4482.0,4780.0,9277.0,30337.0,32645.0,63037.0,1491.0,1813.0,3284.0,30609.0,33183.0,63853.0,509.0,491.0,1065.0,4081.0,3858.0,7954.0,1404.0,1399.0,2800.0,494.0,496.0,999.0,721.0,1309.0,2102.0,13450.0,16478.0,29996.0,4570.0,4667.0,9238.0,4693.0,4588.0,9285.0,1917.0,1786.0,3690.0,1014.0,1030.0,2082.0,34.0,32.0,122.0,30961.0,33504.0,64449.0,1851.0,2168.0,3910.0,69516.0
Benambra,32791.0,34027.0,66799.0,1857.0,1981.0,3808.0,4481.0,4367.0,8864.0,2145.0,1944.0,4052.0,1743.0,1648.0,3392.0,3832.0,3916.0,7781.0,3784.0,4222.0,8013.0,4060.0,4338.0,8474.0,4280.0,4661.0,8939.0,3972.0,4014.0,8029.0,1947.0,2099.0,4115.0,547.0,874.0,1460.0,31256.0,32603.0,63850.0,1569.0,1414.0,2932.0,783.0,921.0,1711.0,11.0,22.0,46.0,11.0,18.0,28.0,847.0,980.0,1838.0,27504.0,28517.0,56044.0,3349.0,3584.0,6946.0,29158.0,30381.0,59437.0,1661.0,1854.0,3556.0,29699.0,31041.0,60738.0,546.0,573.0,1125.0,4112.0,4055.0,8200.0,1475.0,1428.0,2947.0,460.0,525.0,982.0,792.0,1494.0,2363.0,10479.0,13325.0,23875.0,4317.0,4008.0,8319.0,6315.0,5449.0,11784.0,2001.0,1819.0,3837.0,1276.0,1121.0,2487.0,88.0,95.0,206.0,29658.0,31353.0,60976.0,2605.0,2282.0,4874.0,66799.0
Bendigo East,34793.0,37078.0,71883.0,2263.0,2125.0,4349.0,5021.0,4725.0,9782.0,2208.0,2116.0,4387.0,2176.0,2237.0,4434.0,4385.0,4790.0,9179.0,4130.0,4649.0,8738.0,4125.0,4550.0,8657.0,4184.0,4698.0,8897.0,3736.0,3967.0,7760.0,1903.0,2126.0,4080.0,617.0,1005.0,1678.0,33446.0,35840.0,69267.0,1357.0,1277.0,2588.0,680.0,725.0,1418.0,18.0,10.0,37.0,3.0,13.0,17.0,714.0,731.0,1529.0,29744.0,31664.0,61325.0,3206.0,3540.0,6750.0,30713.0,32792.0,63521.0,2206.0,2469.0,4772.0,31546.0,33731.0,65287.0,613.0,625.0,1216.0,4669.0,4422.0,9173.0,1617.0,1636.0,3267.0,673.0,933.0,1545.0,797.0,1581.0,2347.0,12434.0,15643.0,28040.0,4221.0,4341.0,8576.0,5246.0,4909.0,10151.0,2177.0,1983.0,4208.0,1377.0,1388.0,2741.0,107.0,124.0,311.0,32389.0,34474.0,66877.0,1989.0,2235.0,4213.0,71883.0
Bendigo West,30977.0,32557.0,63548.0,1684.0,1723.0,3347.0,3772.0,3534.0,7334.0,1666.0,1660.0,3340.0,1684.0,1604.0,3241.0,3841.0,3909.0,7696.0,3777.0,3857.0,7577.0,3817.0,4087.0,7924.0,3956.0,4506.0,8503.0,3904.0,4191.0,8047.0,2142.0,2421.0,4600.0,747.0,1160.0,1891.0,29784.0,31439.0,61221.0,1193.0,1118.0,2343.0,613.0,621.0,1215.0,5.0,3.0,18.0,13.0,7.0,21.0,659.0,666.0,1306.0,25718.0,27230.0,52923.0,3377.0,3376.0,6732.0,26756.0,28632.0,55365.0,1722.0,1822.0,3603.0,27273.0,29256.0,56521.0,408.0,417.0,875.0,3529.0,3245.0,6790.0,1165.0,1237.0,2432.0,367.0,528.0,890.0,737.0,1352.0,2132.0,10726.0,13439.0,24154.0,3646.0,3798.0,7392.0,5401.0,4462.0,9900.0,2102.0,1907.0,4081.0,1313.0,1468.0,2801.0,165.0,139.0,351.0,28024.0,30050.0,58073.0,2923.0,2536.0,5463.0,63548.0
Bentleigh,37234.0,39357.0,76665.0,2133.0,1993.0,4113.0,5492.0,5025.0,10563.0,2546.0,2303.0,4854.0,2118.0,1967.0,4082.0,4419.0,4383.0,8774.0,5469.0,6143.0,11502.0,5604.0,6092.0,11664.0,4177.0,4400.0,8616.0,2833.0,3261.0,6187.0,1645.0,2274.0,3900.0,812.0,1564.0,2336.0,36469.0,38495.0,74886.0,792.0,928.0,1760.0,81.0,52.0,211.0,0.0,0.0,0.0,0.0,3.0,3.0,77.0,56.0,225.0,23339.0,23706.0,47070.0,12857.0,14490.0,27276.0,24389.0,25129.0,49525.0,11687.0,12914.0,24599.0,31637.0,33273.0,64871.0,767.0,664.0,1472.0,5263.0,4845.0,10076.0,2254.0,2148.0,4373.0,1126.0,1067.0,2245.0,1149.0,1643.0,2822.0,20737.0,23052.0,43782.0,2742.0,2682.0,5359.0,2633.0,2504.0,5198.0,1107.0,1127.0,2267.0,958.0,1377.0,2408.0,192.0,224.0,441.0,35800.0,37738.0,73549.0,1162.0,1420.0,2563.0,76665.0
Berwick,39857.0,41053.0,80938.0,3017.0,2889.0,6003.0,6546.0,6428.0,13061.0,2907.0,2596.0,5497.0,2577.0,2310.0,4962.0,5023.0,5609.0,10729.0,6616.0,7018.0,13605.0,5397.0,5450.0,10849.0,3711.0,3783.0,7493.0,2242.0,2693.0,4955.0,1219.0,1583.0,2897.0,365.0,530.0,925.0,39089.0,40246.0,79314.0,774.0,751.0,1568.0,109.0,146.0,316.0,3.0,0.0,7.0,0.0,0.0,6.0,115.0,154.0,340.0,23516.0,24078.0,47636.0,15026.0,15560.0,30626.0,24581.0,25091.0,49617.0,13841.0,14431.0,28246.0,33280.0,33987.0,67272.0,860.0,806.0,1727.0,6247.0,6087.0,12317.0,2401.0,2278.0,4715.0,1057.0,1174.0,2298.0,1207.0,2005.0,3232.0,18755.0,20800.0,39564.0,3569.0,3326.0,6879.0,4121.0,3677.0,7700.0,1550.0,1459.0,3011.0,881.0,1020.0,1882.0,163.0,203.0,475.0,38320.0,39392.0,77716.0,1312.0,1640.0,2957.0,80938.0
