district,Tot_P_M_pc,Tot_P_F_pc,Tot_P_P_pc,Age_0_4_yr_M_pc,Age_0_4_yr_F_pc,Age_0_4_yr_P_pc,Age_5_14_yr_M_pc,Age_5_14_yr_F_pc,Age_5_14_yr_P_pc,Age_15_19_yr_M_pc,Age_15_19_yr_F_pc,Age_15_19_yr_P_pc,Age_20_24_yr_M_pc,Age_20_24_yr_F_pc,Age_20_24_yr_P_pc,Age_25_34_yr_M_pc,Age_25_34_yr_F_pc,Age_25_34_yr_P_pc,Age_35_44_yr_M_pc,Age_35_44_yr_F_pc,Age_35_44_yr_P_pc,Age_45_54_yr_M_pc,Age_45_54_yr_F_pc,Age_45_54_yr_P_pc,Age_55_64_yr_M_pc,Age_55_64_yr_F_pc,Age_55_64_yr_P_pc,Age_65_74_yr_M_pc,Age_65_74_yr_F_pc,Age_65_74_yr_P_pc,Age_75_84_yr_M_pc,Age_75_84_yr_F_pc,Age_75_84_yr_P_pc,Age_85ov_M_pc,Age_85ov_F_pc,Age_85ov_P_pc,Counted_Census_Night_home_M_pc,Counted_Census_Night_home_F_pc,Counted_Census_Night_home_P_pc,Count_Census_Nt_Ewhere_Aust_M_pc,Count_Census_Nt_Ewhere_Aust_F_pc,Count_Census_Nt_Ewhere_Aust_P_pc,Indigenous_psns_Aboriginal_M_pc,Indigenous_psns_Aboriginal_F_pc,Indigenous_psns_Aboriginal_P_pc,Indig_psns_Torres_Strait_Is_M_pc,Indig_psns_Torres_Strait_Is_F_pc,Indig_psns_Torres_Strait_Is_P_pc,Indig_Bth_Abor_Torres_St_Is_M_pc,Indig_Bth_Abor_Torres_St_Is_F_pc,Indig_Bth_Abor_Torres_St_Is_P_pc,Indigenous_P_Tot_M_pc,Indigenous_P_Tot_F_pc,Indigenous_P_Tot_P_pc,Birthplace_Australia_M_pc,Birthplace_Australia_F_pc,Birthplace_Australia_P_pc,Birthplace_Elsewhere_M_pc,Birthplace_Elsewhere_F_pc,Birthplace_Elsewhere_P_pc,Lang_used_home_Eng_only_M_pc,Lang_used_home_Eng_only_F_pc,Lang_used_home_Eng_only_P_pc,Lang_used_home_Oth_Lang_M_pc,Lang_used_home_Oth_Lang_F_pc,Lang_used_home_Oth_Lang_P_pc,Australian_citizen_M_pc,Australian_citizen_F_pc,Australian_citizen_P_pc,Age_psns_att_educ_inst_0_4_M_pc,Age_psns_att_educ_inst_0_4_F_pc,Age_psns_att_educ_inst_0_4_P_pc,Age_psns_att_educ_inst_5_14_M_pc,Age_psns_att_educ_inst_5_14_F_pc,Age_psns_att_educ_inst_5_14_P_pc,Age_psns_att_edu_inst_15_19_M_pc,Age_psns_att_edu_inst_15_19_F_pc,Age_psns_att_edu_inst_15_19_P_pc,Age_psns_att_edu_inst_20_24_M_pc,Age_psns_att_edu_inst_20_24_F_pc,Age_psns_att_edu_inst_20_24_P_pc,Age_psns_att_edu_inst_25_ov_M_pc,Age_psns_att_edu_inst_25_ov_F_pc,Age_psns_att_edu_inst_25_ov_P_pc,High_yr_schl_comp_Yr_12_eq_M_pc,High_yr_schl_comp_Yr_12_eq_F_pc,High_yr_schl_comp_Yr_12_eq_P_pc,High_yr_schl_comp_Yr_11_eq_M_pc,High_yr_schl_comp_Yr_11_eq_F_pc,High_yr_schl_comp_Yr_11_eq_P_pc,High_yr_schl_comp_Yr_10_eq_M_pc,High_yr_schl_comp_Yr_10_eq_F_pc,High_yr_schl_comp_Yr_10_eq_P_pc,High_yr_schl_comp_Yr_9_eq_M_pc,High_yr_schl_comp_Yr_9_eq_F_pc,High_yr_schl_comp_Yr_9_eq_P_pc,High_yr_schl_comp_Yr_8_belw_M_pc,High_yr_schl_comp_Yr_8_belw_F_pc,High_yr_schl_comp_Yr_8_belw_P_pc,High_yr_schl_comp_D_n_g_sch_M_pc,High_yr_schl_comp_D_n_g_sch_F_pc,High_yr_schl_comp_D_n_g_sch_P_pc,Count_psns_occ_priv_dwgs_M_pc,Count_psns_occ_priv_dwgs_F_pc,Count_psns_occ_priv_dwgs_P_pc,Count_Persons_other_dwgs_M_pc,Count_Persons_other_dwgs_F_pc,Count_Persons_other_dwgs_P_pc,Tot_P_P_total
Albert Park,0.4942,0.506,1.0,0.0195,0.0184,0.0385,0.0335,0.0333,0.0661,0.0158,0.0163,0.0317,0.0324,0.0343,0.0679,0.1208,0.1248,0.2449,0.0875,0.0858,0.1741,0.0661,0.0687,0.1352,0.0559,0.0552,0.1104,0.0376,0.0393,0.0771,0.0192,0.0208,0.0413,0.0048,0.0067,0.0127,0.4721,0.482,0.9549,0.0221,0.0237,0.0457,0.0015,0.0015,0.0038,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0016,0.0018,0.004,0.2729,0.2719,0.5452,0.1904,0.2049,0.3955,0.3331,0.3287,0.6617,0.1301,0.1477,0.2773,0.3559,0.3627,0.7193,0.0052,0.0055,0.0112,0.0314,0.0313,0.0622,0.0136,0.0141,0.0272,0.0163,0.0189,0.0349,0.0322,0.0423,0.0744,0.3333,0.3497,0.6821,0.0307,0.0296,0.0599,0.0267,0.0239,0.0498,0.0094,0.008,0.0178,0.0074,0.0089,0.0176,0.0012,0.0022,0.0044,0.4495,0.4622,0.9113,0.0422,0.0358,0.077,73990.0
Ashwood,0.4922,0.508,1.0,0.024,0.0232,0.0472,0.0629,0.0608,0.1242,0.0323,0.0306,0.0631,0.0398,0.035,0.0746,0.0685,0.0612,0.1303,0.0648,0.07,0.1351,0.0658,0.0722,0.1382,0.056,0.0608,0.1163,0.0399,0.0444,0.0839,0.0254,0.0326,0.0587,0.0119,0.0171,0.0291,0.4801,0.4959,0.9763,0.0115,0.0118,0.024,0.0011,0.0006,0.0018,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0012,0.0007,0.0021,0.2753,0.2765,0.5519,0.1991,0.2151,0.4149,0.282,0.2796,0.5619,0.1918,0.2115,0.4033,0.3884,0.4014,0.7899,0.0089,0.0082,0.0171,0.0606,0.0587,0.1193,0.0299,0.0281,0.0576,0.0242,0.0218,0.0452,0.0213,0.0262,0.0464,0.3016,0.3141,0.6155,0.0294,0.0297,0.0591,0.0271,0.0285,0.0551,0.0133,0.0146,0.0278,0.0115,0.0157,0.027,0.0025,0.0036,0.0076,0.4682,0.4836,0.953,0.0202,0.0211,0.0416,80602.0
Bass,0.4918,0.5079,1.0,0.0287,0.029,0.0579,0.0595,0.0568,0.117,0.0246,0.0245,0.0502,0.022,0.0223,0.0441,0.0571,0.0619,0.1197,0.0572,0.0595,0.1168,0.0586,0.0612,0.1189,0.0677,0.0752,0.1439,0.0697,0.0707,0.1397,0.0349,0.0348,0.0694,0.0092,0.0127,0.0221,0.4655,0.4837,0.9492,0.0256,0.0247,0.0515,0.0055,0.0046,0.0104,0.0002,0.0,0.0003,0.0,0.0,0.0001,0.0058,0.0049,0.0115,0.376,0.388,0.7635,0.083,0.0877,0.17,0.4179,0.4311,0.8495,0.0426,0.0461,0.0892,0.4349,0.4449,0.8787,0.0078,0.0069,0.0158,0.0551,0.052,0.1079,0.017,0.0186,0.0366,0.0051,0.0062,0.0124,0.0082,0.0181,0.0269,0.16,0.2065,0.3669,0.066,0.0624,0.1283,0.0875,0.071,0.1579,0.0365,0.0306,0.0667,0.0191,0.0195,0.0382,0.0016,0.0016,0.0035,0.4498,0.4665,0.9167,0.0356,0.0372,0.0728,65879.0
Bayswater,0.4883,0.5113,1.0,0.0293,0.0296,0.0583,0.0605,0.0557,0.1166,0.0272,0.0243,0.0504,0.0288,0.028,0.0562,0.0705,0.0719,0.1426,0.074,0.0769,0.1501,0.0621,0.0635,0.1265,0.054,0.0602,0.1139,0.0465,0.0562,0.103,0.0274,0.0307,0.0589,0.0088,0.0141,0.0232,0.4764,0.5002,0.9767,0.0109,0.0112,0.023,0.0026,0.0038,0.0075,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0029,0.0038,0.0078,0.3234,0.3279,0.6517,0.1461,0.1659,0.3123,0.3415,0.3504,0.6912,0.1282,0.1405,0.2697,0.4145,0.4288,0.8439,0.0089,0.0081,0.0181,0.0572,0.0527,0.1101,0.0223,0.0201,0.0427,0.0112,0.0127,0.0248,0.0156,0.0234,0.039,0.2257,0.2554,0.4812,0.052,0.0502,0.1019,0.0598,0.0552,0.115,0.0241,0.024,0.0481,0.0145,0.0183,0.0327,0.0022,0.0032,0.0062,0.4662,0.4856,0.9519,0.0201,0.0242,0.0449,72983.0
Bellarine,0.4798,0.5195,1.0,0.0247,0.0239,0.0487,0.0614,0.059,0.1209,0.0262,0.0248,0.0499,0.0209,0.0201,0.0408,0.0437,0.0466,0.0899,0.0533,0.0608,0.1137,0.0576,0.066,0.124,0.0641,0.0782,0.143,0.0752,0.0826,0.1577,0.0396,0.0432,0.0827,0.0105,0.0169,0.029,0.454,0.4944,0.949,0.0259,0.0248,0.0503,0.0039,0.0036,0.0083,0.0,0.0,0.0,0.0,0.0,0.0002,0.004,0.0039,0.0087,0.3921,0.4262,0.8181,0.0645,0.0688,0.1335,0.4364,0.4696,0.9068,0.0214,0.0261,0.0472,0.4403,0.4773,0.9185,0.0073,0.0071,0.0153,0.0587,0.0555,0.1144,0.0202,0.0201,0.0403,0.0071,0.0071,0.0144,0.0104,0.0188,0.0302,0.1935,0.237,0.4315,0.0657,0.0671,0.1329,0.0675,0.066,0.1336,0.0276,0.0257,0.0531,0.0146,0.0148,0.0299,0.0005,0.0005,0.0018,0.4454,0.482,0.9271,0.0266,0.0312,0.0562,69516.0
Benambra,0.4909,0.5094,1.0,0.0278,0.0297,0.057,0.0671,0.0654,0.1327,0.0321,0.0291,0.0607,0.0261,0.0247,0.0508,0.0574,0.0586,0.1165,0.0566,0.0632,0.12,0.0608,0.0649,0.1269,0.0641,0.0698,0.1338,0.0595,0.0601,0.1202,0.0291,0.0314,0.0616,0.0082,0.0131,0.0219,0.4679,0.4881,0.9559,0.0235,0.0212,0.0439,0.0117,0.0138,0.0256,0.0002,0.0003,0.0007,0.0002,0.0003,0.0004,0.0127,0.0147,0.0275,0.4117,0.4269,0.839,0.0501,0.0537,0.104,0.4365,0.4548,0.8898,0.0249,0.0278,0.0532,0.4446,0.4647,0.9093,0.0082,0.0086,0.0168,0.0616,0.0607,0.1228,0.0221,0.0214,0.0441,0.0069,0.0079,0.0147,0.0119,0.0224,0.0354,0.1569,0.1995,0.3574,0.0646,0.06,0.1245,0.0945,0.0816,0.1764,0.03,0.0272,0.0574,0.0191,0.0168,0.0372,0.0013,0.0014,0.0031,0.444,0.4694,0.9128,0.039,0.0342,0.073,66799.0
Bendigo East,0.484,0.5158,1.0,0.0315,0.0296,0.0605,0.0698,0.0657,0.1361,0.0307,0.0294,0.061,0.0303,0.0311,0.0617,0.061,0.0666,0.1277,0.0575,0.0647,0.1216,0.0574,0.0633,0.1204,0.0582,0.0654,0.1238,0.052,0.0552,0.108,0.0265,0.0296,0.0568,0.0086,0.014,0.0233,0.4653,0.4986,0.9636,0.0189,0.0178,0.036,0.0095,0.0101,0.0197,0.0003,0.0001,0.0005,0.0,0.0002,0.0002,0.0099,0.0102,0.0213,0.4138,0.4405,0.8531,0.0446,0.0492,0.0939,0.4273,0.4562,0.8837,0.0307,0.0343,0.0664,0.4389,0.4692,0.9082,0.0085,0.0087,0.0169,0.065,0.0615,0.1276,0.0225,0.0228,0.0454,0.0094,0.013,0.0215,0.0111,0.022,0.0327,0.173,0.2176,0.3901,0.0587,0.0604,0.1193,0.073,0.0683,0.1412,0.0303,0.0276,0.0585,0.0192,0.0193,0.0381,0.0015,0.0017,0.0043,0.4506,0.4796,0.9304,0.0277,0.0311,0.0586,71883.0
Bendigo West,0.4875,0.5123,1.0,0.0265,0.0271,0.0527,0.0594,0.0556,0.1154,0.0262,0.0261,0.0526,0.0265,0.0252,0.051,0.0604,0.0615,0.1211,0.0594,0.0607,0.1192,0.0601,0.0643,0.1247,0.0623,0.0709,0.1338,0.0614,0.066,0.1266,0.0337,0.0381,0.0724,0.0118,0.0183,0.0298,0.4687,0.4947,0.9634,0.0188,0.0176,0.0369,0.0096,0.0098,0.0191,0.0001,0.0,0.0003,0.0002,0.0001,0.0003,0.0104,0.0105,0.0206,0.4047,0.4285,0.8328,0.0531,0.0531,0.1059,0.421,0.4506,0.8712,0.0271,0.0287,0.0567,0.4292,0.4604,0.8894,0.0064,0.0066,0.0138,0.0555,0.0511,0.1068,0.0183,0.0195,0.0383,0.0058,0.0083,0.014,0.0116,0.0213,0.0335,0.1688,0.2115,0.3801,0.0574,0.0598,0.1163,0.085,0.0702,0.1558,0.0331,0.03,0.0642,0.0207,0.0231,0.0441,0.0026,0.0022,0.0055,0.441,0.4729,0.9138,0.046,0.0399,0.086,63548.0
Bentleigh,0.4857,0.5134,1.0,0.0278,0.026,0.0536,0.0716,0.0655,0.1378,0.0332,0.03,0.0633,0.0276,0.0257,0.0532,0.0576,0.0572,0.1144,0.0713,0.0801,0.15,0.0731,0.0795,0.1521,0.0545,0.0574,0.1124,0.037,0.0425,0.0807,0.0215,0.0297,0.0509,0.0106,0.0204,0.0305,0.4757,0.5021,0.9768,0.0103,0.0121,0.023,0.0011,0.0007,0.0028,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0007,0.0029,0.3044,0.3092,0.614,0.1677,0.189,0.3558,0.3181,0.3278,0.646,0.1524,0.1684,0.3209,0.4127,0.434,0.8462,0.01,0.0087,0.0192,0.0686,0.0632,0.1314,0.0294,0.028,0.057,0.0147,0.0139,0.0293,0.015,0.0214,0.0368,0.2705,0.3007,0.5711,0.0358,0.035,0.0699,0.0343,0.0327,0.0678,0.0144,0.0147,0.0296,0.0125,0.018,0.0314,0.0025,0.0029,0.0058,0.467,0.4922,0.9594,0.0152,0.0185,0.0334,76665.0
Berwick,0.4924,0.5072,1.0,0.0373,0.0357,0.0742,0.0809,0.0794,0.1614,0.0359,0.0321,0.0679,0.0318,0.0285,0.0613,0.0621,0.0693,0.1326,0.0817,0.0867,0.1681,0.0667,0.0673,0.134,0.0458,0.0467,0.0926,0.0277,0.0333,0.0612,0.0151,0.0196,0.0358,0.0045,0.0065,0.0114,0.4829,0.4972,0.9799,0.0096,0.0093,0.0194,0.0013,0.0018,0.0039,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0014,0.0019,0.0042,0.2905,0.2975,0.5885,0.1856,0.1922,0.3784,0.3037,0.31,0.613,0.171,0.1783,0.349,0.4112,0.4199,0.8312,0.0106,0.01,0.0213,0.0772,0.0752,0.1522,0.0297,0.0281,0.0583,0.0131,0.0145,0.0284,0.0149,0.0248,0.0399,0.2317,0.257,0.4888,0.0441,0.0411,0.085,0.0509,0.0454,0.0951,0.0192,0.018,0.0372,0.0109,0.0126,0.0233,0.002,0.0025,0.0059,0.4734,0.4867,0.9602,0.0162,0.0203,0.0365,80938.0
