district,census_variable,value,rank
Nepean,Age_0_4_yr_F_n,1208.0,1.0
Prahran,Age_0_4_yr_F_n,1228.0,2.0
Malvern,Age_0_4_yr_F_n,1299.0,3.0
Kew,Age_0_4_yr_F_n,1304.0,4.0
Richmond,Age_0_4_yr_F_n,1361.0,5.0
Albert Park,Age_0_4_yr_F_n,1365.0,6.0
Brunswick,Age_0_4_yr_F_n,1374.0,7.0
Hawthorn,Age_0_4_yr_F_n,1377.0,8.0
Gippsland East,Age_0_4_yr_F_n,1393.0,9.0
Sandringham,Age_0_4_yr_F_n,1448.0,10.0
Brighton,Age_0_4_yr_F_n,1464.0,11.0
Mornington,Age_0_4_yr_F_n,1499.0,12.0
Eildon,Age_0_4_yr_F_n,1518.0,13.0
Ovens Valley,Age_0_4_yr_F_n,1541.0,14.0
Glen Waverley,Age_0_4_yr_F_n,1563.0,15.0
Euroa,Age_0_4_yr_F_n,1584.0,16.0
Gippsland South,Age_0_4_yr_F_n,1588.0,17.0
Rowville,Age_0_4_yr_F_n,1589.0,18.0
Melbourne,Age_0_4_yr_F_n,1617.0,19.0
Northcote,Age_0_4_yr_F_n,1652.0,20.0
Bellarine,Age_0_4_yr_F_n,1661.0,21.0
Bulleen,Age_0_4_yr_F_n,1675.0,22.0
South-West Coast,Age_0_4_yr_F_n,1679.0,23.0
Warrandyte,Age_0_4_yr_F_n,1681.0,24.0
Essendon,Age_0_4_yr_F_n,1687.0,25.0
Macedon,Age_0_4_yr_F_n,1692.0,26.0
Niddrie,Age_0_4_yr_F_n,1697.0,27.0
Murray Plains,Age_0_4_yr_F_n,1705.0,28.0
Bendigo West,Age_0_4_yr_F_n,1723.0,29.0
Ripon,Age_0_4_yr_F_n,1728.0,30.0
Ivanhoe,Age_0_4_yr_F_n,1740.0,31.0
Monbulk,Age_0_4_yr_F_n,1753.0,32.0
Box Hill,Age_0_4_yr_F_n,1798.0,33.0
Eltham,Age_0_4_yr_F_n,1808.0,34.0
Lowan,Age_0_4_yr_F_n,1832.0,35.0
Bundoora,Age_0_4_yr_F_n,1837.0,36.0
Caulfield,Age_0_4_yr_F_n,1858.0,37.0
Ashwood,Age_0_4_yr_F_n,1873.0,38.0
Clarinda,Age_0_4_yr_F_n,1883.0,39.0
Geelong,Age_0_4_yr_F_n,1888.0,40.0
Hastings,Age_0_4_yr_F_n,1898.0,41.0
Frankston,Age_0_4_yr_F_n,1904.0,42.0
Polwarth,Age_0_4_yr_F_n,1908.0,43.0
Bass,Age_0_4_yr_F_n,1911.0,44.0
Mildura,Age_0_4_yr_F_n,1914.0,45.0
Sunbury,Age_0_4_yr_F_n,1916.0,46.0
Wendouree,Age_0_4_yr_F_n,1929.0,47.0
Morwell,Age_0_4_yr_F_n,1945.0,48.0
Pascoe Vale,Age_0_4_yr_F_n,1948.0,49.0
Mulgrave,Age_0_4_yr_F_n,1965.0,50.0
Benambra,Age_0_4_yr_F_n,1981.0,51.0
