district,M_15_19_yr_Marrd_reg_marrge_n,M_15_19_yr_Married_de_facto_n,M_15_19_yr_Not_married_n,M_15_19_yr_Total_n,M_20_24_yr_Marrd_reg_marrge_n,M_20_24_yr_Married_de_facto_n,M_20_24_yr_Not_married_n,M_20_24_yr_Total_n,M_25_34_yr_Marrd_reg_marrge_n,M_25_34_yr_Married_de_facto_n,M_25_34_yr_Not_married_n,M_25_34_yr_Total_n,M_35_44_yr_Marrd_reg_marrge_n,M_35_44_yr_Married_de_facto_n,M_35_44_yr_Not_married_n,M_35_44_yr_Total_n,M_45_54_yr_Marrd_reg_marrge_n,M_45_54_yr_Married_de_facto_n,M_45_54_yr_Not_married_n,M_45_54_yr_Total_n,M_55_64_yr_Marrd_reg_marrge_n,M_55_64_yr_Married_de_facto_n,M_55_64_yr_Not_married_n,M_55_64_yr_Total_n,M_65_74_yr_Marrd_reg_marrge_n,M_65_74_yr_Married_de_facto_n,M_65_74_yr_Not_married_n,M_65_74_yr_Total_n,M_75_84_yr_Marrd_reg_marrge_n,M_75_84_yr_Married_de_facto_n,M_75_84_yr_Not_married_n,M_75_84_yr_Total_n,M_85ov_Marrd_reg_marrge_n,M_85ov_Married_de_facto_n,M_85ov_Not_married_n,M_85ov_Total_n,M_Tot_Marrd_reg_marrge_n,M_Tot_Married_de_facto_n,M_Tot_Not_married_n,M_Tot_Total_n,F_15_19_yr_Marrd_reg_marrge_n,F_15_19_yr_Married_de_facto_n,F_15_19_yr_Not_married_n,F_15_19_yr_Total_n,F_20_24_yr_Marrd_reg_marrge_n,F_20_24_yr_Married_de_facto_n,F_20_24_yr_Not_married_n,F_20_24_yr_Total_n,F_25_34_yr_Marrd_reg_marrge_n,F_25_34_yr_Married_de_facto_n,F_25_34_yr_Not_married_n,F_25_34_yr_Total_n,F_35_44_yr_Marrd_reg_marrge_n,F_35_44_yr_Married_de_facto_n,F_35_44_yr_Not_married_n,F_35_44_yr_Total_n,F_45_54_yr_Marrd_reg_marrge_n,F_45_54_yr_Married_de_facto_n,F_45_54_yr_Not_married_n,F_45_54_yr_Total_n,F_55_64_yr_Marrd_reg_marrge_n,F_55_64_yr_Married_de_facto_n,F_55_64_yr_Not_married_n,F_55_64_yr_Total_n,F_65_74_yr_Marrd_reg_marrge_n,F_65_74_yr_Married_de_facto_n,F_65_74_yr_Not_married_n,F_65_74_yr_Total_n,F_75_84_yr_Marrd_reg_marrge_n,F_75_84_yr_Married_de_facto_n,F_75_84_yr_Not_married_n,F_75_84_yr_Total_n,F_85ov_Marrd_reg_marrge_n,F_85ov_Married_de_facto_n,F_85ov_Not_married_n,F_85ov_Total_n,F_Tot_Marrd_reg_marrge_n,F_Tot_Married_de_facto_n,F_Tot_Not_married_n,F_Tot_Total_n,P_15_19_yr_Marrd_reg_marrge_n,P_15_19_yr_Married_de_facto_n,P_15_19_yr_Not_married_n,P_15_19_yr_Total_n,P_20_24_yr_Marrd_reg_marrge_n,P_20_24_yr_Married_de_facto_n,P_20_24_yr_Not_married_n,P_20_24_yr_Total_n,P_25_34_yr_Marrd_reg_marrge_n,P_25_34_yr_Married_de_facto_n,P_25_34_yr_Not_married_n,P_25_34_yr_Total_n,P_35_44_yr_Marrd_reg_marrge_n,P_35_44_yr_Married_de_facto_n,P_35_44_yr_Not_married_n,P_35_44_yr_Total_n,P_45_54_yr_Marrd_reg_marrge_n,P_45_54_yr_Married_de_facto_n,P_45_54_yr_Not_married_n,P_45_54_yr_Total_n,P_55_64_yr_Marrd_reg_marrge_n,P_55_64_yr_Married_de_facto_n,P_55_64_yr_Not_married_n,P_55_64_yr_Total_n,P_65_74_yr_Marrd_reg_marrge_n,P_65_74_yr_Married_de_facto_n,P_65_74_yr_Not_married_n,P_65_74_yr_Total_n,P_75_84_yr_Marrd_reg_marrge_n,P_75_84_yr_Married_de_facto_n,P_75_84_yr_Not_married_n,P_75_84_yr_Total_n,P_85ov_Marrd_reg_marrge_n,P_85ov_Married_de_facto_n,P_85ov_Not_married_n,P_85ov_Total_n,P_Tot_Marrd_reg_marrge_n,P_Tot_Married_de_facto_n,P_Tot_Not_married_n,P_Tot_Total_n,P_Tot_Total_total
Albert Park,0.0,3.0,1069.0,1086.0,7.0,282.0,1808.0,2145.0,1234.0,2614.0,4265.0,8086.0,2391.0,1352.0,2097.0,5867.0,1999.0,750.0,1589.0,4360.0,1737.0,487.0,1340.0,3566.0,1267.0,179.0,838.0,2330.0,739.0,60.0,378.0,1240.0,139.0,0.0,78.0,273.0,9610.0,5973.0,13511.0,28998.0,0.0,5.0,1119.0,1141.0,44.0,417.0,1847.0,2301.0,1656.0,2701.0,3961.0,8394.0,2388.0,1026.0,2347.0,5775.0,2067.0,628.0,1940.0,4611.0,1577.0,284.0,1678.0,3648.0,1156.0,124.0,1201.0,2552.0,508.0,8.0,761.0,1315.0,35.0,0.0,278.0,365.0,9475.0,5398.0,15111.0,30097.0,0.0,18.0,2123.0,2167.0,73.0,764.0,3654.0,4503.0,2851.0,5321.0,8197.0,16417.0,4764.0,2434.0,4426.0,11686.0,4026.0,1364.0,3518.0,8955.0,3351.0,851.0,3044.0,7174.0,2452.0,359.0,2035.0,4924.0,1248.0,88.0,1148.0,2596.0,260.0,5.0,462.0,729.0,19145.0,11288.0,28688.0,59115.0,59115.0
Ashwood,0.0,0.0,2484.0,2495.0,4.0,106.0,2706.0,2904.0,1270.0,847.0,2919.0,5108.0,3524.0,410.0,944.0,5011.0,3759.0,283.0,969.0,5070.0,3144.0,207.0,841.0,4274.0,2298.0,58.0,601.0,3043.0,1466.0,10.0,355.0,1912.0,526.0,0.0,221.0,810.0,15990.0,2223.0,12212.0,30523.0,0.0,0.0,2323.0,2329.0,10.0,160.0,2336.0,2616.0,1708.0,864.0,1985.0,4547.0,3987.0,401.0,1012.0,5435.0,3925.0,260.0,1408.0,5610.0,2966.0,171.0,1412.0,4616.0,2101.0,37.0,1178.0,3409.0,1186.0,3.0,1188.0,2360.0,176.0,0.0,777.0,1000.0,16118.0,2137.0,13687.0,31989.0,0.0,6.0,4818.0,4839.0,35.0,292.0,5110.0,5515.0,2978.0,1803.0,4926.0,9701.0,7526.0,871.0,1972.0,10381.0,7657.0,616.0,2333.0,10623.0,6077.0,444.0,2305.0,8872.0,4375.0,162.0,1881.0,6373.0,2638.0,18.0,1652.0,4335.0,737.0,0.0,1051.0,1806.0,32163.0,4376.0,25937.0,62519.0,62519.0
Bass,0.0,0.0,1490.0,1514.0,3.0,174.0,1088.0,1292.0,1082.0,1035.0,1306.0,3478.0,1986.0,583.0,777.0,3449.0,2005.0,475.0,892.0,3516.0,2390.0,436.0,1149.0,3998.0,2641.0,186.0,1041.0,3907.0,1348.0,24.0,535.0,1979.0,193.0,3.0,204.0,461.0,11855.0,3261.0,8571.0,23584.0,0.0,3.0,1434.0,1457.0,21.0,296.0,921.0,1305.0,1539.0,1105.0,1099.0,3762.0,2123.0,600.0,851.0,3594.0,2083.0,499.0,1134.0,3687.0,2635.0,433.0,1381.0,4367.0,2392.0,152.0,1388.0,4034.0,1007.0,14.0,943.0,1999.0,90.0,9.0,397.0,551.0,12031.0,3305.0,9563.0,24852.0,0.0,15.0,3028.0,3077.0,43.0,507.0,2008.0,2631.0,2642.0,2165.0,2432.0,7181.0,4135.0,1267.0,1606.0,7014.0,4072.0,1049.0,2049.0,7194.0,5014.0,900.0,2493.0,8377.0,5045.0,416.0,2480.0,7930.0,2342.0,98.0,1523.0,4013.0,399.0,6.0,659.0,1051.0,23793.0,6576.0,18146.0,48553.0,48553.0
Bayswater,0.0,0.0,1864.0,1868.0,0.0,152.0,1748.0,1970.0,1397.0,1164.0,2244.0,4840.0,3246.0,610.0,1272.0,5132.0,2586.0,452.0,1209.0,4314.0,2367.0,271.0,1098.0,3750.0,2311.0,113.0,697.0,3186.0,1277.0,11.0,402.0,1801.0,245.0,0.0,149.0,475.0,13447.0,2923.0,10825.0,27244.0,0.0,4.0,1627.0,1658.0,34.0,208.0,1570.0,1887.0,1896.0,1274.0,1842.0,4947.0,3404.0,585.0,1336.0,5323.0,2566.0,405.0,1453.0,4458.0,2341.0,198.0,1556.0,4169.0,2183.0,35.0,1548.0,3827.0,953.0,4.0,1089.0,2010.0,72.0,5.0,530.0,632.0,13576.0,2990.0,12486.0,29069.0,0.0,16.0,3496.0,3508.0,65.0,409.0,3322.0,3834.0,3338.0,2457.0,4129.0,9814.0,6719.0,1233.0,2522.0,10475.0,5111.0,876.0,2707.0,8758.0,4728.0,576.0,2647.0,7909.0,4554.0,218.0,2273.0,7058.0,2223.0,35.0,1488.0,3837.0,391.0,9.0,698.0,1126.0,27004.0,5930.0,23370.0,56288.0,56288.0
Bellarine,0.0,0.0,1710.0,1717.0,4.0,80.0,1180.0,1330.0,786.0,834.0,1125.0,2808.0,2173.0,628.0,651.0,3484.0,2403.0,490.0,794.0,3769.0,2801.0,354.0,872.0,4068.0,3540.0,257.0,787.0,4590.0,1757.0,49.0,442.0,2348.0,344.0,0.0,180.0,570.0,13795.0,2915.0,7952.0,24679.0,0.0,0.0,1615.0,1618.0,3.0,164.0,1016.0,1239.0,1077.0,936.0,993.0,3054.0,2388.0,646.0,870.0,3955.0,2601.0,535.0,1198.0,4336.0,2979.0,412.0,1553.0,4977.0,3298.0,199.0,1521.0,4933.0,1353.0,32.0,1162.0,2607.0,149.0,0.0,573.0,756.0,13921.0,3083.0,10491.0,27522.0,0.0,9.0,3284.0,3303.0,17.0,284.0,2239.0,2586.0,1896.0,1791.0,2137.0,5842.0,4578.0,1336.0,1524.0,7431.0,5017.0,1070.0,1977.0,8043.0,5696.0,846.0,2437.0,9032.0,6796.0,464.0,2412.0,9573.0,3163.0,130.0,1645.0,4989.0,534.0,8.0,856.0,1387.0,27702.0,6063.0,18443.0,52190.0,52190.0
Benambra,0.0,0.0,1826.0,1854.0,3.0,251.0,1126.0,1408.0,981.0,1044.0,1363.0,3413.0,1926.0,550.0,810.0,3366.0,2155.0,541.0,977.0,3714.0,2490.0,387.0,1013.0,3881.0,2307.0,152.0,871.0,3503.0,1163.0,19.0,397.0,1656.0,193.0,0.0,123.0,395.0,11345.0,3184.0,8685.0,23199.0,0.0,5.0,1678.0,1707.0,23.0,315.0,890.0,1314.0,1289.0,1049.0,1244.0,3590.0,2216.0,643.0,1017.0,3935.0,2289.0,518.0,1222.0,4013.0,2561.0,365.0,1296.0,4310.0,2136.0,99.0,1325.0,3659.0,853.0,19.0,901.0,1844.0,65.0,0.0,410.0,536.0,11535.0,3221.0,10124.0,24906.0,3.0,42.0,3473.0,3549.0,72.0,614.0,2007.0,2749.0,2339.0,2041.0,2602.0,7012.0,4200.0,1185.0,1842.0,7270.0,4442.0,1105.0,2228.0,7749.0,4950.0,790.0,2377.0,8115.0,4480.0,332.0,2187.0,7057.0,2053.0,67.0,1341.0,3586.0,312.0,10.0,576.0,967.0,22870.0,6448.0,18745.0,48070.0,48070.0
Bendigo East,0.0,3.0,2040.0,2057.0,7.0,220.0,1643.0,1947.0,1125.0,1267.0,1640.0,4044.0,2294.0,599.0,870.0,3792.0,2318.0,433.0,944.0,3754.0,2389.0,333.0,1035.0,3775.0,2341.0,123.0,767.0,3322.0,1237.0,16.0,414.0,1702.0,253.0,0.0,148.0,444.0,12027.0,3298.0,9617.0,24899.0,0.0,7.0,1913.0,1967.0,23.0,405.0,1463.0,1961.0,1487.0,1287.0,1611.0,4453.0,2521.0,616.0,1182.0,4340.0,2399.0,449.0,1349.0,4264.0,2517.0,272.0,1541.0,4385.0,2100.0,68.0,1427.0,3650.0,934.0,3.0,970.0,1875.0,134.0,0.0,488.0,646.0,12157.0,3408.0,11879.0,27442.0,0.0,40.0,3941.0,3992.0,71.0,772.0,3088.0,3950.0,2709.0,2565.0,3242.0,8456.0,4765.0,1274.0,2074.0,8083.0,4646.0,944.0,2340.0,8018.0,4897.0,635.0,2534.0,8153.0,4424.0,302.0,2175.0,6926.0,2168.0,39.0,1378.0,3639.0,447.0,6.0,733.0,1174.0,24183.0,6687.0,21518.0,52427.0,52427.0
Bendigo West,0.0,0.0,1563.0,1578.0,3.0,169.0,1226.0,1469.0,819.0,917.0,1489.0,3280.0,1673.0,619.0,893.0,3223.0,1822.0,510.0,1169.0,3456.0,2007.0,394.0,1146.0,3626.0,2102.0,204.0,1102.0,3407.0,1231.0,42.0,530.0,1847.0,272.0,3.0,199.0,545.0,9976.0,3125.0,9386.0,22455.0,0.0,0.0,1511.0,1542.0,26.0,275.0,1051.0,1476.0,1102.0,1090.0,1404.0,3541.0,1844.0,616.0,1101.0,3623.0,1859.0,523.0,1403.0,3797.0,2101.0,333.0,1651.0,4099.0,2053.0,140.0,1589.0,3801.0,992.0,22.0,1112.0,2100.0,113.0,0.0,540.0,695.0,10038.0,3146.0,11388.0,24666.0,0.0,40.0,3042.0,3103.0,88.0,477.0,2288.0,2848.0,1913.0,1995.0,2909.0,6828.0,3535.0,1286.0,2101.0,6838.0,3685.0,989.0,2500.0,7262.0,4130.0,757.0,2827.0,7705.0,4051.0,446.0,2665.0,7242.0,2266.0,91.0,1599.0,3992.0,448.0,7.0,763.0,1188.0,20010.0,6237.0,20713.0,46969.0,46969.0
Bentleigh,0.0,0.0,2444.0,2439.0,0.0,64.0,1882.0,2001.0,1101.0,1030.0,2060.0,4115.0,3653.0,668.0,833.0,5240.0,3801.0,475.0,1053.0,5354.0,2692.0,257.0,1012.0,3987.0,1886.0,90.0,634.0,2661.0,1071.0,4.0,372.0,1537.0,387.0,0.0,207.0,669.0,14656.0,2836.0,10556.0,28061.0,0.0,0.0,2222.0,2220.0,0.0,156.0,1613.0,1842.0,1551.0,1114.0,1435.0,4172.0,4091.0,636.0,1163.0,5900.0,3813.0,427.0,1525.0,5859.0,2525.0,207.0,1453.0,4197.0,1708.0,51.0,1336.0,3077.0,871.0,3.0,1167.0,2088.0,162.0,0.0,952.0,1184.0,14709.0,2821.0,12987.0,30584.0,0.0,4.0,4628.0,4634.0,17.0,251.0,3530.0,3900.0,2634.0,2110.0,3452.0,8322.0,7745.0,1313.0,2063.0,11127.0,7635.0,1007.0,2637.0,11276.0,5156.0,568.0,2445.0,8212.0,3579.0,219.0,1973.0,5789.0,1997.0,24.0,1538.0,3644.0,615.0,7.0,1213.0,1866.0,29488.0,5638.0,23526.0,58653.0,58653.0
Berwick,0.0,0.0,2758.0,2764.0,3.0,126.0,2191.0,2398.0,1910.0,894.0,1881.0,4759.0,5199.0,517.0,690.0,6415.0,4048.0,325.0,663.0,5091.0,2763.0,214.0,491.0,3556.0,1626.0,62.0,310.0,2087.0,855.0,31.0,165.0,1098.0,169.0,4.0,82.0,284.0,16696.0,2459.0,9454.0,28632.0,0.0,3.0,2461.0,2467.0,37.0,199.0,1882.0,2209.0,2835.0,964.0,1512.0,5329.0,5301.0,454.0,899.0,6779.0,3899.0,364.0,1027.0,5291.0,2338.0,151.0,971.0,3625.0,1518.0,26.0,918.0,2477.0,619.0,3.0,652.0,1411.0,49.0,0.0,274.0,406.0,16781.0,2477.0,10833.0,30038.0,0.0,9.0,5231.0,5255.0,68.0,346.0,4060.0,4613.0,4715.0,1906.0,3403.0,10151.0,10447.0,1050.0,1689.0,13170.0,7927.0,718.0,1724.0,10496.0,5154.0,482.0,1460.0,7150.0,3188.0,130.0,1260.0,4611.0,1558.0,51.0,867.0,2541.0,274.0,4.0,382.0,719.0,33510.0,4936.0,20216.0,58624.0,58624.0
