district,A_0_4_y_Indigenous_M_n,A_0_4_y_Indigenous_F_n,A_0_4_y_Indigenous_P_n,A_0_4_y_Non_Indigenous_M_n,A_0_4_y_Non_Indigenous_F_n,A_0_4_y_Non_Indigenous_P_n,A_0_4_y_Indig_stat_ns_M_n,A_0_4_y_Indig_stat_ns_F_n,A_0_4_y_Indig_stat_ns_P_n,A_0_4_y_Tot_M_n,A_0_4_y_Tot_F_n,A_0_4_y_Tot_P_n,A_5_9_y_Indigenous_M_n,A_5_9_y_Indigenous_F_n,A_5_9_y_Indigenous_P_n,A_5_9_y_Non_Indigenous_M_n,A_5_9_y_Non_Indigenous_F_n,A_5_9_y_Non_Indigenous_P_n,A_5_9_y_Indig_stat_ns_M_n,A_5_9_y_Indig_stat_ns_F_n,A_5_9_y_Indig_stat_ns_P_n,A_5_9_y_Tot_M_n,A_5_9_y_Tot_F_n,A_5_9_y_Tot_P_n,A_10_14_y_Indigenous_M_n,A_10_14_y_Indigenous_F_n,A_10_14_y_Indigenous_P_n,A_10_14_y_Non_Indig_M_n,A_10_14_y_Non_Indig_F_n,A_10_14_y_Non_Indig_P_n,A_10_14_y_Indig_stat_ns_M_n,A_10_14_y_Indig_stat_ns_F_n,A_10_14_y_Indig_stat_ns_P_n,A_10_14_y_Tot_M_n,A_10_14_y_Tot_F_n,A_10_14_y_Tot_P_n,A_15_19_y_Indigenous_M_n,A_15_19_y_Indigenous_F_n,A_15_19_y_Indigenous_P_n,A_15_19_y_Non_Indig_M_n,A_15_19_y_Non_Indig_F_n,A_15_19_y_Non_Indig_P_n,A_15_19_y_Indig_stat_ns_M_n,A_15_19_y_Indig_stat_ns_F_n,A_15_19_y_Indig_stat_ns_P_n,A_15_19_y_Tot_M_n,A_15_19_y_Tot_F_n,A_15_19_y_Tot_P_n,A_20_24_y_Indigenous_M_n,A_20_24_y_Indigenous_F_n,A_20_24_y_Indigenous_P_n,A_20_24_y_Non_Indig_M_n,A_20_24_y_Non_Indig_F_n,A_20_24_y_Non_Indig_P_n,A_20_24_y_Indig_stat_ns_M_n,A_20_24_y_Indig_stat_ns_F_n,A_20_24_y_Indig_stat_ns_P_n,A_20_24_y_Tot_M_n,A_20_24_y_Tot_F_n,A_20_24_y_Tot_P_n,A_25_29_y_Indigenous_M_n,A_25_29_y_Indigenous_F_n,A_25_29_y_Indigenous_P_n,A_25_29_y_Non_Indig_M_n,A_25_29_y_Non_Indig_F_n,A_25_29_y_Non_Indig_P_n,A_25_29_y_Indig_stat_ns_M_n,A_25_29_y_Indig_stat_ns_F_n,A_25_29_y_Indig_stat_ns_P_n,A_25_29_y_Tot_M_n,A_25_29_y_Tot_F_n,A_25_29_y_Tot_P_n,A_30_34_y_Indigenous_M_n,A_30_34_y_Indigenous_F_n,A_30_34_y_Indigenous_P_n,A_30_34_y_Non_Indig_M_n,A_30_34_y_Non_Indig_F_n,A_30_34_y_Non_Indig_P_n,A_30_34_y_Indig_stat_ns_M_n,A_30_34_y_Indig_stat_ns_F_n,A_30_34_y_Indig_stat_ns_P_n,A_30_34_y_Tot_M_n,A_30_34_y_Tot_F_n,A_30_34_y_Tot_P_n,A_35_39_y_Indigenous_M_n,A_35_39_y_Indigenous_F_n,A_35_39_y_Indigenous_P_n,A_35_39_y_Non_Indig_M_n,A_35_39_y_Non_Indig_F_n,A_35_39_y_Non_Indig_P_n,A_35_39_y_Indig_stat_ns_M_n,A_35_39_y_Indig_stat_ns_F_n,A_35_39_y_Indig_stat_ns_P_n,A_35_39_y_Tot_M_n,A_35_39_y_Tot_F_n,A_35_39_y_Tot_P_n,A_40_44_y_Indigenous_M_n,A_40_44_y_Indigenous_F_n,A_40_44_y_Indigenous_P_n,A_40_44_y_Non_Indig_M_n,A_40_44_y_Non_Indig_F_n,A_40_44_y_Non_Indig_P_n,A_40_44_y_Indig_stat_ns_M_n,A_40_44_y_Indig_stat_ns_F_n,A_40_44_y_Indig_stat_ns_P_n,A_40_44_y_Tot_M_n,A_40_44_y_Tot_F_n,A_40_44_y_Tot_P_n,A_45_49_y_Indigenous_M_n,A_45_49_y_Indigenous_F_n,A_45_49_y_Indigenous_P_n,A_45_49_y_Non_Indig_M_n,A_45_49_y_Non_Indig_F_n,A_45_49_y_Non_Indig_P_n,A_45_49_y_Indig_stat_ns_M_n,A_45_49_y_Indig_stat_ns_F_n,A_45_49_y_Indig_stat_ns_P_n,A_45_49_y_Tot_M_n,A_45_49_y_Tot_F_n,A_45_49_y_Tot_P_n,A_50_54_y_Indigenous_M_n,A_50_54_y_Indigenous_F_n,A_50_54_y_Indigenous_P_n,A_50_54_y_Non_Indig_M_n,A_50_54_y_Non_Indig_F_n,A_50_54_y_Non_Indig_P_n,A_50_54_y_Indig_stat_ns_M_n,A_50_54_y_Indig_stat_ns_F_n,A_50_54_y_Indig_stat_ns_P_n,A_50_54_y_Tot_M_n,A_50_54_y_Tot_F_n,A_50_54_y_Tot_P_n,A_55_59_y_Indigenous_M_n,A_55_59_y_Indigenous_F_n,A_55_59_y_Indigenous_P_n,A_55_59_y_Non_Indig_M_n,A_55_59_y_Non_Indig_F_n,A_55_59_y_Non_Indig_P_n,A_55_59_y_Indig_stat_ns_M_n,A_55_59_y_Indig_stat_ns_F_n,A_55_59_y_Indig_stat_ns_P_n,A_55_59_y_Tot_M_n,A_55_59_y_Tot_F_n,A_55_59_y_Tot_P_n,A_60_64_y_Indigenous_M_n,A_60_64_y_Indigenous_F_n,A_60_64_y_Indigenous_P_n,A_60_64_y_Non_Indig_M_n,A_60_64_y_Non_Indig_F_n,A_60_64_y_Non_Indig_P_n,A_60_64_y_Indig_stat_ns_M_n,A_60_64_y_Indig_stat_ns_F_n,A_60_64_y_Indig_stat_ns_P_n,A_60_64_y_Tot_M_n,A_60_64_y_Tot_F_n,A_60_64_y_Tot_P_n,A_65_y_ov_Indigenous_M_n,A_65_y_ov_Indigenous_F_n,A_65_y_ov_Indigenous_P_n,A_65_y_ov_Non_Indig_M_n,A_65_y_ov_Non_Indig_F_n,A_65_y_ov_Non_Indig_P_n,A_65_y_ov_Indig_stat_ns_M_n,A_65_y_ov_Indig_stat_ns_F_n,A_65_y_ov_Indig_stat_ns_P_n,A_65_y_ov_Tot_M_n,A_65_y_ov_Tot_F_n,A_65_y_ov_Tot_P_n,Tot_Indigenous_M_n,Tot_Indigenous_F_n,Tot_Indigenous_P_n,Tot_Non_Indigenous_M_n,Tot_Non_Indigenous_F_n,Tot_Non_Indigenous_P_n,Tot_Indig_status_ns_M_n,Tot_Indig_status_ns_F_n,Tot_Indig_status_ns_P_n,Tot_Tot_M_n,Tot_Tot_F_n,Tot_Tot_P_n,Tot_Tot_P_total
Albert Park,4.0,3.0,7.0,1394.0,1313.0,2747.0,33.0,36.0,96.0,1443.0,1365.0,2850.0,0.0,6.0,5.0,1217.0,1217.0,2418.0,31.0,28.0,87.0,1272.0,1289.0,2569.0,0.0,5.0,5.0,1126.0,1063.0,2231.0,14.0,24.0,51.0,1190.0,1155.0,2343.0,0.0,4.0,15.0,1096.0,1153.0,2248.0,21.0,10.0,47.0,1171.0,1204.0,2346.0,0.0,6.0,11.0,2211.0,2419.0,4711.0,85.0,91.0,218.0,2397.0,2536.0,5024.0,6.0,4.0,20.0,4047.0,4384.0,8491.0,254.0,245.0,542.0,4375.0,4741.0,9101.0,0.0,0.0,3.0,4216.0,4250.0,8429.0,213.0,171.0,482.0,4519.0,4514.0,9092.0,3.0,0.0,8.0,3445.0,3396.0,6835.0,142.0,147.0,396.0,3678.0,3619.0,7282.0,0.0,3.0,3.0,2603.0,2563.0,5170.0,135.0,109.0,277.0,2827.0,2720.0,5549.0,0.0,0.0,3.0,2372.0,2408.0,4784.0,129.0,92.0,294.0,2560.0,2525.0,5096.0,3.0,8.0,11.0,2227.0,2365.0,4601.0,88.0,81.0,208.0,2374.0,2491.0,4864.0,0.0,0.0,0.0,2045.0,2014.0,4033.0,93.0,93.0,259.0,2201.0,2175.0,4345.0,0.0,0.0,0.0,1713.0,1825.0,3641.0,95.0,53.0,193.0,1874.0,1920.0,3891.0,3.0,15.0,18.0,4337.0,4712.0,9014.0,259.0,238.0,570.0,4682.0,5025.0,9665.0,118.0,135.0,296.0,34209.0,35210.0,69377.0,2182.0,2117.0,4242.0,36565.0,37438.0,73990.0,73990.0
Ashwood,0.0,0.0,9.0,1849.0,1796.0,3663.0,26.0,29.0,71.0,1938.0,1873.0,3807.0,0.0,5.0,5.0,2385.0,2270.0,4666.0,19.0,17.0,62.0,2465.0,2287.0,4785.0,3.0,8.0,11.0,2577.0,2587.0,5075.0,37.0,21.0,111.0,2675.0,2668.0,5234.0,3.0,0.0,7.0,2501.0,2401.0,4932.0,24.0,28.0,70.0,2603.0,2463.0,5083.0,10.0,0.0,10.0,3055.0,2693.0,5753.0,92.0,68.0,202.0,3207.0,2820.0,6012.0,7.0,0.0,15.0,2741.0,2239.0,5011.0,108.0,70.0,220.0,2924.0,2358.0,5338.0,3.0,0.0,3.0,2523.0,2501.0,5020.0,87.0,50.0,161.0,2635.0,2570.0,5249.0,0.0,3.0,3.0,2587.0,2789.0,5331.0,39.0,30.0,103.0,2653.0,2886.0,5536.0,0.0,0.0,4.0,2451.0,2764.0,5241.0,38.0,10.0,93.0,2529.0,2827.0,5368.0,0.0,0.0,0.0,2544.0,2851.0,5375.0,30.0,35.0,125.0,2644.0,2935.0,5542.0,0.0,0.0,0.0,2605.0,2790.0,5403.0,33.0,16.0,112.0,2672.0,2862.0,5553.0,0.0,0.0,0.0,2356.0,2523.0,4945.0,30.0,23.0,74.0,2425.0,2588.0,5031.0,0.0,0.0,0.0,1968.0,2194.0,4228.0,11.0,27.0,36.0,2034.0,2281.0,4320.0,0.0,4.0,6.0,6014.0,7454.0,13494.0,88.0,161.0,355.0,6200.0,7670.0,13895.0,97.0,57.0,168.0,38317.0,39706.0,78040.0,1227.0,1155.0,2398.0,39672.0,40947.0,80602.0,80602.0
Bass,26.0,23.0,57.0,1779.0,1800.0,3556.0,60.0,57.0,146.0,1892.0,1911.0,3817.0,17.0,14.0,48.0,1900.0,1727.0,3639.0,85.0,83.0,222.0,2064.0,1841.0,3932.0,22.0,16.0,38.0,1777.0,1697.0,3471.0,56.0,75.0,189.0,1910.0,1840.0,3778.0,20.0,12.0,39.0,1520.0,1483.0,3069.0,35.0,45.0,141.0,1619.0,1612.0,3309.0,14.0,15.0,47.0,1292.0,1358.0,2669.0,64.0,33.0,132.0,1447.0,1472.0,2904.0,4.0,0.0,8.0,1628.0,1762.0,3425.0,75.0,49.0,124.0,1779.0,1904.0,3660.0,8.0,3.0,15.0,1916.0,2050.0,3944.0,16.0,68.0,162.0,2021.0,2159.0,4206.0,7.0,3.0,6.0,1881.0,1949.0,3826.0,97.0,87.0,223.0,2007.0,2071.0,4122.0,4.0,8.0,16.0,1652.0,1652.0,3288.0,44.0,57.0,152.0,1778.0,1757.0,3554.0,4.0,4.0,18.0,1664.0,1767.0,3425.0,76.0,66.0,210.0,1806.0,1889.0,3717.0,0.0,3.0,7.0,1877.0,1949.0,3840.0,90.0,38.0,182.0,2039.0,2088.0,4109.0,0.0,0.0,3.0,1987.0,2223.0,4217.0,100.0,68.0,230.0,2115.0,2391.0,4451.0,0.0,0.0,4.0,2264.0,2397.0,4661.0,90.0,104.0,250.0,2414.0,2587.0,4986.0,10.0,11.0,27.0,6975.0,7274.0,14306.0,416.0,452.0,911.0,7479.0,7805.0,15284.0,382.0,324.0,757.0,30089.0,31180.0,61323.0,1886.0,1929.0,3740.0,32398.0,33461.0,65879.0,65879.0
Bayswater,7.0,0.0,28.0,2065.0,2066.0,4091.0,26.0,32.0,100.0,2142.0,2157.0,4255.0,10.0,13.0,25.0,2228.0,2052.0,4272.0,45.0,53.0,137.0,2355.0,2167.0,4466.0,16.0,19.0,55.0,1988.0,1845.0,3861.0,25.0,35.0,98.0,2059.0,1928.0,4020.0,14.0,6.0,33.0,1865.0,1691.0,3500.0,27.0,36.0,87.0,1984.0,1775.0,3681.0,3.0,4.0,12.0,1988.0,1963.0,3885.0,41.0,17.0,89.0,2104.0,2041.0,4102.0,19.0,9.0,32.0,2200.0,2224.0,4534.0,54.0,34.0,132.0,2319.0,2312.0,4705.0,4.0,5.0,12.0,2629.0,2781.0,5490.0,60.0,47.0,110.0,2776.0,2886.0,5679.0,3.0,3.0,9.0,2742.0,2825.0,5539.0,66.0,65.0,172.0,2842.0,2980.0,5772.0,0.0,7.0,4.0,2477.0,2530.0,5029.0,47.0,10.0,93.0,2631.0,2602.0,5208.0,4.0,3.0,7.0,2246.0,2299.0,4465.0,30.0,30.0,89.0,2330.0,2397.0,4693.0,3.0,4.0,13.0,2089.0,2275.0,4390.0,52.0,22.0,110.0,2204.0,2356.0,4567.0,0.0,0.0,6.0,1984.0,2090.0,4094.0,6.0,25.0,39.0,2061.0,2198.0,4218.0,0.0,0.0,0.0,1837.0,2111.0,3991.0,26.0,17.0,76.0,1929.0,2172.0,4125.0,0.0,4.0,4.0,5800.0,7133.0,12937.0,132.0,165.0,436.0,6031.0,7390.0,13407.0,211.0,279.0,567.0,34179.0,35827.0,70049.0,1138.0,1149.0,2329.0,35635.0,37316.0,72983.0,72983.0
Bellarine,3.0,10.0,34.0,1654.0,1566.0,3257.0,39.0,18.0,56.0,1717.0,1661.0,3387.0,23.0,12.0,41.0,2030.0,1851.0,3834.0,41.0,57.0,146.0,2204.0,1963.0,4075.0,20.0,24.0,49.0,2059.0,1900.0,3928.0,74.0,53.0,159.0,2169.0,2039.0,4237.0,13.0,14.0,42.0,1739.0,1662.0,3312.0,34.0,37.0,92.0,1821.0,1725.0,3466.0,9.0,6.0,22.0,1390.0,1317.0,2684.0,13.0,18.0,68.0,1450.0,1399.0,2837.0,4.0,7.0,13.0,1353.0,1392.0,2714.0,21.0,14.0,91.0,1421.0,1465.0,2894.0,0.0,0.0,3.0,1527.0,1760.0,3303.0,17.0,14.0,71.0,1574.0,1826.0,3425.0,6.0,11.0,17.0,1780.0,2064.0,3860.0,28.0,38.0,92.0,1849.0,2146.0,3975.0,0.0,3.0,10.0,1777.0,1967.0,3694.0,32.0,47.0,120.0,1831.0,2063.0,3874.0,0.0,0.0,0.0,1944.0,2202.0,4143.0,22.0,41.0,116.0,2001.0,2305.0,4316.0,12.0,4.0,18.0,1905.0,2209.0,4061.0,42.0,20.0,134.0,2045.0,2300.0,4305.0,0.0,0.0,3.0,1968.0,2412.0,4361.0,43.0,42.0,155.0,2052.0,2530.0,4558.0,0.0,3.0,3.0,2329.0,2767.0,5103.0,63.0,73.0,189.0,2429.0,2923.0,5372.0,0.0,4.0,16.0,8330.0,9298.0,17661.0,460.0,491.0,951.0,8786.0,9946.0,18698.0,280.0,268.0,602.0,31671.0,34337.0,66009.0,1382.0,1475.0,2889.0,33351.0,36117.0,69516.0,69516.0
Benambra,67.0,78.0,166.0,1721.0,1782.0,3418.0,66.0,29.0,145.0,1857.0,1981.0,3808.0,99.0,91.0,214.0,1941.0,1910.0,3852.0,101.0,62.0,189.0,2224.0,2158.0,4336.0,103.0,122.0,238.0,2055.0,1945.0,3973.0,104.0,84.0,229.0,2351.0,2234.0,4523.0,64.0,47.0,124.0,1988.0,1732.0,3691.0,71.0,68.0,176.0,2145.0,1944.0,4052.0,61.0,32.0,117.0,1513.0,1429.0,3060.0,53.0,58.0,148.0,1743.0,1648.0,3392.0,7.0,25.0,56.0,1697.0,1695.0,3439.0,46.0,82.0,147.0,1851.0,1866.0,3773.0,29.0,24.0,58.0,1838.0,1908.0,3759.0,54.0,47.0,165.0,2029.0,2039.0,4069.0,3.0,25.0,48.0,1710.0,1981.0,3767.0,70.0,63.0,170.0,1871.0,2189.0,4088.0,4.0,26.0,35.0,1698.0,1898.0,3708.0,71.0,54.0,182.0,1850.0,2067.0,3946.0,10.0,13.0,43.0,1814.0,1970.0,3858.0,53.0,58.0,158.0,2010.0,2104.0,4132.0,7.0,26.0,32.0,1964.0,2106.0,4022.0,69.0,45.0,151.0,2093.0,2225.0,4318.0,3.0,10.0,25.0,2086.0,2213.0,4200.0,74.0,58.0,161.0,2224.0,2317.0,4480.0,0.0,7.0,15.0,1974.0,2179.0,4155.0,62.0,50.0,175.0,2126.0,2353.0,4427.0,7.0,23.0,62.0,6092.0,6669.0,12726.0,326.0,305.0,703.0,6481.0,7079.0,13572.0,847.0,980.0,1838.0,30163.0,31397.0,61549.0,1771.0,1614.0,3416.0,32791.0,34027.0,66799.0,66799.0
Bendigo East,68.0,48.0,140.0,2052.0,1944.0,3982.0,56.0,63.0,163.0,2263.0,2125.0,4349.0,58.0,81.0,185.0,2210.0,2122.0,4366.0,76.0,69.0,185.0,2398.0,2364.0,4829.0,75.0,62.0,178.0,2368.0,2162.0,4494.0,116.0,88.0,216.0,2663.0,2340.0,4914.0,22.0,42.0,93.0,2049.0,1983.0,4017.0,64.0,54.0,145.0,2208.0,2116.0,4387.0,27.0,26.0,93.0,2055.0,2090.0,4108.0,76.0,46.0,140.0,2176.0,2237.0,4434.0,54.0,33.0,116.0,2051.0,2219.0,4303.0,53.0,72.0,170.0,2208.0,2388.0,4646.0,28.0,35.0,88.0,1962.0,2263.0,4270.0,60.0,31.0,132.0,2119.0,2401.0,4589.0,15.0,20.0,54.0,1971.0,2230.0,4181.0,26.0,60.0,131.0,2107.0,2397.0,4474.0,5.0,12.0,24.0,1890.0,2094.0,3986.0,24.0,66.0,176.0,2018.0,2252.0,4285.0,9.0,21.0,43.0,1867.0,2090.0,4023.0,75.0,59.0,167.0,2028.0,2299.0,4303.0,3.0,7.0,30.0,1942.0,2144.0,4065.0,62.0,73.0,172.0,2078.0,2290.0,4353.0,4.0,11.0,39.0,1975.0,2194.0,4116.0,69.0,63.0,155.0,2137.0,2311.0,4409.0,0.0,3.0,15.0,1967.0,2268.0,4206.0,55.0,44.0,145.0,2144.0,2434.0,4490.0,13.0,13.0,33.0,5873.0,6805.0,12727.0,289.0,304.0,686.0,6268.0,7230.0,13495.0,714.0,731.0,1529.0,32306.0,34547.0,66843.0,1726.0,1725.0,3466.0,34793.0,37078.0,71883.0,71883.0
Bendigo West,34.0,34.0,86.0,1534.0,1518.0,3093.0,54.0,30.0,116.0,1684.0,1723.0,3347.0,100.0,36.0,141.0,1727.0,1637.0,3329.0,61.0,113.0,207.0,1954.0,1801.0,3733.0,30.0,26.0,83.0,1695.0,1542.0,3227.0,78.0,50.0,173.0,1879.0,1697.0,3593.0,34.0,24.0,111.0,1535.0,1515.0,3063.0,33.0,58.0,138.0,1666.0,1660.0,3340.0,35.0,27.0,101.0,1547.0,1451.0,2936.0,67.0,48.0,163.0,1684.0,1604.0,3241.0,40.0,30.0,88.0,1772.0,1716.0,3453.0,72.0,87.0,213.0,1934.0,1872.0,3829.0,7.0,23.0,35.0,1772.0,1889.0,3623.0,65.0,68.0,173.0,1913.0,2007.0,3945.0,15.0,7.0,34.0,1827.0,1876.0,3688.0,73.0,56.0,166.0,1976.0,2025.0,3965.0,0.0,6.0,20.0,1644.0,1713.0,3354.0,47.0,30.0,154.0,1763.0,1834.0,3601.0,7.0,11.0,29.0,1802.0,1915.0,3663.0,55.0,48.0,181.0,1890.0,1975.0,3950.0,0.0,4.0,27.0,1800.0,1925.0,3671.0,41.0,47.0,140.0,1962.0,2051.0,3965.0,9.0,0.0,27.0,1817.0,2169.0,3900.0,65.0,61.0,164.0,1926.0,2316.0,4137.0,7.0,0.0,8.0,1961.0,2128.0,4055.0,63.0,37.0,166.0,2093.0,2245.0,4298.0,18.0,6.0,43.0,6292.0,7290.0,13612.0,339.0,412.0,836.0,6739.0,7776.0,14509.0,659.0,666.0,1306.0,28596.0,30231.0,58766.0,1704.0,1716.0,3456.0,30977.0,32557.0,63548.0,63548.0
Bentleigh,3.0,3.0,9.0,2069.0,1959.0,4012.0,8.0,20.0,43.0,2133.0,1993.0,4113.0,0.0,3.0,12.0,2591.0,2316.0,4929.0,22.0,33.0,93.0,2691.0,2401.0,5082.0,8.0,0.0,8.0,2816.0,2512.0,5291.0,36.0,23.0,87.0,2860.0,2605.0,5436.0,0.0,0.0,4.0,2448.0,2250.0,4680.0,31.0,13.0,75.0,2546.0,2303.0,4854.0,3.0,0.0,6.0,2056.0,1891.0,3941.0,26.0,32.0,76.0,2118.0,1967.0,4082.0,0.0,0.0,0.0,2012.0,1813.0,3888.0,43.0,28.0,97.0,2118.0,1889.0,4067.0,0.0,0.0,0.0,2167.0,2360.0,4513.0,53.0,33.0,126.0,2264.0,2421.0,4696.0,0.0,0.0,0.0,2572.0,2975.0,5519.0,31.0,21.0,143.0,2680.0,3066.0,5697.0,0.0,0.0,0.0,2690.0,3004.0,5688.0,33.0,28.0,99.0,2750.0,3084.0,5837.0,3.0,0.0,3.0,2764.0,3050.0,5855.0,47.0,30.0,127.0,2853.0,3161.0,6007.0,0.0,0.0,0.0,2607.0,2901.0,5564.0,14.0,17.0,53.0,2683.0,2974.0,5655.0,0.0,0.0,3.0,2255.0,2302.0,4506.0,33.0,27.0,84.0,2307.0,2352.0,4625.0,0.0,0.0,3.0,1854.0,2058.0,3912.0,19.0,10.0,51.0,1883.0,2100.0,4013.0,0.0,0.0,3.0,5120.0,6793.0,11914.0,84.0,270.0,482.0,5307.0,7131.0,12444.0,77.0,56.0,225.0,36104.0,38094.0,74212.0,981.0,1219.0,2154.0,37234.0,39357.0,76665.0,76665.0
Berwick,12.0,14.0,31.0,2900.0,2762.0,5760.0,79.0,56.0,158.0,3017.0,2889.0,6003.0,14.0,0.0,22.0,3240.0,3240.0,6528.0,80.0,69.0,174.0,3370.0,3393.0,6758.0,7.0,16.0,33.0,3059.0,2964.0,5986.0,47.0,40.0,130.0,3207.0,3094.0,6205.0,7.0,3.0,13.0,2763.0,2513.0,5345.0,50.0,21.0,115.0,2907.0,2596.0,5497.0,0.0,7.0,4.0,2468.0,2251.0,4752.0,55.0,15.0,84.0,2577.0,2310.0,4962.0,0.0,5.0,16.0,2275.0,2325.0,4582.0,42.0,58.0,163.0,2388.0,2445.0,4797.0,0.0,0.0,0.0,2560.0,3058.0,5605.0,58.0,48.0,170.0,2674.0,3135.0,5864.0,0.0,0.0,0.0,3313.0,3718.0,7024.0,50.0,44.0,191.0,3437.0,3844.0,7234.0,0.0,0.0,3.0,3098.0,3090.0,6218.0,17.0,43.0,122.0,3195.0,3172.0,6392.0,3.0,0.0,3.0,2729.0,2795.0,5495.0,40.0,24.0,93.0,2779.0,2854.0,5645.0,0.0,0.0,4.0,2521.0,2564.0,5125.0,28.0,22.0,100.0,2615.0,2616.0,5260.0,0.0,0.0,0.0,2007.0,2002.0,4030.0,27.0,22.0,68.0,2072.0,2058.0,4128.0,0.0,3.0,3.0,1596.0,1651.0,3285.0,22.0,7.0,43.0,1653.0,1731.0,3384.0,0.0,0.0,0.0,3795.0,4628.0,8471.0,58.0,192.0,298.0,3924.0,4802.0,8749.0,115.0,154.0,340.0,38470.0,39621.0,78087.0,1193.0,1223.0,2530.0,39857.0,41053.0,80938.0,80938.0
