district,A_0_4_y_Indigenous_M_pc,A_0_4_y_Indigenous_F_pc,A_0_4_y_Indigenous_P_pc,A_0_4_y_Non_Indigenous_M_pc,A_0_4_y_Non_Indigenous_F_pc,A_0_4_y_Non_Indigenous_P_pc,A_0_4_y_Indig_stat_ns_M_pc,A_0_4_y_Indig_stat_ns_F_pc,A_0_4_y_Indig_stat_ns_P_pc,A_0_4_y_Tot_M_pc,A_0_4_y_Tot_F_pc,A_0_4_y_Tot_P_pc,A_5_9_y_Indigenous_M_pc,A_5_9_y_Indigenous_F_pc,A_5_9_y_Indigenous_P_pc,A_5_9_y_Non_Indigenous_M_pc,A_5_9_y_Non_Indigenous_F_pc,A_5_9_y_Non_Indigenous_P_pc,A_5_9_y_Indig_stat_ns_M_pc,A_5_9_y_Indig_stat_ns_F_pc,A_5_9_y_Indig_stat_ns_P_pc,A_5_9_y_Tot_M_pc,A_5_9_y_Tot_F_pc,A_5_9_y_Tot_P_pc,A_10_14_y_Indigenous_M_pc,A_10_14_y_Indigenous_F_pc,A_10_14_y_Indigenous_P_pc,A_10_14_y_Non_Indig_M_pc,A_10_14_y_Non_Indig_F_pc,A_10_14_y_Non_Indig_P_pc,A_10_14_y_Indig_stat_ns_M_pc,A_10_14_y_Indig_stat_ns_F_pc,A_10_14_y_Indig_stat_ns_P_pc,A_10_14_y_Tot_M_pc,A_10_14_y_Tot_F_pc,A_10_14_y_Tot_P_pc,A_15_19_y_Indigenous_M_pc,A_15_19_y_Indigenous_F_pc,A_15_19_y_Indigenous_P_pc,A_15_19_y_Non_Indig_M_pc,A_15_19_y_Non_Indig_F_pc,A_15_19_y_Non_Indig_P_pc,A_15_19_y_Indig_stat_ns_M_pc,A_15_19_y_Indig_stat_ns_F_pc,A_15_19_y_Indig_stat_ns_P_pc,A_15_19_y_Tot_M_pc,A_15_19_y_Tot_F_pc,A_15_19_y_Tot_P_pc,A_20_24_y_Indigenous_M_pc,A_20_24_y_Indigenous_F_pc,A_20_24_y_Indigenous_P_pc,A_20_24_y_Non_Indig_M_pc,A_20_24_y_Non_Indig_F_pc,A_20_24_y_Non_Indig_P_pc,A_20_24_y_Indig_stat_ns_M_pc,A_20_24_y_Indig_stat_ns_F_pc,A_20_24_y_Indig_stat_ns_P_pc,A_20_24_y_Tot_M_pc,A_20_24_y_Tot_F_pc,A_20_24_y_Tot_P_pc,A_25_29_y_Indigenous_M_pc,A_25_29_y_Indigenous_F_pc,A_25_29_y_Indigenous_P_pc,A_25_29_y_Non_Indig_M_pc,A_25_29_y_Non_Indig_F_pc,A_25_29_y_Non_Indig_P_pc,A_25_29_y_Indig_stat_ns_M_pc,A_25_29_y_Indig_stat_ns_F_pc,A_25_29_y_Indig_stat_ns_P_pc,A_25_29_y_Tot_M_pc,A_25_29_y_Tot_F_pc,A_25_29_y_Tot_P_pc,A_30_34_y_Indigenous_M_pc,A_30_34_y_Indigenous_F_pc,A_30_34_y_Indigenous_P_pc,A_30_34_y_Non_Indig_M_pc,A_30_34_y_Non_Indig_F_pc,A_30_34_y_Non_Indig_P_pc,A_30_34_y_Indig_stat_ns_M_pc,A_30_34_y_Indig_stat_ns_F_pc,A_30_34_y_Indig_stat_ns_P_pc,A_30_34_y_Tot_M_pc,A_30_34_y_Tot_F_pc,A_30_34_y_Tot_P_pc,A_35_39_y_Indigenous_M_pc,A_35_39_y_Indigenous_F_pc,A_35_39_y_Indigenous_P_pc,A_35_39_y_Non_Indig_M_pc,A_35_39_y_Non_Indig_F_pc,A_35_39_y_Non_Indig_P_pc,A_35_39_y_Indig_stat_ns_M_pc,A_35_39_y_Indig_stat_ns_F_pc,A_35_39_y_Indig_stat_ns_P_pc,A_35_39_y_Tot_M_pc,A_35_39_y_Tot_F_pc,A_35_39_y_Tot_P_pc,A_40_44_y_Indigenous_M_pc,A_40_44_y_Indigenous_F_pc,A_40_44_y_Indigenous_P_pc,A_40_44_y_Non_Indig_M_pc,A_40_44_y_Non_Indig_F_pc,A_40_44_y_Non_Indig_P_pc,A_40_44_y_Indig_stat_ns_M_pc,A_40_44_y_Indig_stat_ns_F_pc,A_40_44_y_Indig_stat_ns_P_pc,A_40_44_y_Tot_M_pc,A_40_44_y_Tot_F_pc,A_40_44_y_Tot_P_pc,A_45_49_y_Indigenous_M_pc,A_45_49_y_Indigenous_F_pc,A_45_49_y_Indigenous_P_pc,A_45_49_y_Non_Indig_M_pc,A_45_49_y_Non_Indig_F_pc,A_45_49_y_Non_Indig_P_pc,A_45_49_y_Indig_stat_ns_M_pc,A_45_49_y_Indig_stat_ns_F_pc,A_45_49_y_Indig_stat_ns_P_pc,A_45_49_y_Tot_M_pc,A_45_49_y_Tot_F_pc,A_45_49_y_Tot_P_pc,A_50_54_y_Indigenous_M_pc,A_50_54_y_Indigenous_F_pc,A_50_54_y_Indigenous_P_pc,A_50_54_y_Non_Indig_M_pc,A_50_54_y_Non_Indig_F_pc,A_50_54_y_Non_Indig_P_pc,A_50_54_y_Indig_stat_ns_M_pc,A_50_54_y_Indig_stat_ns_F_pc,A_50_54_y_Indig_stat_ns_P_pc,A_50_54_y_Tot_M_pc,A_50_54_y_Tot_F_pc,A_50_54_y_Tot_P_pc,A_55_59_y_Indigenous_M_pc,A_55_59_y_Indigenous_F_pc,A_55_59_y_Indigenous_P_pc,A_55_59_y_Non_Indig_M_pc,A_55_59_y_Non_Indig_F_pc,A_55_59_y_Non_Indig_P_pc,A_55_59_y_Indig_stat_ns_M_pc,A_55_59_y_Indig_stat_ns_F_pc,A_55_59_y_Indig_stat_ns_P_pc,A_55_59_y_Tot_M_pc,A_55_59_y_Tot_F_pc,A_55_59_y_Tot_P_pc,A_60_64_y_Indigenous_M_pc,A_60_64_y_Indigenous_F_pc,A_60_64_y_Indigenous_P_pc,A_60_64_y_Non_Indig_M_pc,A_60_64_y_Non_Indig_F_pc,A_60_64_y_Non_Indig_P_pc,A_60_64_y_Indig_stat_ns_M_pc,A_60_64_y_Indig_stat_ns_F_pc,A_60_64_y_Indig_stat_ns_P_pc,A_60_64_y_Tot_M_pc,A_60_64_y_Tot_F_pc,A_60_64_y_Tot_P_pc,A_65_y_ov_Indigenous_M_pc,A_65_y_ov_Indigenous_F_pc,A_65_y_ov_Indigenous_P_pc,A_65_y_ov_Non_Indig_M_pc,A_65_y_ov_Non_Indig_F_pc,A_65_y_ov_Non_Indig_P_pc,A_65_y_ov_Indig_stat_ns_M_pc,A_65_y_ov_Indig_stat_ns_F_pc,A_65_y_ov_Indig_stat_ns_P_pc,A_65_y_ov_Tot_M_pc,A_65_y_ov_Tot_F_pc,A_65_y_ov_Tot_P_pc,Tot_Indigenous_M_pc,Tot_Indigenous_F_pc,Tot_Indigenous_P_pc,Tot_Non_Indigenous_M_pc,Tot_Non_Indigenous_F_pc,Tot_Non_Indigenous_P_pc,Tot_Indig_status_ns_M_pc,Tot_Indig_status_ns_F_pc,Tot_Indig_status_ns_P_pc,Tot_Tot_M_pc,Tot_Tot_F_pc,Tot_Tot_P_pc,Tot_Tot_P_total
Albert Park,0.0001,0.0,0.0001,0.0188,0.0177,0.0371,0.0004,0.0005,0.0013,0.0195,0.0184,0.0385,0.0,0.0001,0.0001,0.0164,0.0164,0.0327,0.0004,0.0004,0.0012,0.0172,0.0174,0.0347,0.0,0.0001,0.0001,0.0152,0.0144,0.0302,0.0002,0.0003,0.0007,0.0161,0.0156,0.0317,0.0,0.0001,0.0002,0.0148,0.0156,0.0304,0.0003,0.0001,0.0006,0.0158,0.0163,0.0317,0.0,0.0001,0.0001,0.0299,0.0327,0.0637,0.0011,0.0012,0.0029,0.0324,0.0343,0.0679,0.0001,0.0001,0.0003,0.0547,0.0593,0.1148,0.0034,0.0033,0.0073,0.0591,0.0641,0.123,0.0,0.0,0.0,0.057,0.0574,0.1139,0.0029,0.0023,0.0065,0.0611,0.061,0.1229,0.0,0.0,0.0001,0.0466,0.0459,0.0924,0.0019,0.002,0.0054,0.0497,0.0489,0.0984,0.0,0.0,0.0,0.0352,0.0346,0.0699,0.0018,0.0015,0.0037,0.0382,0.0368,0.075,0.0,0.0,0.0,0.0321,0.0325,0.0647,0.0017,0.0012,0.004,0.0346,0.0341,0.0689,0.0,0.0001,0.0001,0.0301,0.032,0.0622,0.0012,0.0011,0.0028,0.0321,0.0337,0.0657,0.0,0.0,0.0,0.0276,0.0272,0.0545,0.0013,0.0013,0.0035,0.0297,0.0294,0.0587,0.0,0.0,0.0,0.0232,0.0247,0.0492,0.0013,0.0007,0.0026,0.0253,0.0259,0.0526,0.0,0.0002,0.0002,0.0586,0.0637,0.1218,0.0035,0.0032,0.0077,0.0633,0.0679,0.1306,0.0016,0.0018,0.004,0.4623,0.4759,0.9377,0.0295,0.0286,0.0573,0.4942,0.506,1.0,73990.0
Ashwood,0.0,0.0,0.0001,0.0229,0.0223,0.0454,0.0003,0.0004,0.0009,0.024,0.0232,0.0472,0.0,0.0001,0.0001,0.0296,0.0282,0.0579,0.0002,0.0002,0.0008,0.0306,0.0284,0.0594,0.0,0.0001,0.0001,0.032,0.0321,0.063,0.0005,0.0003,0.0014,0.0332,0.0331,0.0649,0.0,0.0,0.0001,0.031,0.0298,0.0612,0.0003,0.0003,0.0009,0.0323,0.0306,0.0631,0.0001,0.0,0.0001,0.0379,0.0334,0.0714,0.0011,0.0008,0.0025,0.0398,0.035,0.0746,0.0001,0.0,0.0002,0.034,0.0278,0.0622,0.0013,0.0009,0.0027,0.0363,0.0293,0.0662,0.0,0.0,0.0,0.0313,0.031,0.0623,0.0011,0.0006,0.002,0.0327,0.0319,0.0651,0.0,0.0,0.0,0.0321,0.0346,0.0661,0.0005,0.0004,0.0013,0.0329,0.0358,0.0687,0.0,0.0,0.0,0.0304,0.0343,0.065,0.0005,0.0001,0.0012,0.0314,0.0351,0.0666,0.0,0.0,0.0,0.0316,0.0354,0.0667,0.0004,0.0004,0.0016,0.0328,0.0364,0.0688,0.0,0.0,0.0,0.0323,0.0346,0.067,0.0004,0.0002,0.0014,0.0332,0.0355,0.0689,0.0,0.0,0.0,0.0292,0.0313,0.0614,0.0004,0.0003,0.0009,0.0301,0.0321,0.0624,0.0,0.0,0.0,0.0244,0.0272,0.0525,0.0001,0.0003,0.0004,0.0252,0.0283,0.0536,0.0,0.0,0.0001,0.0746,0.0925,0.1674,0.0011,0.002,0.0044,0.0769,0.0952,0.1724,0.0012,0.0007,0.0021,0.4754,0.4926,0.9682,0.0152,0.0143,0.0298,0.4922,0.508,1.0,80602.0
Bass,0.0004,0.0003,0.0009,0.027,0.0273,0.054,0.0009,0.0009,0.0022,0.0287,0.029,0.0579,0.0003,0.0002,0.0007,0.0288,0.0262,0.0552,0.0013,0.0013,0.0034,0.0313,0.0279,0.0597,0.0003,0.0002,0.0006,0.027,0.0258,0.0527,0.0009,0.0011,0.0029,0.029,0.0279,0.0573,0.0003,0.0002,0.0006,0.0231,0.0225,0.0466,0.0005,0.0007,0.0021,0.0246,0.0245,0.0502,0.0002,0.0002,0.0007,0.0196,0.0206,0.0405,0.001,0.0005,0.002,0.022,0.0223,0.0441,0.0001,0.0,0.0001,0.0247,0.0267,0.052,0.0011,0.0007,0.0019,0.027,0.0289,0.0556,0.0001,0.0,0.0002,0.0291,0.0311,0.0599,0.0002,0.001,0.0025,0.0307,0.0328,0.0638,0.0001,0.0,0.0001,0.0286,0.0296,0.0581,0.0015,0.0013,0.0034,0.0305,0.0314,0.0626,0.0001,0.0001,0.0002,0.0251,0.0251,0.0499,0.0007,0.0009,0.0023,0.027,0.0267,0.0539,0.0001,0.0001,0.0003,0.0253,0.0268,0.052,0.0012,0.001,0.0032,0.0274,0.0287,0.0564,0.0,0.0,0.0001,0.0285,0.0296,0.0583,0.0014,0.0006,0.0028,0.031,0.0317,0.0624,0.0,0.0,0.0,0.0302,0.0337,0.064,0.0015,0.001,0.0035,0.0321,0.0363,0.0676,0.0,0.0,0.0001,0.0344,0.0364,0.0708,0.0014,0.0016,0.0038,0.0366,0.0393,0.0757,0.0002,0.0002,0.0004,0.1059,0.1104,0.2172,0.0063,0.0069,0.0138,0.1135,0.1185,0.232,0.0058,0.0049,0.0115,0.4567,0.4733,0.9308,0.0286,0.0293,0.0568,0.4918,0.5079,1.0,65879.0
Bayswater,0.0001,0.0,0.0004,0.0283,0.0283,0.0561,0.0004,0.0004,0.0014,0.0293,0.0296,0.0583,0.0001,0.0002,0.0003,0.0305,0.0281,0.0585,0.0006,0.0007,0.0019,0.0323,0.0297,0.0612,0.0002,0.0003,0.0008,0.0272,0.0253,0.0529,0.0003,0.0005,0.0013,0.0282,0.0264,0.0551,0.0002,0.0001,0.0005,0.0256,0.0232,0.048,0.0004,0.0005,0.0012,0.0272,0.0243,0.0504,0.0,0.0001,0.0002,0.0272,0.0269,0.0532,0.0006,0.0002,0.0012,0.0288,0.028,0.0562,0.0003,0.0001,0.0004,0.0301,0.0305,0.0621,0.0007,0.0005,0.0018,0.0318,0.0317,0.0645,0.0001,0.0001,0.0002,0.036,0.0381,0.0752,0.0008,0.0006,0.0015,0.038,0.0395,0.0778,0.0,0.0,0.0001,0.0376,0.0387,0.0759,0.0009,0.0009,0.0024,0.0389,0.0408,0.0791,0.0,0.0001,0.0001,0.0339,0.0347,0.0689,0.0006,0.0001,0.0013,0.036,0.0357,0.0714,0.0001,0.0,0.0001,0.0308,0.0315,0.0612,0.0004,0.0004,0.0012,0.0319,0.0328,0.0643,0.0,0.0001,0.0002,0.0286,0.0312,0.0602,0.0007,0.0003,0.0015,0.0302,0.0323,0.0626,0.0,0.0,0.0001,0.0272,0.0286,0.0561,0.0001,0.0003,0.0005,0.0282,0.0301,0.0578,0.0,0.0,0.0,0.0252,0.0289,0.0547,0.0004,0.0002,0.001,0.0264,0.0298,0.0565,0.0,0.0001,0.0001,0.0795,0.0977,0.1773,0.0018,0.0023,0.006,0.0826,0.1013,0.1837,0.0029,0.0038,0.0078,0.4683,0.4909,0.9598,0.0156,0.0157,0.0319,0.4883,0.5113,1.0,72983.0
Bellarine,0.0,0.0001,0.0005,0.0238,0.0225,0.0469,0.0006,0.0003,0.0008,0.0247,0.0239,0.0487,0.0003,0.0002,0.0006,0.0292,0.0266,0.0552,0.0006,0.0008,0.0021,0.0317,0.0282,0.0586,0.0003,0.0003,0.0007,0.0296,0.0273,0.0565,0.0011,0.0008,0.0023,0.0312,0.0293,0.0609,0.0002,0.0002,0.0006,0.025,0.0239,0.0476,0.0005,0.0005,0.0013,0.0262,0.0248,0.0499,0.0001,0.0001,0.0003,0.02,0.0189,0.0386,0.0002,0.0003,0.001,0.0209,0.0201,0.0408,0.0001,0.0001,0.0002,0.0195,0.02,0.039,0.0003,0.0002,0.0013,0.0204,0.0211,0.0416,0.0,0.0,0.0,0.022,0.0253,0.0475,0.0002,0.0002,0.001,0.0226,0.0263,0.0493,0.0001,0.0002,0.0002,0.0256,0.0297,0.0555,0.0004,0.0005,0.0013,0.0266,0.0309,0.0572,0.0,0.0,0.0001,0.0256,0.0283,0.0531,0.0005,0.0007,0.0017,0.0263,0.0297,0.0557,0.0,0.0,0.0,0.028,0.0317,0.0596,0.0003,0.0006,0.0017,0.0288,0.0332,0.0621,0.0002,0.0001,0.0003,0.0274,0.0318,0.0584,0.0006,0.0003,0.0019,0.0294,0.0331,0.0619,0.0,0.0,0.0,0.0283,0.0347,0.0627,0.0006,0.0006,0.0022,0.0295,0.0364,0.0656,0.0,0.0,0.0,0.0335,0.0398,0.0734,0.0009,0.0011,0.0027,0.0349,0.042,0.0773,0.0,0.0001,0.0002,0.1198,0.1338,0.2541,0.0066,0.0071,0.0137,0.1264,0.1431,0.269,0.004,0.0039,0.0087,0.4556,0.4939,0.9496,0.0199,0.0212,0.0416,0.4798,0.5195,1.0,69516.0
Benambra,0.001,0.0012,0.0025,0.0258,0.0267,0.0512,0.001,0.0004,0.0022,0.0278,0.0297,0.057,0.0015,0.0014,0.0032,0.0291,0.0286,0.0577,0.0015,0.0009,0.0028,0.0333,0.0323,0.0649,0.0015,0.0018,0.0036,0.0308,0.0291,0.0595,0.0016,0.0013,0.0034,0.0352,0.0334,0.0677,0.001,0.0007,0.0019,0.0298,0.0259,0.0553,0.0011,0.001,0.0026,0.0321,0.0291,0.0607,0.0009,0.0005,0.0018,0.0227,0.0214,0.0458,0.0008,0.0009,0.0022,0.0261,0.0247,0.0508,0.0001,0.0004,0.0008,0.0254,0.0254,0.0515,0.0007,0.0012,0.0022,0.0277,0.0279,0.0565,0.0004,0.0004,0.0009,0.0275,0.0286,0.0563,0.0008,0.0007,0.0025,0.0304,0.0305,0.0609,0.0,0.0004,0.0007,0.0256,0.0297,0.0564,0.001,0.0009,0.0025,0.028,0.0328,0.0612,0.0001,0.0004,0.0005,0.0254,0.0284,0.0555,0.0011,0.0008,0.0027,0.0277,0.0309,0.0591,0.0001,0.0002,0.0006,0.0272,0.0295,0.0578,0.0008,0.0009,0.0024,0.0301,0.0315,0.0619,0.0001,0.0004,0.0005,0.0294,0.0315,0.0602,0.001,0.0007,0.0023,0.0313,0.0333,0.0646,0.0,0.0001,0.0004,0.0312,0.0331,0.0629,0.0011,0.0009,0.0024,0.0333,0.0347,0.0671,0.0,0.0001,0.0002,0.0296,0.0326,0.0622,0.0009,0.0007,0.0026,0.0318,0.0352,0.0663,0.0001,0.0003,0.0009,0.0912,0.0998,0.1905,0.0049,0.0046,0.0105,0.097,0.106,0.2032,0.0127,0.0147,0.0275,0.4515,0.47,0.9214,0.0265,0.0242,0.0511,0.4909,0.5094,1.0,66799.0
Bendigo East,0.0009,0.0007,0.0019,0.0285,0.027,0.0554,0.0008,0.0009,0.0023,0.0315,0.0296,0.0605,0.0008,0.0011,0.0026,0.0307,0.0295,0.0607,0.0011,0.001,0.0026,0.0334,0.0329,0.0672,0.001,0.0009,0.0025,0.0329,0.0301,0.0625,0.0016,0.0012,0.003,0.037,0.0326,0.0684,0.0003,0.0006,0.0013,0.0285,0.0276,0.0559,0.0009,0.0008,0.002,0.0307,0.0294,0.061,0.0004,0.0004,0.0013,0.0286,0.0291,0.0571,0.0011,0.0006,0.0019,0.0303,0.0311,0.0617,0.0008,0.0005,0.0016,0.0285,0.0309,0.0599,0.0007,0.001,0.0024,0.0307,0.0332,0.0646,0.0004,0.0005,0.0012,0.0273,0.0315,0.0594,0.0008,0.0004,0.0018,0.0295,0.0334,0.0638,0.0002,0.0003,0.0008,0.0274,0.031,0.0582,0.0004,0.0008,0.0018,0.0293,0.0333,0.0622,0.0001,0.0002,0.0003,0.0263,0.0291,0.0555,0.0003,0.0009,0.0024,0.0281,0.0313,0.0596,0.0001,0.0003,0.0006,0.026,0.0291,0.056,0.001,0.0008,0.0023,0.0282,0.032,0.0599,0.0,0.0001,0.0004,0.027,0.0298,0.0566,0.0009,0.001,0.0024,0.0289,0.0319,0.0606,0.0001,0.0002,0.0005,0.0275,0.0305,0.0573,0.001,0.0009,0.0022,0.0297,0.0321,0.0613,0.0,0.0,0.0002,0.0274,0.0316,0.0585,0.0008,0.0006,0.002,0.0298,0.0339,0.0625,0.0002,0.0002,0.0005,0.0817,0.0947,0.1771,0.004,0.0042,0.0095,0.0872,0.1006,0.1877,0.0099,0.0102,0.0213,0.4494,0.4806,0.9299,0.024,0.024,0.0482,0.484,0.5158,1.0,71883.0
Bendigo West,0.0005,0.0005,0.0014,0.0241,0.0239,0.0487,0.0008,0.0005,0.0018,0.0265,0.0271,0.0527,0.0016,0.0006,0.0022,0.0272,0.0258,0.0524,0.001,0.0018,0.0033,0.0307,0.0283,0.0587,0.0005,0.0004,0.0013,0.0267,0.0243,0.0508,0.0012,0.0008,0.0027,0.0296,0.0267,0.0565,0.0005,0.0004,0.0017,0.0242,0.0238,0.0482,0.0005,0.0009,0.0022,0.0262,0.0261,0.0526,0.0006,0.0004,0.0016,0.0243,0.0228,0.0462,0.0011,0.0008,0.0026,0.0265,0.0252,0.051,0.0006,0.0005,0.0014,0.0279,0.027,0.0543,0.0011,0.0014,0.0034,0.0304,0.0295,0.0603,0.0001,0.0004,0.0006,0.0279,0.0297,0.057,0.001,0.0011,0.0027,0.0301,0.0316,0.0621,0.0002,0.0001,0.0005,0.0287,0.0295,0.058,0.0011,0.0009,0.0026,0.0311,0.0319,0.0624,0.0,0.0001,0.0003,0.0259,0.027,0.0528,0.0007,0.0005,0.0024,0.0277,0.0289,0.0567,0.0001,0.0002,0.0005,0.0284,0.0301,0.0576,0.0009,0.0008,0.0028,0.0297,0.0311,0.0622,0.0,0.0001,0.0004,0.0283,0.0303,0.0578,0.0006,0.0007,0.0022,0.0309,0.0323,0.0624,0.0001,0.0,0.0004,0.0286,0.0341,0.0614,0.001,0.001,0.0026,0.0303,0.0364,0.0651,0.0001,0.0,0.0001,0.0309,0.0335,0.0638,0.001,0.0006,0.0026,0.0329,0.0353,0.0676,0.0003,0.0001,0.0007,0.099,0.1147,0.2142,0.0053,0.0065,0.0132,0.106,0.1224,0.2283,0.0104,0.0105,0.0206,0.45,0.4757,0.9247,0.0268,0.027,0.0544,0.4875,0.5123,1.0,63548.0
Bentleigh,0.0,0.0,0.0001,0.027,0.0256,0.0523,0.0001,0.0003,0.0006,0.0278,0.026,0.0536,0.0,0.0,0.0002,0.0338,0.0302,0.0643,0.0003,0.0004,0.0012,0.0351,0.0313,0.0663,0.0001,0.0,0.0001,0.0367,0.0328,0.069,0.0005,0.0003,0.0011,0.0373,0.034,0.0709,0.0,0.0,0.0001,0.0319,0.0293,0.061,0.0004,0.0002,0.001,0.0332,0.03,0.0633,0.0,0.0,0.0001,0.0268,0.0247,0.0514,0.0003,0.0004,0.001,0.0276,0.0257,0.0532,0.0,0.0,0.0,0.0262,0.0236,0.0507,0.0006,0.0004,0.0013,0.0276,0.0246,0.053,0.0,0.0,0.0,0.0283,0.0308,0.0589,0.0007,0.0004,0.0016,0.0295,0.0316,0.0613,0.0,0.0,0.0,0.0335,0.0388,0.072,0.0004,0.0003,0.0019,0.035,0.04,0.0743,0.0,0.0,0.0,0.0351,0.0392,0.0742,0.0004,0.0004,0.0013,0.0359,0.0402,0.0761,0.0,0.0,0.0,0.0361,0.0398,0.0764,0.0006,0.0004,0.0017,0.0372,0.0412,0.0784,0.0,0.0,0.0,0.034,0.0378,0.0726,0.0002,0.0002,0.0007,0.035,0.0388,0.0738,0.0,0.0,0.0,0.0294,0.03,0.0588,0.0004,0.0004,0.0011,0.0301,0.0307,0.0603,0.0,0.0,0.0,0.0242,0.0268,0.051,0.0002,0.0001,0.0007,0.0246,0.0274,0.0523,0.0,0.0,0.0,0.0668,0.0886,0.1554,0.0011,0.0035,0.0063,0.0692,0.093,0.1623,0.001,0.0007,0.0029,0.4709,0.4969,0.968,0.0128,0.0159,0.0281,0.4857,0.5134,1.0,76665.0
Berwick,0.0001,0.0002,0.0004,0.0358,0.0341,0.0712,0.001,0.0007,0.002,0.0373,0.0357,0.0742,0.0002,0.0,0.0003,0.04,0.04,0.0807,0.001,0.0009,0.0021,0.0416,0.0419,0.0835,0.0001,0.0002,0.0004,0.0378,0.0366,0.074,0.0006,0.0005,0.0016,0.0396,0.0382,0.0767,0.0001,0.0,0.0002,0.0341,0.031,0.066,0.0006,0.0003,0.0014,0.0359,0.0321,0.0679,0.0,0.0001,0.0,0.0305,0.0278,0.0587,0.0007,0.0002,0.001,0.0318,0.0285,0.0613,0.0,0.0001,0.0002,0.0281,0.0287,0.0566,0.0005,0.0007,0.002,0.0295,0.0302,0.0593,0.0,0.0,0.0,0.0316,0.0378,0.0693,0.0007,0.0006,0.0021,0.033,0.0387,0.0725,0.0,0.0,0.0,0.0409,0.0459,0.0868,0.0006,0.0005,0.0024,0.0425,0.0475,0.0894,0.0,0.0,0.0,0.0383,0.0382,0.0768,0.0002,0.0005,0.0015,0.0395,0.0392,0.079,0.0,0.0,0.0,0.0337,0.0345,0.0679,0.0005,0.0003,0.0011,0.0343,0.0353,0.0697,0.0,0.0,0.0,0.0311,0.0317,0.0633,0.0003,0.0003,0.0012,0.0323,0.0323,0.065,0.0,0.0,0.0,0.0248,0.0247,0.0498,0.0003,0.0003,0.0008,0.0256,0.0254,0.051,0.0,0.0,0.0,0.0197,0.0204,0.0406,0.0003,0.0001,0.0005,0.0204,0.0214,0.0418,0.0,0.0,0.0,0.0469,0.0572,0.1047,0.0007,0.0024,0.0037,0.0485,0.0593,0.1081,0.0014,0.0019,0.0042,0.4753,0.4895,0.9648,0.0147,0.0151,0.0313,0.4924,0.5072,1.0,80938.0
