district,Aust_BP_B_OS_pc,Aust_FO_B_OS_pc,Aust_MO_B_OS_pc,Aust_Both_parents_born_Aust_pc,Aust_Birthplace_not_stated_pc,Aust_Tot_resp_pc,Aust_Abor_BP_B_OS_pc,Aust_Abor_FO_B_OS_pc,Aust_Abor_MO_B_OS_pc,Aust_Abor_BP_B_Aus_pc,Aust_Abor_BP_NS_pc,Aust_Abor_Tot_resp_pc,Chinese_BP_B_OS_pc,Chinese_FO_B_OS_pc,Chinese_MO_B_OS_pc,Chinese_BP_B_Aus_pc,Chinese_BP_NS_pc,Chinese_Tot_resp_pc,Croatian_BP_B_OS_pc,Croatian_FO_B_OS_pc,Croatian_MO_B_OS_pc,Croatian_BP_B_Aus_pc,Croatian_BP_NS_pc,Croatian_Tot_resp_pc,Dutch_BP_B_OS_pc,Dutch_FO_B_OS_pc,Dutch_MO_B_OS_pc,Dutch_BP_B_Aus_pc,Dutch_BP_NS_pc,Dutch_Tot_resp_pc,English_BP_B_OS_pc,English_FO_B_OS_pc,English_MO_B_OS_pc,English_BP_B_Aus_pc,English_BP_NS_pc,English_Tot_resp_pc,Filipino_BP_B_OS_pc,Filipino_FO_B_OS_pc,Filipino_MO_B_OS_pc,Filipino_BP_B_Aus_pc,Filipino_BP_NS_pc,Filipino_Tot_resp_pc,French_BP_B_OS_pc,French_FO_B_OS_pc,French_MO_B_OS_pc,French_BP_B_Aus_pc,French_BP_NS_pc,French_Tot_resp_pc,German_BP_B_OS_pc,German_FO_B_OS_pc,German_MO_B_OS_pc,German_BP_B_Aus_pc,German_BP_NS_pc,German_Tot_resp_pc,Greek_BP_B_OS_pc,Greek_FO_B_OS_pc,Greek_MO_B_OS_pc,Greek_BP_B_Aus_pc,Greek_BP_NS_pc,Greek_Tot_resp_pc,Hungarian_BP_B_OS_pc,Hungarian_FO_B_OS_pc,Hungarian_MO_B_OS_pc,Hungarian_BP_B_Aus_pc,Hungarian_BP_NS_pc,Hungarian_Tot_resp_pc,Indian_BP_B_OS_pc,Indian_FO_B_OS_pc,Indian_MO_B_OS_pc,Indian_BP_B_Aus_pc,Indian_BP_NS_pc,Indian_Tot_resp_pc,Irish_BP_B_OS_pc,Irish_FO_B_OS_pc,Irish_MO_B_OS_pc,Irish_BP_B_Aus_pc,Irish_BP_NS_pc,Irish_Tot_resp_pc,Italian_BP_B_OS_pc,Italian_FO_B_OS_pc,Italian_MO_B_OS_pc,Italian_BP_B_Aus_pc,Italian_BP_NS_pc,Italian_Tot_resp_pc,Korean_BP_B_OS_pc,Korean_FO_B_OS_pc,Korean_MO_B_OS_pc,Korean_BP_B_Aus_pc,Korean_BP_NS_pc,Korean_Tot_resp_pc,Lebanese_BP_B_OS_pc,Lebanese_FO_B_OS_pc,Lebanese_MO_B_OS_pc,Lebanese_BP_B_Aus_pc,Lebanese_BP_NS_pc,Lebanese_Tot_resp_pc,Macedonian_BP_B_OS_pc,Macdonian_FO_B_OS_pc,Macdonian_MO_B_OS_pc,Macdonian_BP_B_Aus_pc,Macdonian_BP_NS_pc,Macedonian_Tot_resp_pc,Maltese_BP_B_OS_pc,Maltese_FO_B_OS_pc,Maltese_MO_B_OS_pc,Maltese_BP_B_Aus_pc,Maltese_BP_NS_pc,Maltese_Tot_resp_pc,Maori_BP_B_OS_pc,Maori_FO_B_OS_pc,Maori_MO_B_OS_pc,Maori_BP_B_Aus_pc,Maori_BP_NS_pc,Maori_Tot_resp_pc,NZ_BP_B_OS_pc,NZ_FO_B_OS_pc,NZ_MO_B_OS_pc,NZ_BP_B_Aus_pc,NZ_BP_NS_pc,NZ_Tot_resp_pc,Polish_BP_B_OS_pc,Polish_FO_B_OS_pc,Polish_MO_B_OS_pc,Polish_BP_B_Aus_pc,Polish_BP_NS_pc,Polish_Tot_resp_pc,Russian_BP_B_OS_pc,Russian_FO_B_OS_pc,Russian_MO_B_OS_pc,Russian_BP_B_Aus_pc,Russian_BP_NS_pc,Russian_Tot_resp_pc,Samoan_BP_B_OS_pc,Samoan_FO_B_OS_pc,Samoan_MO_B_OS_pc,Samoan_BP_B_Aus_pc,Samoan_BP_NS_pc,Samoan_Tot_resp_pc,Scottish_BP_B_OS_pc,Scottish_FO_B_OS_pc,Scottish_MO_B_OS_pc,Scottish_BP_B_Aus_pc,Scottish_BP_NS_pc,Scottish_Tot_resp_pc,Serbian_BP_B_OS_pc,Serbian_FO_B_OS_pc,Serbian_MO_B_OS_pc,Serbian_BP_B_Aus_pc,Serbian_BP_NS_pc,Serbian_Tot_resp_pc,Sth_African_BP_B_OS_pc,Sth_African_FO_B_OS_pc,Sth_African_MO_B_OS_pc,Sth_Afrcan_BP_B_Aus_pc,Sth_African_BP_NS_pc,Sth_African_Tot_resp_pc,Spanish_BP_B_OS_pc,Spanish_FO_B_OS_pc,Spanish_MO_B_OS_pc,Spanish_BP_B_Aus_pc,Spanish_BP_NS_pc,Spanish_Tot_resp_pc,Sri_Lankan_BP_B_OS_pc,Sri_Lankan_FO_B_OS_pc,Sri_Lankan_MO_B_OS_pc,Sri_Lankan_BP_B_Aus_pc,Sri_Lankan_BP_NS_pc,Sri_Lankan_Tot_resp_pc,Vietnamese_BP_B_OS_pc,Vietnamese_FO_B_OS_pc,Vietnamese_MO_B_OS_pc,Vietnamese_BP_B_Aus_pc,Vietnamese_BP_NS_pc,Vietnamese_Tot_resp_pc,Welsh_BP_B_OS_pc,Welsh_FO_B_OS_pc,Welsh_MO_B_OS_pc,Welsh_BP_B_Aus_pc,Welsh_BP_NS_pc,Welsh_Tot_resp_pc,Other_BP_B_OS_pc,Other_FO_B_OS_pc,Other_MO_B_OS_pc,Other_BP_B_Aus_pc,Other_BP_NS_pc,Other_Tot_resp_pc,Ancestry_NS_BP_B_OS_pc,Ancestry_NS_FO_B_OS_pc,Ancestry_NS_MO_B_OS_pc,Ancestry_NS_BP_B_Aus_pc,Ancestry_NS_BP_NS_pc,Ancestry_NS_Tot_resp_pc,Tot_P_BP_B_OS_pc,Tot_P_FO_B_OS_pc,Tot_P_MO_B_OS_pc,Tot_P_BP_B_Aus_pc,Tot_P_BP_NS_pc,Tot_P_Tot_resp_pc
Albert Park,0.0087,0.0316,0.0266,0.1341,0.0012,0.2023,0.0003,0.0002,0.0,0.0031,0.0,0.0037,0.0784,0.0007,0.0017,0.0016,0.0001,0.0826,0.0038,0.0004,0.0001,0.0009,0.0,0.0052,0.007,0.0013,0.0008,0.0035,0.0,0.0126,0.0834,0.0296,0.0224,0.1569,0.0012,0.2933,0.0091,0.0001,0.0008,0.0002,0.0,0.0101,0.0088,0.0005,0.0004,0.0012,0.0,0.0108,0.0138,0.0025,0.0018,0.0169,0.0001,0.035,0.0277,0.0033,0.0017,0.0101,0.0,0.0428,0.0023,0.0002,0.0,0.0002,0.0,0.0027,0.04,0.0004,0.0,0.0002,0.0,0.0407,0.0318,0.009,0.0052,0.0756,0.0003,0.122,0.0269,0.0066,0.0027,0.0171,0.0001,0.0535,0.0078,0.0,0.0002,0.0,0.0,0.0081,0.0017,0.0001,0.0001,0.0007,0.0,0.0026,0.0021,0.0003,0.0001,0.0004,0.0,0.003,0.0027,0.0006,0.0003,0.0016,0.0,0.0052,0.0023,0.0001,0.0001,0.0,0.0,0.0025,0.005,0.0008,0.0005,0.0002,0.0,0.0065,0.0082,0.0009,0.0005,0.0013,0.0,0.0109,0.0064,0.0002,0.0,0.0003,0.0001,0.007,0.0003,0.0001,0.0,0.0,0.0,0.0004,0.0231,0.0077,0.0056,0.0548,0.0,0.0913,0.003,0.0002,0.0,0.0004,0.0,0.0036,0.0034,0.0002,0.0002,0.0,0.0,0.0037,0.0073,0.0003,0.0001,0.0003,0.0,0.0079,0.0027,0.0003,0.0001,0.0002,0.0,0.0033,0.0093,0.0,0.0001,0.0002,0.0,0.0096,0.0024,0.0005,0.0003,0.002,0.0,0.0051,0.132,0.0098,0.0098,0.0124,0.0006,0.1647,0.0055,0.0002,0.0002,0.0012,0.0585,0.0655,0.4804,0.0682,0.0524,0.3347,0.0643,1.0
Ashwood,0.0088,0.0277,0.023,0.1403,0.0008,0.2006,0.0,0.0,0.0002,0.0016,0.0,0.0018,0.211,0.0023,0.0045,0.0023,0.0009,0.221,0.0025,0.0004,0.0002,0.0012,0.0,0.0043,0.0052,0.0012,0.0004,0.0025,0.0,0.0093,0.0488,0.0238,0.015,0.1397,0.0012,0.2284,0.0064,0.0001,0.0007,0.0,0.0,0.0073,0.0029,0.0002,0.0001,0.0011,0.0,0.0044,0.0086,0.0021,0.0015,0.0132,0.0001,0.0255,0.0328,0.0036,0.0014,0.0131,0.0001,0.0509,0.0025,0.0001,0.0002,0.0009,0.0,0.0037,0.0556,0.0009,0.0008,0.0003,0.0,0.0577,0.0115,0.0058,0.0034,0.0582,0.0001,0.0791,0.0195,0.0043,0.0019,0.0177,0.0,0.0434,0.0112,0.0,0.0005,0.0,0.0,0.0117,0.001,0.0002,0.0001,0.0005,0.0,0.0018,0.0008,0.0001,0.0001,0.0005,0.0,0.0015,0.001,0.0004,0.0001,0.0013,0.0,0.0028,0.0012,0.0001,0.0002,0.0,0.0,0.0016,0.002,0.0005,0.0004,0.0002,0.0,0.0031,0.0066,0.0009,0.0005,0.0017,0.0,0.0096,0.0032,0.0001,0.0001,0.0002,0.0,0.0036,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0117,0.0055,0.0037,0.0487,0.0,0.0695,0.0016,0.0001,0.0001,0.0003,0.0,0.0021,0.0031,0.0006,0.0002,0.0002,0.0,0.0041,0.0016,0.0001,0.0001,0.0003,0.0,0.0021,0.0183,0.0008,0.0006,0.0003,0.0001,0.0201,0.0142,0.0003,0.0007,0.0004,0.0,0.0156,0.0009,0.0,0.0,0.001,0.0,0.0019,0.1108,0.0096,0.0079,0.0102,0.0004,0.1388,0.0049,0.0001,0.0003,0.0008,0.0305,0.0368,0.5497,0.0573,0.0443,0.3122,0.0365,1.0
Bass,0.0086,0.0398,0.029,0.3002,0.0048,0.3824,0.0,0.0,0.0001,0.0096,0.0,0.0098,0.006,0.0,0.0003,0.0014,0.0,0.0078,0.0013,0.0001,0.0,0.0007,0.0,0.0021,0.0125,0.0035,0.0025,0.0095,0.0,0.0279,0.0742,0.0352,0.0282,0.2625,0.005,0.405,0.0067,0.0002,0.0005,0.0001,0.0,0.0075,0.002,0.0001,0.0001,0.0009,0.0,0.0032,0.0095,0.0027,0.0015,0.0203,0.0001,0.0341,0.0042,0.0004,0.0004,0.002,0.0,0.0069,0.0011,0.0001,0.0001,0.0009,0.0,0.0021,0.019,0.0005,0.0001,0.0005,0.0,0.0201,0.0146,0.0071,0.0046,0.0795,0.0006,0.1065,0.0161,0.0044,0.002,0.0227,0.0002,0.0455,0.0006,0.0,0.0,0.0,0.0,0.0006,0.0004,0.0001,0.0001,0.0002,0.0,0.0007,0.0003,0.0,0.0,0.0005,0.0,0.0008,0.0023,0.0006,0.0001,0.0016,0.0,0.0047,0.0019,0.0004,0.0003,0.0001,0.0,0.0028,0.0024,0.0016,0.0006,0.0006,0.0,0.0052,0.0029,0.0004,0.0002,0.0008,0.0,0.0043,0.0006,0.0001,0.0,0.0001,0.0,0.0008,0.0014,0.0002,0.0,0.0,0.0,0.0015,0.0178,0.0085,0.0062,0.0729,0.0007,0.1062,0.0011,0.0001,0.0,0.0004,0.0,0.0016,0.0014,0.0003,0.0003,0.0,0.0,0.002,0.0013,0.0001,0.0001,0.0001,0.0,0.0016,0.0036,0.0002,0.0002,0.0003,0.0,0.0042,0.001,0.0,0.0001,0.0,0.0,0.0012,0.0022,0.0002,0.0001,0.0022,0.0,0.0047,0.0534,0.0065,0.0042,0.0106,0.0002,0.0747,0.0026,0.0002,0.0002,0.0071,0.0553,0.0654,0.2329,0.0713,0.0517,0.5763,0.0677,1.0
Bayswater,0.0102,0.0357,0.0273,0.214,0.0016,0.2887,0.0,0.0005,0.0002,0.0065,0.0,0.0072,0.121,0.001,0.0024,0.0021,0.0001,0.1266,0.0023,0.0002,0.0002,0.0006,0.0,0.0033,0.0107,0.0027,0.0019,0.0077,0.0,0.023,0.0627,0.0323,0.0246,0.1934,0.0015,0.3144,0.0132,0.0004,0.0011,0.0001,0.0,0.0148,0.0017,0.0002,0.0,0.0011,0.0,0.003,0.0147,0.0038,0.0016,0.0192,0.0005,0.0399,0.0073,0.0012,0.0009,0.005,0.0001,0.0144,0.0034,0.0002,0.0004,0.0005,0.0001,0.0045,0.0387,0.0003,0.0004,0.0004,0.0,0.0398,0.0132,0.0055,0.0041,0.0608,0.0,0.0836,0.0145,0.0046,0.0018,0.0172,0.0001,0.0381,0.0063,0.0,0.0001,0.0,0.0,0.0064,0.0009,0.0002,0.0001,0.0004,0.0,0.0016,0.0004,0.0,0.0,0.0002,0.0,0.0007,0.001,0.0004,0.0004,0.0014,0.0,0.0033,0.002,0.0002,0.0002,0.0002,0.0,0.0027,0.0024,0.0009,0.0011,0.0006,0.0,0.005,0.0053,0.0004,0.0002,0.0014,0.0,0.0073,0.002,0.0,0.0001,0.0,0.0,0.0021,0.001,0.0,0.0002,0.0,0.0,0.0012,0.0142,0.0074,0.0057,0.0567,0.0001,0.084,0.0021,0.0002,0.0002,0.0,0.0,0.0025,0.0033,0.0005,0.0007,0.0002,0.0,0.0047,0.0018,0.0,0.0001,0.0002,0.0,0.0022,0.0121,0.0004,0.0005,0.0004,0.0,0.0134,0.0084,0.0002,0.0003,0.0,0.0,0.009,0.0015,0.0001,0.0002,0.002,0.0,0.0038,0.0921,0.0084,0.0074,0.0114,0.0002,0.1195,0.0044,0.0002,0.0,0.0033,0.0364,0.0444,0.4168,0.067,0.0518,0.4222,0.0422,1.0
Bellarine,0.0052,0.0396,0.0264,0.3095,0.0044,0.3851,0.0,0.0002,0.0003,0.0074,0.0,0.0079,0.0042,0.0002,0.0006,0.0017,0.0,0.0068,0.0033,0.0004,0.0001,0.001,0.0,0.0048,0.0115,0.0038,0.0018,0.0083,0.0001,0.0254,0.0682,0.0356,0.0258,0.3055,0.0038,0.4388,0.0027,0.0002,0.0003,0.0001,0.0,0.0034,0.001,0.0002,0.0002,0.0021,0.0,0.0036,0.0095,0.0026,0.0017,0.0296,0.0001,0.0434,0.0063,0.0006,0.0003,0.0026,0.0,0.0098,0.0008,0.0002,0.0001,0.0005,0.0,0.0015,0.0038,0.0002,0.0001,0.0002,0.0,0.0042,0.0143,0.0083,0.0052,0.1172,0.0007,0.1456,0.0144,0.0042,0.0011,0.0191,0.0002,0.039,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0004,0.0,0.0005,0.0004,0.0001,0.0,0.0004,0.0,0.0009,0.0074,0.0008,0.0002,0.003,0.0,0.0115,0.0011,0.0002,0.0004,0.0004,0.0,0.0021,0.0017,0.0017,0.0006,0.0004,0.0,0.0044,0.004,0.0005,0.0002,0.0025,0.0,0.0072,0.0006,0.0001,0.0,0.0003,0.0,0.0011,0.0001,0.0001,0.0,0.0,0.0,0.0003,0.0169,0.0105,0.0066,0.0985,0.0006,0.133,0.0004,0.0,0.0001,0.0001,0.0,0.0005,0.0018,0.0004,0.0002,0.0001,0.0,0.0025,0.001,0.0001,0.0001,0.0004,0.0,0.0016,0.0002,0.0002,0.0002,0.0001,0.0,0.0007,0.0003,0.0001,0.0001,0.0,0.0,0.0005,0.0023,0.0004,0.0002,0.0032,0.0,0.0061,0.0267,0.0072,0.0047,0.0123,0.0,0.0508,0.0011,0.0002,0.0004,0.006,0.0409,0.0486,0.1788,0.0719,0.0485,0.649,0.0517,1.0
Benambra,0.0038,0.0303,0.0221,0.3607,0.0033,0.4201,0.0001,0.0005,0.0003,0.0249,0.0,0.0258,0.0036,0.0,0.0,0.0016,0.0,0.0053,0.0026,0.0001,0.0002,0.0011,0.0,0.004,0.0078,0.0025,0.0011,0.0069,0.0,0.0182,0.0392,0.0282,0.0213,0.3181,0.0032,0.41,0.0051,0.0001,0.0009,0.0002,0.0,0.0062,0.001,0.0001,0.0,0.0019,0.0,0.003,0.0125,0.004,0.0025,0.0455,0.0002,0.0647,0.0005,0.0,0.0001,0.001,0.0,0.0016,0.0007,0.0001,0.0,0.0006,0.0,0.0015,0.0074,0.0001,0.0001,0.0001,0.0,0.0078,0.0068,0.0057,0.0034,0.1062,0.0003,0.1224,0.0047,0.0026,0.0007,0.0177,0.0,0.0258,0.0005,0.0,0.0,0.0,0.0,0.0005,0.0002,0.0,0.0,0.0004,0.0,0.0007,0.0001,0.0,0.0,0.0001,0.0,0.0002,0.0003,0.0001,0.0002,0.0016,0.0,0.0023,0.0007,0.0001,0.0002,0.0002,0.0,0.0012,0.0011,0.0008,0.0008,0.0006,0.0,0.0033,0.002,0.0001,0.0,0.0017,0.0,0.0039,0.0001,0.0,0.0,0.0001,0.0,0.0002,0.0001,0.0,0.0,0.0,0.0,0.0002,0.0109,0.0067,0.0051,0.0866,0.0002,0.1095,0.0009,0.0001,0.0001,0.0003,0.0,0.0015,0.0007,0.0001,0.0001,0.0001,0.0,0.001,0.0005,0.0,0.0001,0.0003,0.0,0.0009,0.0005,0.0,0.0001,0.0001,0.0,0.0007,0.0026,0.0,0.0002,0.0,0.0,0.0028,0.0012,0.0001,0.0,0.0024,0.0,0.0037,0.0339,0.0047,0.0037,0.0128,0.0001,0.0552,0.0014,0.0003,0.0001,0.0087,0.0517,0.0622,0.1343,0.0553,0.0404,0.7096,0.0605,1.0
Bendigo East,0.003,0.0254,0.017,0.3613,0.0033,0.4098,0.0,0.0006,0.0001,0.0188,0.0002,0.0197,0.0076,0.0003,0.0003,0.0045,0.0,0.0128,0.0004,0.0001,0.0,0.0005,0.0,0.0009,0.0038,0.0013,0.0009,0.0063,0.0,0.0123,0.0301,0.0255,0.0174,0.3501,0.0032,0.4262,0.0052,0.0,0.0006,0.0003,0.0,0.0062,0.0003,0.0002,0.0003,0.0018,0.0,0.0025,0.0037,0.0017,0.0007,0.0352,0.0001,0.0414,0.0007,0.0001,0.0,0.0013,0.0,0.0022,0.0003,0.0,0.0001,0.0003,0.0,0.0006,0.0104,0.0002,0.0001,0.0002,0.0,0.0109,0.0065,0.0056,0.0032,0.125,0.0006,0.1409,0.004,0.0025,0.0005,0.0243,0.0,0.0313,0.0006,0.0,0.0,0.0001,0.0,0.0007,0.0001,0.0001,0.0,0.0003,0.0,0.0004,0.0002,0.0,0.0,0.0,0.0,0.0002,0.0004,0.0005,0.0,0.0013,0.0,0.0022,0.0007,0.0,0.0001,0.0003,0.0,0.0011,0.0011,0.0006,0.0005,0.0004,0.0,0.0026,0.0006,0.0,0.0,0.0013,0.0,0.002,0.0003,0.0,0.0,0.0005,0.0,0.0008,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0081,0.0053,0.0036,0.0994,0.0003,0.1168,0.0001,0.0001,0.0,0.0001,0.0,0.0003,0.0014,0.0002,0.0,0.0001,0.0,0.0016,0.0005,0.0,0.0001,0.0004,0.0,0.001,0.0013,0.0002,0.0,0.0,0.0,0.0016,0.0008,0.0,0.0,0.0001,0.0,0.0008,0.0003,0.0004,0.0001,0.0024,0.0,0.0033,0.0392,0.0046,0.0025,0.0115,0.0003,0.0581,0.0015,0.0003,0.0001,0.0093,0.0462,0.0574,0.1199,0.0478,0.0326,0.7444,0.0553,1.0
Bendigo West,0.003,0.0289,0.0183,0.3365,0.0044,0.3911,0.0,0.0003,0.0001,0.0178,0.0,0.0182,0.005,0.0004,0.0003,0.0036,0.0001,0.0094,0.0005,0.0001,0.0,0.0005,0.0,0.0011,0.0052,0.0017,0.0008,0.0054,0.0,0.0131,0.039,0.0284,0.0191,0.3392,0.0044,0.43,0.0052,0.0,0.0008,0.0002,0.0,0.0061,0.0008,0.0003,0.0002,0.0013,0.0,0.0026,0.0061,0.0021,0.0017,0.0334,0.0002,0.0434,0.0015,0.0002,0.0,0.0011,0.0001,0.0029,0.0006,0.0003,0.0001,0.0004,0.0,0.0013,0.0087,0.0003,0.0,0.0003,0.0,0.0093,0.0078,0.0067,0.0034,0.116,0.0006,0.1345,0.0033,0.0016,0.0007,0.02,0.0001,0.0257,0.0003,0.0001,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0003,0.0011,0.0003,0.0,0.0011,0.0,0.0025,0.0003,0.0001,0.0002,0.0002,0.0,0.0008,0.0017,0.0007,0.0004,0.0004,0.0,0.0032,0.0012,0.0002,0.0,0.0012,0.0,0.0026,0.0004,0.0,0.0001,0.0001,0.0,0.0006,0.0001,0.0001,0.0,0.0001,0.0,0.0003,0.0099,0.0078,0.0048,0.0988,0.0002,0.1215,0.0002,0.0,0.0001,0.0003,0.0,0.0007,0.0007,0.0002,0.0001,0.0001,0.0,0.0011,0.0003,0.0,0.0001,0.0002,0.0,0.0006,0.0006,0.0,0.0001,0.0001,0.0,0.0008,0.0012,0.0,0.0001,0.0001,0.0,0.0014,0.0013,0.0003,0.0002,0.0036,0.0,0.0053,0.039,0.0051,0.0036,0.0125,0.0002,0.0604,0.0014,0.0001,0.0,0.0081,0.0646,0.0742,0.1284,0.0554,0.036,0.7035,0.0767,1.0
Bentleigh,0.0132,0.0364,0.03,0.1564,0.0008,0.2368,0.0,0.0001,0.0001,0.0021,0.0,0.0023,0.0958,0.0013,0.0031,0.0017,0.0001,0.102,0.0045,0.0006,0.0004,0.0012,0.0,0.0067,0.0059,0.0016,0.0009,0.0029,0.0,0.0112,0.062,0.0269,0.0212,0.1424,0.0008,0.2533,0.0059,0.0002,0.0008,0.0001,0.0,0.0069,0.0049,0.0002,0.0003,0.0011,0.0,0.0065,0.0105,0.0024,0.0019,0.0137,0.0,0.0285,0.0429,0.0061,0.0028,0.0179,0.0002,0.0699,0.0029,0.0003,0.0003,0.0009,0.0,0.0045,0.0421,0.0009,0.0006,0.0007,0.0,0.0443,0.0193,0.0065,0.0041,0.063,0.0001,0.093,0.0264,0.0062,0.0031,0.0219,0.0001,0.0576,0.0066,0.0001,0.0002,0.0,0.0,0.0069,0.0027,0.0005,0.0002,0.0011,0.0,0.0045,0.0008,0.0001,0.0001,0.0003,0.0,0.0013,0.0015,0.0002,0.0002,0.0015,0.0,0.0034,0.0013,0.0001,0.0001,0.0,0.0,0.0015,0.0034,0.0016,0.0006,0.0002,0.0,0.0058,0.0142,0.0023,0.0016,0.004,0.0,0.0221,0.0235,0.0008,0.001,0.0007,0.0,0.026,0.0002,0.0001,0.0,0.0,0.0,0.0003,0.0153,0.0056,0.0044,0.0444,0.0001,0.0698,0.0043,0.0005,0.0001,0.0003,0.0,0.0052,0.0104,0.0006,0.0005,0.0001,0.0,0.0117,0.0031,0.0002,0.0004,0.0003,0.0,0.004,0.0053,0.0006,0.0005,0.0007,0.0,0.0071,0.0103,0.0003,0.0003,0.0002,0.0,0.0111,0.0012,0.0001,0.0002,0.0014,0.0,0.0028,0.1242,0.0141,0.0118,0.0136,0.0002,0.1639,0.0055,0.0003,0.0004,0.0019,0.0284,0.0366,0.4937,0.0733,0.0582,0.3408,0.034,1.0
Berwick,0.0193,0.0326,0.0233,0.169,0.0009,0.2451,0.0002,0.0002,0.0,0.0034,0.0,0.0039,0.0426,0.0005,0.0012,0.0011,0.0001,0.0455,0.0042,0.0009,0.0003,0.0013,0.0,0.0067,0.0101,0.0026,0.0015,0.0077,0.0,0.0219,0.0662,0.0266,0.0196,0.1433,0.001,0.2568,0.0179,0.0004,0.0009,0.0002,0.0,0.0193,0.0028,0.0002,0.0002,0.0009,0.0,0.004,0.0079,0.0023,0.0011,0.0136,0.0,0.025,0.0041,0.0016,0.0005,0.0039,0.0,0.0102,0.0038,0.0003,0.0002,0.0009,0.0001,0.0052,0.1028,0.0011,0.0007,0.0007,0.0,0.1053,0.0137,0.0049,0.0033,0.0436,0.0001,0.0656,0.0133,0.005,0.0022,0.0172,0.0001,0.0379,0.0044,0.0,0.0,0.0,0.0,0.0044,0.0019,0.0004,0.0002,0.0004,0.0,0.003,0.0006,0.0001,0.0,0.0002,0.0,0.0009,0.0018,0.0005,0.0003,0.0019,0.0,0.0045,0.0034,0.0004,0.0004,0.0,0.0,0.0042,0.0042,0.0012,0.0004,0.0005,0.0,0.0064,0.0048,0.0004,0.0006,0.001,0.0,0.0068,0.0023,0.0,0.0,0.0004,0.0,0.0027,0.0058,0.0004,0.0002,0.0,0.0,0.0064,0.0159,0.006,0.0036,0.0387,0.0,0.0643,0.0031,0.0005,0.0002,0.0007,0.0,0.0044,0.0058,0.0008,0.0005,0.0002,0.0,0.0073,0.0028,0.0002,0.0,0.0002,0.0,0.0032,0.0326,0.0014,0.0004,0.0006,0.0,0.0351,0.0034,0.0001,0.0001,0.0001,0.0,0.0038,0.0013,0.0003,0.0002,0.0011,0.0,0.003,0.1983,0.0095,0.0072,0.0093,0.0009,0.2252,0.0076,0.0004,0.0002,0.0025,0.0313,0.042,0.5303,0.0637,0.0442,0.325,0.0367,1.0
