district,Buddhism_M_n,Buddhism_M_pc,Buddhism_F_n,Buddhism_F_pc,Buddhism_P_n,Buddhism_P_pc,Christianity_Anglican_M_n,Christianity_Anglican_M_pc,Christianity_Anglican_F_n,Christianity_Anglican_F_pc,Christianity_Anglican_P_n,Christianity_Anglican_P_pc,Christianity_Asyrin_Apstlic_M_n,Christianity_Asyrin_Apstlic_M_pc,Christianity_Asyrin_Apstlic_F_n,Christianity_Asyrin_Apstlic_F_pc,Christianity_Asyrin_Apstlic_P_n,Christianity_Asyrin_Apstlic_P_pc,Christianity_Baptist_M_n,Christianity_Baptist_M_pc,Christianity_Baptist_F_n,Christianity_Baptist_F_pc,Christianity_Baptist_P_n,Christianity_Baptist_P_pc,Christianity_Brethren_M_n,Christianity_Brethren_M_pc,Christianity_Brethren_F_n,Christianity_Brethren_F_pc,Christianity_Brethren_P_n,Christianity_Brethren_P_pc,Christianity_Catholic_M_n,Christianity_Catholic_M_pc,Christianity_Catholic_F_n,Christianity_Catholic_F_pc,Christianity_Catholic_P_n,Christianity_Catholic_P_pc,Christianity_Church_Christ_M_n,Christianity_Church_Christ_M_pc,Christianity_Church_Christ_F_n,Christianity_Church_Christ_F_pc,Christianity_Church_Christ_P_n,Christianity_Church_Christ_P_pc,Christianity_Eastrn_Orthdox_M_n,Christianity_Eastrn_Orthdox_M_pc,Christianity_Eastrn_Orthdox_F_n,Christianity_Eastrn_Orthdox_F_pc,Christianity_Eastrn_Orthdox_P_n,Christianity_Eastrn_Orthdox_P_pc,Christinty_Jehvahs_Witnses_M_n,Christinty_Jehvahs_Witnses_M_pc,Christinty_Jehvahs_Witnses_F_n,Christinty_Jehvahs_Witnses_F_pc,Christinty_Jehvahs_Witnses_P_n,Christinty_Jehvahs_Witnses_P_pc,Christianity_Lattr_day_Snts_M_n,Christianity_Lattr_day_Snts_M_pc,Christianity_Lattr_day_Snts_F_n,Christianity_Lattr_day_Snts_F_pc,Christianity_Lattr_day_Snts_P_n,Christianity_Lattr_day_Snts_P_pc,Christianity_Lutheran_M_n,Christianity_Lutheran_M_pc,Christianity_Lutheran_F_n,Christianity_Lutheran_F_pc,Christianity_Lutheran_P_n,Christianity_Lutheran_P_pc,Christianity_Orintal_Orthdx_M_n,Christianity_Orintal_Orthdx_M_pc,Christianity_Orintal_Orthdx_F_n,Christianity_Orintal_Orthdx_F_pc,Christianity_Orintal_Orthdx_P_n,Christianity_Orintal_Orthdx_P_pc,Christianity_Othr_Protestnt_M_n,Christianity_Othr_Protestnt_M_pc,Christianity_Othr_Protestnt_F_n,Christianity_Othr_Protestnt_F_pc,Christianity_Othr_Protestnt_P_n,Christianity_Othr_Protestnt_P_pc,Christianity_Pentecostal_M_n,Christianity_Pentecostal_M_pc,Christianity_Pentecostal_F_n,Christianity_Pentecostal_F_pc,Christianity_Pentecostal_P_n,Christianity_Pentecostal_P_pc,Christinty_Prsbytrin_Refrmd_M_n,Christinty_Prsbytrin_Refrmd_M_pc,Christinty_Prsbytrin_Refrmd_F_n,Christinty_Prsbytrin_Refrmd_F_pc,Christinty_Prsbytrin_Refrmd_P_n,Christinty_Prsbytrin_Refrmd_P_pc,Christianity_Salvation_Army_M_n,Christianity_Salvation_Army_M_pc,Christianity_Salvation_Army_F_n,Christianity_Salvation_Army_F_pc,Christianity_Salvation_Army_P_n,Christianity_Salvation_Army_P_pc,Christnty_Sevnth_dy_Advntst_M_n,Christnty_Sevnth_dy_Advntst_M_pc,Christnty_Sevnth_dy_Advntst_F_n,Christnty_Sevnth_dy_Advntst_F_pc,Christnty_Sevnth_dy_Advntst_P_n,Christnty_Sevnth_dy_Advntst_P_pc,Christianity_Uniting_Church_M_n,Christianity_Uniting_Church_M_pc,Christianity_Uniting_Church_F_n,Christianity_Uniting_Church_F_pc,Christianity_Uniting_Church_P_n,Christianity_Uniting_Church_P_pc,Christianity_Christian_nfd_M_n,Christianity_Christian_nfd_M_pc,Christianity_Christian_nfd_F_n,Christianity_Christian_nfd_F_pc,Christianity_Christian_nfd_P_n,Christianity_Christian_nfd_P_pc,Christianity_Othr_Christian_M_n,Christianity_Othr_Christian_M_pc,Christianity_Othr_Christian_F_n,Christianity_Othr_Christian_F_pc,Christianity_Othr_Christian_P_n,Christianity_Othr_Christian_P_pc,Christianity_Tot_M_n,Christianity_Tot_M_pc,Christianity_Tot_F_n,Christianity_Tot_F_pc,Christianity_Tot_P_n,Christianity_Tot_P_pc,Hinduism_M_n,Hinduism_M_pc,Hinduism_F_n,Hinduism_F_pc,Hinduism_P_n,Hinduism_P_pc,Islam_M_n,Islam_M_pc,Islam_F_n,Islam_F_pc,Islam_P_n,Islam_P_pc,Judaism_M_n,Judaism_M_pc,Judaism_F_n,Judaism_F_pc,Judaism_P_n,Judaism_P_pc,Othr_Rel_Aust_Abor_Trad_Rel_M_n,Othr_Rel_Aust_Abor_Trad_Rel_M_pc,Othr_Rel_Aust_Abor_Trad_Rel_F_n,Othr_Rel_Aust_Abor_Trad_Rel_F_pc,Othr_Rel_Aust_Abor_Trad_Rel_P_n,Othr_Rel_Aust_Abor_Trad_Rel_P_pc,Othr_Rel_Sikhism_M_n,Othr_Rel_Sikhism_M_pc,Othr_Rel_Sikhism_F_n,Othr_Rel_Sikhism_F_pc,Othr_Rel_Sikhism_P_n,Othr_Rel_Sikhism_P_pc,Othr_Reln_Other_reln_groups_M_n,Othr_Reln_Other_reln_groups_M_pc,Othr_Reln_Other_reln_groups_F_n,Othr_Reln_Other_reln_groups_F_pc,Othr_Reln_Other_reln_groups_P_n,Othr_Reln_Other_reln_groups_P_pc,Other_Religions_Tot_M_n,Other_Religions_Tot_M_pc,Other_Religions_Tot_F_n,Other_Religions_Tot_F_pc,Other_Religions_Tot_P_n,Other_Religions_Tot_P_pc,SB_OSB_NRA_NR_M_n,SB_OSB_NRA_NR_M_pc,SB_OSB_NRA_NR_F_n,SB_OSB_NRA_NR_F_pc,SB_OSB_NRA_NR_P_n,SB_OSB_NRA_NR_P_pc,SB_OSB_NRA_SB_M_n,SB_OSB_NRA_SB_M_pc,SB_OSB_NRA_SB_F_n,SB_OSB_NRA_SB_F_pc,SB_OSB_NRA_SB_P_n,SB_OSB_NRA_SB_P_pc,SB_OSB_NRA_OSB_M_n,SB_OSB_NRA_OSB_M_pc,SB_OSB_NRA_OSB_F_n,SB_OSB_NRA_OSB_F_pc,SB_OSB_NRA_OSB_P_n,SB_OSB_NRA_OSB_P_pc,SB_OSB_NRA_Tot_M_n,SB_OSB_NRA_Tot_M_pc,SB_OSB_NRA_Tot_F_n,SB_OSB_NRA_Tot_F_pc,SB_OSB_NRA_Tot_P_n,SB_OSB_NRA_Tot_P_pc,Religious_affiliation_ns_M_n,Religious_affiliation_ns_M_pc,Religious_affiliation_ns_F_n,Religious_affiliation_ns_F_pc,Religious_affiliation_ns_P_n,Religious_affiliation_ns_P_pc,Tot_M_n,Tot_M_pc,Tot_F_n,Tot_F_pc,Tot_P_n,Tot_P_pc,Tot_P_total
Albert Park,678.0,0.0092,1127.0,0.0152,1855.0,0.0251,1950.0,0.0264,2248.0,0.0304,4197.0,0.0567,0.0,0.0,9.0,0.0001,9.0,0.0001,160.0,0.0022,166.0,0.0022,384.0,0.0052,0.0,0.0,0.0,0.0,0.0,0.0,5972.0,0.0807,6973.0,0.0942,13009.0,0.1758,0.0,0.0,11.0,0.0001,21.0,0.0003,1559.0,0.0211,1744.0,0.0236,3310.0,0.0447,22.0,0.0003,4.0,0.0001,59.0,0.0008,9.0,0.0001,6.0,0.0001,16.0,0.0002,37.0,0.0005,51.0,0.0007,129.0,0.0017,40.0,0.0005,46.0,0.0006,114.0,0.0015,39.0,0.0005,75.0,0.001,162.0,0.0022,164.0,0.0022,173.0,0.0023,382.0,0.0052,269.0,0.0036,305.0,0.0041,620.0,0.0084,0.0,0.0,0.0,0.0,7.0,0.0001,3.0,0.0,4.0,0.0001,22.0,0.0003,413.0,0.0056,473.0,0.0064,967.0,0.0131,600.0,0.0081,747.0,0.0101,1343.0,0.0182,4.0,0.0001,0.0,0.0,13.0,0.0002,11641.0,0.1573,13443.0,0.1817,25132.0,0.3397,1375.0,0.0186,1169.0,0.0158,2582.0,0.0349,766.0,0.0104,730.0,0.0099,1534.0,0.0207,302.0,0.0041,335.0,0.0045,686.0,0.0093,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0009,17.0,0.0002,115.0,0.0016,73.0,0.001,126.0,0.0017,265.0,0.0036,163.0,0.0022,175.0,0.0024,457.0,0.0062,18091.0,0.2445,17191.0,0.2323,35229.0,0.4761,144.0,0.0019,95.0,0.0013,303.0,0.0041,41.0,0.0006,93.0,0.0013,197.0,0.0027,18359.0,0.2481,17451.0,0.2359,35802.0,0.4839,3029.0,0.0409,2889.0,0.039,5937.0,0.0802,36565.0,0.4942,37438.0,0.506,73990.0,1.0,73990.0
Ashwood,2136.0,0.0265,2419.0,0.03,4477.0,0.0555,2148.0,0.0266,2737.0,0.034,4795.0,0.0595,4.0,0.0,4.0,0.0,7.0,0.0001,577.0,0.0072,788.0,0.0098,1410.0,0.0175,0.0,0.0,0.0,0.0,0.0,0.0,6893.0,0.0855,7547.0,0.0936,14413.0,0.1788,7.0,0.0001,38.0,0.0005,84.0,0.001,2048.0,0.0254,2156.0,0.0267,4132.0,0.0513,24.0,0.0003,46.0,0.0006,94.0,0.0012,34.0,0.0004,20.0,0.0002,54.0,0.0007,55.0,0.0007,67.0,0.0008,170.0,0.0021,77.0,0.001,84.0,0.001,177.0,0.0022,133.0,0.0017,153.0,0.0019,309.0,0.0038,161.0,0.002,259.0,0.0032,505.0,0.0063,458.0,0.0057,593.0,0.0074,1141.0,0.0142,8.0,0.0001,15.0,0.0002,42.0,0.0005,28.0,0.0003,31.0,0.0004,90.0,0.0011,890.0,0.011,1344.0,0.0167,2235.0,0.0277,819.0,0.0102,987.0,0.0122,1837.0,0.0228,16.0,0.0002,14.0,0.0002,50.0,0.0006,14711.0,0.1825,17231.0,0.2138,31951.0,0.3964,2079.0,0.0258,1903.0,0.0236,4094.0,0.0508,747.0,0.0093,615.0,0.0076,1339.0,0.0166,218.0,0.0027,205.0,0.0025,455.0,0.0056,0.0,0.0,0.0,0.0,0.0,0.0,231.0,0.0029,153.0,0.0019,402.0,0.005,99.0,0.0012,150.0,0.0019,336.0,0.0042,384.0,0.0048,333.0,0.0041,771.0,0.0096,16880.0,0.2094,15928.0,0.1976,32864.0,0.4077,50.0,0.0006,76.0,0.0009,194.0,0.0024,21.0,0.0003,31.0,0.0004,92.0,0.0011,17056.0,0.2116,16094.0,0.1997,33209.0,0.412,2213.0,0.0275,1988.0,0.0247,4185.0,0.0519,39672.0,0.4922,40947.0,0.508,80602.0,1.0,80602.0
Bass,331.0,0.005,427.0,0.0065,807.0,0.0122,3128.0,0.0475,3732.0,0.0566,6832.0,0.1037,0.0,0.0,0.0,0.0,0.0,0.0,339.0,0.0051,492.0,0.0075,883.0,0.0134,3.0,0.0,8.0,0.0001,11.0,0.0002,5328.0,0.0809,5825.0,0.0884,11168.0,0.1695,8.0,0.0001,20.0,0.0003,39.0,0.0006,315.0,0.0048,282.0,0.0043,632.0,0.0096,40.0,0.0006,70.0,0.0011,120.0,0.0018,35.0,0.0005,42.0,0.0006,108.0,0.0016,32.0,0.0005,42.0,0.0006,84.0,0.0013,24.0,0.0004,13.0,0.0002,50.0,0.0008,35.0,0.0005,41.0,0.0006,120.0,0.0018,201.0,0.0031,217.0,0.0033,499.0,0.0076,534.0,0.0081,598.0,0.0091,1182.0,0.0179,25.0,0.0004,35.0,0.0005,69.0,0.001,34.0,0.0005,27.0,0.0004,76.0,0.0012,816.0,0.0124,1128.0,0.0171,1972.0,0.0299,582.0,0.0088,721.0,0.0109,1394.0,0.0212,5.0,0.0001,8.0,0.0001,41.0,0.0006,11776.0,0.1788,13701.0,0.208,25441.0,0.3862,424.0,0.0064,381.0,0.0058,866.0,0.0131,255.0,0.0039,198.0,0.003,488.0,0.0074,0.0,0.0,4.0,0.0001,11.0,0.0002,5.0,0.0001,0.0,0.0,7.0,0.0001,371.0,0.0056,359.0,0.0054,735.0,0.0112,45.0,0.0007,69.0,0.001,135.0,0.002,433.0,0.0066,434.0,0.0066,904.0,0.0137,16334.0,0.2479,15455.0,0.2346,31677.0,0.4808,44.0,0.0007,40.0,0.0006,154.0,0.0023,22.0,0.0003,66.0,0.001,132.0,0.002,16444.0,0.2496,15618.0,0.2371,32029.0,0.4862,2604.0,0.0395,2568.0,0.039,5152.0,0.0782,32398.0,0.4918,33461.0,0.5079,65879.0,1.0,65879.0
Bayswater,1314.0,0.018,1648.0,0.0226,2892.0,0.0396,2122.0,0.0291,2718.0,0.0372,4832.0,0.0662,0.0,0.0,0.0,0.0,0.0,0.0,765.0,0.0105,910.0,0.0125,1626.0,0.0223,33.0,0.0005,16.0,0.0002,58.0,0.0008,5565.0,0.0763,6525.0,0.0894,12054.0,0.1652,99.0,0.0014,100.0,0.0014,228.0,0.0031,638.0,0.0087,654.0,0.009,1325.0,0.0182,51.0,0.0007,72.0,0.001,155.0,0.0021,87.0,0.0012,112.0,0.0015,271.0,0.0037,56.0,0.0008,143.0,0.002,259.0,0.0035,76.0,0.001,57.0,0.0008,181.0,0.0025,94.0,0.0013,117.0,0.0016,268.0,0.0037,432.0,0.0059,561.0,0.0077,1057.0,0.0145,519.0,0.0071,636.0,0.0087,1258.0,0.0172,32.0,0.0004,45.0,0.0006,121.0,0.0017,54.0,0.0007,71.0,0.001,167.0,0.0023,686.0,0.0094,921.0,0.0126,1612.0,0.0221,1111.0,0.0152,1344.0,0.0184,2522.0,0.0346,59.0,0.0008,94.0,0.0013,206.0,0.0028,12914.0,0.1769,15499.0,0.2124,28383.0,0.3889,1296.0,0.0178,1216.0,0.0167,2493.0,0.0342,429.0,0.0059,348.0,0.0048,833.0,0.0114,3.0,0.0,6.0,0.0001,40.0,0.0005,0.0,0.0,5.0,0.0001,5.0,0.0001,210.0,0.0029,204.0,0.0028,447.0,0.0061,166.0,0.0023,237.0,0.0032,380.0,0.0052,401.0,0.0055,478.0,0.0065,878.0,0.012,16910.0,0.2317,15669.0,0.2147,32605.0,0.4467,44.0,0.0006,41.0,0.0006,137.0,0.0019,10.0,0.0001,65.0,0.0009,138.0,0.0019,17069.0,0.2339,15870.0,0.2174,32883.0,0.4506,2168.0,0.0297,2078.0,0.0285,4322.0,0.0592,35635.0,0.4883,37316.0,0.5113,72983.0,1.0,72983.0
Bellarine,119.0,0.0017,295.0,0.0042,415.0,0.006,3280.0,0.0472,4097.0,0.0589,7430.0,0.1069,0.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0076,596.0,0.0086,1109.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,7105.0,0.1022,8035.0,0.1156,15187.0,0.2185,13.0,0.0002,10.0,0.0001,62.0,0.0009,312.0,0.0045,324.0,0.0047,662.0,0.0095,65.0,0.0009,57.0,0.0008,124.0,0.0018,3.0,0.0,0.0,0.0,17.0,0.0002,76.0,0.0011,107.0,0.0015,245.0,0.0035,0.0,0.0,0.0,0.0,6.0,0.0001,35.0,0.0005,43.0,0.0006,85.0,0.0012,156.0,0.0022,190.0,0.0027,345.0,0.005,634.0,0.0091,712.0,0.0102,1322.0,0.019,30.0,0.0004,46.0,0.0007,85.0,0.0012,0.0,0.0,4.0,0.0001,29.0,0.0004,1297.0,0.0187,1982.0,0.0285,3315.0,0.0477,610.0,0.0088,729.0,0.0105,1324.0,0.019,5.0,0.0001,3.0,0.0,14.0,0.0002,14339.0,0.2063,17286.0,0.2487,31620.0,0.4549,88.0,0.0013,94.0,0.0014,188.0,0.0027,54.0,0.0008,35.0,0.0005,123.0,0.0018,6.0,0.0001,7.0,0.0001,34.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0004,24.0,0.0003,67.0,0.001,14.0,0.0002,49.0,0.0007,119.0,0.0017,59.0,0.0008,88.0,0.0013,197.0,0.0028,16261.0,0.2339,15689.0,0.2257,31886.0,0.4587,67.0,0.001,49.0,0.0007,128.0,0.0018,17.0,0.0002,67.0,0.001,89.0,0.0013,16392.0,0.2358,15875.0,0.2284,32309.0,0.4648,2181.0,0.0314,2318.0,0.0333,4547.0,0.0654,33351.0,0.4798,36117.0,0.5195,69516.0,1.0,69516.0
Benambra,148.0,0.0022,201.0,0.003,433.0,0.0065,3830.0,0.0573,4653.0,0.0697,8514.0,0.1275,0.0,0.0,0.0,0.0,0.0,0.0,384.0,0.0057,470.0,0.007,950.0,0.0142,0.0,0.0,0.0,0.0,14.0,0.0002,6090.0,0.0912,6883.0,0.103,13005.0,0.1947,4.0,0.0001,8.0,0.0001,24.0,0.0004,59.0,0.0009,57.0,0.0009,182.0,0.0027,127.0,0.0019,205.0,0.0031,366.0,0.0055,7.0,0.0001,21.0,0.0003,47.0,0.0007,290.0,0.0043,382.0,0.0057,742.0,0.0111,3.0,0.0,3.0,0.0,8.0,0.0001,69.0,0.001,78.0,0.0012,172.0,0.0026,249.0,0.0037,293.0,0.0044,551.0,0.0082,585.0,0.0088,675.0,0.0101,1276.0,0.0191,28.0,0.0004,39.0,0.0006,89.0,0.0013,33.0,0.0005,33.0,0.0005,124.0,0.0019,1056.0,0.0158,1419.0,0.0212,2464.0,0.0369,715.0,0.0107,840.0,0.0126,1581.0,0.0237,0.0,0.0,7.0,0.0001,24.0,0.0004,13921.0,0.2084,16396.0,0.2455,30336.0,0.4541,273.0,0.0041,229.0,0.0034,529.0,0.0079,111.0,0.0017,58.0,0.0009,171.0,0.0026,0.0,0.0,9.0,0.0001,20.0,0.0003,3.0,0.0,6.0,0.0001,12.0,0.0002,79.0,0.0012,81.0,0.0012,177.0,0.0026,39.0,0.0006,61.0,0.0009,130.0,0.0019,131.0,0.002,156.0,0.0023,330.0,0.0049,15314.0,0.2293,14337.0,0.2146,29635.0,0.4436,52.0,0.0008,58.0,0.0009,139.0,0.0021,24.0,0.0004,19.0,0.0003,71.0,0.0011,15444.0,0.2312,14503.0,0.2171,29935.0,0.4481,2674.0,0.04,2259.0,0.0338,4971.0,0.0744,32791.0,0.4909,34027.0,0.5094,66799.0,1.0,66799.0
Bendigo East,320.0,0.0045,414.0,0.0058,762.0,0.0106,3127.0,0.0435,3896.0,0.0542,6987.0,0.0972,0.0,0.0,0.0,0.0,0.0,0.0,627.0,0.0087,823.0,0.0114,1499.0,0.0209,25.0,0.0003,29.0,0.0004,51.0,0.0007,6671.0,0.0928,7676.0,0.1068,14285.0,0.1987,14.0,0.0002,8.0,0.0001,55.0,0.0008,84.0,0.0012,44.0,0.0006,184.0,0.0026,41.0,0.0006,40.0,0.0006,122.0,0.0017,27.0,0.0004,17.0,0.0002,84.0,0.0012,53.0,0.0007,85.0,0.0012,187.0,0.0026,30.0,0.0004,37.0,0.0005,89.0,0.0012,22.0,0.0003,29.0,0.0004,70.0,0.001,324.0,0.0045,424.0,0.0059,781.0,0.0109,505.0,0.007,537.0,0.0075,1134.0,0.0158,18.0,0.0003,18.0,0.0003,64.0,0.0009,75.0,0.001,78.0,0.0011,189.0,0.0026,1488.0,0.0207,2047.0,0.0285,3551.0,0.0494,719.0,0.01,786.0,0.0109,1564.0,0.0218,3.0,0.0,2.0,0.0,7.0,0.0001,14245.0,0.1982,16965.0,0.236,31192.0,0.4339,233.0,0.0032,171.0,0.0024,454.0,0.0063,229.0,0.0032,222.0,0.0031,442.0,0.0061,5.0,0.0001,3.0,0.0,15.0,0.0002,0.0,0.0,3.0,0.0,4.0,0.0001,115.0,0.0016,89.0,0.0012,222.0,0.0031,31.0,0.0004,58.0,0.0008,133.0,0.0019,152.0,0.0021,181.0,0.0025,396.0,0.0055,16990.0,0.2364,16534.0,0.23,33496.0,0.466,68.0,0.0009,27.0,0.0004,160.0,0.0022,12.0,0.0002,29.0,0.0004,62.0,0.0009,17196.0,0.2392,16680.0,0.232,33809.0,0.4703,2294.0,0.0319,2305.0,0.0321,4670.0,0.065,34793.0,0.484,37078.0,0.5158,71883.0,1.0,71883.0
Bendigo West,316.0,0.005,436.0,0.0069,792.0,0.0125,2492.0,0.0392,3338.0,0.0525,5811.0,0.0914,0.0,0.0,0.0,0.0,0.0,0.0,590.0,0.0093,701.0,0.011,1242.0,0.0195,94.0,0.0015,100.0,0.0016,212.0,0.0033,4300.0,0.0677,5053.0,0.0795,9381.0,0.1476,22.0,0.0003,60.0,0.0009,115.0,0.0018,96.0,0.0015,64.0,0.001,194.0,0.0031,56.0,0.0009,54.0,0.0008,147.0,0.0023,17.0,0.0003,24.0,0.0004,72.0,0.0011,45.0,0.0007,57.0,0.0009,114.0,0.0018,12.0,0.0002,10.0,0.0002,32.0,0.0005,23.0,0.0004,34.0,0.0005,80.0,0.0013,221.0,0.0035,268.0,0.0042,551.0,0.0087,370.0,0.0058,518.0,0.0082,899.0,0.0141,28.0,0.0004,45.0,0.0007,109.0,0.0017,37.0,0.0006,25.0,0.0004,80.0,0.0013,1266.0,0.0199,1686.0,0.0265,2977.0,0.0468,506.0,0.008,710.0,0.0112,1286.0,0.0202,4.0,0.0001,4.0,0.0001,16.0,0.0003,10586.0,0.1666,13040.0,0.2052,23578.0,0.371,160.0,0.0025,144.0,0.0023,372.0,0.0059,130.0,0.002,125.0,0.002,295.0,0.0046,10.0,0.0002,26.0,0.0004,51.0,0.0008,5.0,0.0001,0.0,0.0,5.0,0.0001,108.0,0.0017,70.0,0.0011,185.0,0.0029,79.0,0.0012,141.0,0.0022,241.0,0.0038,219.0,0.0034,254.0,0.004,452.0,0.0071,16175.0,0.2545,15856.0,0.2495,32005.0,0.5036,97.0,0.0015,48.0,0.0008,221.0,0.0035,18.0,0.0003,65.0,0.001,108.0,0.0017,16346.0,0.2572,16031.0,0.2523,32325.0,0.5087,3081.0,0.0485,2539.0,0.04,5588.0,0.0879,30977.0,0.4875,32557.0,0.5123,63548.0,1.0,63548.0
Bentleigh,695.0,0.0091,1006.0,0.0131,1703.0,0.0222,1849.0,0.0241,2325.0,0.0303,4160.0,0.0543,3.0,0.0,0.0,0.0,3.0,0.0,179.0,0.0023,232.0,0.003,451.0,0.0059,0.0,0.0,0.0,0.0,4.0,0.0001,7083.0,0.0924,8285.0,0.1081,15332.0,0.2,15.0,0.0002,26.0,0.0003,53.0,0.0007,2857.0,0.0373,3141.0,0.041,6025.0,0.0786,39.0,0.0005,51.0,0.0007,93.0,0.0012,26.0,0.0003,18.0,0.0002,50.0,0.0007,47.0,0.0006,64.0,0.0008,142.0,0.0019,75.0,0.001,44.0,0.0006,170.0,0.0022,28.0,0.0004,65.0,0.0008,128.0,0.0017,100.0,0.0013,151.0,0.002,313.0,0.0041,252.0,0.0033,362.0,0.0047,700.0,0.0091,0.0,0.0,9.0,0.0001,16.0,0.0002,9.0,0.0001,3.0,0.0,31.0,0.0004,545.0,0.0071,858.0,0.0112,1434.0,0.0187,502.0,0.0065,688.0,0.009,1271.0,0.0166,4.0,0.0001,20.0,0.0003,45.0,0.0006,13997.0,0.1826,16758.0,0.2186,30822.0,0.402,1393.0,0.0182,1179.0,0.0154,2550.0,0.0333,329.0,0.0043,314.0,0.0041,713.0,0.0093,2739.0,0.0357,2934.0,0.0383,5624.0,0.0734,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0013,76.0,0.001,172.0,0.0022,110.0,0.0014,110.0,0.0014,273.0,0.0036,243.0,0.0032,232.0,0.003,512.0,0.0067,15714.0,0.205,14713.0,0.1919,30437.0,0.397,90.0,0.0012,55.0,0.0007,191.0,0.0025,15.0,0.0002,45.0,0.0006,96.0,0.0013,15883.0,0.2072,14860.0,0.1938,30774.0,0.4014,1903.0,0.0248,2002.0,0.0261,3962.0,0.0517,37234.0,0.4857,39357.0,0.5134,76665.0,1.0,76665.0
Berwick,2247.0,0.0278,2405.0,0.0297,4614.0,0.057,2146.0,0.0265,2775.0,0.0343,4906.0,0.0606,0.0,0.0,0.0,0.0,0.0,0.0,560.0,0.0069,686.0,0.0085,1265.0,0.0156,53.0,0.0007,53.0,0.0007,161.0,0.002,8060.0,0.0996,8874.0,0.1096,16976.0,0.2097,51.0,0.0006,59.0,0.0007,117.0,0.0014,544.0,0.0067,562.0,0.0069,1167.0,0.0144,53.0,0.0007,54.0,0.0007,151.0,0.0019,79.0,0.001,103.0,0.0013,212.0,0.0026,34.0,0.0004,53.0,0.0007,115.0,0.0014,273.0,0.0034,233.0,0.0029,557.0,0.0069,97.0,0.0012,113.0,0.0014,239.0,0.003,667.0,0.0082,771.0,0.0095,1397.0,0.0173,467.0,0.0058,558.0,0.0069,1011.0,0.0125,7.0,0.0001,18.0,0.0002,51.0,0.0006,92.0,0.0011,106.0,0.0013,222.0,0.0027,560.0,0.0069,818.0,0.0101,1405.0,0.0174,1252.0,0.0155,1556.0,0.0192,2818.0,0.0348,12.0,0.0001,9.0,0.0001,29.0,0.0004,15448.0,0.1909,17688.0,0.2185,33105.0,0.409,3111.0,0.0384,2924.0,0.0361,5958.0,0.0736,1785.0,0.0221,1849.0,0.0228,3663.0,0.0453,10.0,0.0001,30.0,0.0004,53.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,1730.0,0.0214,1591.0,0.0197,3368.0,0.0416,95.0,0.0012,128.0,0.0016,245.0,0.003,1873.0,0.0231,1747.0,0.0216,3659.0,0.0452,13418.0,0.1658,12281.0,0.1517,25642.0,0.3168,21.0,0.0003,26.0,0.0003,94.0,0.0012,16.0,0.0002,17.0,0.0002,46.0,0.0006,13563.0,0.1676,12414.0,0.1534,25891.0,0.3199,1986.0,0.0245,2005.0,0.0248,3934.0,0.0486,39857.0,0.4924,41053.0,0.5072,80938.0,1.0,80938.0
