district,Buddhism_M_n,Buddhism_F_n,Buddhism_P_n,Christianity_Anglican_M_n,Christianity_Anglican_F_n,Christianity_Anglican_P_n,Christianity_Asyrin_Apstlic_M_n,Christianity_Asyrin_Apstlic_F_n,Christianity_Asyrin_Apstlic_P_n,Christianity_Baptist_M_n,Christianity_Baptist_F_n,Christianity_Baptist_P_n,Christianity_Brethren_M_n,Christianity_Brethren_F_n,Christianity_Brethren_P_n,Christianity_Catholic_M_n,Christianity_Catholic_F_n,Christianity_Catholic_P_n,Christianity_Church_Christ_M_n,Christianity_Church_Christ_F_n,Christianity_Church_Christ_P_n,Christianity_Eastrn_Orthdox_M_n,Christianity_Eastrn_Orthdox_F_n,Christianity_Eastrn_Orthdox_P_n,Christinty_Jehvahs_Witnses_M_n,Christinty_Jehvahs_Witnses_F_n,Christinty_Jehvahs_Witnses_P_n,Christianity_Lattr_day_Snts_M_n,Christianity_Lattr_day_Snts_F_n,Christianity_Lattr_day_Snts_P_n,Christianity_Lutheran_M_n,Christianity_Lutheran_F_n,Christianity_Lutheran_P_n,Christianity_Orintal_Orthdx_M_n,Christianity_Orintal_Orthdx_F_n,Christianity_Orintal_Orthdx_P_n,Christianity_Othr_Protestnt_M_n,Christianity_Othr_Protestnt_F_n,Christianity_Othr_Protestnt_P_n,Christianity_Pentecostal_M_n,Christianity_Pentecostal_F_n,Christianity_Pentecostal_P_n,Christinty_Prsbytrin_Refrmd_M_n,Christinty_Prsbytrin_Refrmd_F_n,Christinty_Prsbytrin_Refrmd_P_n,Christianity_Salvation_Army_M_n,Christianity_Salvation_Army_F_n,Christianity_Salvation_Army_P_n,Christnty_Sevnth_dy_Advntst_M_n,Christnty_Sevnth_dy_Advntst_F_n,Christnty_Sevnth_dy_Advntst_P_n,Christianity_Uniting_Church_M_n,Christianity_Uniting_Church_F_n,Christianity_Uniting_Church_P_n,Christianity_Christian_nfd_M_n,Christianity_Christian_nfd_F_n,Christianity_Christian_nfd_P_n,Christianity_Othr_Christian_M_n,Christianity_Othr_Christian_F_n,Christianity_Othr_Christian_P_n,Christianity_Tot_M_n,Christianity_Tot_F_n,Christianity_Tot_P_n,Hinduism_M_n,Hinduism_F_n,Hinduism_P_n,Islam_M_n,Islam_F_n,Islam_P_n,Judaism_M_n,Judaism_F_n,Judaism_P_n,Othr_Rel_Aust_Abor_Trad_Rel_M_n,Othr_Rel_Aust_Abor_Trad_Rel_F_n,Othr_Rel_Aust_Abor_Trad_Rel_P_n,Othr_Rel_Sikhism_M_n,Othr_Rel_Sikhism_F_n,Othr_Rel_Sikhism_P_n,Othr_Reln_Other_reln_groups_M_n,Othr_Reln_Other_reln_groups_F_n,Othr_Reln_Other_reln_groups_P_n,Other_Religions_Tot_M_n,Other_Religions_Tot_F_n,Other_Religions_Tot_P_n,SB_OSB_NRA_NR_M_n,SB_OSB_NRA_NR_F_n,SB_OSB_NRA_NR_P_n,SB_OSB_NRA_SB_M_n,SB_OSB_NRA_SB_F_n,SB_OSB_NRA_SB_P_n,SB_OSB_NRA_OSB_M_n,SB_OSB_NRA_OSB_F_n,SB_OSB_NRA_OSB_P_n,SB_OSB_NRA_Tot_M_n,SB_OSB_NRA_Tot_F_n,SB_OSB_NRA_Tot_P_n,Religious_affiliation_ns_M_n,Religious_affiliation_ns_F_n,Religious_affiliation_ns_P_n,Tot_M_n,Tot_F_n,Tot_P_n,Tot_P_total
Albert Park,678.0,1127.0,1855.0,1950.0,2248.0,4197.0,0.0,9.0,9.0,160.0,166.0,384.0,0.0,0.0,0.0,5972.0,6973.0,13009.0,0.0,11.0,21.0,1559.0,1744.0,3310.0,22.0,4.0,59.0,9.0,6.0,16.0,37.0,51.0,129.0,40.0,46.0,114.0,39.0,75.0,162.0,164.0,173.0,382.0,269.0,305.0,620.0,0.0,0.0,7.0,3.0,4.0,22.0,413.0,473.0,967.0,600.0,747.0,1343.0,4.0,0.0,13.0,11641.0,13443.0,25132.0,1375.0,1169.0,2582.0,766.0,730.0,1534.0,302.0,335.0,686.0,0.0,0.0,0.0,63.0,17.0,115.0,73.0,126.0,265.0,163.0,175.0,457.0,18091.0,17191.0,35229.0,144.0,95.0,303.0,41.0,93.0,197.0,18359.0,17451.0,35802.0,3029.0,2889.0,5937.0,36565.0,37438.0,73990.0,73990.0
Ashwood,2136.0,2419.0,4477.0,2148.0,2737.0,4795.0,4.0,4.0,7.0,577.0,788.0,1410.0,0.0,0.0,0.0,6893.0,7547.0,14413.0,7.0,38.0,84.0,2048.0,2156.0,4132.0,24.0,46.0,94.0,34.0,20.0,54.0,55.0,67.0,170.0,77.0,84.0,177.0,133.0,153.0,309.0,161.0,259.0,505.0,458.0,593.0,1141.0,8.0,15.0,42.0,28.0,31.0,90.0,890.0,1344.0,2235.0,819.0,987.0,1837.0,16.0,14.0,50.0,14711.0,17231.0,31951.0,2079.0,1903.0,4094.0,747.0,615.0,1339.0,218.0,205.0,455.0,0.0,0.0,0.0,231.0,153.0,402.0,99.0,150.0,336.0,384.0,333.0,771.0,16880.0,15928.0,32864.0,50.0,76.0,194.0,21.0,31.0,92.0,17056.0,16094.0,33209.0,2213.0,1988.0,4185.0,39672.0,40947.0,80602.0,80602.0
Bass,331.0,427.0,807.0,3128.0,3732.0,6832.0,0.0,0.0,0.0,339.0,492.0,883.0,3.0,8.0,11.0,5328.0,5825.0,11168.0,8.0,20.0,39.0,315.0,282.0,632.0,40.0,70.0,120.0,35.0,42.0,108.0,32.0,42.0,84.0,24.0,13.0,50.0,35.0,41.0,120.0,201.0,217.0,499.0,534.0,598.0,1182.0,25.0,35.0,69.0,34.0,27.0,76.0,816.0,1128.0,1972.0,582.0,721.0,1394.0,5.0,8.0,41.0,11776.0,13701.0,25441.0,424.0,381.0,866.0,255.0,198.0,488.0,0.0,4.0,11.0,5.0,0.0,7.0,371.0,359.0,735.0,45.0,69.0,135.0,433.0,434.0,904.0,16334.0,15455.0,31677.0,44.0,40.0,154.0,22.0,66.0,132.0,16444.0,15618.0,32029.0,2604.0,2568.0,5152.0,32398.0,33461.0,65879.0,65879.0
Bayswater,1314.0,1648.0,2892.0,2122.0,2718.0,4832.0,0.0,0.0,0.0,765.0,910.0,1626.0,33.0,16.0,58.0,5565.0,6525.0,12054.0,99.0,100.0,228.0,638.0,654.0,1325.0,51.0,72.0,155.0,87.0,112.0,271.0,56.0,143.0,259.0,76.0,57.0,181.0,94.0,117.0,268.0,432.0,561.0,1057.0,519.0,636.0,1258.0,32.0,45.0,121.0,54.0,71.0,167.0,686.0,921.0,1612.0,1111.0,1344.0,2522.0,59.0,94.0,206.0,12914.0,15499.0,28383.0,1296.0,1216.0,2493.0,429.0,348.0,833.0,3.0,6.0,40.0,0.0,5.0,5.0,210.0,204.0,447.0,166.0,237.0,380.0,401.0,478.0,878.0,16910.0,15669.0,32605.0,44.0,41.0,137.0,10.0,65.0,138.0,17069.0,15870.0,32883.0,2168.0,2078.0,4322.0,35635.0,37316.0,72983.0,72983.0
Bellarine,119.0,295.0,415.0,3280.0,4097.0,7430.0,0.0,0.0,0.0,527.0,596.0,1109.0,0.0,0.0,0.0,7105.0,8035.0,15187.0,13.0,10.0,62.0,312.0,324.0,662.0,65.0,57.0,124.0,3.0,0.0,17.0,76.0,107.0,245.0,0.0,0.0,6.0,35.0,43.0,85.0,156.0,190.0,345.0,634.0,712.0,1322.0,30.0,46.0,85.0,0.0,4.0,29.0,1297.0,1982.0,3315.0,610.0,729.0,1324.0,5.0,3.0,14.0,14339.0,17286.0,31620.0,88.0,94.0,188.0,54.0,35.0,123.0,6.0,7.0,34.0,0.0,0.0,0.0,29.0,24.0,67.0,14.0,49.0,119.0,59.0,88.0,197.0,16261.0,15689.0,31886.0,67.0,49.0,128.0,17.0,67.0,89.0,16392.0,15875.0,32309.0,2181.0,2318.0,4547.0,33351.0,36117.0,69516.0,69516.0
Benambra,148.0,201.0,433.0,3830.0,4653.0,8514.0,0.0,0.0,0.0,384.0,470.0,950.0,0.0,0.0,14.0,6090.0,6883.0,13005.0,4.0,8.0,24.0,59.0,57.0,182.0,127.0,205.0,366.0,7.0,21.0,47.0,290.0,382.0,742.0,3.0,3.0,8.0,69.0,78.0,172.0,249.0,293.0,551.0,585.0,675.0,1276.0,28.0,39.0,89.0,33.0,33.0,124.0,1056.0,1419.0,2464.0,715.0,840.0,1581.0,0.0,7.0,24.0,13921.0,16396.0,30336.0,273.0,229.0,529.0,111.0,58.0,171.0,0.0,9.0,20.0,3.0,6.0,12.0,79.0,81.0,177.0,39.0,61.0,130.0,131.0,156.0,330.0,15314.0,14337.0,29635.0,52.0,58.0,139.0,24.0,19.0,71.0,15444.0,14503.0,29935.0,2674.0,2259.0,4971.0,32791.0,34027.0,66799.0,66799.0
Bendigo East,320.0,414.0,762.0,3127.0,3896.0,6987.0,0.0,0.0,0.0,627.0,823.0,1499.0,25.0,29.0,51.0,6671.0,7676.0,14285.0,14.0,8.0,55.0,84.0,44.0,184.0,41.0,40.0,122.0,27.0,17.0,84.0,53.0,85.0,187.0,30.0,37.0,89.0,22.0,29.0,70.0,324.0,424.0,781.0,505.0,537.0,1134.0,18.0,18.0,64.0,75.0,78.0,189.0,1488.0,2047.0,3551.0,719.0,786.0,1564.0,3.0,2.0,7.0,14245.0,16965.0,31192.0,233.0,171.0,454.0,229.0,222.0,442.0,5.0,3.0,15.0,0.0,3.0,4.0,115.0,89.0,222.0,31.0,58.0,133.0,152.0,181.0,396.0,16990.0,16534.0,33496.0,68.0,27.0,160.0,12.0,29.0,62.0,17196.0,16680.0,33809.0,2294.0,2305.0,4670.0,34793.0,37078.0,71883.0,71883.0
Bendigo West,316.0,436.0,792.0,2492.0,3338.0,5811.0,0.0,0.0,0.0,590.0,701.0,1242.0,94.0,100.0,212.0,4300.0,5053.0,9381.0,22.0,60.0,115.0,96.0,64.0,194.0,56.0,54.0,147.0,17.0,24.0,72.0,45.0,57.0,114.0,12.0,10.0,32.0,23.0,34.0,80.0,221.0,268.0,551.0,370.0,518.0,899.0,28.0,45.0,109.0,37.0,25.0,80.0,1266.0,1686.0,2977.0,506.0,710.0,1286.0,4.0,4.0,16.0,10586.0,13040.0,23578.0,160.0,144.0,372.0,130.0,125.0,295.0,10.0,26.0,51.0,5.0,0.0,5.0,108.0,70.0,185.0,79.0,141.0,241.0,219.0,254.0,452.0,16175.0,15856.0,32005.0,97.0,48.0,221.0,18.0,65.0,108.0,16346.0,16031.0,32325.0,3081.0,2539.0,5588.0,30977.0,32557.0,63548.0,63548.0
Bentleigh,695.0,1006.0,1703.0,1849.0,2325.0,4160.0,3.0,0.0,3.0,179.0,232.0,451.0,0.0,0.0,4.0,7083.0,8285.0,15332.0,15.0,26.0,53.0,2857.0,3141.0,6025.0,39.0,51.0,93.0,26.0,18.0,50.0,47.0,64.0,142.0,75.0,44.0,170.0,28.0,65.0,128.0,100.0,151.0,313.0,252.0,362.0,700.0,0.0,9.0,16.0,9.0,3.0,31.0,545.0,858.0,1434.0,502.0,688.0,1271.0,4.0,20.0,45.0,13997.0,16758.0,30822.0,1393.0,1179.0,2550.0,329.0,314.0,713.0,2739.0,2934.0,5624.0,0.0,0.0,0.0,101.0,76.0,172.0,110.0,110.0,273.0,243.0,232.0,512.0,15714.0,14713.0,30437.0,90.0,55.0,191.0,15.0,45.0,96.0,15883.0,14860.0,30774.0,1903.0,2002.0,3962.0,37234.0,39357.0,76665.0,76665.0
Berwick,2247.0,2405.0,4614.0,2146.0,2775.0,4906.0,0.0,0.0,0.0,560.0,686.0,1265.0,53.0,53.0,161.0,8060.0,8874.0,16976.0,51.0,59.0,117.0,544.0,562.0,1167.0,53.0,54.0,151.0,79.0,103.0,212.0,34.0,53.0,115.0,273.0,233.0,557.0,97.0,113.0,239.0,667.0,771.0,1397.0,467.0,558.0,1011.0,7.0,18.0,51.0,92.0,106.0,222.0,560.0,818.0,1405.0,1252.0,1556.0,2818.0,12.0,9.0,29.0,15448.0,17688.0,33105.0,3111.0,2924.0,5958.0,1785.0,1849.0,3663.0,10.0,30.0,53.0,0.0,0.0,0.0,1730.0,1591.0,3368.0,95.0,128.0,245.0,1873.0,1747.0,3659.0,13418.0,12281.0,25642.0,21.0,26.0,94.0,16.0,17.0,46.0,13563.0,12414.0,25891.0,1986.0,2005.0,3934.0,39857.0,41053.0,80938.0,80938.0
