district,Preschool_M,Preschool_M_pc,Preschool_F,Preschool_F_pc,Preschool_P,Preschool_P_pc,Primary_Government_M,Primary_Government_M_pc,Primary_Government_F,Primary_Government_F_pc,Primary_Government_P,Primary_Government_P_pc,Primary_Catholic_M,Primary_Catholic_M_pc,Primary_Catholic_F,Primary_Catholic_F_pc,Primary_Catholic_P,Primary_Catholic_P_pc,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_M_pc,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_F_pc,Primry_Othr_non_Govt_P,Primry_Othr_non_Govt_P_pc,Primary_Tot_Primary_M,Primary_Tot_Primary_M_pc,Primary_Tot_Primary_F,Primary_Tot_Primary_F_pc,Primary_Tot_Primary_P,Primary_Tot_Primary_P_pc,Secondary_Government_M,Secondary_Government_M_pc,Secondary_Government_F,Secondary_Government_F_pc,Secondary_Government_P,Secondary_Government_P_pc,Secondary_Catholic_M,Secondary_Catholic_M_pc,Secondary_Catholic_F,Secondary_Catholic_F_pc,Secondary_Catholic_P,Secondary_Catholic_P_pc,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_M_pc,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_F_pc,Secondary_Other_non_Govt_P,Secondary_Other_non_Govt_P_pc,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_M_pc,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_F_pc,Secondary_Tot_Secondary_P,Secondary_Tot_Secondary_P_pc,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_M_pc,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_F_pc,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_15_24_P_pc,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_M_pc,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_F_pc,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Ft_25_ov_P_pc,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_M_pc,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_F_pc,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_15_24_P_pc,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_M_pc,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_F_pc,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_Pt_25_ov_P_pc,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_M_pc,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_F_pc,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_F_Pt_ns_P_pc,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_M_pc,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_F_pc,Tert_Voc_edu_Tot_P,Tert_Voc_edu_Tot_P_pc,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_M_pc,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_F_pc,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_15_24_P_pc,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_M_pc,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_F_pc,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Ft_25_ov_P_pc,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_M_pc,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_F_pc,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_15_24_P_pc,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_M_pc,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_F_pc,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_Pt_25_ov_P_pc,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_M_pc,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_F_pc,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_oth_h_edu_F_Pt_ns_P_pc,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_M_pc,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_F_pc,Tert_Uni_other_high_edu_Tot_P,Tert_Uni_other_high_edu_Tot_P_pc,Tert_Tot_Tert_M,Tert_Tot_Tert_M_pc,Tert_Tot_Tert_F,Tert_Tot_Tert_F_pc,Tert_Tot_Tert_P,Tert_Tot_Tert_P_pc,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_M_pc,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_F_pc,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Ft_stud_P_pc,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_M_pc,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_F_pc,Othr_typ_educ_inst_Pt_stud_P,Othr_typ_educ_inst_Pt_stud_P_pc,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_M_pc,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_F_pc,Oth_typ_ed_instit_F_Pt_ns_P,Oth_typ_ed_instit_F_Pt_ns_P_pc,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_M_pc,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_F_pc,Other_type_educ_instit_Tot_P,Other_type_educ_instit_Tot_P_pc,Type_educanl_institution_ns_M,Type_educanl_institution_ns_M_pc,Type_educanl_institution_ns_F,Type_educanl_institution_ns_F_pc,Type_educanl_institution_ns_P,Type_educanl_institution_ns_P_pc,Tot_M,Tot_M_pc,Tot_F,Tot_F_pc,Tot_P,Tot_P_pc,Tot_P_total
Albert Park,500.0,0.0247,497.0,0.0246,1025.0,0.0507,1293.0,0.0639,1258.0,0.0622,2485.0,0.1229,140.0,0.0069,103.0,0.0051,310.0,0.0153,158.0,0.0078,144.0,0.0071,354.0,0.0175,1644.0,0.0813,1628.0,0.0805,3204.0,0.1585,731.0,0.0362,679.0,0.0336,1438.0,0.0711,103.0,0.0051,73.0,0.0036,222.0,0.011,324.0,0.016,425.0,0.021,845.0,0.0418,1270.0,0.0628,1273.0,0.063,2566.0,0.1269,95.0,0.0047,105.0,0.0052,220.0,0.0109,245.0,0.0121,318.0,0.0157,602.0,0.0298,69.0,0.0034,30.0,0.0015,116.0,0.0057,432.0,0.0214,558.0,0.0276,1033.0,0.0511,0.0,0.0,0.0,0.0,0.0,0.0,966.0,0.0478,1193.0,0.059,2174.0,0.1075,1007.0,0.0498,1277.0,0.0632,2304.0,0.114,649.0,0.0321,820.0,0.0406,1472.0,0.0728,127.0,0.0063,82.0,0.0041,230.0,0.0114,557.0,0.0275,797.0,0.0394,1399.0,0.0692,0.0,0.0,0.0,0.0,0.0,0.0,2447.0,0.121,3079.0,0.1523,5487.0,0.2714,3440.0,0.1701,4241.0,0.2098,7682.0,0.3799,127.0,0.0063,139.0,0.0069,334.0,0.0165,260.0,0.0129,377.0,0.0186,716.0,0.0354,0.0,0.0,0.0,0.0,4.0,0.0002,450.0,0.0223,588.0,0.0291,1122.0,0.0555,2329.0,0.1152,2284.0,0.113,4550.0,0.225,9656.0,0.4776,10544.0,0.5215,20219.0,1.0,20219.0
Ashwood,870.0,0.0335,843.0,0.0325,1731.0,0.0667,2455.0,0.0946,2259.0,0.087,4754.0,0.1832,478.0,0.0184,428.0,0.0165,1032.0,0.0398,284.0,0.0109,379.0,0.0146,797.0,0.0307,3407.0,0.1313,3257.0,0.1255,6621.0,0.2551,1418.0,0.0546,1280.0,0.0493,2572.0,0.0991,726.0,0.028,725.0,0.0279,1404.0,0.0541,935.0,0.036,1025.0,0.0395,1952.0,0.0752,3063.0,0.118,2990.0,0.1152,5943.0,0.229,133.0,0.0051,89.0,0.0034,288.0,0.0111,139.0,0.0054,156.0,0.006,382.0,0.0147,87.0,0.0034,36.0,0.0014,176.0,0.0068,268.0,0.0103,344.0,0.0133,660.0,0.0254,0.0,0.0,0.0,0.0,0.0,0.0,822.0,0.0317,803.0,0.0309,1603.0,0.0618,1931.0,0.0744,1921.0,0.074,3915.0,0.1509,572.0,0.022,586.0,0.0226,1169.0,0.045,100.0,0.0039,124.0,0.0048,329.0,0.0127,368.0,0.0142,542.0,0.0209,959.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,3156.0,0.1216,3300.0,0.1272,6436.0,0.248,3973.0,0.1531,4086.0,0.1575,8009.0,0.3086,153.0,0.0059,43.0,0.0017,256.0,0.0099,146.0,0.0056,233.0,0.009,462.0,0.0178,0.0,0.0,0.0,0.0,0.0,0.0,338.0,0.013,384.0,0.0148,781.0,0.0301,1426.0,0.0549,1308.0,0.0504,2776.0,0.107,13050.0,0.5029,12827.0,0.4943,25951.0,1.0,25951.0
Bass,673.0,0.0386,670.0,0.0384,1327.0,0.0761,1924.0,0.1103,1778.0,0.102,3695.0,0.2119,303.0,0.0174,305.0,0.0175,738.0,0.0423,272.0,0.0156,261.0,0.015,564.0,0.0323,2566.0,0.1472,2416.0,0.1386,4960.0,0.2845,1217.0,0.0698,1188.0,0.0681,2447.0,0.1403,113.0,0.0065,128.0,0.0073,286.0,0.0164,336.0,0.0193,429.0,0.0246,788.0,0.0452,1765.0,0.1012,1836.0,0.1053,3626.0,0.2079,31.0,0.0018,34.0,0.0019,136.0,0.0078,31.0,0.0018,52.0,0.003,121.0,0.0069,208.0,0.0119,112.0,0.0064,364.0,0.0209,161.0,0.0092,302.0,0.0173,574.0,0.0329,3.0,0.0002,0.0,0.0,7.0,0.0004,606.0,0.0348,682.0,0.0391,1380.0,0.0791,157.0,0.009,293.0,0.0168,522.0,0.0299,41.0,0.0024,138.0,0.0079,203.0,0.0116,3.0,0.0002,24.0,0.0014,48.0,0.0028,66.0,0.0038,293.0,0.0168,408.0,0.0234,0.0,0.0,0.0,0.0,4.0,0.0002,411.0,0.0236,908.0,0.0521,1377.0,0.079,1037.0,0.0595,1636.0,0.0938,2743.0,0.1573,35.0,0.002,13.0,0.0007,60.0,0.0034,66.0,0.0038,119.0,0.0068,262.0,0.015,0.0,0.0,0.0,0.0,3.0,0.0002,158.0,0.0091,197.0,0.0113,412.0,0.0236,2078.0,0.1192,2207.0,0.1266,4319.0,0.2477,8445.0,0.4843,9013.0,0.5169,17437.0,1.0,17437.0
Bayswater,883.0,0.0442,730.0,0.0366,1598.0,0.08,2466.0,0.1235,2208.0,0.1106,4697.0,0.2352,265.0,0.0133,342.0,0.0171,668.0,0.0335,120.0,0.006,191.0,0.0096,331.0,0.0166,2933.0,0.1469,2717.0,0.1361,5663.0,0.2836,1595.0,0.0799,1472.0,0.0737,3073.0,0.1539,326.0,0.0163,294.0,0.0147,680.0,0.0341,222.0,0.0111,198.0,0.0099,460.0,0.023,2188.0,0.1096,2077.0,0.104,4216.0,0.2111,107.0,0.0054,98.0,0.0049,261.0,0.0131,75.0,0.0038,128.0,0.0064,239.0,0.012,226.0,0.0113,65.0,0.0033,381.0,0.0191,302.0,0.0151,429.0,0.0215,846.0,0.0424,0.0,0.0,0.0,0.0,0.0,0.0,828.0,0.0415,974.0,0.0488,1828.0,0.0915,620.0,0.031,800.0,0.0401,1463.0,0.0733,200.0,0.01,267.0,0.0134,509.0,0.0255,27.0,0.0014,91.0,0.0046,147.0,0.0074,268.0,0.0134,429.0,0.0215,727.0,0.0364,0.0,0.0,0.0,0.0,0.0,0.0,1257.0,0.0629,1690.0,0.0846,2959.0,0.1482,2108.0,0.1056,2660.0,0.1332,4792.0,0.24,68.0,0.0034,68.0,0.0034,196.0,0.0098,130.0,0.0065,240.0,0.012,438.0,0.0219,0.0,0.0,0.0,0.0,0.0,0.0,301.0,0.0151,375.0,0.0188,696.0,0.0349,1377.0,0.069,1441.0,0.0722,2876.0,0.144,9850.0,0.4933,10149.0,0.5082,19969.0,1.0,19969.0
Bellarine,706.0,0.0384,606.0,0.033,1341.0,0.073,2062.0,0.1123,1904.0,0.1037,3944.0,0.2147,564.0,0.0307,594.0,0.0323,1150.0,0.0626,165.0,0.009,125.0,0.0068,339.0,0.0185,2875.0,0.1565,2696.0,0.1468,5541.0,0.3017,971.0,0.0529,834.0,0.0454,1877.0,0.1022,669.0,0.0364,789.0,0.043,1456.0,0.0793,411.0,0.0224,359.0,0.0195,792.0,0.0431,2156.0,0.1174,2063.0,0.1123,4199.0,0.2286,32.0,0.0017,57.0,0.0031,153.0,0.0083,42.0,0.0023,82.0,0.0045,152.0,0.0083,224.0,0.0122,75.0,0.0041,349.0,0.019,162.0,0.0088,287.0,0.0156,558.0,0.0304,0.0,0.0,0.0,0.0,0.0,0.0,744.0,0.0405,674.0,0.0367,1367.0,0.0744,330.0,0.018,487.0,0.0265,865.0,0.0471,49.0,0.0027,188.0,0.0102,315.0,0.0172,28.0,0.0015,38.0,0.0021,103.0,0.0056,164.0,0.0089,466.0,0.0254,596.0,0.0325,4.0,0.0002,0.0,0.0,4.0,0.0002,781.0,0.0425,1275.0,0.0694,2012.0,0.1096,1457.0,0.0793,2013.0,0.1096,3408.0,0.1856,23.0,0.0013,34.0,0.0019,81.0,0.0044,57.0,0.0031,148.0,0.0081,277.0,0.0151,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0066,210.0,0.0114,422.0,0.023,1617.0,0.088,1830.0,0.0996,3450.0,0.1878,8920.0,0.4857,9442.0,0.5141,18366.0,1.0,18366.0
Benambra,705.0,0.0359,704.0,0.0358,1444.0,0.0735,1827.0,0.093,1795.0,0.0914,3554.0,0.1809,775.0,0.0395,693.0,0.0353,1494.0,0.0761,320.0,0.0163,257.0,0.0131,613.0,0.0312,2886.0,0.1469,2773.0,0.1412,5685.0,0.2894,1208.0,0.0615,1279.0,0.0651,2469.0,0.1257,631.0,0.0321,647.0,0.0329,1330.0,0.0677,290.0,0.0148,277.0,0.0141,671.0,0.0342,2220.0,0.113,2207.0,0.1123,4457.0,0.2269,167.0,0.0085,132.0,0.0067,340.0,0.0173,66.0,0.0034,152.0,0.0077,308.0,0.0157,338.0,0.0172,131.0,0.0067,555.0,0.0283,237.0,0.0121,442.0,0.0225,772.0,0.0393,0.0,0.0,0.0,0.0,0.0,0.0,916.0,0.0466,1101.0,0.056,2113.0,0.1076,56.0,0.0029,261.0,0.0133,403.0,0.0205,49.0,0.0025,164.0,0.0083,229.0,0.0117,11.0,0.0006,36.0,0.0018,68.0,0.0035,128.0,0.0065,411.0,0.0209,634.0,0.0323,3.0,0.0002,0.0,0.0,3.0,0.0002,425.0,0.0216,996.0,0.0507,1485.0,0.0756,1406.0,0.0716,2173.0,0.1106,3647.0,0.1857,71.0,0.0036,19.0,0.001,145.0,0.0074,69.0,0.0035,157.0,0.008,261.0,0.0133,0.0,0.0,4.0,0.0002,3.0,0.0002,188.0,0.0096,233.0,0.0119,459.0,0.0234,2033.0,0.1035,1871.0,0.0952,3869.0,0.197,9529.0,0.4851,10080.0,0.5131,19644.0,1.0,19644.0
Bendigo East,844.0,0.0393,798.0,0.0372,1652.0,0.077,2029.0,0.0946,1838.0,0.0857,3869.0,0.1803,932.0,0.0434,902.0,0.042,1868.0,0.087,244.0,0.0114,256.0,0.0119,551.0,0.0257,3315.0,0.1545,3056.0,0.1424,6345.0,0.2957,1539.0,0.0717,1411.0,0.0658,2875.0,0.134,628.0,0.0293,605.0,0.0282,1203.0,0.0561,312.0,0.0145,330.0,0.0154,727.0,0.0339,2553.0,0.119,2339.0,0.109,4846.0,0.2258,83.0,0.0039,121.0,0.0056,290.0,0.0135,54.0,0.0025,175.0,0.0082,261.0,0.0122,210.0,0.0098,103.0,0.0048,392.0,0.0183,206.0,0.0096,356.0,0.0166,628.0,0.0293,0.0,0.0,0.0,0.0,0.0,0.0,756.0,0.0352,850.0,0.0396,1679.0,0.0782,373.0,0.0174,793.0,0.037,1261.0,0.0588,85.0,0.004,208.0,0.0097,396.0,0.0185,30.0,0.0014,45.0,0.0021,127.0,0.0059,111.0,0.0052,441.0,0.0206,712.0,0.0332,0.0,0.0,0.0,0.0,4.0,0.0002,825.0,0.0384,1685.0,0.0785,2524.0,0.1176,1612.0,0.0751,2618.0,0.122,4250.0,0.1981,59.0,0.0027,49.0,0.0023,179.0,0.0083,82.0,0.0038,182.0,0.0085,362.0,0.0169,0.0,0.0,0.0,0.0,0.0,0.0,175.0,0.0082,302.0,0.0141,583.0,0.0272,1812.0,0.0844,1896.0,0.0884,3799.0,0.177,10368.0,0.4832,11138.0,0.519,21459.0,1.0,21459.0
Bendigo West,606.0,0.034,495.0,0.0278,1136.0,0.0638,1729.0,0.0971,1619.0,0.0909,3330.0,0.1869,481.0,0.027,473.0,0.0266,1065.0,0.0598,152.0,0.0085,125.0,0.007,278.0,0.0156,2445.0,0.1372,2302.0,0.1292,4697.0,0.2637,1219.0,0.0684,1133.0,0.0636,2393.0,0.1343,364.0,0.0204,424.0,0.0238,806.0,0.0452,187.0,0.0105,204.0,0.0115,518.0,0.0291,1800.0,0.101,1857.0,0.1042,3737.0,0.2098,40.0,0.0022,103.0,0.0058,173.0,0.0097,69.0,0.0039,125.0,0.007,209.0,0.0117,178.0,0.01,77.0,0.0043,257.0,0.0144,207.0,0.0116,268.0,0.015,532.0,0.0299,4.0,0.0002,0.0,0.0,4.0,0.0002,665.0,0.0373,724.0,0.0406,1394.0,0.0782,174.0,0.0098,366.0,0.0205,562.0,0.0315,58.0,0.0033,171.0,0.0096,296.0,0.0166,11.0,0.0006,25.0,0.0014,52.0,0.0029,179.0,0.01,439.0,0.0246,634.0,0.0356,0.0,0.0,0.0,0.0,0.0,0.0,517.0,0.029,1137.0,0.0638,1701.0,0.0955,1229.0,0.069,1848.0,0.1037,3145.0,0.1765,42.0,0.0024,35.0,0.002,87.0,0.0049,71.0,0.004,133.0,0.0075,246.0,0.0138,3.0,0.0002,0.0,0.0,3.0,0.0002,126.0,0.0071,201.0,0.0113,426.0,0.0239,2520.0,0.1415,2181.0,0.1224,4669.0,0.2621,8806.0,0.4943,9031.0,0.5069,17815.0,1.0,17815.0
Bentleigh,934.0,0.0395,818.0,0.0346,1773.0,0.0749,2657.0,0.1123,2397.0,0.1013,5050.0,0.2134,640.0,0.0271,582.0,0.0246,1219.0,0.0515,291.0,0.0123,272.0,0.0115,637.0,0.0269,3649.0,0.1542,3289.0,0.139,6947.0,0.2936,1952.0,0.0825,1639.0,0.0693,3643.0,0.154,627.0,0.0265,661.0,0.0279,1287.0,0.0544,526.0,0.0222,504.0,0.0213,1089.0,0.046,3123.0,0.132,2892.0,0.1222,6036.0,0.2551,100.0,0.0042,80.0,0.0034,270.0,0.0114,78.0,0.0033,105.0,0.0044,225.0,0.0095,112.0,0.0047,23.0,0.001,179.0,0.0076,179.0,0.0076,288.0,0.0122,565.0,0.0239,0.0,0.0,0.0,0.0,0.0,0.0,731.0,0.0309,707.0,0.0299,1431.0,0.0605,1144.0,0.0484,1180.0,0.0499,2419.0,0.1022,253.0,0.0107,290.0,0.0123,607.0,0.0257,89.0,0.0038,92.0,0.0039,218.0,0.0092,298.0,0.0126,495.0,0.0209,843.0,0.0356,0.0,0.0,0.0,0.0,0.0,0.0,1904.0,0.0805,2220.0,0.0938,4177.0,0.1766,2594.0,0.1096,2948.0,0.1246,5616.0,0.2374,78.0,0.0033,41.0,0.0017,146.0,0.0062,145.0,0.0061,274.0,0.0116,478.0,0.0202,0.0,0.0,0.0,0.0,0.0,0.0,285.0,0.012,356.0,0.015,716.0,0.0303,1161.0,0.0491,1333.0,0.0563,2524.0,0.1067,11891.0,0.5026,11706.0,0.4948,23659.0,1.0,23659.0
Berwick,1116.0,0.041,1034.0,0.038,2211.0,0.0812,2912.0,0.107,2785.0,0.1023,5651.0,0.2077,740.0,0.0272,722.0,0.0265,1477.0,0.0543,736.0,0.027,866.0,0.0318,1656.0,0.0609,4386.0,0.1612,4363.0,0.1603,8788.0,0.3229,1699.0,0.0624,1562.0,0.0574,3227.0,0.1186,786.0,0.0289,777.0,0.0286,1586.0,0.0583,809.0,0.0297,902.0,0.0331,1769.0,0.065,3361.0,0.1235,3229.0,0.1187,6588.0,0.2421,101.0,0.0037,124.0,0.0046,287.0,0.0105,134.0,0.0049,141.0,0.0052,314.0,0.0115,338.0,0.0124,85.0,0.0031,437.0,0.0161,226.0,0.0083,555.0,0.0204,848.0,0.0312,0.0,0.0,0.0,0.0,0.0,0.0,980.0,0.036,1102.0,0.0405,2081.0,0.0765,848.0,0.0312,1170.0,0.043,2099.0,0.0771,165.0,0.0061,363.0,0.0133,611.0,0.0225,43.0,0.0016,103.0,0.0038,209.0,0.0077,263.0,0.0097,492.0,0.0181,797.0,0.0293,0.0,0.0,0.0,0.0,4.0,0.0001,1562.0,0.0574,2273.0,0.0835,3799.0,0.1396,2610.0,0.0959,3303.0,0.1214,5854.0,0.2151,109.0,0.004,119.0,0.0044,276.0,0.0101,222.0,0.0082,252.0,0.0093,548.0,0.0201,0.0,0.0,0.0,0.0,0.0,0.0,387.0,0.0142,451.0,0.0166,872.0,0.032,1369.0,0.0503,1467.0,0.0539,2902.0,0.1066,13353.0,0.4907,13843.0,0.5087,27214.0,1.0,27214.0
