district,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P,Tot_P_total
Albert Park,500.0,497.0,1025.0,1293.0,1258.0,2485.0,140.0,103.0,310.0,158.0,144.0,354.0,1644.0,1628.0,3204.0,731.0,679.0,1438.0,103.0,73.0,222.0,324.0,425.0,845.0,1270.0,1273.0,2566.0,95.0,105.0,220.0,245.0,318.0,602.0,69.0,30.0,116.0,432.0,558.0,1033.0,0.0,0.0,0.0,966.0,1193.0,2174.0,1007.0,1277.0,2304.0,649.0,820.0,1472.0,127.0,82.0,230.0,557.0,797.0,1399.0,0.0,0.0,0.0,2447.0,3079.0,5487.0,3440.0,4241.0,7682.0,127.0,139.0,334.0,260.0,377.0,716.0,0.0,0.0,4.0,450.0,588.0,1122.0,2329.0,2284.0,4550.0,9656.0,10544.0,20219.0,20219.0
Ashwood,870.0,843.0,1731.0,2455.0,2259.0,4754.0,478.0,428.0,1032.0,284.0,379.0,797.0,3407.0,3257.0,6621.0,1418.0,1280.0,2572.0,726.0,725.0,1404.0,935.0,1025.0,1952.0,3063.0,2990.0,5943.0,133.0,89.0,288.0,139.0,156.0,382.0,87.0,36.0,176.0,268.0,344.0,660.0,0.0,0.0,0.0,822.0,803.0,1603.0,1931.0,1921.0,3915.0,572.0,586.0,1169.0,100.0,124.0,329.0,368.0,542.0,959.0,0.0,0.0,0.0,3156.0,3300.0,6436.0,3973.0,4086.0,8009.0,153.0,43.0,256.0,146.0,233.0,462.0,0.0,0.0,0.0,338.0,384.0,781.0,1426.0,1308.0,2776.0,13050.0,12827.0,25951.0,25951.0
Bass,673.0,670.0,1327.0,1924.0,1778.0,3695.0,303.0,305.0,738.0,272.0,261.0,564.0,2566.0,2416.0,4960.0,1217.0,1188.0,2447.0,113.0,128.0,286.0,336.0,429.0,788.0,1765.0,1836.0,3626.0,31.0,34.0,136.0,31.0,52.0,121.0,208.0,112.0,364.0,161.0,302.0,574.0,3.0,0.0,7.0,606.0,682.0,1380.0,157.0,293.0,522.0,41.0,138.0,203.0,3.0,24.0,48.0,66.0,293.0,408.0,0.0,0.0,4.0,411.0,908.0,1377.0,1037.0,1636.0,2743.0,35.0,13.0,60.0,66.0,119.0,262.0,0.0,0.0,3.0,158.0,197.0,412.0,2078.0,2207.0,4319.0,8445.0,9013.0,17437.0,17437.0
Bayswater,883.0,730.0,1598.0,2466.0,2208.0,4697.0,265.0,342.0,668.0,120.0,191.0,331.0,2933.0,2717.0,5663.0,1595.0,1472.0,3073.0,326.0,294.0,680.0,222.0,198.0,460.0,2188.0,2077.0,4216.0,107.0,98.0,261.0,75.0,128.0,239.0,226.0,65.0,381.0,302.0,429.0,846.0,0.0,0.0,0.0,828.0,974.0,1828.0,620.0,800.0,1463.0,200.0,267.0,509.0,27.0,91.0,147.0,268.0,429.0,727.0,0.0,0.0,0.0,1257.0,1690.0,2959.0,2108.0,2660.0,4792.0,68.0,68.0,196.0,130.0,240.0,438.0,0.0,0.0,0.0,301.0,375.0,696.0,1377.0,1441.0,2876.0,9850.0,10149.0,19969.0,19969.0
Bellarine,706.0,606.0,1341.0,2062.0,1904.0,3944.0,564.0,594.0,1150.0,165.0,125.0,339.0,2875.0,2696.0,5541.0,971.0,834.0,1877.0,669.0,789.0,1456.0,411.0,359.0,792.0,2156.0,2063.0,4199.0,32.0,57.0,153.0,42.0,82.0,152.0,224.0,75.0,349.0,162.0,287.0,558.0,0.0,0.0,0.0,744.0,674.0,1367.0,330.0,487.0,865.0,49.0,188.0,315.0,28.0,38.0,103.0,164.0,466.0,596.0,4.0,0.0,4.0,781.0,1275.0,2012.0,1457.0,2013.0,3408.0,23.0,34.0,81.0,57.0,148.0,277.0,0.0,0.0,0.0,121.0,210.0,422.0,1617.0,1830.0,3450.0,8920.0,9442.0,18366.0,18366.0
Benambra,705.0,704.0,1444.0,1827.0,1795.0,3554.0,775.0,693.0,1494.0,320.0,257.0,613.0,2886.0,2773.0,5685.0,1208.0,1279.0,2469.0,631.0,647.0,1330.0,290.0,277.0,671.0,2220.0,2207.0,4457.0,167.0,132.0,340.0,66.0,152.0,308.0,338.0,131.0,555.0,237.0,442.0,772.0,0.0,0.0,0.0,916.0,1101.0,2113.0,56.0,261.0,403.0,49.0,164.0,229.0,11.0,36.0,68.0,128.0,411.0,634.0,3.0,0.0,3.0,425.0,996.0,1485.0,1406.0,2173.0,3647.0,71.0,19.0,145.0,69.0,157.0,261.0,0.0,4.0,3.0,188.0,233.0,459.0,2033.0,1871.0,3869.0,9529.0,10080.0,19644.0,19644.0
Bendigo East,844.0,798.0,1652.0,2029.0,1838.0,3869.0,932.0,902.0,1868.0,244.0,256.0,551.0,3315.0,3056.0,6345.0,1539.0,1411.0,2875.0,628.0,605.0,1203.0,312.0,330.0,727.0,2553.0,2339.0,4846.0,83.0,121.0,290.0,54.0,175.0,261.0,210.0,103.0,392.0,206.0,356.0,628.0,0.0,0.0,0.0,756.0,850.0,1679.0,373.0,793.0,1261.0,85.0,208.0,396.0,30.0,45.0,127.0,111.0,441.0,712.0,0.0,0.0,4.0,825.0,1685.0,2524.0,1612.0,2618.0,4250.0,59.0,49.0,179.0,82.0,182.0,362.0,0.0,0.0,0.0,175.0,302.0,583.0,1812.0,1896.0,3799.0,10368.0,11138.0,21459.0,21459.0
Bendigo West,606.0,495.0,1136.0,1729.0,1619.0,3330.0,481.0,473.0,1065.0,152.0,125.0,278.0,2445.0,2302.0,4697.0,1219.0,1133.0,2393.0,364.0,424.0,806.0,187.0,204.0,518.0,1800.0,1857.0,3737.0,40.0,103.0,173.0,69.0,125.0,209.0,178.0,77.0,257.0,207.0,268.0,532.0,4.0,0.0,4.0,665.0,724.0,1394.0,174.0,366.0,562.0,58.0,171.0,296.0,11.0,25.0,52.0,179.0,439.0,634.0,0.0,0.0,0.0,517.0,1137.0,1701.0,1229.0,1848.0,3145.0,42.0,35.0,87.0,71.0,133.0,246.0,3.0,0.0,3.0,126.0,201.0,426.0,2520.0,2181.0,4669.0,8806.0,9031.0,17815.0,17815.0
Bentleigh,934.0,818.0,1773.0,2657.0,2397.0,5050.0,640.0,582.0,1219.0,291.0,272.0,637.0,3649.0,3289.0,6947.0,1952.0,1639.0,3643.0,627.0,661.0,1287.0,526.0,504.0,1089.0,3123.0,2892.0,6036.0,100.0,80.0,270.0,78.0,105.0,225.0,112.0,23.0,179.0,179.0,288.0,565.0,0.0,0.0,0.0,731.0,707.0,1431.0,1144.0,1180.0,2419.0,253.0,290.0,607.0,89.0,92.0,218.0,298.0,495.0,843.0,0.0,0.0,0.0,1904.0,2220.0,4177.0,2594.0,2948.0,5616.0,78.0,41.0,146.0,145.0,274.0,478.0,0.0,0.0,0.0,285.0,356.0,716.0,1161.0,1333.0,2524.0,11891.0,11706.0,23659.0,23659.0
Berwick,1116.0,1034.0,2211.0,2912.0,2785.0,5651.0,740.0,722.0,1477.0,736.0,866.0,1656.0,4386.0,4363.0,8788.0,1699.0,1562.0,3227.0,786.0,777.0,1586.0,809.0,902.0,1769.0,3361.0,3229.0,6588.0,101.0,124.0,287.0,134.0,141.0,314.0,338.0,85.0,437.0,226.0,555.0,848.0,0.0,0.0,0.0,980.0,1102.0,2081.0,848.0,1170.0,2099.0,165.0,363.0,611.0,43.0,103.0,209.0,263.0,492.0,797.0,0.0,0.0,4.0,1562.0,2273.0,3799.0,2610.0,3303.0,5854.0,109.0,119.0,276.0,222.0,252.0,548.0,0.0,0.0,0.0,387.0,451.0,872.0,1369.0,1467.0,2902.0,13353.0,13843.0,27214.0,27214.0
