district,M_0_4_yrs_Need_for_assistance_n,M_0_4_No_need_for_assistance_n,M_0_4_Need_for_assistance_ns_n,M_0_4_yrs_Tot_n,M_5_14_Need_for_assistance_n,M_5_14_No_need_for_assistance_n,M_5_14_Need_for_assistance_ns_n,M_5_14_yrs_Tot_n,M_15_19_Need_for_assistance_n,M_15_19_No_need_for_assistnce_n,M_15_19_Need_for_assistnce_ns_n,M_15_19_yrs_Tot_n,M_20_24_Need_for_assistance_n,M_20_24_No_need_for_assistnce_n,M_20_24_Need_for_assistnce_ns_n,M_20_24_yrs_Tot_n,M_25_34_Need_for_assistance_n,M_25_34_No_need_for_assistnce_n,M_25_34_Need_for_assistnce_ns_n,M_25_34_yrs_Tot_n,M_35_44_Need_for_assistance_n,M_35_44_No_need_for_assistnce_n,M_35_44_Need_for_assistnce_ns_n,M_35_44_yrs_Tot_n,M_45_54_Need_for_assistance_n,M_45_54_No_need_for_assistnce_n,M_45_54_Need_for_assistnce_ns_n,M_45_54_yrs_Tot_n,M_55_64_Need_for_assistance_n,M_55_64_No_need_for_assistnce_n,M_55_64_Need_for_assistnce_ns_n,M_55_64_yrs_Tot_n,M_65_74_Need_for_assistance_n,M_65_74_No_need_for_assistnce_n,M_65_74_Need_for_assistnce_ns_n,M_65_74_yrs_Tot_n,M_75_84_Need_for_assistance_n,M_75_84_No_need_for_assistnce_n,M_75_84_Need_for_assistnce_ns_n,M_75_84_yrs_Tot_n,M_85_over_Need_for_assistance_n,M_85_ov_No_need_for_assistnce_n,M_85_ov_Need_for_assistnce_ns_n,M_85_yrs_over_Tot_n,M_Tot_Need_for_assistance_n,M_Tot_No_need_for_assistance_n,M_Tot_Need_for_assistance_ns_n,M_Tot_Tot_n,F_0_4_yrs_Need_for_assistance_n,F_0_4_No_need_for_assistance_n,F_0_4_Need_for_assistance_ns_n,F_0_4_yrs_Tot_n,F_5_14_Need_for_assistance_n,F_5_14_No_need_for_assistance_n,F_5_14_Need_for_assistance_ns_n,F_5_14_yrs_Tot_n,F_15_19_Need_for_assistance_n,F_15_19_No_need_for_assistnce_n,F_15_19_Need_for_assistnce_ns_n,F_15_19_yrs_Tot_n,F_20_24_Need_for_assistance_n,F_20_24_No_need_for_assistnce_n,F_20_24_Need_for_assistnce_ns_n,F_20_24_yrs_Tot_n,F_25_34_Need_for_assistance_n,F_25_34_No_need_for_assistnce_n,F_25_34_Need_for_assistnce_ns_n,F_25_34_yrs_Tot_n,F_35_44_Need_for_assistance_n,F_35_44_No_need_for_assistnce_n,F_35_44_Need_for_assistnce_ns_n,F_35_44_yrs_Tot_n,F_45_54_Need_for_assistance_n,F_45_54_No_need_for_assistnce_n,F_45_54_Need_for_assistnce_ns_n,F_45_54_yrs_Tot_n,F_55_64_Need_for_assistance_n,F_55_64_No_need_for_assistnce_n,F_55_64_Need_for_assistnce_ns_n,F_55_64_yrs_Tot_n,F_65_74_Need_for_assistance_n,F_65_74_No_need_for_assistnce_n,F_65_74_Need_for_assistnce_ns_n,F_65_74_yrs_Tot_n,F_75_84_Need_for_assistance_n,F_75_84_No_need_for_assistnce_n,F_75_84_Need_for_assistnce_ns_n,F_75_84_yrs_Tot_n,F_85_over_Need_for_assistance_n,F_85_ov_No_need_for_assistnce_n,F_85_ov_Need_for_assistnce_ns_n,F_85_yrs_over_Tot_n,F_Tot_Need_for_assistance_n,F_Tot_No_need_for_assistance_n,F_Tot_Need_for_assistance_ns_n,F_Tot_Tot_n,P_0_4_yrs_Need_for_assistance_n,P_0_4_No_need_for_assistance_n,P_0_4_Need_for_assistance_ns_n,P_0_4_yrs_Tot_n,P_5_14_Need_for_assistance_n,P_5_14_No_need_for_assistance_n,P_5_14_Need_for_assistance_ns_n,P_5_14_yrs_Tot_n,P_15_19_Need_for_assistance_n,P_15_19_No_need_for_assistnce_n,P_15_19_Need_for_assistnce_ns_n,P_15_19_yrs_Tot_n,P_20_24_Need_for_assistance_n,P_20_24_No_need_for_assistnce_n,P_20_24_Need_for_assistnce_ns_n,P_20_24_yrs_Tot_n,P_25_34_Need_for_assistance_n,P_25_34_No_need_for_assistnce_n,P_25_34_Need_for_assistnce_ns_n,P_25_34_yrs_Tot_n,P_35_44_Need_for_assistance_n,P_35_44_No_need_for_assistnce_n,P_35_44_Need_for_assistnce_ns_n,P_35_44_yrs_Tot_n,P_45_54_Need_for_assistance_n,P_45_54_No_need_for_assistnce_n,P_45_54_Need_for_assistnce_ns_n,P_45_54_yrs_Tot_n,P_55_64_Need_for_assistance_n,P_55_64_No_need_for_assistnce_n,P_55_64_Need_for_assistnce_ns_n,P_55_64_yrs_Tot_n,P_65_74_Need_for_assistance_n,P_65_74_No_need_for_assistnce_n,P_65_74_Need_for_assistnce_ns_n,P_65_74_yrs_Tot_n,P_75_84_Need_for_assistance_n,P_75_84_No_need_for_assistnce_n,P_75_84_Need_for_assistnce_ns_n,P_75_84_yrs_Tot_n,P_85_over_Need_for_assistance_n,P_85_ov_No_need_for_assistnce_n,P_85_ov_Need_for_assistnce_ns_n,P_85_yrs_over_Tot_n,P_Tot_Need_for_assistance_n,P_Tot_No_need_for_assistance_n,P_Tot_Need_for_assistance_ns_n,P_Tot_Tot_n,P_Tot_Tot_total
Albert Park,0.0,1365.0,50.0,1443.0,38.0,2271.0,80.0,2476.0,3.0,1100.0,33.0,1171.0,5.0,2208.0,121.0,2397.0,10.0,8276.0,546.0,8941.0,44.0,5967.0,336.0,6477.0,53.0,4465.0,304.0,4892.0,128.0,3617.0,283.0,4135.0,140.0,2384.0,141.0,2784.0,196.0,1106.0,67.0,1424.0,121.0,161.0,15.0,355.0,1097.0,33039.0,2429.0,36565.0,0.0,1260.0,60.0,1365.0,34.0,2298.0,117.0,2463.0,4.0,1118.0,10.0,1204.0,0.0,2394.0,113.0,2536.0,45.0,8619.0,558.0,9236.0,56.0,5860.0,361.0,6345.0,86.0,4704.0,252.0,5082.0,107.0,3661.0,195.0,4082.0,213.0,2503.0,132.0,2911.0,344.0,1019.0,98.0,1539.0,264.0,185.0,32.0,496.0,1461.0,33637.0,2330.0,37438.0,0.0,2697.0,122.0,2850.0,80.0,4551.0,236.0,4890.0,14.0,2151.0,56.0,2346.0,8.0,4669.0,266.0,5024.0,86.0,16783.0,1161.0,18122.0,119.0,11857.0,803.0,12879.0,151.0,9201.0,615.0,10005.0,271.0,7297.0,533.0,8170.0,410.0,4936.0,303.0,5702.0,593.0,2207.0,186.0,3058.0,401.0,369.0,49.0,943.0,2507.0,66759.0,4781.0,73990.0,73990.0
Ashwood,0.0,1806.0,31.0,1938.0,170.0,4702.0,128.0,5070.0,43.0,2440.0,35.0,2603.0,27.0,2988.0,131.0,3207.0,30.0,5184.0,291.0,5521.0,32.0,4921.0,115.0,5219.0,69.0,5004.0,125.0,5301.0,98.0,4188.0,82.0,4517.0,214.0,2921.0,29.0,3218.0,385.0,1523.0,46.0,2049.0,399.0,449.0,0.0,957.0,1880.0,36279.0,1504.0,39672.0,3.0,1752.0,32.0,1873.0,50.0,4720.0,89.0,4903.0,8.0,2341.0,42.0,2463.0,10.0,2627.0,82.0,2820.0,16.0,4618.0,173.0,4935.0,31.0,5415.0,125.0,5640.0,111.0,5508.0,117.0,5820.0,167.0,4507.0,81.0,4899.0,282.0,3108.0,75.0,3578.0,666.0,1920.0,55.0,2624.0,730.0,521.0,27.0,1378.0,2439.0,37111.0,1412.0,40947.0,6.0,3596.0,84.0,3807.0,247.0,9423.0,284.0,10013.0,92.0,4753.0,98.0,5083.0,50.0,5633.0,248.0,6012.0,67.0,9786.0,522.0,10505.0,89.0,10326.0,344.0,10890.0,198.0,10487.0,287.0,11140.0,318.0,8724.0,231.0,9372.0,514.0,5988.0,179.0,6764.0,1072.0,3464.0,137.0,4731.0,1199.0,1035.0,50.0,2343.0,4307.0,73325.0,2917.0,80602.0,80602.0
Bass,3.0,1790.0,70.0,1892.0,201.0,3447.0,194.0,3920.0,13.0,1516.0,28.0,1619.0,8.0,1318.0,47.0,1447.0,47.0,3453.0,162.0,3761.0,51.0,3412.0,239.0,3771.0,96.0,3444.0,200.0,3860.0,231.0,4032.0,257.0,4460.0,335.0,3947.0,228.0,4595.0,364.0,1753.0,110.0,2296.0,214.0,267.0,26.0,603.0,1940.0,28408.0,2052.0,32398.0,3.0,1771.0,86.0,1911.0,41.0,3397.0,231.0,3742.0,11.0,1480.0,35.0,1612.0,14.0,1345.0,32.0,1472.0,44.0,3814.0,167.0,4075.0,59.0,3556.0,190.0,3917.0,112.0,3606.0,138.0,4031.0,203.0,4432.0,243.0,4953.0,360.0,4004.0,236.0,4655.0,400.0,1709.0,126.0,2291.0,395.0,318.0,26.0,837.0,2098.0,29356.0,2054.0,33461.0,12.0,3523.0,188.0,3817.0,290.0,6831.0,498.0,7710.0,73.0,3008.0,129.0,3309.0,33.0,2690.0,135.0,2904.0,113.0,7257.0,402.0,7886.0,162.0,6998.0,481.0,7696.0,278.0,6988.0,413.0,7836.0,448.0,8407.0,552.0,9480.0,737.0,7911.0,546.0,9202.0,779.0,3451.0,305.0,4575.0,661.0,626.0,110.0,1457.0,4105.0,57736.0,4083.0,65879.0,65879.0
Bayswater,26.0,2002.0,50.0,2142.0,246.0,3947.0,131.0,4413.0,50.0,1779.0,22.0,1984.0,25.0,1940.0,42.0,2104.0,84.0,4811.0,172.0,5145.0,71.0,5024.0,173.0,5399.0,144.0,4178.0,133.0,4530.0,109.0,3628.0,62.0,3943.0,210.0,2997.0,72.0,3391.0,339.0,1463.0,49.0,2001.0,208.0,265.0,31.0,642.0,2004.0,32142.0,1458.0,35635.0,0.0,2033.0,63.0,2157.0,126.0,3738.0,114.0,4063.0,18.0,1617.0,38.0,1775.0,23.0,1889.0,29.0,2041.0,63.0,4914.0,150.0,5246.0,111.0,5236.0,134.0,5609.0,116.0,4357.0,85.0,4637.0,181.0,3985.0,92.0,4390.0,339.0,3590.0,91.0,4102.0,548.0,1581.0,56.0,2243.0,507.0,239.0,83.0,1031.0,2506.0,33301.0,1495.0,37316.0,41.0,4039.0,119.0,4255.0,404.0,7673.0,341.0,8513.0,82.0,3404.0,104.0,3681.0,77.0,3786.0,108.0,4102.0,211.0,9679.0,374.0,10404.0,239.0,10248.0,385.0,10958.0,312.0,8528.0,299.0,9230.0,403.0,7619.0,206.0,8312.0,627.0,6622.0,195.0,7517.0,959.0,3097.0,136.0,4297.0,822.0,611.0,129.0,1694.0,4544.0,65399.0,3022.0,72983.0,72983.0
Bellarine,0.0,1629.0,55.0,1717.0,237.0,3819.0,158.0,4268.0,58.0,1685.0,28.0,1821.0,17.0,1321.0,21.0,1450.0,29.0,2826.0,74.0,3038.0,28.0,3472.0,101.0,3703.0,65.0,3758.0,148.0,4004.0,118.0,4087.0,157.0,4456.0,286.0,4632.0,219.0,5230.0,401.0,2118.0,152.0,2751.0,240.0,364.0,59.0,729.0,1906.0,29813.0,1615.0,33351.0,4.0,1545.0,26.0,1661.0,66.0,3734.0,153.0,4099.0,41.0,1604.0,27.0,1725.0,20.0,1271.0,16.0,1399.0,24.0,3030.0,67.0,3239.0,46.0,3917.0,122.0,4227.0,80.0,4309.0,106.0,4590.0,203.0,5015.0,177.0,5437.0,283.0,5091.0,245.0,5744.0,468.0,2320.0,173.0,3005.0,519.0,391.0,140.0,1174.0,2235.0,32159.0,1767.0,36117.0,10.0,3219.0,89.0,3387.0,370.0,7581.0,413.0,8402.0,142.0,3170.0,95.0,3466.0,44.0,2581.0,73.0,2837.0,102.0,5872.0,176.0,6250.0,91.0,7430.0,287.0,7903.0,170.0,7990.0,316.0,8618.0,412.0,9078.0,410.0,9942.0,651.0,9711.0,504.0,10964.0,888.0,4481.0,374.0,5750.0,820.0,872.0,205.0,2013.0,4095.0,62039.0,3350.0,69516.0,69516.0
Benambra,26.0,1770.0,59.0,1857.0,350.0,3817.0,280.0,4481.0,80.0,1929.0,79.0,2145.0,38.0,1517.0,71.0,1743.0,38.0,3460.0,181.0,3832.0,62.0,3393.0,227.0,3784.0,109.0,3648.0,193.0,4060.0,182.0,3836.0,197.0,4280.0,328.0,3326.0,159.0,3972.0,360.0,1451.0,66.0,1947.0,180.0,257.0,19.0,547.0,2253.0,28496.0,2078.0,32791.0,11.0,1848.0,49.0,1981.0,197.0,3909.0,244.0,4367.0,29.0,1776.0,89.0,1944.0,13.0,1423.0,41.0,1648.0,73.0,3639.0,164.0,3916.0,86.0,3863.0,179.0,4222.0,111.0,3946.0,160.0,4338.0,243.0,4212.0,138.0,4661.0,304.0,3536.0,98.0,4014.0,377.0,1584.0,93.0,2099.0,465.0,286.0,75.0,874.0,2262.0,29901.0,1872.0,34027.0,42.0,3546.0,167.0,3808.0,607.0,7701.0,515.0,8864.0,141.0,3618.0,220.0,4052.0,68.0,3034.0,146.0,3392.0,164.0,7089.0,447.0,7781.0,207.0,7214.0,497.0,8013.0,307.0,7646.0,425.0,8474.0,474.0,7974.0,415.0,8939.0,716.0,6885.0,351.0,8029.0,738.0,3063.0,226.0,4115.0,679.0,603.0,106.0,1460.0,4530.0,58439.0,3948.0,66799.0,66799.0
Bendigo East,16.0,2031.0,59.0,2263.0,377.0,4359.0,224.0,5021.0,107.0,1939.0,63.0,2208.0,57.0,1997.0,72.0,2176.0,144.0,3985.0,174.0,4385.0,87.0,3818.0,130.0,4130.0,128.0,3680.0,189.0,4125.0,193.0,3736.0,199.0,4184.0,267.0,3223.0,159.0,3736.0,323.0,1417.0,71.0,1903.0,191.0,248.0,56.0,617.0,2279.0,30547.0,1957.0,34793.0,6.0,1960.0,67.0,2125.0,127.0,4234.0,188.0,4725.0,54.0,1957.0,59.0,2116.0,25.0,2080.0,49.0,2237.0,45.0,4459.0,174.0,4790.0,122.0,4255.0,185.0,4649.0,121.0,4166.0,158.0,4550.0,250.0,4192.0,194.0,4698.0,292.0,3426.0,120.0,3967.0,373.0,1577.0,74.0,2126.0,430.0,374.0,113.0,1005.0,2387.0,32803.0,1932.0,37078.0,25.0,4031.0,184.0,4349.0,615.0,8637.0,482.0,9782.0,219.0,3889.0,155.0,4387.0,97.0,4129.0,162.0,4434.0,190.0,8485.0,432.0,9179.0,229.0,8038.0,407.0,8738.0,302.0,7830.0,441.0,8657.0,504.0,7890.0,501.0,8897.0,669.0,6681.0,334.0,7760.0,730.0,3116.0,216.0,4080.0,721.0,692.0,205.0,1678.0,4672.0,63264.0,3894.0,71883.0,71883.0
Bendigo West,29.0,1519.0,64.0,1684.0,274.0,3270.0,198.0,3772.0,81.0,1512.0,45.0,1666.0,42.0,1433.0,118.0,1684.0,97.0,3305.0,447.0,3841.0,97.0,3220.0,329.0,3777.0,137.0,3372.0,283.0,3817.0,187.0,3515.0,214.0,3956.0,263.0,3321.0,211.0,3904.0,294.0,1631.0,145.0,2142.0,240.0,308.0,102.0,747.0,2184.0,26318.0,2494.0,30977.0,9.0,1550.0,54.0,1723.0,133.0,3153.0,186.0,3534.0,41.0,1499.0,49.0,1660.0,28.0,1472.0,46.0,1604.0,77.0,3530.0,256.0,3909.0,42.0,3495.0,198.0,3857.0,111.0,3693.0,167.0,4087.0,227.0,3979.0,164.0,4506.0,349.0,3588.0,177.0,4191.0,463.0,1780.0,150.0,2421.0,473.0,377.0,216.0,1160.0,2426.0,28056.0,2132.0,32557.0,54.0,3144.0,147.0,3347.0,429.0,6398.0,412.0,7334.0,155.0,2955.0,158.0,3340.0,89.0,2853.0,192.0,3241.0,212.0,6814.0,690.0,7696.0,236.0,6734.0,591.0,7577.0,301.0,6996.0,507.0,7924.0,469.0,7483.0,479.0,8503.0,664.0,6900.0,438.0,8047.0,783.0,3384.0,294.0,4600.0,747.0,724.0,294.0,1891.0,4557.0,54330.0,4629.0,63548.0,63548.0
Bentleigh,3.0,2055.0,16.0,2133.0,146.0,5087.0,128.0,5492.0,17.0,2378.0,39.0,2546.0,3.0,1976.0,21.0,2118.0,19.0,4164.0,155.0,4419.0,38.0,5176.0,118.0,5469.0,73.0,5310.0,125.0,5604.0,88.0,3936.0,86.0,4177.0,141.0,2537.0,44.0,2833.0,307.0,1202.0,23.0,1645.0,310.0,376.0,22.0,812.0,1581.0,34366.0,1287.0,37234.0,0.0,1940.0,20.0,1993.0,64.0,4792.0,136.0,5025.0,13.0,2189.0,18.0,2303.0,7.0,1862.0,41.0,1967.0,43.0,4130.0,114.0,4383.0,54.0,5823.0,126.0,6143.0,73.0,5778.0,137.0,6092.0,145.0,4087.0,65.0,4400.0,256.0,2857.0,91.0,3261.0,595.0,1576.0,44.0,2274.0,738.0,567.0,49.0,1564.0,2339.0,35654.0,1386.0,39357.0,3.0,3975.0,65.0,4113.0,261.0,9895.0,345.0,10563.0,51.0,4552.0,86.0,4854.0,21.0,3862.0,93.0,4082.0,65.0,8322.0,355.0,8774.0,108.0,11057.0,329.0,11502.0,201.0,11136.0,329.0,11664.0,325.0,7974.0,202.0,8616.0,529.0,5375.0,201.0,6187.0,961.0,2809.0,137.0,3900.0,1098.0,1033.0,92.0,2336.0,3985.0,69957.0,2706.0,76665.0,76665.0
Berwick,21.0,2850.0,149.0,3017.0,254.0,6033.0,223.0,6546.0,33.0,2695.0,41.0,2907.0,30.0,2434.0,61.0,2577.0,27.0,4810.0,214.0,5023.0,40.0,6330.0,154.0,6616.0,56.0,5069.0,136.0,5397.0,66.0,3497.0,92.0,3711.0,121.0,1944.0,26.0,2242.0,173.0,969.0,31.0,1219.0,129.0,168.0,8.0,365.0,1505.0,36833.0,1541.0,39857.0,6.0,2674.0,82.0,2889.0,98.0,5997.0,222.0,6428.0,24.0,2476.0,43.0,2596.0,6.0,2213.0,15.0,2310.0,23.0,5269.0,202.0,5609.0,43.0,6605.0,166.0,7018.0,97.0,5166.0,104.0,5450.0,102.0,3487.0,67.0,3783.0,177.0,2328.0,56.0,2693.0,305.0,1076.0,50.0,1583.0,236.0,206.0,18.0,530.0,1653.0,37807.0,1615.0,41053.0,47.0,5652.0,274.0,6003.0,429.0,12078.0,511.0,13061.0,92.0,5193.0,117.0,5497.0,47.0,4671.0,109.0,4962.0,82.0,10039.0,427.0,10729.0,100.0,13017.0,427.0,13605.0,216.0,10297.0,302.0,10849.0,246.0,6933.0,204.0,7493.0,386.0,4313.0,167.0,4955.0,548.0,2126.0,114.0,2897.0,379.0,430.0,46.0,925.0,3138.0,74645.0,3173.0,80938.0,80938.0
