district,M_0_4_yrs_Need_for_assistance_pc,M_0_4_No_need_for_assistance_pc,M_0_4_Need_for_assistance_ns_pc,M_0_4_yrs_Tot_pc,M_5_14_Need_for_assistance_pc,M_5_14_No_need_for_assistance_pc,M_5_14_Need_for_assistance_ns_pc,M_5_14_yrs_Tot_pc,M_15_19_Need_for_assistance_pc,M_15_19_No_need_for_assistnce_pc,M_15_19_Need_for_assistnce_ns_pc,M_15_19_yrs_Tot_pc,M_20_24_Need_for_assistance_pc,M_20_24_No_need_for_assistnce_pc,M_20_24_Need_for_assistnce_ns_pc,M_20_24_yrs_Tot_pc,M_25_34_Need_for_assistance_pc,M_25_34_No_need_for_assistnce_pc,M_25_34_Need_for_assistnce_ns_pc,M_25_34_yrs_Tot_pc,M_35_44_Need_for_assistance_pc,M_35_44_No_need_for_assistnce_pc,M_35_44_Need_for_assistnce_ns_pc,M_35_44_yrs_Tot_pc,M_45_54_Need_for_assistance_pc,M_45_54_No_need_for_assistnce_pc,M_45_54_Need_for_assistnce_ns_pc,M_45_54_yrs_Tot_pc,M_55_64_Need_for_assistance_pc,M_55_64_No_need_for_assistnce_pc,M_55_64_Need_for_assistnce_ns_pc,M_55_64_yrs_Tot_pc,M_65_74_Need_for_assistance_pc,M_65_74_No_need_for_assistnce_pc,M_65_74_Need_for_assistnce_ns_pc,M_65_74_yrs_Tot_pc,M_75_84_Need_for_assistance_pc,M_75_84_No_need_for_assistnce_pc,M_75_84_Need_for_assistnce_ns_pc,M_75_84_yrs_Tot_pc,M_85_over_Need_for_assistance_pc,M_85_ov_No_need_for_assistnce_pc,M_85_ov_Need_for_assistnce_ns_pc,M_85_yrs_over_Tot_pc,M_Tot_Need_for_assistance_pc,M_Tot_No_need_for_assistance_pc,M_Tot_Need_for_assistance_ns_pc,M_Tot_Tot_pc,F_0_4_yrs_Need_for_assistance_pc,F_0_4_No_need_for_assistance_pc,F_0_4_Need_for_assistance_ns_pc,F_0_4_yrs_Tot_pc,F_5_14_Need_for_assistance_pc,F_5_14_No_need_for_assistance_pc,F_5_14_Need_for_assistance_ns_pc,F_5_14_yrs_Tot_pc,F_15_19_Need_for_assistance_pc,F_15_19_No_need_for_assistnce_pc,F_15_19_Need_for_assistnce_ns_pc,F_15_19_yrs_Tot_pc,F_20_24_Need_for_assistance_pc,F_20_24_No_need_for_assistnce_pc,F_20_24_Need_for_assistnce_ns_pc,F_20_24_yrs_Tot_pc,F_25_34_Need_for_assistance_pc,F_25_34_No_need_for_assistnce_pc,F_25_34_Need_for_assistnce_ns_pc,F_25_34_yrs_Tot_pc,F_35_44_Need_for_assistance_pc,F_35_44_No_need_for_assistnce_pc,F_35_44_Need_for_assistnce_ns_pc,F_35_44_yrs_Tot_pc,F_45_54_Need_for_assistance_pc,F_45_54_No_need_for_assistnce_pc,F_45_54_Need_for_assistnce_ns_pc,F_45_54_yrs_Tot_pc,F_55_64_Need_for_assistance_pc,F_55_64_No_need_for_assistnce_pc,F_55_64_Need_for_assistnce_ns_pc,F_55_64_yrs_Tot_pc,F_65_74_Need_for_assistance_pc,F_65_74_No_need_for_assistnce_pc,F_65_74_Need_for_assistnce_ns_pc,F_65_74_yrs_Tot_pc,F_75_84_Need_for_assistance_pc,F_75_84_No_need_for_assistnce_pc,F_75_84_Need_for_assistnce_ns_pc,F_75_84_yrs_Tot_pc,F_85_over_Need_for_assistance_pc,F_85_ov_No_need_for_assistnce_pc,F_85_ov_Need_for_assistnce_ns_pc,F_85_yrs_over_Tot_pc,F_Tot_Need_for_assistance_pc,F_Tot_No_need_for_assistance_pc,F_Tot_Need_for_assistance_ns_pc,F_Tot_Tot_pc,P_0_4_yrs_Need_for_assistance_pc,P_0_4_No_need_for_assistance_pc,P_0_4_Need_for_assistance_ns_pc,P_0_4_yrs_Tot_pc,P_5_14_Need_for_assistance_pc,P_5_14_No_need_for_assistance_pc,P_5_14_Need_for_assistance_ns_pc,P_5_14_yrs_Tot_pc,P_15_19_Need_for_assistance_pc,P_15_19_No_need_for_assistnce_pc,P_15_19_Need_for_assistnce_ns_pc,P_15_19_yrs_Tot_pc,P_20_24_Need_for_assistance_pc,P_20_24_No_need_for_assistnce_pc,P_20_24_Need_for_assistnce_ns_pc,P_20_24_yrs_Tot_pc,P_25_34_Need_for_assistance_pc,P_25_34_No_need_for_assistnce_pc,P_25_34_Need_for_assistnce_ns_pc,P_25_34_yrs_Tot_pc,P_35_44_Need_for_assistance_pc,P_35_44_No_need_for_assistnce_pc,P_35_44_Need_for_assistnce_ns_pc,P_35_44_yrs_Tot_pc,P_45_54_Need_for_assistance_pc,P_45_54_No_need_for_assistnce_pc,P_45_54_Need_for_assistnce_ns_pc,P_45_54_yrs_Tot_pc,P_55_64_Need_for_assistance_pc,P_55_64_No_need_for_assistnce_pc,P_55_64_Need_for_assistnce_ns_pc,P_55_64_yrs_Tot_pc,P_65_74_Need_for_assistance_pc,P_65_74_No_need_for_assistnce_pc,P_65_74_Need_for_assistnce_ns_pc,P_65_74_yrs_Tot_pc,P_75_84_Need_for_assistance_pc,P_75_84_No_need_for_assistnce_pc,P_75_84_Need_for_assistnce_ns_pc,P_75_84_yrs_Tot_pc,P_85_over_Need_for_assistance_pc,P_85_ov_No_need_for_assistnce_pc,P_85_ov_Need_for_assistnce_ns_pc,P_85_yrs_over_Tot_pc,P_Tot_Need_for_assistance_pc,P_Tot_No_need_for_assistance_pc,P_Tot_Need_for_assistance_ns_pc,P_Tot_Tot_pc
Albert Park,0.0,0.0184,0.0007,0.0195,0.0005,0.0307,0.0011,0.0335,0.0,0.0149,0.0004,0.0158,0.0001,0.0298,0.0016,0.0324,0.0001,0.1119,0.0074,0.1208,0.0006,0.0806,0.0045,0.0875,0.0007,0.0603,0.0041,0.0661,0.0017,0.0489,0.0038,0.0559,0.0019,0.0322,0.0019,0.0376,0.0026,0.0149,0.0009,0.0192,0.0016,0.0022,0.0002,0.0048,0.0148,0.4465,0.0328,0.4942,0.0,0.017,0.0008,0.0184,0.0005,0.0311,0.0016,0.0333,0.0001,0.0151,0.0001,0.0163,0.0,0.0324,0.0015,0.0343,0.0006,0.1165,0.0075,0.1248,0.0008,0.0792,0.0049,0.0858,0.0012,0.0636,0.0034,0.0687,0.0014,0.0495,0.0026,0.0552,0.0029,0.0338,0.0018,0.0393,0.0046,0.0138,0.0013,0.0208,0.0036,0.0025,0.0004,0.0067,0.0197,0.4546,0.0315,0.506,0.0,0.0365,0.0016,0.0385,0.0011,0.0615,0.0032,0.0661,0.0002,0.0291,0.0008,0.0317,0.0001,0.0631,0.0036,0.0679,0.0012,0.2268,0.0157,0.2449,0.0016,0.1603,0.0109,0.1741,0.002,0.1244,0.0083,0.1352,0.0037,0.0986,0.0072,0.1104,0.0055,0.0667,0.0041,0.0771,0.008,0.0298,0.0025,0.0413,0.0054,0.005,0.0007,0.0127,0.0339,0.9023,0.0646,1.0
Ashwood,0.0,0.0224,0.0004,0.024,0.0021,0.0583,0.0016,0.0629,0.0005,0.0303,0.0004,0.0323,0.0003,0.0371,0.0016,0.0398,0.0004,0.0643,0.0036,0.0685,0.0004,0.0611,0.0014,0.0648,0.0009,0.0621,0.0016,0.0658,0.0012,0.052,0.001,0.056,0.0027,0.0362,0.0004,0.0399,0.0048,0.0189,0.0006,0.0254,0.005,0.0056,0.0,0.0119,0.0233,0.4501,0.0187,0.4922,0.0,0.0217,0.0004,0.0232,0.0006,0.0586,0.0011,0.0608,0.0001,0.029,0.0005,0.0306,0.0001,0.0326,0.001,0.035,0.0002,0.0573,0.0021,0.0612,0.0004,0.0672,0.0016,0.07,0.0014,0.0683,0.0015,0.0722,0.0021,0.0559,0.001,0.0608,0.0035,0.0386,0.0009,0.0444,0.0083,0.0238,0.0007,0.0326,0.0091,0.0065,0.0003,0.0171,0.0303,0.4604,0.0175,0.508,0.0001,0.0446,0.001,0.0472,0.0031,0.1169,0.0035,0.1242,0.0011,0.059,0.0012,0.0631,0.0006,0.0699,0.0031,0.0746,0.0008,0.1214,0.0065,0.1303,0.0011,0.1281,0.0043,0.1351,0.0025,0.1301,0.0036,0.1382,0.0039,0.1082,0.0029,0.1163,0.0064,0.0743,0.0022,0.0839,0.0133,0.043,0.0017,0.0587,0.0149,0.0128,0.0006,0.0291,0.0534,0.9097,0.0362,1.0
Bass,0.0,0.0272,0.0011,0.0287,0.0031,0.0523,0.0029,0.0595,0.0002,0.023,0.0004,0.0246,0.0001,0.02,0.0007,0.022,0.0007,0.0524,0.0025,0.0571,0.0008,0.0518,0.0036,0.0572,0.0015,0.0523,0.003,0.0586,0.0035,0.0612,0.0039,0.0677,0.0051,0.0599,0.0035,0.0697,0.0055,0.0266,0.0017,0.0349,0.0032,0.0041,0.0004,0.0092,0.0294,0.4312,0.0311,0.4918,0.0,0.0269,0.0013,0.029,0.0006,0.0516,0.0035,0.0568,0.0002,0.0225,0.0005,0.0245,0.0002,0.0204,0.0005,0.0223,0.0007,0.0579,0.0025,0.0619,0.0009,0.054,0.0029,0.0595,0.0017,0.0547,0.0021,0.0612,0.0031,0.0673,0.0037,0.0752,0.0055,0.0608,0.0036,0.0707,0.0061,0.0259,0.0019,0.0348,0.006,0.0048,0.0004,0.0127,0.0318,0.4456,0.0312,0.5079,0.0002,0.0535,0.0029,0.0579,0.0044,0.1037,0.0076,0.117,0.0011,0.0457,0.002,0.0502,0.0005,0.0408,0.002,0.0441,0.0017,0.1102,0.0061,0.1197,0.0025,0.1062,0.0073,0.1168,0.0042,0.1061,0.0063,0.1189,0.0068,0.1276,0.0084,0.1439,0.0112,0.1201,0.0083,0.1397,0.0118,0.0524,0.0046,0.0694,0.01,0.0095,0.0017,0.0221,0.0623,0.8764,0.062,1.0
Bayswater,0.0004,0.0274,0.0007,0.0293,0.0034,0.0541,0.0018,0.0605,0.0007,0.0244,0.0003,0.0272,0.0003,0.0266,0.0006,0.0288,0.0012,0.0659,0.0024,0.0705,0.001,0.0688,0.0024,0.074,0.002,0.0572,0.0018,0.0621,0.0015,0.0497,0.0008,0.054,0.0029,0.0411,0.001,0.0465,0.0046,0.02,0.0007,0.0274,0.0028,0.0036,0.0004,0.0088,0.0275,0.4404,0.02,0.4883,0.0,0.0279,0.0009,0.0296,0.0017,0.0512,0.0016,0.0557,0.0002,0.0222,0.0005,0.0243,0.0003,0.0259,0.0004,0.028,0.0009,0.0673,0.0021,0.0719,0.0015,0.0717,0.0018,0.0769,0.0016,0.0597,0.0012,0.0635,0.0025,0.0546,0.0013,0.0602,0.0046,0.0492,0.0012,0.0562,0.0075,0.0217,0.0008,0.0307,0.0069,0.0033,0.0011,0.0141,0.0343,0.4563,0.0205,0.5113,0.0006,0.0553,0.0016,0.0583,0.0055,0.1051,0.0047,0.1166,0.0011,0.0466,0.0014,0.0504,0.0011,0.0519,0.0015,0.0562,0.0029,0.1326,0.0051,0.1426,0.0033,0.1404,0.0053,0.1501,0.0043,0.1168,0.0041,0.1265,0.0055,0.1044,0.0028,0.1139,0.0086,0.0907,0.0027,0.103,0.0131,0.0424,0.0019,0.0589,0.0113,0.0084,0.0018,0.0232,0.0623,0.8961,0.0414,1.0
Bellarine,0.0,0.0234,0.0008,0.0247,0.0034,0.0549,0.0023,0.0614,0.0008,0.0242,0.0004,0.0262,0.0002,0.019,0.0003,0.0209,0.0004,0.0407,0.0011,0.0437,0.0004,0.0499,0.0015,0.0533,0.0009,0.0541,0.0021,0.0576,0.0017,0.0588,0.0023,0.0641,0.0041,0.0666,0.0032,0.0752,0.0058,0.0305,0.0022,0.0396,0.0035,0.0052,0.0008,0.0105,0.0274,0.4289,0.0232,0.4798,0.0001,0.0222,0.0004,0.0239,0.0009,0.0537,0.0022,0.059,0.0006,0.0231,0.0004,0.0248,0.0003,0.0183,0.0002,0.0201,0.0003,0.0436,0.001,0.0466,0.0007,0.0563,0.0018,0.0608,0.0012,0.062,0.0015,0.066,0.0029,0.0721,0.0025,0.0782,0.0041,0.0732,0.0035,0.0826,0.0067,0.0334,0.0025,0.0432,0.0075,0.0056,0.002,0.0169,0.0322,0.4626,0.0254,0.5195,0.0001,0.0463,0.0013,0.0487,0.0053,0.1091,0.0059,0.1209,0.002,0.0456,0.0014,0.0499,0.0006,0.0371,0.0011,0.0408,0.0015,0.0845,0.0025,0.0899,0.0013,0.1069,0.0041,0.1137,0.0024,0.1149,0.0045,0.124,0.0059,0.1306,0.0059,0.143,0.0094,0.1397,0.0073,0.1577,0.0128,0.0645,0.0054,0.0827,0.0118,0.0125,0.0029,0.029,0.0589,0.8924,0.0482,1.0
Benambra,0.0004,0.0265,0.0009,0.0278,0.0052,0.0571,0.0042,0.0671,0.0012,0.0289,0.0012,0.0321,0.0006,0.0227,0.0011,0.0261,0.0006,0.0518,0.0027,0.0574,0.0009,0.0508,0.0034,0.0566,0.0016,0.0546,0.0029,0.0608,0.0027,0.0574,0.0029,0.0641,0.0049,0.0498,0.0024,0.0595,0.0054,0.0217,0.001,0.0291,0.0027,0.0038,0.0003,0.0082,0.0337,0.4266,0.0311,0.4909,0.0002,0.0277,0.0007,0.0297,0.0029,0.0585,0.0037,0.0654,0.0004,0.0266,0.0013,0.0291,0.0002,0.0213,0.0006,0.0247,0.0011,0.0545,0.0025,0.0586,0.0013,0.0578,0.0027,0.0632,0.0017,0.0591,0.0024,0.0649,0.0036,0.0631,0.0021,0.0698,0.0046,0.0529,0.0015,0.0601,0.0056,0.0237,0.0014,0.0314,0.007,0.0043,0.0011,0.0131,0.0339,0.4476,0.028,0.5094,0.0006,0.0531,0.0025,0.057,0.0091,0.1153,0.0077,0.1327,0.0021,0.0542,0.0033,0.0607,0.001,0.0454,0.0022,0.0508,0.0025,0.1061,0.0067,0.1165,0.0031,0.108,0.0074,0.12,0.0046,0.1145,0.0064,0.1269,0.0071,0.1194,0.0062,0.1338,0.0107,0.1031,0.0053,0.1202,0.011,0.0459,0.0034,0.0616,0.0102,0.009,0.0016,0.0219,0.0678,0.8748,0.0591,1.0
Bendigo East,0.0002,0.0283,0.0008,0.0315,0.0052,0.0606,0.0031,0.0698,0.0015,0.027,0.0009,0.0307,0.0008,0.0278,0.001,0.0303,0.002,0.0554,0.0024,0.061,0.0012,0.0531,0.0018,0.0575,0.0018,0.0512,0.0026,0.0574,0.0027,0.052,0.0028,0.0582,0.0037,0.0448,0.0022,0.052,0.0045,0.0197,0.001,0.0265,0.0027,0.0035,0.0008,0.0086,0.0317,0.425,0.0272,0.484,0.0001,0.0273,0.0009,0.0296,0.0018,0.0589,0.0026,0.0657,0.0008,0.0272,0.0008,0.0294,0.0003,0.0289,0.0007,0.0311,0.0006,0.062,0.0024,0.0666,0.0017,0.0592,0.0026,0.0647,0.0017,0.058,0.0022,0.0633,0.0035,0.0583,0.0027,0.0654,0.0041,0.0477,0.0017,0.0552,0.0052,0.0219,0.001,0.0296,0.006,0.0052,0.0016,0.014,0.0332,0.4563,0.0269,0.5158,0.0003,0.0561,0.0026,0.0605,0.0086,0.1202,0.0067,0.1361,0.003,0.0541,0.0022,0.061,0.0013,0.0574,0.0023,0.0617,0.0026,0.118,0.006,0.1277,0.0032,0.1118,0.0057,0.1216,0.0042,0.1089,0.0061,0.1204,0.007,0.1098,0.007,0.1238,0.0093,0.0929,0.0046,0.108,0.0102,0.0433,0.003,0.0568,0.01,0.0096,0.0029,0.0233,0.065,0.8801,0.0542,1.0
Bendigo West,0.0005,0.0239,0.001,0.0265,0.0043,0.0515,0.0031,0.0594,0.0013,0.0238,0.0007,0.0262,0.0007,0.0225,0.0019,0.0265,0.0015,0.052,0.007,0.0604,0.0015,0.0507,0.0052,0.0594,0.0022,0.0531,0.0045,0.0601,0.0029,0.0553,0.0034,0.0623,0.0041,0.0523,0.0033,0.0614,0.0046,0.0257,0.0023,0.0337,0.0038,0.0048,0.0016,0.0118,0.0344,0.4141,0.0392,0.4875,0.0001,0.0244,0.0008,0.0271,0.0021,0.0496,0.0029,0.0556,0.0006,0.0236,0.0008,0.0261,0.0004,0.0232,0.0007,0.0252,0.0012,0.0555,0.004,0.0615,0.0007,0.055,0.0031,0.0607,0.0017,0.0581,0.0026,0.0643,0.0036,0.0626,0.0026,0.0709,0.0055,0.0565,0.0028,0.066,0.0073,0.028,0.0024,0.0381,0.0074,0.0059,0.0034,0.0183,0.0382,0.4415,0.0335,0.5123,0.0008,0.0495,0.0023,0.0527,0.0068,0.1007,0.0065,0.1154,0.0024,0.0465,0.0025,0.0526,0.0014,0.0449,0.003,0.051,0.0033,0.1072,0.0109,0.1211,0.0037,0.106,0.0093,0.1192,0.0047,0.1101,0.008,0.1247,0.0074,0.1178,0.0075,0.1338,0.0104,0.1086,0.0069,0.1266,0.0123,0.0533,0.0046,0.0724,0.0118,0.0114,0.0046,0.0298,0.0717,0.8549,0.0728,1.0
Bentleigh,0.0,0.0268,0.0002,0.0278,0.0019,0.0664,0.0017,0.0716,0.0002,0.031,0.0005,0.0332,0.0,0.0258,0.0003,0.0276,0.0002,0.0543,0.002,0.0576,0.0005,0.0675,0.0015,0.0713,0.001,0.0693,0.0016,0.0731,0.0011,0.0513,0.0011,0.0545,0.0018,0.0331,0.0006,0.037,0.004,0.0157,0.0003,0.0215,0.004,0.0049,0.0003,0.0106,0.0206,0.4483,0.0168,0.4857,0.0,0.0253,0.0003,0.026,0.0008,0.0625,0.0018,0.0655,0.0002,0.0286,0.0002,0.03,0.0001,0.0243,0.0005,0.0257,0.0006,0.0539,0.0015,0.0572,0.0007,0.076,0.0016,0.0801,0.001,0.0754,0.0018,0.0795,0.0019,0.0533,0.0008,0.0574,0.0033,0.0373,0.0012,0.0425,0.0078,0.0206,0.0006,0.0297,0.0096,0.0074,0.0006,0.0204,0.0305,0.4651,0.0181,0.5134,0.0,0.0518,0.0008,0.0536,0.0034,0.1291,0.0045,0.1378,0.0007,0.0594,0.0011,0.0633,0.0003,0.0504,0.0012,0.0532,0.0008,0.1086,0.0046,0.1144,0.0014,0.1442,0.0043,0.15,0.0026,0.1453,0.0043,0.1521,0.0042,0.104,0.0026,0.1124,0.0069,0.0701,0.0026,0.0807,0.0125,0.0366,0.0018,0.0509,0.0143,0.0135,0.0012,0.0305,0.052,0.9125,0.0353,1.0
Berwick,0.0003,0.0352,0.0018,0.0373,0.0031,0.0745,0.0028,0.0809,0.0004,0.0333,0.0005,0.0359,0.0004,0.0301,0.0008,0.0318,0.0003,0.0594,0.0026,0.0621,0.0005,0.0782,0.0019,0.0817,0.0007,0.0626,0.0017,0.0667,0.0008,0.0432,0.0011,0.0458,0.0015,0.024,0.0003,0.0277,0.0021,0.012,0.0004,0.0151,0.0016,0.0021,0.0001,0.0045,0.0186,0.4551,0.019,0.4924,0.0001,0.033,0.001,0.0357,0.0012,0.0741,0.0027,0.0794,0.0003,0.0306,0.0005,0.0321,0.0001,0.0273,0.0002,0.0285,0.0003,0.0651,0.0025,0.0693,0.0005,0.0816,0.0021,0.0867,0.0012,0.0638,0.0013,0.0673,0.0013,0.0431,0.0008,0.0467,0.0022,0.0288,0.0007,0.0333,0.0038,0.0133,0.0006,0.0196,0.0029,0.0025,0.0002,0.0065,0.0204,0.4671,0.02,0.5072,0.0006,0.0698,0.0034,0.0742,0.0053,0.1492,0.0063,0.1614,0.0011,0.0642,0.0014,0.0679,0.0006,0.0577,0.0013,0.0613,0.001,0.124,0.0053,0.1326,0.0012,0.1608,0.0053,0.1681,0.0027,0.1272,0.0037,0.134,0.003,0.0857,0.0025,0.0926,0.0048,0.0533,0.0021,0.0612,0.0068,0.0263,0.0014,0.0358,0.0047,0.0053,0.0006,0.0114,0.0388,0.9222,0.0392,1.0
