district,M_0_cond_0_14_pc,M_0_cond_15_24_pc,M_0_cond_25_34_pc,M_0_cond_35_44_pc,M_0_cond_45_54_pc,M_0_cond_55_64_pc,M_0_cond_65_74_pc,M_0_cond_75_84_pc,M_0_cond_85_over_pc,M_0_cond_Tot_pc,M_1_cond_0_14_pc,M_1_cond_15_24_pc,M_1_cond_25_34_pc,M_1_cond_35_44_pc,M_1_cond_45_54_pc,M_1_cond_55_64_pc,M_1_cond_65_74_pc,M_1_cond_75_84_pc,M_1_cond_85_over_pc,M_1_cond_Tot_pc,M_2_cond_0_14_pc,M_2_cond_15_24_pc,M_2_cond_25_34_pc,M_2_cond_35_44_pc,M_2_cond_45_54_pc,M_2_cond_55_64_pc,M_2_cond_65_74_pc,M_2_cond_75_84_pc,M_2_cond_85_over_pc,M_2_cond_Tot_pc,M_3_or_mo_cond_0_14_pc,M_3_or_mo_cond_15_24_pc,M_3_or_mo_cond_25_34_pc,M_3_or_mo_cond_35_44_pc,M_3_or_mo_cond_45_54_pc,M_3_or_mo_cond_55_64_pc,M_3_or_mo_cond_65_74_pc,M_3_or_mo_cond_75_84_pc,M_3_or_mo_cond_85_over_pc,M_3_or_mo_cond_Tot_pc,M_1m_cond_Tot_0_14_pc,M_1m_cond_Tot_15_24_pc,M_1m_cond_Tot_25_34_pc,M_1m_cond_Tot_35_44_pc,M_1m_cond_Tot_45_54_pc,M_1m_cond_Tot_55_64_pc,M_1m_cond_Tot_65_74_pc,M_1m_cond_Tot_75_84_pc,M_1m_cond_Tot_85_over_pc,M_1m_cond_Tot_Tot_pc,M_cond_NS_0_14_pc,M_cond_NS_15_24_pc,M_cond_NS_25_34_pc,M_cond_NS_35_44_pc,M_cond_NS_45_54_pc,M_cond_NS_55_64_pc,M_cond_NS_65_74_pc,M_cond_NS_75_84_pc,M_cond_NS_85_over_pc,M_cond_NS_Tot_pc,M_Tot_0_14_pc,M_Tot_15_24_pc,M_Tot_25_34_pc,M_Tot_35_44_pc,M_Tot_45_54_pc,M_Tot_55_64_pc,M_Tot_65_74_pc,M_Tot_75_84_pc,M_Tot_85_over_pc,M_Tot_Tot_pc,F_0_cond_0_14_pc,F_0_cond_15_24_pc,F_0_cond_25_34_pc,F_0_cond_35_44_pc,F_0_cond_45_54_pc,F_0_cond_55_64_pc,F_0_cond_65_74_pc,F_0_cond_75_84_pc,F_0_cond_85_over_pc,F_0_cond_Tot_pc,F_1_cond_0_14_pc,F_1_cond_15_24_pc,F_1_cond_25_34_pc,F_1_cond_35_44_pc,F_1_cond_45_54_pc,F_1_cond_55_64_pc,F_1_cond_65_74_pc,F_1_cond_75_84_pc,F_1_cond_85_over_pc,F_1_cond_Tot_pc,F_2_cond_0_14_pc,F_2_cond_15_24_pc,F_2_cond_25_34_pc,F_2_cond_35_44_pc,F_2_cond_45_54_pc,F_2_cond_55_64_pc,F_2_cond_65_74_pc,F_2_cond_75_84_pc,F_2_cond_85_over_pc,F_2_cond_Tot_pc,F_3_or_mo_cond_0_14_pc,F_3_or_mo_cond_15_24_pc,F_3_or_mo_cond_25_34_pc,F_3_or_mo_cond_35_44_pc,F_3_or_mo_cond_45_54_pc,F_3_or_mo_cond_55_64_pc,F_3_or_mo_cond_65_74_pc,F_3_or_mo_cond_75_84_pc,F_3_or_mo_cond_85_over_pc,F_3_or_mo_cond_Tot_pc,F_1m_cond_Tot_0_14_pc,F_1m_cond_Tot_15_24_pc,F_1m_cond_Tot_25_34_pc,F_1m_cond_Tot_35_44_pc,F_1m_cond_Tot_45_54_pc,F_1m_cond_Tot_55_64_pc,F_1m_cond_Tot_65_74_pc,F_1m_cond_Tot_75_84_pc,F_1m_cond_Tot_85_over_pc,F_1m_cond_Tot_Tot_pc,F_cond_NS_0_14_pc,F_cond_NS_15_24_pc,F_cond_NS_25_34_pc,F_cond_NS_35_44_pc,F_cond_NS_45_54_pc,F_cond_NS_55_64_pc,F_cond_NS_65_74_pc,F_cond_NS_75_84_pc,F_cond_NS_85_over_pc,F_cond_NS_Tot_pc,F_Tot_0_14_pc,F_Tot_15_24_pc,F_Tot_25_34_pc,F_Tot_35_44_pc,F_Tot_45_54_pc,F_Tot_55_64_pc,F_Tot_65_74_pc,F_Tot_75_84_pc,F_Tot_85_over_pc,F_Tot_Tot_pc,P_0_cond_0_14_pc,P_0_cond_15_24_pc,P_0_cond_25_34_pc,P_0_cond_35_44_pc,P_0_cond_45_54_pc,P_0_cond_55_64_pc,P_0_cond_65_74_pc,P_0_cond_75_84_pc,P_0_cond_85_over_pc,P_0_cond_Tot_pc,P_1_cond_0_14_pc,P_1_cond_15_24_pc,P_1_cond_25_34_pc,P_1_cond_35_44_pc,P_1_cond_45_54_pc,P_1_cond_55_64_pc,P_1_cond_65_74_pc,P_1_cond_75_84_pc,P_1_cond_85_over_pc,P_1_cond_Tot_pc,P_2_cond_0_14_pc,P_2_cond_15_24_pc,P_2_cond_25_34_pc,P_2_cond_35_44_pc,P_2_cond_45_54_pc,P_2_cond_55_64_pc,P_2_cond_65_74_pc,P_2_cond_75_84_pc,P_2_cond_85_over_pc,P_2_cond_Tot_pc,P_3_or_mo_cond_0_14_pc,P_3_or_mo_cond_15_24_pc,P_3_or_mo_cond_25_34_pc,P_3_or_mo_cond_35_44_pc,P_3_or_mo_cond_45_54_pc,P_3_or_mo_cond_55_64_pc,P_3_or_mo_cond_65_74_pc,P_3_or_mo_cond_75_84_pc,P_3_or_mo_cond_85_over_pc,P_3_or_mo_cond_Tot_pc,P_1m_cond_Tot_0_14_pc,P_1m_cond_Tot_15_24_pc,P_1m_cond_Tot_25_34_pc,P_1m_cond_Tot_35_44_pc,P_1m_cond_Tot_45_54_pc,P_1m_cond_Tot_55_64_pc,P_1m_cond_Tot_65_74_pc,P_1m_cond_Tot_75_84_pc,P_1m_cond_Tot_85_over_pc,P_1m_cond_Tot_Tot_pc,P_cond_NS_0_14_pc,P_cond_NS_15_24_pc,P_cond_NS_25_34_pc,P_cond_NS_35_44_pc,P_cond_NS_45_54_pc,P_cond_NS_55_64_pc,P_cond_NS_65_74_pc,P_cond_NS_75_84_pc,P_cond_NS_85_over_pc,P_cond_NS_Tot_pc,P_Tot_0_14_pc,P_Tot_15_24_pc,P_Tot_25_34_pc,P_Tot_35_44_pc,P_Tot_45_54_pc,P_Tot_55_64_pc,P_Tot_65_74_pc,P_Tot_75_84_pc,P_Tot_85_over_pc,P_Tot_Tot_pc
Albert Park,0.0467,0.0374,0.0951,0.0662,0.0447,0.0335,0.0171,0.0071,0.0012,0.3499,0.0021,0.0051,0.0144,0.0114,0.0124,0.0118,0.011,0.0058,0.0007,0.0779,0.0,0.0003,0.0011,0.0011,0.0014,0.0031,0.0036,0.0032,0.0003,0.0183,0.0,0.0,0.0,0.0,0.0003,0.0007,0.001,0.0012,0.0004,0.0069,0.0024,0.0061,0.0161,0.0144,0.0151,0.0162,0.0169,0.0109,0.0024,0.104,0.0031,0.0029,0.0088,0.0066,0.006,0.0049,0.0031,0.0011,0.0003,0.0415,0.0534,0.0476,0.1208,0.0875,0.0661,0.0559,0.0376,0.0192,0.0048,0.4942,0.0454,0.0362,0.0931,0.0617,0.0462,0.0328,0.0189,0.0065,0.0008,0.344,0.0018,0.009,0.0184,0.0143,0.013,0.0125,0.0103,0.0061,0.0021,0.0903,0.0,0.0011,0.0023,0.0019,0.0023,0.003,0.0043,0.0028,0.0008,0.024,0.0,0.0,0.0,0.0003,0.0004,0.0008,0.0016,0.0015,0.0009,0.0082,0.0019,0.0105,0.0216,0.0176,0.0173,0.0177,0.017,0.0119,0.0048,0.1222,0.0037,0.0035,0.0089,0.0064,0.0045,0.0045,0.0024,0.0016,0.0007,0.0395,0.0518,0.0516,0.1248,0.0858,0.0687,0.0552,0.0393,0.0208,0.0067,0.506,0.0923,0.0744,0.1876,0.1273,0.0916,0.0663,0.0365,0.0135,0.0029,0.6933,0.0049,0.0155,0.0331,0.0262,0.0249,0.0247,0.0211,0.0123,0.0028,0.1679,0.0,0.0018,0.0046,0.0036,0.0049,0.0065,0.0081,0.0065,0.0018,0.0422,0.0,0.0,0.0001,0.0004,0.0013,0.0019,0.0036,0.0034,0.0015,0.016,0.0053,0.0181,0.0382,0.0317,0.0326,0.0346,0.0347,0.0234,0.0075,0.2264,0.0074,0.0072,0.0183,0.0141,0.0106,0.0099,0.0059,0.0033,0.001,0.0804,0.1053,0.0995,0.2449,0.1741,0.1352,0.1104,0.0771,0.0413,0.0127,1.0
Ashwood,0.0748,0.0578,0.0543,0.0507,0.0488,0.0345,0.0195,0.0085,0.0023,0.3551,0.0073,0.0084,0.0076,0.0089,0.0106,0.0128,0.0118,0.0077,0.0036,0.0814,0.0,0.0003,0.0003,0.0004,0.0011,0.0032,0.0039,0.0033,0.0017,0.0198,0.0,0.0,0.0,0.0,0.0,0.0005,0.0015,0.0016,0.0013,0.0087,0.0075,0.0092,0.0088,0.0107,0.0132,0.0176,0.018,0.0152,0.0079,0.1099,0.0046,0.0034,0.0044,0.0025,0.0033,0.0024,0.0011,0.0006,0.0002,0.0269,0.0872,0.0717,0.0685,0.0648,0.0658,0.056,0.0399,0.0254,0.0119,0.4922,0.0754,0.0491,0.048,0.0559,0.0527,0.0377,0.0218,0.0099,0.0033,0.353,0.0044,0.0106,0.0083,0.0093,0.0133,0.0143,0.0134,0.0112,0.005,0.091,0.0,0.0005,0.0007,0.0011,0.0019,0.0034,0.005,0.0053,0.0031,0.0265,0.0,0.0,0.0,0.0,0.0001,0.0007,0.0019,0.0026,0.0021,0.0109,0.0045,0.0122,0.0104,0.0115,0.0159,0.0198,0.0206,0.0205,0.0121,0.1281,0.0027,0.003,0.0031,0.0021,0.003,0.0026,0.0015,0.001,0.0004,0.0264,0.0847,0.065,0.0612,0.07,0.0722,0.0608,0.0444,0.0326,0.0171,0.508,0.1499,0.1065,0.101,0.1071,0.101,0.0724,0.041,0.0197,0.0066,0.7084,0.0125,0.02,0.0162,0.0179,0.0235,0.0277,0.0254,0.0196,0.0099,0.1723,0.0001,0.0011,0.0018,0.0019,0.0041,0.0069,0.0097,0.0099,0.0058,0.0461,0.0,0.0,0.0,0.0002,0.0004,0.0018,0.0042,0.0056,0.0042,0.0201,0.0129,0.0222,0.0191,0.0212,0.029,0.037,0.0391,0.0358,0.0207,0.2385,0.0079,0.0073,0.0085,0.0059,0.007,0.0061,0.0032,0.0027,0.001,0.0529,0.1719,0.1364,0.1303,0.1351,0.1382,0.1163,0.0839,0.0587,0.0291,1.0
Bass,0.0713,0.0342,0.0409,0.0393,0.0366,0.0368,0.0259,0.0086,0.0012,0.2969,0.0085,0.0063,0.0095,0.0102,0.0113,0.0168,0.0213,0.0103,0.0019,0.0995,0.0001,0.0005,0.0008,0.0015,0.002,0.0054,0.0088,0.0063,0.0012,0.0329,0.0,0.0,0.0,0.0001,0.0005,0.0025,0.0057,0.0052,0.0014,0.0189,0.0094,0.0076,0.011,0.0132,0.0157,0.0262,0.0375,0.0226,0.006,0.1507,0.007,0.0036,0.0037,0.0044,0.0049,0.0057,0.0052,0.0025,0.0008,0.0437,0.0888,0.0468,0.0571,0.0572,0.0586,0.0677,0.0697,0.0349,0.0092,0.4918,0.0706,0.0316,0.0414,0.0384,0.0349,0.0374,0.0259,0.009,0.0016,0.2925,0.0058,0.0092,0.0128,0.0116,0.0137,0.0188,0.0216,0.0105,0.0034,0.1103,0.0002,0.0008,0.0019,0.0029,0.004,0.0075,0.0093,0.0063,0.0018,0.0395,0.0,0.0001,0.0002,0.0,0.001,0.004,0.0061,0.0048,0.0019,0.0219,0.0062,0.011,0.0167,0.0157,0.0211,0.0313,0.0386,0.0216,0.0086,0.1724,0.008,0.0033,0.0037,0.0053,0.0037,0.0057,0.0049,0.0035,0.0013,0.0437,0.085,0.0471,0.0619,0.0595,0.0612,0.0752,0.0707,0.0348,0.0127,0.5079,0.1424,0.0668,0.0822,0.0767,0.0724,0.074,0.0528,0.0184,0.0039,0.5892,0.0155,0.016,0.0218,0.0225,0.025,0.0359,0.044,0.0215,0.0062,0.2103,0.0005,0.002,0.004,0.005,0.0073,0.014,0.0193,0.0118,0.0036,0.0726,0.0,0.0001,0.0002,0.0007,0.0022,0.0071,0.0128,0.0104,0.004,0.0411,0.0168,0.0192,0.0278,0.0287,0.0363,0.0571,0.0767,0.0442,0.0157,0.3238,0.0162,0.0072,0.0087,0.0103,0.0102,0.0114,0.0109,0.0065,0.0028,0.088,0.1752,0.0936,0.1197,0.1168,0.1189,0.1439,0.1397,0.0694,0.0221,1.0
Bayswater,0.0745,0.0416,0.0521,0.0542,0.0408,0.0298,0.0192,0.0068,0.0012,0.321,0.0085,0.008,0.0107,0.0129,0.0129,0.0139,0.0147,0.0089,0.0022,0.095,0.0003,0.0004,0.0011,0.0015,0.0022,0.0037,0.0063,0.0044,0.0011,0.0266,0.0,0.0,0.0,0.0001,0.0003,0.0017,0.0029,0.0033,0.0008,0.0132,0.0097,0.0093,0.0131,0.0158,0.0176,0.0212,0.0254,0.0176,0.0053,0.1352,0.0054,0.0029,0.004,0.0037,0.0041,0.0024,0.0017,0.0006,0.0004,0.0307,0.0895,0.0543,0.0705,0.074,0.0621,0.054,0.0465,0.0274,0.0088,0.4883,0.0721,0.0357,0.0484,0.0528,0.0391,0.032,0.0231,0.0076,0.0024,0.3128,0.0063,0.0105,0.016,0.0157,0.0139,0.0158,0.0176,0.0105,0.0034,0.1107,0.0002,0.0015,0.0031,0.0032,0.0043,0.0055,0.0083,0.0065,0.0022,0.039,0.0,0.0,0.0002,0.0001,0.001,0.0026,0.0033,0.0036,0.0022,0.0176,0.0067,0.0129,0.02,0.0198,0.0206,0.0245,0.0307,0.0214,0.0089,0.1671,0.006,0.0031,0.0034,0.0038,0.003,0.0029,0.0023,0.0013,0.0005,0.0308,0.0851,0.0523,0.0719,0.0769,0.0635,0.0602,0.0562,0.0307,0.0141,0.5113,0.1462,0.0771,0.1002,0.1072,0.0803,0.0618,0.0407,0.0154,0.0044,0.6344,0.0155,0.019,0.0262,0.0288,0.027,0.0303,0.0332,0.0199,0.0063,0.2063,0.0007,0.0025,0.0046,0.0055,0.0076,0.0095,0.015,0.0113,0.0047,0.0653,0.0,0.0,0.0002,0.0005,0.0021,0.005,0.0079,0.0071,0.0038,0.0305,0.0164,0.0221,0.0325,0.0352,0.0376,0.0467,0.0559,0.0391,0.0161,0.3026,0.0121,0.0068,0.0087,0.0081,0.008,0.0053,0.0047,0.0023,0.0012,0.0626,0.1748,0.1071,0.1426,0.1501,0.1265,0.1139,0.103,0.0589,0.0232,1.0
Bellarine,0.0698,0.0352,0.0307,0.0367,0.0369,0.0354,0.032,0.0104,0.0019,0.291,0.0097,0.0078,0.0074,0.011,0.0124,0.0167,0.023,0.0126,0.0028,0.1037,0.0001,0.0002,0.0006,0.0012,0.0025,0.005,0.0106,0.0075,0.0015,0.0336,0.0,0.0,0.0,0.0001,0.0003,0.0013,0.0052,0.0045,0.0015,0.0166,0.0103,0.0089,0.009,0.0131,0.0167,0.0247,0.0391,0.0254,0.007,0.1543,0.0054,0.0029,0.002,0.0032,0.0033,0.0041,0.0047,0.0025,0.0007,0.0345,0.0873,0.0473,0.0437,0.0533,0.0576,0.0641,0.0752,0.0396,0.0105,0.4798,0.0687,0.0287,0.0303,0.0388,0.0408,0.0411,0.0343,0.0121,0.0019,0.2984,0.0056,0.0101,0.0109,0.0126,0.0153,0.0201,0.024,0.0133,0.005,0.1202,0.0001,0.001,0.0019,0.0031,0.0037,0.0073,0.0114,0.0078,0.003,0.0437,0.0,0.0,0.0,0.0004,0.0008,0.0028,0.0056,0.0038,0.0023,0.0207,0.0063,0.0124,0.0137,0.0178,0.0222,0.0321,0.0412,0.0274,0.0115,0.1848,0.0058,0.0022,0.0023,0.0032,0.0029,0.0045,0.0047,0.0033,0.0017,0.037,0.0822,0.0434,0.0466,0.0608,0.066,0.0782,0.0826,0.0432,0.0169,0.5195,0.1391,0.0639,0.0609,0.0755,0.0782,0.0764,0.0656,0.0233,0.0048,0.589,0.0157,0.0181,0.0186,0.0242,0.028,0.0372,0.0473,0.0261,0.0086,0.2245,0.0008,0.0022,0.0035,0.0051,0.0067,0.0135,0.0214,0.0156,0.0052,0.0778,0.0,0.0,0.0001,0.0006,0.0017,0.0059,0.012,0.0097,0.0043,0.0372,0.0171,0.0213,0.0233,0.0303,0.0385,0.0561,0.0804,0.0519,0.0194,0.3391,0.0124,0.0058,0.0052,0.007,0.0073,0.0092,0.0105,0.0073,0.0028,0.0723,0.1691,0.0914,0.0899,0.1137,0.124,0.143,0.1577,0.0827,0.029,1.0
Benambra,0.075,0.0417,0.0404,0.0357,0.0364,0.0325,0.022,0.0085,0.0015,0.2951,0.0104,0.009,0.01,0.0108,0.0143,0.0162,0.0178,0.0076,0.0017,0.1001,0.0003,0.0008,0.0009,0.0018,0.0028,0.0059,0.0086,0.0038,0.0009,0.0321,0.0,0.0,0.0,0.0002,0.0004,0.0028,0.0052,0.004,0.0012,0.018,0.0119,0.0112,0.012,0.0148,0.0185,0.0265,0.0327,0.0191,0.0048,0.1517,0.0076,0.0049,0.0045,0.0052,0.0049,0.0049,0.003,0.0017,0.0004,0.0435,0.0952,0.0579,0.0574,0.0566,0.0608,0.0641,0.0595,0.0291,0.0082,0.4909,0.0752,0.0337,0.0357,0.0375,0.0364,0.0334,0.0224,0.0076,0.0021,0.2862,0.0092,0.0116,0.0143,0.0151,0.0155,0.0189,0.0193,0.0097,0.0031,0.1177,0.0003,0.0016,0.0032,0.0035,0.0051,0.0074,0.0094,0.0054,0.0021,0.0419,0.0001,0.0,0.0002,0.0006,0.0019,0.0053,0.0055,0.0043,0.0021,0.0236,0.0099,0.0144,0.0189,0.0214,0.0245,0.031,0.034,0.0205,0.008,0.1838,0.0085,0.0037,0.0038,0.0041,0.0038,0.0039,0.0031,0.0017,0.0013,0.0387,0.0943,0.0524,0.0586,0.0632,0.0649,0.0698,0.0601,0.0314,0.0131,0.5094,0.1508,0.0762,0.0759,0.0741,0.0721,0.0653,0.0446,0.0161,0.0043,0.5818,0.0212,0.0208,0.0238,0.0269,0.03,0.0341,0.0371,0.0179,0.0054,0.2182,0.0007,0.0028,0.0045,0.0068,0.0096,0.0147,0.0178,0.0107,0.0037,0.0747,0.0001,0.0001,0.0004,0.0011,0.003,0.0081,0.0119,0.0098,0.004,0.0422,0.0227,0.0254,0.0304,0.0354,0.0427,0.0574,0.0658,0.0395,0.0141,0.3348,0.0164,0.0098,0.0093,0.0102,0.01,0.0091,0.0071,0.0043,0.0019,0.083,0.1901,0.1115,0.1165,0.12,0.1269,0.1338,0.1202,0.0616,0.0219,1.0
Bendigo East,0.0799,0.0447,0.0419,0.0379,0.0353,0.0289,0.019,0.0066,0.0011,0.2934,0.0125,0.0099,0.0111,0.0115,0.012,0.0157,0.0166,0.0083,0.0015,0.1018,0.0002,0.0006,0.0012,0.0016,0.0027,0.0048,0.0077,0.0043,0.0011,0.0302,0.0,0.0,0.0001,0.0001,0.0008,0.0016,0.0038,0.0039,0.001,0.0165,0.0129,0.0106,0.014,0.0144,0.017,0.0236,0.0295,0.0173,0.006,0.1486,0.0089,0.0054,0.0038,0.0039,0.0044,0.0053,0.003,0.0011,0.0006,0.0415,0.1021,0.0607,0.061,0.0575,0.0574,0.0582,0.052,0.0265,0.0086,0.484,0.0771,0.0388,0.0401,0.0378,0.0353,0.0296,0.0192,0.0066,0.0017,0.288,0.0087,0.0135,0.0164,0.0155,0.0154,0.0182,0.0175,0.009,0.0034,0.1201,0.0001,0.0022,0.0046,0.0041,0.005,0.0082,0.009,0.0051,0.0023,0.0442,0.0,0.0,0.0001,0.0008,0.0019,0.0036,0.0049,0.0044,0.0021,0.022,0.0094,0.0175,0.0229,0.0213,0.0223,0.0301,0.0327,0.0196,0.0089,0.187,0.0078,0.0042,0.0037,0.0042,0.0041,0.0038,0.0025,0.0024,0.0016,0.0403,0.0942,0.0618,0.0666,0.0647,0.0633,0.0654,0.0552,0.0296,0.014,0.5158,0.1567,0.0829,0.0816,0.076,0.0705,0.0586,0.0381,0.0133,0.0034,0.5821,0.0209,0.0246,0.0288,0.0278,0.0281,0.0338,0.0334,0.0179,0.0066,0.2224,0.0007,0.0035,0.0072,0.0064,0.0079,0.0139,0.0167,0.0105,0.005,0.0747,0.0,0.0,0.0002,0.0012,0.0028,0.0067,0.0104,0.009,0.0046,0.0382,0.0224,0.0291,0.0368,0.0364,0.0403,0.0543,0.0621,0.0376,0.0163,0.3354,0.0168,0.0101,0.0097,0.009,0.0096,0.0101,0.007,0.0043,0.0028,0.0821,0.1963,0.1225,0.1277,0.1216,0.1204,0.1238,0.108,0.0568,0.0233,1.0
Bendigo West,0.0675,0.0353,0.0382,0.036,0.036,0.03,0.0233,0.0081,0.0008,0.2791,0.0094,0.0096,0.011,0.0114,0.0121,0.0175,0.0186,0.0099,0.0028,0.104,0.0002,0.0008,0.001,0.0019,0.0034,0.0054,0.0085,0.006,0.0018,0.0338,0.0,0.0,0.0,0.0001,0.0007,0.0025,0.005,0.005,0.0018,0.0191,0.0103,0.0112,0.0131,0.0146,0.0175,0.0272,0.0322,0.0221,0.0074,0.1576,0.0078,0.0052,0.0083,0.0065,0.0059,0.0047,0.0043,0.0028,0.001,0.0513,0.0856,0.0521,0.0604,0.0594,0.0601,0.0623,0.0614,0.0337,0.0118,0.4875,0.0669,0.0318,0.0357,0.0364,0.0354,0.0319,0.024,0.0099,0.002,0.2738,0.0068,0.0123,0.0148,0.0143,0.0149,0.0188,0.0203,0.0124,0.0043,0.121,0.0002,0.0016,0.0037,0.0038,0.0051,0.0082,0.0111,0.0063,0.0031,0.0479,0.0,0.0,0.0001,0.0009,0.0016,0.0045,0.0064,0.0053,0.0026,0.026,0.0073,0.0157,0.0201,0.02,0.0242,0.0329,0.0376,0.0255,0.0114,0.1953,0.0073,0.0036,0.0047,0.0041,0.0041,0.0055,0.0037,0.0029,0.0024,0.0443,0.0817,0.0517,0.0615,0.0607,0.0643,0.0709,0.066,0.0381,0.0183,0.5123,0.1343,0.0672,0.0744,0.0725,0.0714,0.0631,0.0476,0.0176,0.0042,0.5527,0.0159,0.0213,0.0267,0.0255,0.0285,0.037,0.039,0.0228,0.0074,0.2258,0.0004,0.0035,0.0053,0.0063,0.0094,0.0141,0.0193,0.0133,0.0059,0.0817,0.0,0.0,0.0005,0.0014,0.0033,0.0084,0.0128,0.0108,0.0051,0.0455,0.0174,0.0258,0.0335,0.0342,0.0414,0.0598,0.0705,0.0476,0.0198,0.353,0.0151,0.0097,0.0137,0.0122,0.0118,0.0108,0.0089,0.006,0.0039,0.0944,0.1677,0.1034,0.1211,0.1192,0.1247,0.1338,0.1266,0.0724,0.0298,1.0
Bentleigh,0.0869,0.0487,0.0442,0.056,0.054,0.0329,0.0161,0.0058,0.0021,0.3486,0.0072,0.0079,0.0072,0.0097,0.0119,0.0131,0.0113,0.0072,0.0031,0.0822,0.0001,0.0003,0.0006,0.0009,0.0015,0.0028,0.004,0.0028,0.0012,0.0195,0.0,0.0,0.0,0.0,0.0001,0.0005,0.0012,0.0015,0.001,0.0085,0.0075,0.0082,0.0085,0.0112,0.0149,0.0184,0.0182,0.0139,0.007,0.1108,0.0046,0.0025,0.0025,0.0031,0.0033,0.0025,0.0011,0.0005,0.0003,0.027,0.0993,0.0608,0.0576,0.0713,0.0731,0.0545,0.037,0.0215,0.0106,0.4857,0.081,0.0408,0.0425,0.0619,0.0572,0.0335,0.0197,0.0081,0.0043,0.3495,0.0043,0.01,0.0096,0.0129,0.0149,0.0141,0.0128,0.0098,0.0057,0.0958,0.0,0.0008,0.0007,0.0011,0.0026,0.0037,0.0059,0.0053,0.0038,0.0291,0.0,0.0,0.0,0.0001,0.0003,0.001,0.0019,0.0023,0.0026,0.013,0.0046,0.0109,0.0118,0.0149,0.0191,0.021,0.0211,0.0187,0.0136,0.1372,0.0039,0.0029,0.0021,0.0035,0.0036,0.002,0.0021,0.0011,0.0007,0.0282,0.0911,0.0554,0.0572,0.0801,0.0795,0.0574,0.0425,0.0297,0.0204,0.5134,0.1683,0.0898,0.0867,0.1167,0.1105,0.0675,0.0348,0.0156,0.0067,0.6969,0.0123,0.0176,0.018,0.0218,0.0267,0.0287,0.025,0.0178,0.0096,0.1783,0.0002,0.0016,0.0017,0.0024,0.0057,0.0081,0.0103,0.0095,0.0052,0.0472,0.0,0.0,0.0,0.0001,0.0007,0.0022,0.0048,0.0057,0.0043,0.0209,0.0128,0.0191,0.0204,0.0263,0.0345,0.0396,0.0401,0.0328,0.0212,0.2479,0.0104,0.0064,0.0064,0.0074,0.0079,0.0052,0.0044,0.0023,0.0015,0.0547,0.1913,0.1162,0.1144,0.15,0.1521,0.1124,0.0807,0.0509,0.0305,1.0
Berwick,0.1021,0.0538,0.049,0.0631,0.0465,0.026,0.0113,0.0038,0.0005,0.3571,0.0093,0.0085,0.0075,0.0111,0.0128,0.0115,0.0082,0.0046,0.001,0.0789,0.0001,0.0002,0.0004,0.0009,0.002,0.0032,0.0032,0.0028,0.0005,0.0189,0.0,0.0,0.0,0.0,0.0001,0.0007,0.0017,0.0015,0.0006,0.0078,0.01,0.0093,0.0092,0.0137,0.0164,0.0169,0.0143,0.01,0.0032,0.1053,0.0071,0.0039,0.0029,0.0034,0.0029,0.0025,0.001,0.0005,0.0002,0.0298,0.1192,0.0673,0.0621,0.0817,0.0667,0.0458,0.0277,0.0151,0.0045,0.4924,0.1015,0.0452,0.0521,0.0656,0.0441,0.0258,0.0132,0.0043,0.0008,0.3547,0.0062,0.0097,0.0113,0.0135,0.0137,0.0118,0.0097,0.0059,0.0021,0.0865,0.0001,0.0012,0.0017,0.0019,0.0033,0.0033,0.0038,0.0038,0.0011,0.0258,0.0,0.0,0.0001,0.0002,0.001,0.001,0.0025,0.0022,0.0009,0.0108,0.0069,0.0116,0.0137,0.0164,0.0192,0.0176,0.0171,0.0129,0.0051,0.122,0.0064,0.003,0.0036,0.0037,0.0038,0.0018,0.0011,0.0009,0.0004,0.0303,0.1162,0.0614,0.0693,0.0867,0.0673,0.0467,0.0333,0.0196,0.0065,0.5072,0.2035,0.0989,0.1014,0.1291,0.0905,0.0524,0.0255,0.0095,0.002,0.7118,0.0166,0.0188,0.0191,0.0257,0.0276,0.0238,0.0181,0.011,0.0032,0.165,0.0004,0.0018,0.003,0.0033,0.0068,0.0083,0.0079,0.0073,0.0024,0.0441,0.0,0.0,0.0001,0.0004,0.0012,0.0027,0.0049,0.0043,0.002,0.0193,0.0176,0.0209,0.0226,0.0302,0.0363,0.0346,0.0319,0.0234,0.0081,0.2278,0.0137,0.0078,0.0075,0.0084,0.0075,0.0044,0.0035,0.002,0.0008,0.0595,0.2349,0.1287,0.1326,0.1681,0.134,0.0926,0.0612,0.0358,0.0114,1.0
