district,M_15_19_yr_Volunteer_n,M_15_19_yr_N_a_volunteer_n,M_15_19_yr_Voluntary_work_ns_n,M_15_19_yr_Tot_n,M_20_24_yr_Volunteer_n,M_20_24_yr_N_a_volunteer_n,M_20_24_yr_Voluntary_work_ns_n,M_20_24_yr_Tot_n,M_25_34_yr_Volunteer_n,M_25_34_yr_N_a_volunteer_n,M_25_34_yr_Voluntary_work_ns_n,M_25_34_yr_Tot_n,M_35_44_yr_Volunteer_n,M_35_44_yr_N_a_volunteer_n,M_35_44_yr_Voluntary_work_ns_n,M_35_44_yr_Tot_n,M_45_54_yr_Volunteer_n,M_45_54_yr_N_a_volunteer_n,M_45_54_yr_Voluntary_work_ns_n,M_45_54_yr_Tot_n,M_55_64_yr_Volunteer_n,M_55_64_yr_N_a_volunteer_n,M_55_64_yr_Voluntary_work_ns_n,M_55_64_yr_Tot_n,M_65_74_yr_Volunteer_n,M_65_74_yr_N_a_volunteer_n,M_65_74_yr_Voluntary_work_ns_n,M_65_74_yr_Tot_n,M_75_84_yr_Volunteer_n,M_75_84_yr_N_a_volunteer_n,M_75_84_yr_Voluntary_work_ns_n,M_75_84_yr_Tot_n,M_85ov_Volunteer_n,M_85ov_N_a_volunteer_n,M_85_ov_Voluntary_work_ns_n,M_85ov_Tot_n,M_Tot_Volunteer_n,M_Tot_N_a_volunteer_n,M_Tot_Voluntary_work_ns_n,M_Tot_Tot_n,F_15_19_yr_Volunteer_n,F_15_19_yr_N_a_volunteer_n,F_15_19_yr_Voluntary_work_ns_n,F_15_19_yr_Tot_n,F_20_24_yr_Volunteer_n,F_20_24_yr_N_a_volunteer_n,F_20_24_yr_Voluntary_work_ns_n,F_20_24_yr_Tot_n,F_25_34_yr_Volunteer_n,F_25_34_yr_N_a_volunteer_n,F_25_34_yr_Voluntary_work_ns_n,F_25_34_yr_Tot_n,F_35_44_yr_Volunteer_n,F_35_44_yr_N_a_volunteer_n,F_35_44_yr_Voluntary_work_ns_n,F_35_44_yr_Tot_n,F_45_54_yr_Volunteer_n,F_45_54_yr_N_a_volunteer_n,F_45_54_yr_Voluntary_work_ns_n,F_45_54_yr_Tot_n,F_55_64_yr_Volunteer_n,F_55_64_yr_N_a_volunteer_n,F_55_64_yr_Voluntary_work_ns_n,F_55_64_yr_Tot_n,F_65_74_yr_Volunteer_n,F_65_74_yr_N_a_volunteer_n,F_65_74_yr_Voluntary_work_ns_n,F_65_74_yr_Tot_n,F_75_84_yr_Volunteer_n,F_75_84_yr_N_a_volunteer_n,F_75_84_yr_Voluntary_work_ns_n,F_75_84_yr_Tot_n,F_85ov_Volunteer_n,F_85ov_N_a_volunteer_n,F_85_ov_Voluntary_work_ns_n,F_85ov_Tot_n,F_Tot_Volunteer_n,F_Tot_N_a_volunteer_n,F_Tot_Voluntary_work_ns_n,F_Tot_Tot_n,P_15_19_yr_Volunteer_n,P_15_19_yr_N_a_volunteer_n,P_15_19_yr_Voluntary_work_ns_n,P_15_19_yr_Tot_n,P_20_24_yr_Volunteer_n,P_20_24_yr_N_a_volunteer_n,P_20_24_yr_Voluntary_work_ns_n,P_20_24_yr_Tot_n,P_25_34_yr_Volunteer_n,P_25_34_yr_N_a_volunteer_n,P_25_34_yr_Voluntary_work_ns_n,P_25_34_yr_Tot_n,P_35_44_yr_Volunteer_n,P_35_44_yr_N_a_volunteer_n,P_35_44_yr_Voluntary_work_ns_n,P_35_44_yr_Tot_n,P_45_54_yr_Volunteer_n,P_45_54_yr_N_a_volunteer_n,P_45_54_yr_Voluntary_work_ns_n,P_45_54_yr_Tot_n,P_55_64_yr_Volunteer_n,P_55_64_yr_N_a_volunteer_n,P_55_64_yr_Voluntary_work_ns_n,P_55_64_yr_Tot_n,P_65_74_yr_Volunteer_n,P_65_74_yr_N_a_volunteer_n,P_65_74_yr_Voluntary_work_ns_n,P_65_74_yr_Tot_n,P_75_84_yr_Volunteer_n,P_75_84_yr_N_a_volunteer_n,P_75_84_yr_Voluntary_work_ns_n,P_75_84_yr_Tot_n,P_85ov_Volunteer_n,P_85ov_N_a_volunteer_n,P_85_ov_Voluntary_work_ns_n,P_85ov_Tot_n,P_Tot_Volunteer_n,P_Tot_N_a_volunteer_n,P_Tot_Voluntary_work_ns_n,P_Tot_Tot_n,P_Tot_Tot_total
Albert Park,99.0,957.0,26.0,1171.0,272.0,1927.0,110.0,2397.0,788.0,7419.0,568.0,8941.0,700.0,5293.0,393.0,6477.0,738.0,3823.0,302.0,4892.0,680.0,3105.0,262.0,4135.0,518.0,2014.0,140.0,2784.0,203.0,1109.0,90.0,1424.0,11.0,255.0,37.0,355.0,4302.0,25972.0,2318.0,32577.0,117.0,956.0,21.0,1204.0,417.0,1999.0,122.0,2536.0,1018.0,7590.0,569.0,9236.0,930.0,4989.0,364.0,6345.0,999.0,3807.0,241.0,5082.0,783.0,3062.0,222.0,4082.0,622.0,2110.0,119.0,2911.0,197.0,1152.0,109.0,1539.0,6.0,403.0,46.0,496.0,5336.0,26139.0,2170.0,33590.0,248.0,1923.0,73.0,2346.0,721.0,3973.0,251.0,5024.0,1862.0,14959.0,1226.0,18122.0,1679.0,10299.0,811.0,12879.0,1699.0,7593.0,606.0,10005.0,1520.0,6150.0,555.0,8170.0,1210.0,4165.0,317.0,5702.0,462.0,2308.0,251.0,3058.0,38.0,751.0,110.0,943.0,9618.0,52081.0,4498.0,66246.0,66246.0
Ashwood,340.0,2151.0,24.0,2603.0,434.0,2612.0,147.0,3207.0,547.0,4628.0,325.0,5521.0,572.0,4412.0,137.0,5219.0,918.0,4173.0,123.0,5301.0,752.0,3627.0,81.0,4517.0,640.0,2459.0,40.0,3218.0,302.0,1648.0,67.0,2049.0,35.0,801.0,15.0,957.0,4773.0,26415.0,1389.0,32602.0,386.0,1896.0,37.0,2463.0,521.0,2143.0,99.0,2820.0,495.0,4098.0,198.0,4935.0,876.0,4595.0,140.0,5640.0,1163.0,4507.0,137.0,5820.0,892.0,3806.0,78.0,4899.0,658.0,2803.0,94.0,3578.0,385.0,2167.0,77.0,2624.0,48.0,1117.0,97.0,1378.0,5674.0,27172.0,1319.0,34128.0,766.0,4155.0,86.0,5083.0,973.0,4629.0,257.0,6012.0,1073.0,8754.0,650.0,10505.0,1457.0,9002.0,369.0,10890.0,2117.0,8689.0,301.0,11140.0,1654.0,7450.0,239.0,9372.0,1335.0,5284.0,183.0,6764.0,791.0,3745.0,178.0,4731.0,117.0,1923.0,156.0,2343.0,10447.0,53548.0,2749.0,66765.0,66765.0
Bass,134.0,1300.0,104.0,1619.0,54.0,1199.0,59.0,1447.0,266.0,3242.0,181.0,3761.0,389.0,3095.0,217.0,3771.0,565.0,3060.0,229.0,3860.0,657.0,3623.0,273.0,4460.0,929.0,3300.0,290.0,4595.0,381.0,1649.0,184.0,2296.0,36.0,400.0,85.0,603.0,3659.0,20925.0,1950.0,26499.0,158.0,1270.0,89.0,1612.0,132.0,1188.0,47.0,1472.0,321.0,3436.0,179.0,4075.0,639.0,2990.0,215.0,3917.0,679.0,3067.0,133.0,4031.0,824.0,3775.0,273.0,4953.0,1031.0,3257.0,275.0,4655.0,458.0,1574.0,216.0,2291.0,61.0,617.0,105.0,837.0,4538.0,21329.0,1947.0,27816.0,347.0,2685.0,261.0,3309.0,235.0,2432.0,167.0,2904.0,629.0,6771.0,423.0,7886.0,1107.0,6069.0,499.0,7696.0,1259.0,6008.0,456.0,7836.0,1467.0,7424.0,581.0,9480.0,2014.0,6545.0,617.0,9202.0,916.0,3225.0,415.0,4575.0,131.0,1070.0,241.0,1457.0,8215.0,42274.0,3897.0,54366.0,54366.0
Bayswater,154.0,1618.0,30.0,1984.0,226.0,1708.0,50.0,2104.0,458.0,4375.0,225.0,5145.0,612.0,4614.0,193.0,5399.0,584.0,3718.0,134.0,4530.0,470.0,3316.0,85.0,3943.0,484.0,2761.0,72.0,3391.0,188.0,1570.0,65.0,2001.0,20.0,523.0,47.0,642.0,3447.0,24235.0,1321.0,29027.0,180.0,1432.0,51.0,1775.0,268.0,1654.0,34.0,2041.0,519.0,4463.0,154.0,5246.0,873.0,4514.0,178.0,5609.0,634.0,3766.0,85.0,4637.0,533.0,3694.0,76.0,4390.0,556.0,3347.0,89.0,4102.0,263.0,1825.0,105.0,2243.0,30.0,782.0,124.0,1031.0,4204.0,25606.0,1370.0,31082.0,416.0,3081.0,126.0,3681.0,527.0,3309.0,136.0,4102.0,1056.0,8858.0,457.0,10404.0,1453.0,9027.0,446.0,10958.0,1319.0,7514.0,333.0,9230.0,1026.0,7056.0,198.0,8312.0,1090.0,6146.0,218.0,7517.0,552.0,3429.0,222.0,4297.0,51.0,1375.0,195.0,1694.0,7703.0,49850.0,2724.0,60172.0,60172.0
Bellarine,189.0,1519.0,75.0,1821.0,104.0,1198.0,34.0,1450.0,226.0,2619.0,65.0,3038.0,475.0,3029.0,81.0,3703.0,633.0,3188.0,183.0,4004.0,730.0,3474.0,150.0,4456.0,1168.0,3836.0,251.0,5230.0,562.0,1973.0,178.0,2751.0,40.0,573.0,88.0,729.0,4382.0,21412.0,1489.0,27328.0,187.0,1354.0,58.0,1725.0,169.0,1131.0,29.0,1399.0,329.0,2773.0,84.0,3239.0,776.0,3198.0,117.0,4227.0,920.0,3501.0,118.0,4590.0,1012.0,4191.0,174.0,5437.0,1345.0,4097.0,296.0,5744.0,657.0,2118.0,234.0,3005.0,56.0,842.0,221.0,1174.0,5580.0,23268.0,1659.0,30445.0,429.0,2781.0,178.0,3466.0,346.0,2393.0,76.0,2837.0,576.0,5402.0,187.0,6250.0,1304.0,6215.0,261.0,7903.0,1558.0,6605.0,344.0,8618.0,1786.0,7727.0,395.0,9942.0,2478.0,7874.0,592.0,10964.0,1243.0,4065.0,471.0,5750.0,119.0,1490.0,323.0,2013.0,9962.0,44558.0,3146.0,57773.0,57773.0
Benambra,225.0,1679.0,106.0,2145.0,120.0,1423.0,83.0,1743.0,377.0,3196.0,203.0,3832.0,588.0,2884.0,220.0,3784.0,826.0,2891.0,195.0,4060.0,966.0,3130.0,199.0,4280.0,957.0,2728.0,177.0,3972.0,361.0,1425.0,83.0,1947.0,22.0,408.0,42.0,547.0,4738.0,19885.0,1793.0,26470.0,263.0,1481.0,99.0,1944.0,100.0,1318.0,46.0,1648.0,408.0,3194.0,214.0,3916.0,828.0,3091.0,191.0,4222.0,839.0,3207.0,169.0,4338.0,987.0,3446.0,165.0,4661.0,984.0,2760.0,130.0,4014.0,379.0,1508.0,108.0,2099.0,31.0,680.0,111.0,874.0,5146.0,20945.0,1674.0,27707.0,593.0,3165.0,258.0,4052.0,322.0,2819.0,168.0,3392.0,834.0,6383.0,523.0,7781.0,1446.0,6074.0,482.0,8013.0,1722.0,6187.0,457.0,8474.0,1881.0,6595.0,438.0,8939.0,2020.0,5504.0,429.0,8029.0,783.0,2952.0,282.0,4115.0,84.0,1128.0,156.0,1460.0,9888.0,40808.0,3414.0,54133.0,54133.0
Bendigo East,236.0,1765.0,90.0,2208.0,219.0,1835.0,85.0,2176.0,426.0,3728.0,174.0,4385.0,552.0,3305.0,139.0,4130.0,684.0,3111.0,192.0,4125.0,697.0,3213.0,216.0,4184.0,845.0,2686.0,186.0,3736.0,351.0,1419.0,78.0,1903.0,46.0,430.0,50.0,617.0,4331.0,21544.0,1620.0,27524.0,322.0,1710.0,58.0,2116.0,258.0,1816.0,46.0,2237.0,543.0,3992.0,179.0,4790.0,847.0,3559.0,190.0,4649.0,882.0,3387.0,155.0,4550.0,754.0,3709.0,170.0,4698.0,895.0,2921.0,120.0,3967.0,335.0,1615.0,130.0,2126.0,29.0,781.0,116.0,1005.0,5105.0,23496.0,1703.0,30258.0,575.0,3498.0,206.0,4387.0,555.0,3628.0,153.0,4434.0,982.0,7680.0,432.0,9179.0,1432.0,6873.0,486.0,8738.0,1628.0,6538.0,440.0,8657.0,1557.0,6871.0,447.0,8897.0,1712.0,5595.0,372.0,7760.0,740.0,2981.0,264.0,4080.0,90.0,1299.0,234.0,1678.0,9351.0,45026.0,3350.0,57785.0,57785.0
Bendigo West,153.0,1332.0,65.0,1666.0,111.0,1367.0,118.0,1684.0,332.0,2996.0,450.0,3841.0,515.0,2786.0,334.0,3777.0,674.0,2791.0,287.0,3817.0,664.0,3031.0,226.0,3956.0,844.0,2742.0,237.0,3904.0,435.0,1496.0,138.0,2142.0,45.0,515.0,109.0,747.0,4065.0,19143.0,2274.0,25444.0,192.0,1341.0,86.0,1660.0,172.0,1312.0,40.0,1604.0,469.0,3156.0,234.0,3909.0,730.0,2908.0,190.0,3857.0,830.0,3005.0,148.0,4087.0,848.0,3418.0,204.0,4506.0,1066.0,2881.0,186.0,4191.0,364.0,1774.0,206.0,2421.0,16.0,754.0,267.0,1160.0,4892.0,20512.0,1990.0,27400.0,413.0,2689.0,197.0,3340.0,370.0,2639.0,198.0,3241.0,822.0,6185.0,703.0,7696.0,1262.0,5661.0,606.0,7577.0,1528.0,5816.0,507.0,7924.0,1587.0,6451.0,510.0,8503.0,1914.0,5588.0,478.0,8047.0,834.0,3281.0,370.0,4600.0,70.0,1281.0,416.0,1891.0,8938.0,39663.0,4245.0,52908.0,52908.0
Bentleigh,209.0,2178.0,42.0,2546.0,217.0,1861.0,39.0,2118.0,277.0,3831.0,183.0,4419.0,588.0,4664.0,145.0,5469.0,823.0,4614.0,77.0,5604.0,497.0,3518.0,72.0,4177.0,399.0,2346.0,53.0,2833.0,199.0,1314.0,45.0,1645.0,23.0,679.0,47.0,812.0,3559.0,24989.0,1075.0,29619.0,287.0,1890.0,34.0,2303.0,304.0,1581.0,43.0,1967.0,409.0,3782.0,130.0,4383.0,808.0,5067.0,122.0,6143.0,1013.0,4898.0,143.0,6092.0,581.0,3725.0,78.0,4400.0,482.0,2676.0,110.0,3261.0,211.0,1880.0,77.0,2274.0,54.0,1305.0,82.0,1564.0,4430.0,26770.0,1244.0,32424.0,569.0,4072.0,90.0,4854.0,516.0,3383.0,96.0,4082.0,795.0,7564.0,416.0,8774.0,1458.0,9735.0,371.0,11502.0,1817.0,9515.0,300.0,11664.0,1146.0,7272.0,178.0,8616.0,880.0,5038.0,218.0,6187.0,510.0,3204.0,192.0,3900.0,86.0,1984.0,150.0,2336.0,7885.0,51701.0,2350.0,61952.0,61952.0
Berwick,187.0,2554.0,68.0,2907.0,189.0,2236.0,76.0,2577.0,279.0,4476.0,237.0,5023.0,678.0,5715.0,224.0,6616.0,698.0,4451.0,134.0,5397.0,322.0,3205.0,82.0,3711.0,258.0,1847.0,34.0,2242.0,136.0,1000.0,33.0,1219.0,12.0,265.0,15.0,365.0,3146.0,25883.0,1217.0,30181.0,293.0,2179.0,56.0,2596.0,256.0,1924.0,31.0,2310.0,371.0,5016.0,217.0,5609.0,866.0,5899.0,200.0,7018.0,715.0,4549.0,104.0,5450.0,433.0,3198.0,35.0,3783.0,358.0,2187.0,78.0,2693.0,178.0,1207.0,89.0,1583.0,22.0,447.0,33.0,530.0,3700.0,26656.0,1285.0,31769.0,582.0,4694.0,154.0,5497.0,504.0,4101.0,127.0,4962.0,673.0,9457.0,506.0,10729.0,1540.0,11646.0,487.0,13605.0,1420.0,9064.0,292.0,10849.0,836.0,6411.0,197.0,7493.0,643.0,4075.0,180.0,4955.0,336.0,2284.0,142.0,2897.0,59.0,762.0,49.0,925.0,6868.0,52592.0,2475.0,61954.0,61954.0
