district,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot,P_Tot_Tot_total
Albert Park,12.0,1054.0,26.0,1171.0,50.0,2114.0,117.0,2397.0,304.0,7908.0,601.0,8941.0,434.0,5599.0,398.0,6477.0,608.0,3935.0,309.0,4892.0,693.0,3096.0,292.0,4135.0,302.0,2232.0,150.0,2784.0,117.0,1184.0,86.0,1424.0,14.0,252.0,38.0,355.0,2799.0,27416.0,2395.0,32577.0,14.0,1092.0,18.0,1204.0,98.0,2246.0,120.0,2536.0,366.0,8175.0,585.0,9236.0,590.0,5312.0,361.0,6345.0,993.0,3808.0,231.0,5082.0,917.0,2832.0,224.0,4082.0,500.0,2229.0,146.0,2911.0,123.0,1221.0,111.0,1539.0,22.0,359.0,49.0,496.0,3878.0,27487.0,2224.0,33590.0,35.0,2109.0,65.0,2346.0,186.0,4430.0,278.0,5024.0,718.0,16070.0,1229.0,18122.0,1074.0,10919.0,847.0,12879.0,1575.0,7755.0,605.0,10005.0,1694.0,5954.0,552.0,8170.0,872.0,4551.0,349.0,5702.0,306.0,2439.0,247.0,3058.0,43.0,719.0,109.0,943.0,6713.0,54909.0,4648.0,66246.0,66246.0
Ashwood,96.0,2405.0,31.0,2603.0,120.0,2853.0,153.0,3207.0,256.0,4873.0,346.0,5521.0,441.0,4497.0,155.0,5219.0,898.0,4263.0,134.0,5301.0,877.0,3476.0,97.0,4517.0,456.0,2596.0,42.0,3218.0,220.0,1703.0,68.0,2049.0,55.0,796.0,11.0,957.0,3695.0,27415.0,1480.0,32602.0,36.0,2273.0,45.0,2463.0,87.0,2475.0,97.0,2820.0,331.0,4276.0,203.0,4935.0,688.0,4720.0,143.0,5640.0,1296.0,4337.0,139.0,5820.0,1292.0,3381.0,84.0,4899.0,698.0,2699.0,78.0,3578.0,304.0,2204.0,85.0,2624.0,44.0,1184.0,75.0,1378.0,5155.0,27609.0,1386.0,34128.0,201.0,4696.0,110.0,5083.0,277.0,5372.0,269.0,6012.0,657.0,9138.0,674.0,10505.0,1201.0,9204.0,405.0,10890.0,2157.0,8590.0,334.0,11140.0,2221.0,6891.0,235.0,9372.0,1198.0,5311.0,191.0,6764.0,637.0,3829.0,195.0,4731.0,136.0,1970.0,122.0,2343.0,8878.0,54967.0,2888.0,66765.0,66765.0
Bass,42.0,1399.0,112.0,1619.0,48.0,1229.0,55.0,1447.0,231.0,3209.0,185.0,3761.0,353.0,3124.0,248.0,3771.0,495.0,3044.0,239.0,3860.0,669.0,3506.0,276.0,4460.0,588.0,3617.0,335.0,4595.0,218.0,1796.0,204.0,2296.0,11.0,428.0,94.0,603.0,3004.0,21523.0,2033.0,26499.0,70.0,1351.0,96.0,1612.0,89.0,1276.0,51.0,1472.0,389.0,3417.0,195.0,4075.0,634.0,3004.0,197.0,3917.0,911.0,2850.0,180.0,4031.0,1187.0,3412.0,275.0,4953.0,801.0,3511.0,313.0,4655.0,234.0,1737.0,217.0,2291.0,29.0,622.0,118.0,837.0,4578.0,21267.0,2068.0,27816.0,153.0,2826.0,297.0,3309.0,171.0,2496.0,164.0,2904.0,684.0,6716.0,440.0,7886.0,1045.0,6064.0,517.0,7696.0,1447.0,5890.0,472.0,7836.0,1974.0,7004.0,575.0,9480.0,1326.0,7139.0,615.0,9202.0,541.0,3573.0,444.0,4575.0,73.0,1104.0,260.0,1457.0,7510.0,42794.0,4071.0,54366.0,54366.0
Bayswater,32.0,1851.0,37.0,1984.0,63.0,1820.0,48.0,2104.0,322.0,4506.0,216.0,5145.0,558.0,4611.0,200.0,5399.0,577.0,3705.0,150.0,4530.0,594.0,3189.0,65.0,3943.0,452.0,2838.0,63.0,3391.0,182.0,1611.0,70.0,2001.0,31.0,496.0,58.0,642.0,3149.0,24580.0,1351.0,29027.0,74.0,1585.0,46.0,1775.0,82.0,1821.0,48.0,2041.0,457.0,4497.0,145.0,5246.0,830.0,4523.0,188.0,5609.0,1012.0,3484.0,92.0,4637.0,1061.0,3220.0,74.0,4390.0,655.0,3227.0,111.0,4102.0,212.0,1781.0,115.0,2243.0,12.0,775.0,144.0,1031.0,4650.0,25024.0,1456.0,31082.0,125.0,3364.0,121.0,3681.0,210.0,3621.0,148.0,4102.0,857.0,9011.0,508.0,10404.0,1370.0,9128.0,404.0,10958.0,1657.0,7187.0,349.0,9230.0,1642.0,6425.0,218.0,8312.0,1179.0,6095.0,233.0,7517.0,473.0,3388.0,236.0,4297.0,66.0,1304.0,224.0,1694.0,7760.0,49590.0,2863.0,60172.0,60172.0
Bellarine,35.0,1632.0,59.0,1821.0,34.0,1264.0,24.0,1450.0,185.0,2694.0,59.0,3038.0,323.0,3172.0,103.0,3703.0,576.0,3190.0,185.0,4004.0,746.0,3458.0,158.0,4456.0,672.0,4287.0,237.0,5230.0,262.0,2199.0,205.0,2751.0,31.0,541.0,82.0,729.0,3209.0,22607.0,1585.0,27328.0,46.0,1566.0,69.0,1725.0,55.0,1210.0,39.0,1399.0,335.0,2797.0,109.0,3239.0,593.0,3357.0,130.0,4227.0,1093.0,3348.0,117.0,4590.0,1439.0,3805.0,211.0,5437.0,1025.0,4418.0,309.0,5744.0,349.0,2309.0,256.0,3005.0,27.0,863.0,209.0,1174.0,5147.0,23593.0,1749.0,30445.0,102.0,3137.0,175.0,3466.0,139.0,2496.0,68.0,2837.0,568.0,5426.0,210.0,6250.0,956.0,6538.0,302.0,7903.0,1663.0,6596.0,326.0,8618.0,2131.0,7262.0,434.0,9942.0,1675.0,8662.0,601.0,10964.0,741.0,4541.0,504.0,5750.0,75.0,1548.0,311.0,2013.0,8257.0,46185.0,3276.0,57773.0,57773.0
Benambra,60.0,1877.0,109.0,2145.0,52.0,1460.0,87.0,1743.0,249.0,3294.0,225.0,3832.0,393.0,3083.0,249.0,3784.0,578.0,3193.0,211.0,4060.0,658.0,3431.0,215.0,4280.0,477.0,3123.0,179.0,3972.0,205.0,1611.0,82.0,1947.0,24.0,397.0,46.0,547.0,2974.0,21506.0,1840.0,26470.0,80.0,1688.0,117.0,1944.0,72.0,1336.0,64.0,1648.0,428.0,3191.0,214.0,3916.0,845.0,3165.0,215.0,4222.0,1052.0,3055.0,161.0,4338.0,1090.0,3335.0,187.0,4661.0,729.0,3064.0,147.0,4014.0,240.0,1668.0,124.0,2099.0,9.0,686.0,118.0,874.0,4829.0,21176.0,1712.0,27707.0,165.0,3516.0,263.0,4052.0,183.0,2889.0,175.0,3392.0,720.0,6487.0,519.0,7781.0,1244.0,6222.0,506.0,8013.0,1662.0,6288.0,470.0,8474.0,1740.0,6712.0,431.0,8939.0,1275.0,6249.0,419.0,8029.0,532.0,3246.0,282.0,4115.0,45.0,1182.0,170.0,1460.0,7774.0,42786.0,3535.0,54133.0,54133.0
Bendigo East,47.0,1976.0,111.0,2208.0,100.0,1957.0,89.0,2176.0,263.0,3775.0,198.0,4385.0,403.0,3433.0,162.0,4130.0,585.0,3271.0,199.0,4125.0,736.0,3159.0,219.0,4184.0,474.0,2938.0,201.0,3736.0,194.0,1451.0,114.0,1903.0,45.0,454.0,46.0,617.0,3188.0,22525.0,1722.0,27524.0,65.0,1897.0,67.0,2116.0,144.0,1995.0,50.0,2237.0,493.0,3948.0,177.0,4790.0,880.0,3477.0,204.0,4649.0,1121.0,3214.0,158.0,4550.0,1228.0,3245.0,192.0,4698.0,785.0,2981.0,144.0,3967.0,279.0,1658.0,127.0,2126.0,19.0,810.0,106.0,1005.0,5173.0,23310.0,1735.0,30258.0,150.0,3869.0,212.0,4387.0,231.0,3921.0,164.0,4434.0,898.0,7818.0,463.0,9179.0,1322.0,6945.0,514.0,8738.0,1652.0,6515.0,426.0,8657.0,2111.0,6339.0,463.0,8897.0,1360.0,5993.0,402.0,7760.0,493.0,3200.0,281.0,4080.0,65.0,1392.0,217.0,1678.0,8415.0,45851.0,3456.0,57785.0,57785.0
Bendigo West,45.0,1475.0,72.0,1666.0,56.0,1430.0,134.0,1684.0,237.0,3102.0,466.0,3841.0,401.0,2918.0,333.0,3777.0,585.0,2934.0,304.0,3817.0,642.0,3097.0,233.0,3956.0,509.0,3085.0,261.0,3904.0,214.0,1679.0,157.0,2142.0,28.0,499.0,134.0,747.0,3071.0,20097.0,2362.0,25444.0,61.0,1436.0,76.0,1660.0,89.0,1347.0,49.0,1604.0,413.0,3122.0,236.0,3909.0,724.0,2932.0,187.0,3857.0,969.0,2859.0,174.0,4087.0,1193.0,3114.0,188.0,4506.0,748.0,3216.0,195.0,4191.0,250.0,1909.0,221.0,2421.0,20.0,764.0,257.0,1160.0,4751.0,20692.0,2011.0,27400.0,167.0,2913.0,208.0,3340.0,205.0,2719.0,204.0,3241.0,738.0,6244.0,736.0,7696.0,1160.0,5820.0,621.0,7577.0,1576.0,5764.0,516.0,7924.0,1857.0,6187.0,521.0,8503.0,1261.0,6309.0,483.0,8047.0,547.0,3573.0,439.0,4600.0,75.0,1302.0,397.0,1891.0,7681.0,40797.0,4378.0,52908.0,52908.0
Bentleigh,55.0,2369.0,43.0,2546.0,74.0,1900.0,28.0,2118.0,222.0,3848.0,188.0,4419.0,510.0,4666.0,142.0,5469.0,951.0,4487.0,115.0,5604.0,774.0,3223.0,105.0,4177.0,377.0,2303.0,56.0,2833.0,160.0,1377.0,56.0,1645.0,63.0,663.0,44.0,812.0,3458.0,24943.0,1167.0,29619.0,56.0,2086.0,30.0,2303.0,101.0,1693.0,46.0,1967.0,272.0,3853.0,140.0,4383.0,754.0,5108.0,168.0,6143.0,1487.0,4439.0,136.0,6092.0,1242.0,3075.0,67.0,4400.0,556.0,2606.0,126.0,3261.0,239.0,1809.0,92.0,2274.0,35.0,1299.0,87.0,1564.0,5030.0,25968.0,1344.0,32424.0,161.0,4527.0,101.0,4854.0,269.0,3629.0,102.0,4082.0,590.0,7781.0,401.0,8774.0,1356.0,9789.0,424.0,11502.0,2430.0,8955.0,344.0,11664.0,2037.0,6272.0,209.0,8616.0,1015.0,4895.0,235.0,6187.0,484.0,3185.0,186.0,3900.0,140.0,2011.0,154.0,2336.0,8526.0,50924.0,2539.0,61952.0,61952.0
Berwick,52.0,2683.0,68.0,2907.0,66.0,2359.0,71.0,2577.0,233.0,4518.0,251.0,5023.0,595.0,5793.0,270.0,6616.0,667.0,4545.0,143.0,5397.0,497.0,3062.0,83.0,3711.0,242.0,1838.0,22.0,2242.0,86.0,1027.0,38.0,1219.0,22.0,280.0,11.0,365.0,2846.0,26051.0,1285.0,30181.0,62.0,2401.0,56.0,2596.0,107.0,2081.0,39.0,2310.0,489.0,4837.0,242.0,5609.0,947.0,5732.0,216.0,7018.0,1043.0,4239.0,108.0,5450.0,870.0,2741.0,65.0,3783.0,414.0,2085.0,84.0,2693.0,119.0,1253.0,86.0,1583.0,20.0,469.0,36.0,530.0,4470.0,25892.0,1353.0,31769.0,187.0,5027.0,161.0,5497.0,241.0,4396.0,146.0,4962.0,765.0,9319.0,580.0,10729.0,1569.0,11509.0,543.0,13605.0,1777.0,8735.0,281.0,10849.0,1407.0,5770.0,222.0,7493.0,752.0,3986.0,168.0,4955.0,267.0,2307.0,171.0,2897.0,54.0,788.0,70.0,925.0,7309.0,51925.0,2693.0,61954.0,61954.0
