district,CF_no_children_F,CF_no_children_F_pc,CF_no_children_P,CF_no_children_P_pc,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_F_pc,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_NdCh_P_pc,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_F_pc,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_P_pc,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_F_pc,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_P_pc,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_F_pc,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_P_pc,CF_ChU15_a_Total_F,CF_ChU15_a_Total_F_pc,CF_ChU15_a_Total_P,CF_ChU15_a_Total_P_pc,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_F_pc,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_NdCh_P_pc,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_F_pc,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_P_pc,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_F_pc,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_P_pc,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_F_pc,CF_no_ChU15_a_Total_P,CF_no_ChU15_a_Total_P_pc,CF_Total_F,CF_Total_F_pc,CF_Total_P,CF_Total_P_pc,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_F_pc,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_NdCh_P_pc,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_F_pc,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_P_pc,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_F_pc,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_P_pc,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_F_pc,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_P_pc,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_F_pc,OPF_ChU15_a_Total_P,OPF_ChU15_a_Total_P_pc,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_F_pc,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_a_NdCh_P_pc,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_F_pc,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_P_pc,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_F_pc,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_P_pc,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_F_pc,OPF_no_ChU15_a_Total_P,OPF_no_ChU15_a_Total_P_pc,OPF_Total_F,OPF_Total_F_pc,OPF_Total_P,OPF_Total_P_pc,Other_family_F,Other_family_F_pc,Other_family_P,Other_family_P_pc,Total_F,Total_F_pc,Total_P,Total_P_pc,Total_P_total
Albert Park,10074.0,0.2233,19981.0,0.4429,0.0,0.0,101.0,0.0022,404.0,0.009,1810.0,0.0401,6.0,0.0001,156.0,0.0035,3480.0,0.0771,12487.0,0.2768,3982.0,0.0883,14570.0,0.323,114.0,0.0025,669.0,0.0148,662.0,0.0147,2240.0,0.0497,620.0,0.0137,1914.0,0.0424,1404.0,0.0311,4808.0,0.1066,5392.0,0.1195,19338.0,0.4287,0.0,0.0,56.0,0.0012,68.0,0.0015,347.0,0.0077,15.0,0.0003,116.0,0.0026,784.0,0.0174,1751.0,0.0388,944.0,0.0209,2252.0,0.0499,43.0,0.001,243.0,0.0054,380.0,0.0084,859.0,0.019,680.0,0.0151,1503.0,0.0333,1186.0,0.0263,2524.0,0.0559,2064.0,0.0458,4835.0,0.1072,429.0,0.0095,983.0,0.0218,18010.0,0.3992,45112.0,1.0,45112.0
Ashwood,7249.0,0.1112,14548.0,0.2232,36.0,0.0006,445.0,0.0068,1183.0,0.0181,5397.0,0.0828,46.0,0.0007,381.0,0.0058,5770.0,0.0885,22034.0,0.338,7177.0,0.1101,28281.0,0.4338,652.0,0.01,2769.0,0.0425,1637.0,0.0251,5952.0,0.0913,1787.0,0.0274,5684.0,0.0872,4099.0,0.0629,14367.0,0.2204,11251.0,0.1726,42650.0,0.6542,0.0,0.0,82.0,0.0013,166.0,0.0025,713.0,0.0109,11.0,0.0002,150.0,0.0023,812.0,0.0125,2016.0,0.0309,1064.0,0.0163,2918.0,0.0448,86.0,0.0013,462.0,0.0071,530.0,0.0081,1245.0,0.0191,1104.0,0.0169,2414.0,0.037,1787.0,0.0274,4106.0,0.063,2885.0,0.0443,7059.0,0.1083,404.0,0.0062,863.0,0.0132,21812.0,0.3346,65192.0,1.0,65192.0
Bass,8261.0,0.1629,16559.0,0.3265,90.0,0.0018,728.0,0.0144,666.0,0.0131,2971.0,0.0586,124.0,0.0024,929.0,0.0183,4036.0,0.0796,15721.0,0.3099,5009.0,0.0988,20217.0,0.3986,230.0,0.0045,1149.0,0.0227,467.0,0.0092,1524.0,0.03,1356.0,0.0267,4335.0,0.0855,2076.0,0.0409,7043.0,0.1389,7097.0,0.1399,27319.0,0.5386,12.0,0.0002,150.0,0.003,103.0,0.002,585.0,0.0115,56.0,0.0011,341.0,0.0067,909.0,0.0179,2501.0,0.0493,1226.0,0.0242,3589.0,0.0708,30.0,0.0006,260.0,0.0051,159.0,0.0031,446.0,0.0088,898.0,0.0177,2099.0,0.0414,1225.0,0.0242,2840.0,0.056,2475.0,0.0488,6421.0,0.1266,116.0,0.0023,448.0,0.0088,18073.0,0.3563,50722.0,1.0,50722.0
Bayswater,7390.0,0.1245,14917.0,0.2512,51.0,0.0009,552.0,0.0093,745.0,0.0125,3512.0,0.0591,100.0,0.0017,665.0,0.0112,5149.0,0.0867,19405.0,0.3268,6137.0,0.1034,24181.0,0.4072,445.0,0.0075,2090.0,0.0352,783.0,0.0132,2674.0,0.045,1800.0,0.0303,5874.0,0.0989,3068.0,0.0517,10690.0,0.18,9223.0,0.1553,34812.0,0.5863,10.0,0.0002,211.0,0.0036,187.0,0.0031,767.0,0.0129,42.0,0.0007,311.0,0.0052,1090.0,0.0184,2731.0,0.046,1428.0,0.024,4064.0,0.0684,134.0,0.0023,610.0,0.0103,349.0,0.0059,874.0,0.0147,1542.0,0.026,3439.0,0.0579,2043.0,0.0344,4855.0,0.0818,3562.0,0.06,8889.0,0.1497,264.0,0.0044,652.0,0.011,20479.0,0.3449,59378.0,1.0,59378.0
Bellarine,9566.0,0.1738,19067.0,0.3463,70.0,0.0013,629.0,0.0114,714.0,0.013,3304.0,0.06,101.0,0.0018,637.0,0.0116,4116.0,0.0748,16197.0,0.2942,5080.0,0.0923,20761.0,0.3771,332.0,0.006,1548.0,0.0281,593.0,0.0108,2203.0,0.04,1400.0,0.0254,4397.0,0.0799,2434.0,0.0442,8206.0,0.1491,7521.0,0.1366,28941.0,0.5257,11.0,0.0002,185.0,0.0034,188.0,0.0034,735.0,0.0134,28.0,0.0005,205.0,0.0037,936.0,0.017,2431.0,0.0442,1208.0,0.0219,3588.0,0.0652,68.0,0.0012,317.0,0.0058,248.0,0.0045,537.0,0.0098,974.0,0.0177,2003.0,0.0364,1306.0,0.0237,3018.0,0.0548,2579.0,0.0468,6554.0,0.1191,130.0,0.0024,371.0,0.0067,19867.0,0.3609,55052.0,1.0,55052.0
Benambra,7847.0,0.1533,15588.0,0.3046,104.0,0.002,703.0,0.0137,697.0,0.0136,3287.0,0.0642,126.0,0.0025,815.0,0.0159,4079.0,0.0797,15947.0,0.3116,5079.0,0.0993,20769.0,0.4059,258.0,0.005,1219.0,0.0238,452.0,0.0088,1568.0,0.0306,1179.0,0.023,3822.0,0.0747,1982.0,0.0387,6701.0,0.1309,7104.0,0.1388,27386.0,0.5352,24.0,0.0005,215.0,0.0042,179.0,0.0035,760.0,0.0149,58.0,0.0011,419.0,0.0082,1235.0,0.0241,3332.0,0.0651,1609.0,0.0314,4736.0,0.0925,47.0,0.0009,367.0,0.0072,218.0,0.0043,592.0,0.0116,919.0,0.018,2031.0,0.0397,1293.0,0.0253,2968.0,0.058,2958.0,0.0578,7697.0,0.1504,187.0,0.0037,474.0,0.0093,18096.0,0.3536,51173.0,1.0,51173.0
Bendigo East,7668.0,0.1371,15351.0,0.2744,113.0,0.002,889.0,0.0159,810.0,0.0145,3785.0,0.0677,121.0,0.0022,968.0,0.0173,4550.0,0.0813,17848.0,0.3191,5697.0,0.1018,23512.0,0.4203,348.0,0.0062,1680.0,0.03,600.0,0.0107,2081.0,0.0372,1275.0,0.0228,4114.0,0.0735,2270.0,0.0406,7786.0,0.1392,8025.0,0.1435,31236.0,0.5584,25.0,0.0004,324.0,0.0058,203.0,0.0036,969.0,0.0173,83.0,0.0015,490.0,0.0088,1343.0,0.024,3609.0,0.0645,1831.0,0.0327,5368.0,0.096,79.0,0.0014,374.0,0.0067,249.0,0.0045,592.0,0.0106,1089.0,0.0195,2371.0,0.0424,1519.0,0.0272,3403.0,0.0608,3337.0,0.0597,8768.0,0.1567,235.0,0.0042,524.0,0.0094,19253.0,0.3442,55939.0,1.0,55939.0
Bendigo West,7214.0,0.1552,14440.0,0.3106,76.0,0.0016,641.0,0.0138,587.0,0.0126,2721.0,0.0585,133.0,0.0029,755.0,0.0162,3432.0,0.0738,13123.0,0.2822,4234.0,0.0911,17176.0,0.3694,221.0,0.0048,1198.0,0.0258,462.0,0.0099,1592.0,0.0342,1113.0,0.0239,3602.0,0.0775,1895.0,0.0408,6356.0,0.1367,6105.0,0.1313,23511.0,0.5057,9.0,0.0002,177.0,0.0038,196.0,0.0042,806.0,0.0173,57.0,0.0012,339.0,0.0073,1257.0,0.027,3373.0,0.0725,1696.0,0.0365,4706.0,0.1012,39.0,0.0008,250.0,0.0054,180.0,0.0039,527.0,0.0113,1052.0,0.0226,2365.0,0.0509,1390.0,0.0299,3235.0,0.0696,3118.0,0.0671,7917.0,0.1703,250.0,0.0054,549.0,0.0118,16763.0,0.3605,46496.0,1.0,46496.0
Bentleigh,6726.0,0.1057,13548.0,0.213,36.0,0.0006,413.0,0.0065,1262.0,0.0198,5563.0,0.0875,67.0,0.0011,424.0,0.0067,6076.0,0.0955,22929.0,0.3605,7457.0,0.1172,29267.0,0.4601,554.0,0.0087,2433.0,0.0382,1328.0,0.0209,4763.0,0.0749,1594.0,0.0251,5099.0,0.0802,3520.0,0.0553,12439.0,0.1956,11000.0,0.1729,41636.0,0.6546,4.0,0.0001,101.0,0.0016,165.0,0.0026,742.0,0.0117,4.0,0.0001,126.0,0.002,1003.0,0.0158,2443.0,0.0384,1322.0,0.0208,3362.0,0.0529,96.0,0.0015,534.0,0.0084,552.0,0.0087,1348.0,0.0212,1186.0,0.0186,2594.0,0.0408,1953.0,0.0307,4448.0,0.0699,3271.0,0.0514,7811.0,0.1228,249.0,0.0039,618.0,0.0097,21232.0,0.3338,63610.0,1.0,63610.0
Berwick,6138.0,0.0856,12438.0,0.1734,159.0,0.0022,1169.0,0.0163,1492.0,0.0208,6914.0,0.0964,168.0,0.0023,1135.0,0.0158,7584.0,0.1057,29499.0,0.4112,9500.0,0.1324,38692.0,0.5394,712.0,0.0099,3267.0,0.0455,1188.0,0.0166,4372.0,0.0609,1804.0,0.0251,5932.0,0.0827,3758.0,0.0524,13494.0,0.1881,13254.0,0.1848,52188.0,0.7275,11.0,0.0002,204.0,0.0028,163.0,0.0023,716.0,0.01,12.0,0.0002,167.0,0.0023,983.0,0.0137,2574.0,0.0359,1222.0,0.017,3637.0,0.0507,71.0,0.001,496.0,0.0069,265.0,0.0037,702.0,0.0098,798.0,0.0111,1973.0,0.0275,1294.0,0.018,3152.0,0.0439,2516.0,0.0351,6797.0,0.0948,180.0,0.0025,425.0,0.0059,22108.0,0.3082,71734.0,1.0,71734.0
