district,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P,Total_P_total
Albert Park,10074.0,19981.0,0.0,101.0,404.0,1810.0,6.0,156.0,3480.0,12487.0,3982.0,14570.0,114.0,669.0,662.0,2240.0,620.0,1914.0,1404.0,4808.0,5392.0,19338.0,0.0,56.0,68.0,347.0,15.0,116.0,784.0,1751.0,944.0,2252.0,43.0,243.0,380.0,859.0,680.0,1503.0,1186.0,2524.0,2064.0,4835.0,429.0,983.0,18010.0,45112.0,45112.0
Ashwood,7249.0,14548.0,36.0,445.0,1183.0,5397.0,46.0,381.0,5770.0,22034.0,7177.0,28281.0,652.0,2769.0,1637.0,5952.0,1787.0,5684.0,4099.0,14367.0,11251.0,42650.0,0.0,82.0,166.0,713.0,11.0,150.0,812.0,2016.0,1064.0,2918.0,86.0,462.0,530.0,1245.0,1104.0,2414.0,1787.0,4106.0,2885.0,7059.0,404.0,863.0,21812.0,65192.0,65192.0
Bass,8261.0,16559.0,90.0,728.0,666.0,2971.0,124.0,929.0,4036.0,15721.0,5009.0,20217.0,230.0,1149.0,467.0,1524.0,1356.0,4335.0,2076.0,7043.0,7097.0,27319.0,12.0,150.0,103.0,585.0,56.0,341.0,909.0,2501.0,1226.0,3589.0,30.0,260.0,159.0,446.0,898.0,2099.0,1225.0,2840.0,2475.0,6421.0,116.0,448.0,18073.0,50722.0,50722.0
Bayswater,7390.0,14917.0,51.0,552.0,745.0,3512.0,100.0,665.0,5149.0,19405.0,6137.0,24181.0,445.0,2090.0,783.0,2674.0,1800.0,5874.0,3068.0,10690.0,9223.0,34812.0,10.0,211.0,187.0,767.0,42.0,311.0,1090.0,2731.0,1428.0,4064.0,134.0,610.0,349.0,874.0,1542.0,3439.0,2043.0,4855.0,3562.0,8889.0,264.0,652.0,20479.0,59378.0,59378.0
Bellarine,9566.0,19067.0,70.0,629.0,714.0,3304.0,101.0,637.0,4116.0,16197.0,5080.0,20761.0,332.0,1548.0,593.0,2203.0,1400.0,4397.0,2434.0,8206.0,7521.0,28941.0,11.0,185.0,188.0,735.0,28.0,205.0,936.0,2431.0,1208.0,3588.0,68.0,317.0,248.0,537.0,974.0,2003.0,1306.0,3018.0,2579.0,6554.0,130.0,371.0,19867.0,55052.0,55052.0
Benambra,7847.0,15588.0,104.0,703.0,697.0,3287.0,126.0,815.0,4079.0,15947.0,5079.0,20769.0,258.0,1219.0,452.0,1568.0,1179.0,3822.0,1982.0,6701.0,7104.0,27386.0,24.0,215.0,179.0,760.0,58.0,419.0,1235.0,3332.0,1609.0,4736.0,47.0,367.0,218.0,592.0,919.0,2031.0,1293.0,2968.0,2958.0,7697.0,187.0,474.0,18096.0,51173.0,51173.0
Bendigo East,7668.0,15351.0,113.0,889.0,810.0,3785.0,121.0,968.0,4550.0,17848.0,5697.0,23512.0,348.0,1680.0,600.0,2081.0,1275.0,4114.0,2270.0,7786.0,8025.0,31236.0,25.0,324.0,203.0,969.0,83.0,490.0,1343.0,3609.0,1831.0,5368.0,79.0,374.0,249.0,592.0,1089.0,2371.0,1519.0,3403.0,3337.0,8768.0,235.0,524.0,19253.0,55939.0,55939.0
Bendigo West,7214.0,14440.0,76.0,641.0,587.0,2721.0,133.0,755.0,3432.0,13123.0,4234.0,17176.0,221.0,1198.0,462.0,1592.0,1113.0,3602.0,1895.0,6356.0,6105.0,23511.0,9.0,177.0,196.0,806.0,57.0,339.0,1257.0,3373.0,1696.0,4706.0,39.0,250.0,180.0,527.0,1052.0,2365.0,1390.0,3235.0,3118.0,7917.0,250.0,549.0,16763.0,46496.0,46496.0
Bentleigh,6726.0,13548.0,36.0,413.0,1262.0,5563.0,67.0,424.0,6076.0,22929.0,7457.0,29267.0,554.0,2433.0,1328.0,4763.0,1594.0,5099.0,3520.0,12439.0,11000.0,41636.0,4.0,101.0,165.0,742.0,4.0,126.0,1003.0,2443.0,1322.0,3362.0,96.0,534.0,552.0,1348.0,1186.0,2594.0,1953.0,4448.0,3271.0,7811.0,249.0,618.0,21232.0,63610.0,63610.0
Berwick,6138.0,12438.0,159.0,1169.0,1492.0,6914.0,168.0,1135.0,7584.0,29499.0,9500.0,38692.0,712.0,3267.0,1188.0,4372.0,1804.0,5932.0,3758.0,13494.0,13254.0,52188.0,11.0,204.0,163.0,716.0,12.0,167.0,983.0,2574.0,1222.0,3637.0,71.0,496.0,265.0,702.0,798.0,1973.0,1294.0,3152.0,2516.0,6797.0,180.0,425.0,22108.0,71734.0,71734.0
Box Hill,8226.0,16534.0,58.0,484.0,1050.0,4806.0,10.0,328.0,5293.0,20038.0,6631.0,25801.0,592.0,2521.0,1522.0,5472.0,1500.0,4847.0,3654.0,12888.0,10258.0,38683.0,0.0,78.0,158.0,773.0,20.0,169.0,929.0,2263.0,1251.0,3263.0,96.0,526.0,625.0,1493.0,1186.0,2519.0,1994.0,4551.0,3285.0,7816.0,503.0,1051.0,22196.0,64047.0,64047.0
Brighton,6815.0,13527.0,31.0,354.0,990.0,4438.0,18.0,266.0,4175.0,15852.0,5330.0,20880.0,485.0,2026.0,1352.0,4863.0,1072.0,3353.0,2921.0,10187.0,8205.0,31086.0,0.0,37.0,117.0,597.0,9.0,66.0,726.0,1793.0,986.0,2429.0,35.0,271.0,449.0,1047.0,744.0,1611.0,1300.0,2898.0,2253.0,5307.0,166.0,454.0,17473.0,50379.0,50379.0
Broadmeadows,6259.0,12693.0,233.0,1676.0,840.0,4488.0,183.0,1159.0,5209.0,20799.0,6501.0,28057.0,431.0,2240.0,470.0,1817.0,1694.0,5883.0,2690.0,9824.0,9178.0,37901.0,24.0,316.0,183.0,891.0,69.0,423.0,1064.0,2823.0,1451.0,4462.0,148.0,711.0,285.0,801.0,1827.0,4292.0,2427.0,5751.0,3768.0,10206.0,514.0,1158.0,19832.0,61935.0,61935.0
Brunswick,8214.0,16418.0,3.0,138.0,437.0,2021.0,3.0,107.0,3455.0,12518.0,3978.0,14756.0,162.0,877.0,625.0,2012.0,673.0,2212.0,1459.0,5101.0,5446.0,19904.0,0.0,27.0,63.0,309.0,3.0,46.0,619.0,1451.0,770.0,1880.0,53.0,204.0,185.0,592.0,712.0,1696.0,1069.0,2484.0,1831.0,4295.0,461.0,955.0,16047.0,41610.0,41610.0
