district,CF_no_children_F_pc,CF_no_children_P_pc,CF_ChU15_a_DSs_a_NdCh_F_pc,CF_ChU15_a_DSs_a_NdCh_P_pc,CF_ChU15_a_DSs_a_no_NdCh_F_pc,CF_ChU15_a_DSs_a_no_NdCh_P_pc,CF_ChU15_a_no_DSs_a_NdCh_F_pc,CF_ChU15_a_no_DSs_a_NdCh_P_pc,CF_ChU15_a_no_DSs_a_no_NdCh_F_pc,CF_ChU15_a_no_DSs_a_no_NdCh_P_pc,CF_ChU15_a_Total_F_pc,CF_ChU15_a_Total_P_pc,CF_no_ChU15_a_DSs_a_NdCh_F_pc,CF_no_ChU15_a_DSs_a_NdCh_P_pc,CF_no_ChU15_a_DSs_a_no_NdCh_F_pc,CF_no_ChU15_a_DSs_a_no_NdCh_P_pc,CF_no_ChU15_a_no_DSs_a_NdCh_F_pc,CF_no_ChU15_a_no_DSs_a_NdCh_P_pc,CF_no_ChU15_a_Total_F_pc,CF_no_ChU15_a_Total_P_pc,CF_Total_F_pc,CF_Total_P_pc,OPF_ChU15_a_DSs_a_NdCh_F_pc,OPF_ChU15_a_DSs_a_NdCh_P_pc,OPF_ChU15_a_DSs_a_no_NdCh_F_pc,OPF_ChU15_a_DSs_a_no_NdCh_P_pc,OPF_ChU15_a_no_DSs_a_NdCh_F_pc,OPF_ChU15_a_no_DSs_a_NdCh_P_pc,OPF_ChU15_a_no_DSs_no_NdCh_F_pc,OPF_ChU15_a_no_DSs_no_NdCh_P_pc,OPF_ChU15_a_Total_F_pc,OPF_ChU15_a_Total_P_pc,OPF_no_ChU15_a_DSs_a_NdCh_F_pc,OPF_no_ChU15_a_DSs_a_NdCh_P_pc,OPF_no_ChU15_a_DSs_no_NdCh_F_pc,OPF_no_ChU15_a_DSs_no_NdCh_P_pc,OPF_no_ChU15_no_DSs_a_NdCh_F_pc,OPF_no_ChU15_no_DSs_a_NdCh_P_pc,OPF_no_ChU15_a_Total_F_pc,OPF_no_ChU15_a_Total_P_pc,OPF_Total_F_pc,OPF_Total_P_pc,Other_family_F_pc,Other_family_P_pc,Total_F_pc,Total_P_pc
Albert Park,0.2233,0.4429,0.0,0.0022,0.009,0.0401,0.0001,0.0035,0.0771,0.2768,0.0883,0.323,0.0025,0.0148,0.0147,0.0497,0.0137,0.0424,0.0311,0.1066,0.1195,0.4287,0.0,0.0012,0.0015,0.0077,0.0003,0.0026,0.0174,0.0388,0.0209,0.0499,0.001,0.0054,0.0084,0.019,0.0151,0.0333,0.0263,0.0559,0.0458,0.1072,0.0095,0.0218,0.3992,1.0
Ashwood,0.1112,0.2232,0.0006,0.0068,0.0181,0.0828,0.0007,0.0058,0.0885,0.338,0.1101,0.4338,0.01,0.0425,0.0251,0.0913,0.0274,0.0872,0.0629,0.2204,0.1726,0.6542,0.0,0.0013,0.0025,0.0109,0.0002,0.0023,0.0125,0.0309,0.0163,0.0448,0.0013,0.0071,0.0081,0.0191,0.0169,0.037,0.0274,0.063,0.0443,0.1083,0.0062,0.0132,0.3346,1.0
Bass,0.1629,0.3265,0.0018,0.0144,0.0131,0.0586,0.0024,0.0183,0.0796,0.3099,0.0988,0.3986,0.0045,0.0227,0.0092,0.03,0.0267,0.0855,0.0409,0.1389,0.1399,0.5386,0.0002,0.003,0.002,0.0115,0.0011,0.0067,0.0179,0.0493,0.0242,0.0708,0.0006,0.0051,0.0031,0.0088,0.0177,0.0414,0.0242,0.056,0.0488,0.1266,0.0023,0.0088,0.3563,1.0
Bayswater,0.1245,0.2512,0.0009,0.0093,0.0125,0.0591,0.0017,0.0112,0.0867,0.3268,0.1034,0.4072,0.0075,0.0352,0.0132,0.045,0.0303,0.0989,0.0517,0.18,0.1553,0.5863,0.0002,0.0036,0.0031,0.0129,0.0007,0.0052,0.0184,0.046,0.024,0.0684,0.0023,0.0103,0.0059,0.0147,0.026,0.0579,0.0344,0.0818,0.06,0.1497,0.0044,0.011,0.3449,1.0
Bellarine,0.1738,0.3463,0.0013,0.0114,0.013,0.06,0.0018,0.0116,0.0748,0.2942,0.0923,0.3771,0.006,0.0281,0.0108,0.04,0.0254,0.0799,0.0442,0.1491,0.1366,0.5257,0.0002,0.0034,0.0034,0.0134,0.0005,0.0037,0.017,0.0442,0.0219,0.0652,0.0012,0.0058,0.0045,0.0098,0.0177,0.0364,0.0237,0.0548,0.0468,0.1191,0.0024,0.0067,0.3609,1.0
Benambra,0.1533,0.3046,0.002,0.0137,0.0136,0.0642,0.0025,0.0159,0.0797,0.3116,0.0993,0.4059,0.005,0.0238,0.0088,0.0306,0.023,0.0747,0.0387,0.1309,0.1388,0.5352,0.0005,0.0042,0.0035,0.0149,0.0011,0.0082,0.0241,0.0651,0.0314,0.0925,0.0009,0.0072,0.0043,0.0116,0.018,0.0397,0.0253,0.058,0.0578,0.1504,0.0037,0.0093,0.3536,1.0
Bendigo East,0.1371,0.2744,0.002,0.0159,0.0145,0.0677,0.0022,0.0173,0.0813,0.3191,0.1018,0.4203,0.0062,0.03,0.0107,0.0372,0.0228,0.0735,0.0406,0.1392,0.1435,0.5584,0.0004,0.0058,0.0036,0.0173,0.0015,0.0088,0.024,0.0645,0.0327,0.096,0.0014,0.0067,0.0045,0.0106,0.0195,0.0424,0.0272,0.0608,0.0597,0.1567,0.0042,0.0094,0.3442,1.0
Bendigo West,0.1552,0.3106,0.0016,0.0138,0.0126,0.0585,0.0029,0.0162,0.0738,0.2822,0.0911,0.3694,0.0048,0.0258,0.0099,0.0342,0.0239,0.0775,0.0408,0.1367,0.1313,0.5057,0.0002,0.0038,0.0042,0.0173,0.0012,0.0073,0.027,0.0725,0.0365,0.1012,0.0008,0.0054,0.0039,0.0113,0.0226,0.0509,0.0299,0.0696,0.0671,0.1703,0.0054,0.0118,0.3605,1.0
Bentleigh,0.1057,0.213,0.0006,0.0065,0.0198,0.0875,0.0011,0.0067,0.0955,0.3605,0.1172,0.4601,0.0087,0.0382,0.0209,0.0749,0.0251,0.0802,0.0553,0.1956,0.1729,0.6546,0.0001,0.0016,0.0026,0.0117,0.0001,0.002,0.0158,0.0384,0.0208,0.0529,0.0015,0.0084,0.0087,0.0212,0.0186,0.0408,0.0307,0.0699,0.0514,0.1228,0.0039,0.0097,0.3338,1.0
Berwick,0.0856,0.1734,0.0022,0.0163,0.0208,0.0964,0.0023,0.0158,0.1057,0.4112,0.1324,0.5394,0.0099,0.0455,0.0166,0.0609,0.0251,0.0827,0.0524,0.1881,0.1848,0.7275,0.0002,0.0028,0.0023,0.01,0.0002,0.0023,0.0137,0.0359,0.017,0.0507,0.001,0.0069,0.0037,0.0098,0.0111,0.0275,0.018,0.0439,0.0351,0.0948,0.0025,0.0059,0.3082,1.0
Box Hill,0.1284,0.2582,0.0009,0.0076,0.0164,0.075,0.0002,0.0051,0.0826,0.3129,0.1035,0.4028,0.0092,0.0394,0.0238,0.0854,0.0234,0.0757,0.0571,0.2012,0.1602,0.604,0.0,0.0012,0.0025,0.0121,0.0003,0.0026,0.0145,0.0353,0.0195,0.0509,0.0015,0.0082,0.0098,0.0233,0.0185,0.0393,0.0311,0.0711,0.0513,0.122,0.0079,0.0164,0.3466,1.0
Brighton,0.1353,0.2685,0.0006,0.007,0.0197,0.0881,0.0004,0.0053,0.0829,0.3147,0.1058,0.4145,0.0096,0.0402,0.0268,0.0965,0.0213,0.0666,0.058,0.2022,0.1629,0.617,0.0,0.0007,0.0023,0.0119,0.0002,0.0013,0.0144,0.0356,0.0196,0.0482,0.0007,0.0054,0.0089,0.0208,0.0148,0.032,0.0258,0.0575,0.0447,0.1053,0.0033,0.009,0.3468,1.0
Broadmeadows,0.1011,0.2049,0.0038,0.0271,0.0136,0.0725,0.003,0.0187,0.0841,0.3358,0.105,0.453,0.007,0.0362,0.0076,0.0293,0.0274,0.095,0.0434,0.1586,0.1482,0.6119,0.0004,0.0051,0.003,0.0144,0.0011,0.0068,0.0172,0.0456,0.0234,0.072,0.0024,0.0115,0.0046,0.0129,0.0295,0.0693,0.0392,0.0929,0.0608,0.1648,0.0083,0.0187,0.3202,1.0
Brunswick,0.1974,0.3946,0.0001,0.0033,0.0105,0.0486,0.0001,0.0026,0.083,0.3008,0.0956,0.3546,0.0039,0.0211,0.015,0.0484,0.0162,0.0532,0.0351,0.1226,0.1309,0.4783,0.0,0.0006,0.0015,0.0074,0.0001,0.0011,0.0149,0.0349,0.0185,0.0452,0.0013,0.0049,0.0044,0.0142,0.0171,0.0408,0.0257,0.0597,0.044,0.1032,0.0111,0.023,0.3857,1.0
Bulleen,0.1312,0.2653,0.0003,0.0069,0.0142,0.0646,0.0008,0.007,0.075,0.2845,0.0922,0.3621,0.0101,0.0466,0.0202,0.0712,0.0374,0.1233,0.068,0.2414,0.16,0.6028,0.0,0.0012,0.0023,0.0116,0.0002,0.0019,0.0129,0.0339,0.0172,0.0478,0.0018,0.0089,0.0073,0.0178,0.0199,0.045,0.0311,0.0727,0.0486,0.1207,0.0048,0.0115,0.3456,1.0
