district,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_F_pc,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_NdCh_P_pc,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_F_pc,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_P_pc,CF_ChU15_a_Total_F,CF_ChU15_a_Total_F_pc,CF_ChU15_a_Total_P,CF_ChU15_a_Total_P_pc,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_F_pc,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_P_pc,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_F_pc,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_P_pc,CF_Total_F,CF_Total_F_pc,CF_Total_P,CF_Total_P_pc,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_F_pc,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_NdCh_P_pc,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_F_pc,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_P_pc,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_F_pc,CF_no_ChU15_a_Total_P,CF_no_ChU15_a_Total_P_pc,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_F_pc,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_P_pc,CF_no_children_F,CF_no_children_F_pc,CF_no_children_P,CF_no_children_P_pc,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_F_pc,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_NdCh_P_pc,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_F_pc,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_P_pc,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_F_pc,OPF_ChU15_a_Total_P,OPF_ChU15_a_Total_P_pc,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_F_pc,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_P_pc,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_F_pc,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_P_pc,OPF_Total_F,OPF_Total_F_pc,OPF_Total_P,OPF_Total_P_pc,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_F_pc,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_a_NdCh_P_pc,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_F_pc,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_P_pc,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_F_pc,OPF_no_ChU15_a_Total_P,OPF_no_ChU15_a_Total_P_pc,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_F_pc,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_P_pc,Other_family_F,Other_family_F_pc,Other_family_P,Other_family_P_pc,Total_F,Total_F_pc,Total_P,Total_P_pc,Total_P_total
Albert Park,1.0,1.0,3.0,1.0,4.0,4.0,4.0,4.0,6.0,11.0,4.0,5.0,4.0,1.0,5.0,5.0,11.0,29.0,5.0,12.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,38.0,60.0,37.0,55.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,86.0,85.0,86.0,85.0,1.0,1.0,10.0,11.0,4.0,3.0,3.0,3.0,10.0,38.0,7.0,19.0,20.0,21.0,14.0,23.0,17.0,51.0,10.0,34.0,6.0,24.0,7.0,14.0,16.0,20.0,8.0,13.0,77.0,82.0,64.0,79.0,10.0,33.0,4.0,20.0,4.0,12.0,4.0,12.0,75.0,81.0,76.0,81.0,25.0,86.0,5.0,1.0,5.0
Ashwood,17.0,14.0,19.0,13.0,75.0,76.0,74.0,76.0,72.0,67.0,70.0,65.0,20.0,15.0,18.0,14.0,73.0,65.0,73.0,65.0,76.0,78.0,72.0,72.0,77.0,72.0,72.0,68.0,86.0,84.0,86.0,84.0,79.0,77.0,79.0,76.0,66.0,54.0,60.0,53.0,48.0,26.0,48.0,26.0,2.0,2.0,18.0,14.0,52.0,34.0,44.0,27.0,21.0,5.0,21.0,11.0,17.0,15.0,22.0,18.0,24.0,6.0,23.0,6.0,40.0,18.0,37.0,15.0,44.0,35.0,45.0,35.0,84.0,81.0,84.0,80.0,58.0,49.0,57.0,45.0,45.0,23.0,40.0,23.0,74.0,70.0,69.0,63.0,74.0,30.0,72.0,2.0,72.0
Bass,59.0,63.0,52.0,59.0,22.0,29.0,14.0,16.0,23.0,32.0,24.0,31.0,49.0,51.0,55.0,70.0,24.0,38.0,25.0,38.0,20.0,24.0,20.0,23.0,11.0,9.0,9.0,8.0,15.0,18.0,8.0,7.0,15.0,21.0,16.0,18.0,31.0,48.0,31.0,47.0,73.0,74.0,72.0,75.0,60.0,51.0,42.0,45.0,11.0,11.0,24.0,35.0,41.0,55.0,42.0,52.0,58.0,61.0,52.0,59.0,39.0,53.0,44.0,56.0,17.0,36.0,25.0,40.0,8.0,6.0,13.0,9.0,7.0,7.0,6.0,9.0,15.0,15.0,15.0,21.0,19.0,27.0,27.0,39.0,5.0,7.0,18.0,24.0,26.0,71.0,19.0,3.0,19.0
Bayswater,28.0,25.0,28.0,23.0,34.0,16.0,33.0,17.0,57.0,49.0,52.0,43.0,36.0,34.0,34.0,30.0,60.0,62.0,57.0,56.0,52.0,42.0,50.0,38.0,50.0,49.0,50.0,49.0,54.0,50.0,51.0,46.0,59.0,57.0,57.0,57.0,67.0,69.0,65.0,67.0,50.0,39.0,51.0,40.0,53.0,52.0,61.0,59.0,62.0,64.0,58.0,55.0,59.0,53.0,53.0,48.0,46.0,42.0,48.0,44.0,60.0,56.0,52.0,51.0,72.0,76.0,66.0,70.0,75.0,75.0,70.0,76.0,70.0,63.0,68.0,65.0,79.0,79.0,77.0,80.0,80.0,80.0,78.0,79.0,50.0,50.0,49.0,51.0,61.0,49.0,55.0,4.0,55.0
Bellarine,42.0,45.0,36.0,38.0,31.0,24.0,26.0,20.0,26.0,19.0,26.0,19.0,37.0,38.0,33.0,33.0,27.0,22.0,28.0,26.0,26.0,19.0,27.0,18.0,29.0,30.0,26.0,29.0,30.0,35.0,35.0,39.0,31.0,37.0,30.0,35.0,36.0,37.0,32.0,34.0,85.0,77.0,85.0,77.0,56.0,53.0,54.0,55.0,63.0,70.0,49.0,60.0,38.0,43.0,41.0,44.0,33.0,32.0,32.0,32.0,42.0,47.0,39.0,45.0,27.0,28.0,30.0,30.0,35.0,33.0,23.0,19.0,31.0,38.0,17.0,18.0,22.0,12.0,25.0,16.0,29.0,28.0,22.0,20.0,8.0,9.0,8.0,9.0,54.0,77.0,42.0,5.0,42.0
Benambra,66.0,70.0,48.0,49.0,27.0,36.0,25.0,28.0,25.0,33.0,27.0,40.0,50.0,54.0,48.0,57.0,26.0,39.0,27.0,39.0,21.0,22.0,21.0,21.0,17.0,15.0,13.0,10.0,10.0,13.0,12.0,11.0,11.0,12.0,12.0,12.0,15.0,24.0,16.0,25.0,64.0,69.0,64.0,68.0,72.0,75.0,63.0,67.0,58.0,74.0,55.0,71.0,65.0,79.0,66.0,76.0,61.0,62.0,66.0,78.0,67.0,79.0,68.0,78.0,44.0,68.0,49.0,73.0,18.0,15.0,32.0,36.0,20.0,34.0,19.0,34.0,17.0,26.0,20.0,26.0,22.0,32.0,25.0,28.0,23.0,30.0,21.0,32.0,28.0,63.0,22.0,6.0,22.0
Bendigo East,68.0,71.0,66.0,66.0,44.0,52.0,42.0,45.0,44.0,41.0,49.0,53.0,46.0,45.0,62.0,62.0,42.0,43.0,47.0,49.0,35.0,27.0,40.0,28.0,32.0,33.0,32.0,31.0,33.0,34.0,31.0,31.0,27.0,18.0,24.0,20.0,24.0,23.0,27.0,22.0,57.0,53.0,58.0,54.0,74.0,69.0,76.0,79.0,67.0,75.0,75.0,81.0,80.0,81.0,73.0,79.0,78.0,81.0,74.0,79.0,77.0,77.0,73.0,77.0,64.0,75.0,63.0,75.0,40.0,40.0,33.0,31.0,32.0,39.0,20.0,24.0,38.0,44.0,36.0,35.0,42.0,47.0,37.0,46.0,37.0,44.0,28.0,33.0,48.0,45.0,46.0,7.0,46.0
Bendigo West,50.0,56.0,38.0,52.0,11.0,17.0,10.0,15.0,10.0,15.0,9.0,14.0,54.0,69.0,41.0,58.0,9.0,19.0,10.0,14.0,9.0,13.0,9.0,11.0,10.0,13.0,12.0,16.0,14.0,27.0,14.0,25.0,8.0,20.0,9.0,16.0,12.0,30.0,14.0,30.0,46.0,70.0,46.0,70.0,49.0,54.0,50.0,62.0,64.0,83.0,62.0,82.0,69.0,85.0,64.0,83.0,59.0,69.0,51.0,66.0,70.0,85.0,69.0,83.0,56.0,83.0,55.0,81.0,13.0,12.0,9.0,14.0,12.0,26.0,14.0,31.0,29.0,59.0,32.0,63.0,36.0,69.0,36.0,69.0,45.0,60.0,34.0,56.0,5.0,76.0,7.0,8.0,7.0
Bentleigh,18.0,15.0,14.0,11.0,78.0,82.0,76.0,79.0,74.0,75.0,72.0,73.0,25.0,24.0,20.0,19.0,74.0,72.0,74.0,73.0,73.0,79.0,69.0,73.0,65.0,57.0,62.0,57.0,80.0,78.0,80.0,78.0,70.0,63.0,68.0,63.0,53.0,35.0,52.0,35.0,30.0,22.0,30.0,22.0,33.0,27.0,24.0,20.0,51.0,38.0,50.0,38.0,49.0,35.0,37.0,27.0,10.0,8.0,18.0,14.0,52.0,37.0,40.0,33.0,60.0,50.0,51.0,38.0,50.0,46.0,58.0,53.0,85.0,84.0,85.0,86.0,71.0,65.0,66.0,65.0,53.0,39.0,55.0,36.0,44.0,36.0,45.0,36.0,69.0,29.0,66.0,9.0,66.0
Berwick,76.0,75.0,74.0,69.0,87.0,86.0,86.0,85.0,83.0,84.0,82.0,84.0,68.0,47.0,74.0,54.0,83.0,82.0,83.0,82.0,84.0,88.0,84.0,87.0,80.0,71.0,81.0,72.0,76.0,67.0,77.0,68.0,76.0,58.0,76.0,59.0,68.0,36.0,68.0,39.0,10.0,9.0,10.0,8.0,57.0,55.0,59.0,43.0,50.0,25.0,45.0,14.0,40.0,7.0,43.0,21.0,18.0,16.0,24.0,19.0,47.0,17.0,45.0,21.0,20.0,1.0,33.0,3.0,36.0,21.0,49.0,34.0,41.0,19.0,41.0,19.0,19.0,1.0,29.0,1.0,10.0,1.0,19.0,2.0,20.0,10.0,15.0,6.0,76.0,7.0,81.0,10.0,81.0
