district,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot,Tot_Tot_total
Albert Park,821.0,628.0,252.0,125.0,135.0,84.0,24.0,2189.0,234.0,192.0,99.0,52.0,87.0,28.0,8.0,943.0,308.0,260.0,115.0,47.0,72.0,21.0,3.0,1080.0,923.0,767.0,514.0,284.0,369.0,234.0,97.0,3409.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,2450.0,1979.0,1033.0,586.0,804.0,466.0,177.0,7639.0,23.0,82.0,53.0,21.0,47.0,15.0,19.0,526.0,16.0,25.0,6.0,0.0,13.0,21.0,3.0,225.0,3.0,23.0,22.0,3.0,10.0,6.0,0.0,175.0,45.0,114.0,71.0,48.0,90.0,59.0,17.0,702.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,191.0,354.0,219.0,140.0,217.0,151.0,56.0,1671.0,2702.0,2415.0,1321.0,833.0,1130.0,677.0,290.0,9335.0,9335.0
Ashwood,1719.0,2259.0,1127.0,618.0,798.0,652.0,379.0,7712.0,292.0,273.0,201.0,87.0,139.0,71.0,17.0,1396.0,307.0,317.0,208.0,94.0,170.0,65.0,30.0,1484.0,973.0,1198.0,982.0,702.0,1094.0,717.0,347.0,6171.0,15.0,22.0,0.0,3.0,4.0,0.0,0.0,74.0,3404.0,4166.0,2646.0,1693.0,2378.0,1628.0,936.0,16853.0,64.0,158.0,87.0,72.0,156.0,119.0,59.0,1071.0,14.0,18.0,7.0,18.0,16.0,12.0,6.0,208.0,0.0,32.0,7.0,11.0,20.0,6.0,0.0,177.0,42.0,114.0,99.0,87.0,164.0,77.0,9.0,859.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,30.0,185.0,466.0,353.0,262.0,500.0,294.0,160.0,2475.0,3623.0,4644.0,2986.0,2043.0,2837.0,1999.0,1194.0,19338.0,19338.0
Bass,517.0,412.0,147.0,82.0,97.0,53.0,22.0,1553.0,150.0,195.0,57.0,30.0,67.0,17.0,3.0,737.0,216.0,194.0,66.0,38.0,62.0,6.0,0.0,772.0,2132.0,2093.0,1170.0,803.0,866.0,247.0,65.0,7540.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,29.0,3273.0,2938.0,1632.0,1098.0,1245.0,362.0,93.0,10676.0,3.0,11.0,18.0,0.0,5.0,3.0,4.0,101.0,11.0,26.0,23.0,14.0,5.0,0.0,0.0,178.0,3.0,21.0,15.0,0.0,6.0,0.0,0.0,89.0,262.0,462.0,283.0,210.0,257.0,40.0,0.0,1727.0,4.0,11.0,9.0,0.0,0.0,0.0,0.0,48.0,365.0,605.0,384.0,311.0,334.0,50.0,9.0,2350.0,3579.0,3695.0,2065.0,1459.0,1628.0,444.0,124.0,13048.0,13048.0
Bayswater,1332.0,1430.0,637.0,366.0,528.0,346.0,185.0,5006.0,203.0,185.0,91.0,39.0,68.0,16.0,0.0,814.0,294.0,252.0,109.0,73.0,44.0,43.0,8.0,1059.0,1773.0,1611.0,894.0,553.0,667.0,263.0,75.0,6069.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,26.0,3727.0,3578.0,1847.0,1211.0,1421.0,844.0,407.0,12980.0,39.0,105.0,34.0,21.0,47.0,28.0,18.0,528.0,3.0,41.0,16.0,10.0,22.0,12.0,4.0,270.0,18.0,25.0,7.0,5.0,12.0,6.0,0.0,192.0,258.0,416.0,263.0,206.0,304.0,74.0,20.0,1807.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,401.0,671.0,482.0,373.0,501.0,213.0,97.0,2906.0,4118.0,4265.0,2311.0,1551.0,1925.0,1075.0,536.0,15913.0,15913.0
Bellarine,119.0,160.0,53.0,25.0,75.0,28.0,3.0,654.0,201.0,237.0,143.0,65.0,84.0,32.0,0.0,929.0,184.0,213.0,109.0,24.0,50.0,0.0,0.0,862.0,2244.0,2506.0,1507.0,941.0,1111.0,458.0,139.0,9074.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,39.0,2895.0,3270.0,1916.0,1180.0,1452.0,594.0,201.0,11604.0,0.0,10.0,5.0,0.0,5.0,0.0,0.0,83.0,23.0,50.0,23.0,19.0,18.0,11.0,0.0,280.0,0.0,13.0,9.0,4.0,11.0,0.0,0.0,111.0,249.0,485.0,303.0,229.0,371.0,56.0,6.0,1953.0,3.0,11.0,3.0,5.0,0.0,0.0,0.0,41.0,314.0,651.0,458.0,303.0,445.0,87.0,36.0,2481.0,3228.0,3913.0,2410.0,1587.0,1935.0,754.0,259.0,14136.0,14136.0
Benambra,216.0,217.0,119.0,58.0,78.0,30.0,12.0,921.0,116.0,102.0,62.0,27.0,11.0,6.0,0.0,485.0,127.0,118.0,55.0,26.0,24.0,0.0,0.0,559.0,2460.0,2555.0,1536.0,1044.0,1218.0,196.0,39.0,9208.0,6.0,12.0,5.0,0.0,0.0,0.0,0.0,38.0,3025.0,3123.0,1887.0,1255.0,1439.0,309.0,59.0,11235.0,10.0,7.0,12.0,8.0,6.0,7.0,0.0,124.0,6.0,9.0,13.0,4.0,0.0,0.0,0.0,123.0,8.0,13.0,5.0,10.0,20.0,0.0,0.0,94.0,465.0,761.0,509.0,317.0,385.0,53.0,3.0,2786.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,532.0,881.0,581.0,383.0,461.0,82.0,3.0,3222.0,3599.0,4019.0,2539.0,1736.0,1993.0,411.0,100.0,14462.0,14462.0
Bendigo East,347.0,375.0,135.0,66.0,113.0,36.0,6.0,1370.0,90.0,100.0,40.0,34.0,55.0,9.0,7.0,544.0,88.0,109.0,38.0,24.0,19.0,0.0,0.0,517.0,2831.0,2881.0,1717.0,1125.0,1296.0,427.0,119.0,10391.0,15.0,7.0,0.0,0.0,0.0,0.0,0.0,48.0,3489.0,3615.0,2078.0,1398.0,1570.0,582.0,187.0,12932.0,18.0,26.0,9.0,10.0,3.0,3.0,0.0,119.0,25.0,55.0,9.0,16.0,29.0,5.0,0.0,238.0,0.0,3.0,15.0,3.0,8.0,0.0,0.0,72.0,529.0,780.0,566.0,368.0,442.0,62.0,25.0,2992.0,17.0,3.0,5.0,0.0,0.0,0.0,0.0,51.0,633.0,922.0,682.0,460.0,545.0,97.0,28.0,3567.0,4111.0,4565.0,2744.0,1891.0,2143.0,718.0,242.0,16548.0,16548.0
Bendigo West,224.0,206.0,59.0,34.0,82.0,19.0,4.0,877.0,137.0,123.0,45.0,23.0,44.0,8.0,3.0,546.0,95.0,99.0,51.0,0.0,34.0,3.0,0.0,431.0,2087.0,2027.0,1155.0,783.0,971.0,268.0,74.0,7370.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2574.0,2553.0,1401.0,960.0,1222.0,351.0,101.0,9322.0,4.0,14.0,8.0,11.0,8.0,4.0,0.0,115.0,6.0,42.0,19.0,3.0,4.0,3.0,0.0,182.0,12.0,4.0,17.0,0.0,9.0,0.0,0.0,76.0,452.0,695.0,418.0,325.0,322.0,25.0,7.0,2533.0,0.0,26.0,5.0,0.0,4.0,0.0,0.0,71.0,564.0,878.0,521.0,388.0,472.0,50.0,14.0,3111.0,3143.0,3458.0,1925.0,1438.0,1664.0,475.0,138.0,12344.0,12344.0
Bentleigh,1268.0,1717.0,1045.0,566.0,757.0,448.0,170.0,6162.0,382.0,405.0,228.0,176.0,170.0,96.0,35.0,1801.0,485.0,472.0,256.0,112.0,164.0,74.0,13.0,1830.0,1506.0,1632.0,1024.0,736.0,1042.0,563.0,238.0,6904.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,44.0,3786.0,4347.0,2615.0,1710.0,2249.0,1337.0,674.0,16777.0,15.0,134.0,125.0,110.0,113.0,88.0,23.0,975.0,8.0,46.0,19.0,26.0,48.0,26.0,7.0,355.0,8.0,40.0,30.0,11.0,18.0,4.0,4.0,256.0,57.0,155.0,145.0,129.0,186.0,112.0,41.0,1079.0,4.0,8.0,0.0,3.0,0.0,0.0,0.0,17.0,175.0,491.0,475.0,361.0,509.0,329.0,156.0,2774.0,3986.0,4923.0,3167.0,2168.0,2792.0,1737.0,887.0,19584.0,19584.0
Berwick,2832.0,3261.0,1731.0,967.0,1146.0,743.0,353.0,11117.0,332.0,386.0,196.0,132.0,180.0,83.0,36.0,1535.0,221.0,297.0,105.0,81.0,155.0,53.0,22.0,1279.0,1785.0,1781.0,1142.0,709.0,1104.0,427.0,168.0,7260.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,62.0,5311.0,5909.0,3349.0,1928.0,2688.0,1385.0,656.0,21282.0,75.0,130.0,55.0,64.0,69.0,29.0,27.0,706.0,23.0,51.0,28.0,7.0,32.0,3.0,8.0,304.0,7.0,28.0,15.0,3.0,7.0,3.0,0.0,153.0,203.0,315.0,154.0,105.0,217.0,51.0,21.0,1319.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,33.0,421.0,604.0,353.0,259.0,460.0,163.0,96.0,2657.0,5740.0,6553.0,3719.0,2272.0,3085.0,1673.0,802.0,23935.0,23935.0
