district,CF_C_BPBO_DC_0_4_pc,CF_C_BPBO_DC_5_9_pc,CF_C_BPBO_DC_10_12_pc,CF_C_BPBO_DC_13_14_pc,CF_C_BPBO_DC_15_17_pc,CF_C_BPBO_DC_18_20_pc,CF_C_BPBO_DC_21_24_pc,CF_C_BPBO_Tot_pc,CF_C_FBO_DC_0_4_pc,CF_C_FBO_DC_5_9_pc,CF_C_FBO_DC_10_12_pc,CF_C_FBO_DC_13_14_pc,CF_C_FBO_DC_15_17_pc,CF_C_FBO_DC_18_20_pc,CF_C_FBO_DC_21_24_pc,CF_C_FBO_Tot_pc,CF_C_MBO_DC_0_4_pc,CF_C_MBO_DC_5_9_pc,CF_C_MBO_DC_10_12_pc,CF_C_MBO_DC_13_14_pc,CF_C_MBO_DC_15_17_pc,CF_C_MBO_DC_18_20_pc,CF_C_MBO_DC_21_24_pc,CF_C_MBO_Tot_pc,CF_C_BPBAu_DC_0_4_pc,CF_C_BPBAu_DC_5_9_pc,CF_C_BPBAu_DC_10_12_pc,CF_C_BPBAu_DC_13_14_pc,CF_C_BPBAu_DC_15_17_pc,CF_C_BPBAu_DC_18_20_pc,CF_C_BPBAu_DC_21_24_pc,CF_C_BPBAu_Tot_pc,CF_C_BP_NS_DC_0_4_pc,CF_C_BP_NS_DC_5_9_pc,CF_C_BP_NS_DC_10_12_pc,CF_C_BP_NS_DC_13_14_pc,CF_C_BP_NS_DC_15_17_pc,CF_C_BP_NS_DC_18_20_pc,CF_C_BP_NS_DC_21_24_pc,CF_C_BP_NS_Tot_pc,CF_C_Tot_DC_0_4_pc,CF_C_Tot_DC_5_9_pc,CF_C_Tot_DC_10_12_pc,CF_C_Tot_DC_13_14_pc,CF_C_Tot_DC_15_17_pc,CF_C_Tot_DC_18_20_pc,CF_C_Tot_DC_21_24_pc,CF_C_Tot_Tot_pc,One_PF_BPBO_DC_0_4_pc,One_PF_BPBO_DC_5_9_pc,One_PF_BPBO_DC_10_12_pc,One_PF_BPBO_DC_13_14_pc,One_PF_BPBO_DC_15_17_pc,One_PF_BPBO_DC_18_20_pc,One_PF_BPBO_DC_21_24_pc,One_PF_BPBO_Tot_pc,One_PF_FBO_DC_0_4_pc,One_PF_FBO_DC_5_9_pc,One_PF_FBO_DC_10_12_pc,One_PF_FBO_DC_13_14_pc,One_PF_FBO_DC_15_17_pc,One_PF_FBO_DC_18_20_pc,One_PF_FBO_DC_21_24_pc,One_PF_FBO_Tot_pc,One_PF_MBO_DC_0_4_pc,One_PF_MBO_DC_5_9_pc,One_PF_MBO_DC_10_12_pc,One_PF_MBO_DC_13_14_pc,One_PF_MBO_DC_15_17_pc,One_PF_MBO_DC_18_20_pc,One_PF_MBO_DC_21_24_pc,One_PF_MBO_Tot_pc,One_PF_BPBAu_DC_0_4_pc,One_PF_BPBAu_DC_5_9_pc,One_PF_BPBAu_DC_10_12_pc,One_PF_BPBAu_DC_13_14_pc,One_PF_BPBAu_DC_15_17_pc,One_PF_BPBAu_DC_18_20_pc,One_PF_BPBAu_DC_21_24_pc,One_PF_BPBAu_Tot_pc,One_PF_BP_NS_DC_0_4_pc,One_PF_BP_NS_DC_5_9_pc,One_PF_BP_NS_DC_10_12_pc,One_PF_BP_NS_DC_13_14_pc,One_PF_BP_NS_DC_15_17_pc,One_PF_BP_NS_DC_18_20_pc,One_PF_BP_NS_DC_21_24_pc,One_PF_BP_NS_Tot_pc,One_PF_Tot_DC_0_4_pc,One_PF_Tot_DC_5_9_pc,One_PF_Tot_DC_10_12_pc,One_PF_Tot_DC_13_14_pc,One_PF_Tot_DC_15_17_pc,One_PF_Tot_DC_18_20_pc,One_PF_Tot_DC_21_24_pc,One_PF_Tot_Tot_pc,Tot_DC_0_4_pc,Tot_DC_5_9_pc,Tot_DC_10_12_pc,Tot_DC_13_14_pc,Tot_DC_15_17_pc,Tot_DC_18_20_pc,Tot_DC_21_24_pc,Tot_Tot_pc
Albert Park,0.0879,0.0673,0.027,0.0134,0.0145,0.009,0.0026,0.2345,0.0251,0.0206,0.0106,0.0056,0.0093,0.003,0.0009,0.101,0.033,0.0279,0.0123,0.005,0.0077,0.0022,0.0003,0.1157,0.0989,0.0822,0.0551,0.0304,0.0395,0.0251,0.0104,0.3652,0.0003,0.0003,0.0,0.0,0.0,0.0,0.0,0.001,0.2625,0.212,0.1107,0.0628,0.0861,0.0499,0.019,0.8183,0.0025,0.0088,0.0057,0.0022,0.005,0.0016,0.002,0.0563,0.0017,0.0027,0.0006,0.0,0.0014,0.0022,0.0003,0.0241,0.0003,0.0025,0.0024,0.0003,0.0011,0.0006,0.0,0.0187,0.0048,0.0122,0.0076,0.0051,0.0096,0.0063,0.0018,0.0752,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0205,0.0379,0.0235,0.015,0.0232,0.0162,0.006,0.179,0.2894,0.2587,0.1415,0.0892,0.121,0.0725,0.0311,1.0
Ashwood,0.0889,0.1168,0.0583,0.032,0.0413,0.0337,0.0196,0.3988,0.0151,0.0141,0.0104,0.0045,0.0072,0.0037,0.0009,0.0722,0.0159,0.0164,0.0108,0.0049,0.0088,0.0034,0.0016,0.0767,0.0503,0.062,0.0508,0.0363,0.0566,0.0371,0.0179,0.3191,0.0008,0.0011,0.0,0.0002,0.0002,0.0,0.0,0.0038,0.176,0.2154,0.1368,0.0875,0.123,0.0842,0.0484,0.8715,0.0033,0.0082,0.0045,0.0037,0.0081,0.0062,0.0031,0.0554,0.0007,0.0009,0.0004,0.0009,0.0008,0.0006,0.0003,0.0108,0.0,0.0017,0.0004,0.0006,0.001,0.0003,0.0,0.0092,0.0022,0.0059,0.0051,0.0045,0.0085,0.004,0.0005,0.0444,0.0002,0.0005,0.0,0.0,0.0,0.0,0.0,0.0016,0.0096,0.0241,0.0183,0.0135,0.0259,0.0152,0.0083,0.128,0.1874,0.2401,0.1544,0.1056,0.1467,0.1034,0.0617,1.0
Bass,0.0396,0.0316,0.0113,0.0063,0.0074,0.0041,0.0017,0.119,0.0115,0.0149,0.0044,0.0023,0.0051,0.0013,0.0002,0.0565,0.0166,0.0149,0.0051,0.0029,0.0048,0.0005,0.0,0.0592,0.1634,0.1604,0.0897,0.0615,0.0664,0.0189,0.005,0.5779,0.0,0.0002,0.0005,0.0,0.0,0.0,0.0,0.0022,0.2508,0.2252,0.1251,0.0842,0.0954,0.0277,0.0071,0.8182,0.0002,0.0008,0.0014,0.0,0.0004,0.0002,0.0003,0.0077,0.0008,0.002,0.0018,0.0011,0.0004,0.0,0.0,0.0136,0.0002,0.0016,0.0011,0.0,0.0005,0.0,0.0,0.0068,0.0201,0.0354,0.0217,0.0161,0.0197,0.0031,0.0,0.1324,0.0003,0.0008,0.0007,0.0,0.0,0.0,0.0,0.0037,0.028,0.0464,0.0294,0.0238,0.0256,0.0038,0.0007,0.1801,0.2743,0.2832,0.1583,0.1118,0.1248,0.034,0.0095,1.0
Bayswater,0.0837,0.0899,0.04,0.023,0.0332,0.0217,0.0116,0.3146,0.0128,0.0116,0.0057,0.0025,0.0043,0.001,0.0,0.0512,0.0185,0.0158,0.0068,0.0046,0.0028,0.0027,0.0005,0.0665,0.1114,0.1012,0.0562,0.0348,0.0419,0.0165,0.0047,0.3814,0.0003,0.0003,0.0,0.0,0.0,0.0,0.0,0.0016,0.2342,0.2248,0.1161,0.0761,0.0893,0.053,0.0256,0.8157,0.0025,0.0066,0.0021,0.0013,0.003,0.0018,0.0011,0.0332,0.0002,0.0026,0.001,0.0006,0.0014,0.0008,0.0003,0.017,0.0011,0.0016,0.0004,0.0003,0.0008,0.0004,0.0,0.0121,0.0162,0.0261,0.0165,0.0129,0.0191,0.0047,0.0013,0.1136,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0252,0.0422,0.0303,0.0234,0.0315,0.0134,0.0061,0.1826,0.2588,0.268,0.1452,0.0975,0.121,0.0676,0.0337,1.0
Bellarine,0.0084,0.0113,0.0037,0.0018,0.0053,0.002,0.0002,0.0463,0.0142,0.0168,0.0101,0.0046,0.0059,0.0023,0.0,0.0657,0.013,0.0151,0.0077,0.0017,0.0035,0.0,0.0,0.061,0.1587,0.1773,0.1066,0.0666,0.0786,0.0324,0.0098,0.6419,0.0002,0.0,0.0003,0.0,0.0,0.0,0.0,0.0028,0.2048,0.2313,0.1355,0.0835,0.1027,0.042,0.0142,0.8209,0.0,0.0007,0.0004,0.0,0.0004,0.0,0.0,0.0059,0.0016,0.0035,0.0016,0.0013,0.0013,0.0008,0.0,0.0198,0.0,0.0009,0.0006,0.0003,0.0008,0.0,0.0,0.0079,0.0176,0.0343,0.0214,0.0162,0.0262,0.004,0.0004,0.1382,0.0002,0.0008,0.0002,0.0004,0.0,0.0,0.0,0.0029,0.0222,0.0461,0.0324,0.0214,0.0315,0.0062,0.0025,0.1755,0.2284,0.2768,0.1705,0.1123,0.1369,0.0533,0.0183,1.0
Benambra,0.0149,0.015,0.0082,0.004,0.0054,0.0021,0.0008,0.0637,0.008,0.0071,0.0043,0.0019,0.0008,0.0004,0.0,0.0335,0.0088,0.0082,0.0038,0.0018,0.0017,0.0,0.0,0.0387,0.1701,0.1767,0.1062,0.0722,0.0842,0.0136,0.0027,0.6367,0.0004,0.0008,0.0003,0.0,0.0,0.0,0.0,0.0026,0.2092,0.2159,0.1305,0.0868,0.0995,0.0214,0.0041,0.7769,0.0007,0.0005,0.0008,0.0006,0.0004,0.0005,0.0,0.0086,0.0004,0.0006,0.0009,0.0003,0.0,0.0,0.0,0.0085,0.0006,0.0009,0.0003,0.0007,0.0014,0.0,0.0,0.0065,0.0322,0.0526,0.0352,0.0219,0.0266,0.0037,0.0002,0.1926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.0368,0.0609,0.0402,0.0265,0.0319,0.0057,0.0002,0.2228,0.2489,0.2779,0.1756,0.12,0.1378,0.0284,0.0069,1.0
Bendigo East,0.021,0.0227,0.0082,0.004,0.0068,0.0022,0.0004,0.0828,0.0054,0.006,0.0024,0.0021,0.0033,0.0005,0.0004,0.0329,0.0053,0.0066,0.0023,0.0015,0.0011,0.0,0.0,0.0312,0.1711,0.1741,0.1038,0.068,0.0783,0.0258,0.0072,0.6279,0.0009,0.0004,0.0,0.0,0.0,0.0,0.0,0.0029,0.2108,0.2185,0.1256,0.0845,0.0949,0.0352,0.0113,0.7815,0.0011,0.0016,0.0005,0.0006,0.0002,0.0002,0.0,0.0072,0.0015,0.0033,0.0005,0.001,0.0018,0.0003,0.0,0.0144,0.0,0.0002,0.0009,0.0002,0.0005,0.0,0.0,0.0044,0.032,0.0471,0.0342,0.0222,0.0267,0.0037,0.0015,0.1808,0.001,0.0002,0.0003,0.0,0.0,0.0,0.0,0.0031,0.0383,0.0557,0.0412,0.0278,0.0329,0.0059,0.0017,0.2156,0.2484,0.2759,0.1658,0.1143,0.1295,0.0434,0.0146,1.0
Bendigo West,0.0181,0.0167,0.0048,0.0028,0.0066,0.0015,0.0003,0.071,0.0111,0.01,0.0036,0.0019,0.0036,0.0006,0.0002,0.0442,0.0077,0.008,0.0041,0.0,0.0028,0.0002,0.0,0.0349,0.1691,0.1642,0.0936,0.0634,0.0787,0.0217,0.006,0.5971,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.2085,0.2068,0.1135,0.0778,0.099,0.0284,0.0082,0.7552,0.0003,0.0011,0.0006,0.0009,0.0006,0.0003,0.0,0.0093,0.0005,0.0034,0.0015,0.0002,0.0003,0.0002,0.0,0.0147,0.001,0.0003,0.0014,0.0,0.0007,0.0,0.0,0.0062,0.0366,0.0563,0.0339,0.0263,0.0261,0.002,0.0006,0.2052,0.0,0.0021,0.0004,0.0,0.0003,0.0,0.0,0.0058,0.0457,0.0711,0.0422,0.0314,0.0382,0.0041,0.0011,0.252,0.2546,0.2801,0.1559,0.1165,0.1348,0.0385,0.0112,1.0
Bentleigh,0.0647,0.0877,0.0534,0.0289,0.0387,0.0229,0.0087,0.3146,0.0195,0.0207,0.0116,0.009,0.0087,0.0049,0.0018,0.092,0.0248,0.0241,0.0131,0.0057,0.0084,0.0038,0.0007,0.0934,0.0769,0.0833,0.0523,0.0376,0.0532,0.0287,0.0122,0.3525,0.0,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0022,0.1933,0.222,0.1335,0.0873,0.1148,0.0683,0.0344,0.8567,0.0008,0.0068,0.0064,0.0056,0.0058,0.0045,0.0012,0.0498,0.0004,0.0023,0.001,0.0013,0.0025,0.0013,0.0004,0.0181,0.0004,0.002,0.0015,0.0006,0.0009,0.0002,0.0002,0.0131,0.0029,0.0079,0.0074,0.0066,0.0095,0.0057,0.0021,0.0551,0.0002,0.0004,0.0,0.0002,0.0,0.0,0.0,0.0009,0.0089,0.0251,0.0243,0.0184,0.026,0.0168,0.008,0.1416,0.2035,0.2514,0.1617,0.1107,0.1426,0.0887,0.0453,1.0
Berwick,0.1183,0.1362,0.0723,0.0404,0.0479,0.031,0.0147,0.4645,0.0139,0.0161,0.0082,0.0055,0.0075,0.0035,0.0015,0.0641,0.0092,0.0124,0.0044,0.0034,0.0065,0.0022,0.0009,0.0534,0.0746,0.0744,0.0477,0.0296,0.0461,0.0178,0.007,0.3033,0.0005,0.0001,0.0,0.0,0.0,0.0,0.0,0.0026,0.2219,0.2469,0.1399,0.0806,0.1123,0.0579,0.0274,0.8892,0.0031,0.0054,0.0023,0.0027,0.0029,0.0012,0.0011,0.0295,0.001,0.0021,0.0012,0.0003,0.0013,0.0001,0.0003,0.0127,0.0003,0.0012,0.0006,0.0001,0.0003,0.0001,0.0,0.0064,0.0085,0.0132,0.0064,0.0044,0.0091,0.0021,0.0009,0.0551,0.0004,0.0003,0.0,0.0,0.0,0.0,0.0,0.0014,0.0176,0.0252,0.0147,0.0108,0.0192,0.0068,0.004,0.111,0.2398,0.2738,0.1554,0.0949,0.1289,0.0699,0.0335,1.0
