district,Intct_fam_no_otr_chld_pre_Fam_n,Intct_fam_no_otr_chld_pre_Fam_pc,Step_fam_no_otr_chld_pre_Fam_n,Step_fam_no_otr_chld_pre_Fam_pc,Blnd_fam_no_otr_chld_pre_Fam_n,Blnd_fam_no_otr_chld_pre_Fam_pc,Intct_fam_othr_child_pres_Fam_n,Intct_fam_othr_child_pres_Fam_pc,Step_fam_othr_child_pres_Fam_n,Step_fam_othr_child_pres_Fam_pc,Blnd_fam_othr_child_pres_Fam_n,Blnd_fam_othr_child_pres_Fam_pc,Otr_cpl_fam_otr_chld_only_Fam_n,Otr_cpl_fam_otr_chld_only_Fam_pc,Tot_Families_n,Tot_Families_pc,Tot_Families_total
Albert Park,4897.0,0.9082,418.0,0.0775,82.0,0.0152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5392.0,1.0,5392.0
Ashwood,10645.0,0.9461,327.0,0.0291,132.0,0.0117,17.0,0.0015,0.0,0.0,0.0,0.0,4.0,0.0004,11251.0,1.0,11251.0
Bass,6059.0,0.8537,584.0,0.0823,280.0,0.0395,17.0,0.0024,0.0,0.0,0.0,0.0,9.0,0.0013,7097.0,1.0,7097.0
Bayswater,8290.0,0.8988,557.0,0.0604,228.0,0.0247,18.0,0.002,0.0,0.0,0.0,0.0,4.0,0.0004,9223.0,1.0,9223.0
Bellarine,6573.0,0.874,612.0,0.0814,186.0,0.0247,12.0,0.0016,0.0,0.0,0.0,0.0,8.0,0.0011,7521.0,1.0,7521.0
Benambra,6031.0,0.849,510.0,0.0718,298.0,0.0419,21.0,0.003,0.0,0.0,0.0,0.0,10.0,0.0014,7104.0,1.0,7104.0
Bendigo East,6859.0,0.8547,650.0,0.081,294.0,0.0366,26.0,0.0032,0.0,0.0,0.0,0.0,3.0,0.0004,8025.0,1.0,8025.0
Bendigo West,5273.0,0.8637,463.0,0.0758,202.0,0.0331,14.0,0.0023,0.0,0.0,0.0,0.0,16.0,0.0026,6105.0,1.0,6105.0
Bentleigh,10247.0,0.9315,406.0,0.0369,149.0,0.0135,9.0,0.0008,0.0,0.0,0.0,0.0,4.0,0.0004,11000.0,1.0,11000.0
Berwick,11948.0,0.9015,771.0,0.0582,361.0,0.0272,68.0,0.0051,0.0,0.0,0.0,0.0,0.0,0.0,13254.0,1.0,13254.0
Box Hill,9613.0,0.9371,392.0,0.0382,96.0,0.0094,6.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,10258.0,1.0,10258.0
Brighton,7559.0,0.9213,388.0,0.0473,83.0,0.0101,6.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,8205.0,1.0,8205.0
Broadmeadows,8573.0,0.9341,288.0,0.0314,101.0,0.011,42.0,0.0046,0.0,0.0,0.0,0.0,0.0,0.0,9178.0,1.0,9178.0
Brunswick,5081.0,0.933,197.0,0.0362,37.0,0.0068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5446.0,1.0,5446.0
Bulleen,9326.0,0.9338,391.0,0.0392,104.0,0.0104,30.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9987.0,1.0,9987.0
Bundoora,8212.0,0.9253,375.0,0.0423,139.0,0.0157,27.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,8875.0,1.0,8875.0
Carrum,8515.0,0.8646,800.0,0.0812,299.0,0.0304,16.0,0.0016,3.0,0.0003,0.0,0.0,10.0,0.001,9848.0,1.0,9848.0
Caulfield,7288.0,0.9388,320.0,0.0412,46.0,0.0059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7763.0,1.0,7763.0
Clarinda,8821.0,0.9061,468.0,0.0481,183.0,0.0188,70.0,0.0072,0.0,0.0,0.0,0.0,11.0,0.0011,9735.0,1.0,9735.0
Cranbourne,11183.0,0.8808,713.0,0.0562,513.0,0.0404,121.0,0.0095,0.0,0.0,0.0,0.0,13.0,0.001,12696.0,1.0,12696.0
Croydon,8344.0,0.883,588.0,0.0622,232.0,0.0246,27.0,0.0029,0.0,0.0,0.0,0.0,3.0,0.0003,9450.0,1.0,9450.0
Dandenong,9230.0,0.9001,503.0,0.0491,179.0,0.0175,93.0,0.0091,3.0,0.0003,0.0,0.0,6.0,0.0006,10254.0,1.0,10254.0
Eildon,6127.0,0.8604,528.0,0.0741,243.0,0.0341,8.0,0.0011,3.0,0.0004,0.0,0.0,3.0,0.0004,7121.0,1.0,7121.0
Eltham,9094.0,0.912,512.0,0.0513,125.0,0.0125,10.0,0.001,0.0,0.0,0.0,0.0,3.0,0.0003,9971.0,1.0,9971.0
Essendon,7568.0,0.9385,328.0,0.0407,60.0,0.0074,7.0,0.0009,0.0,0.0,0.0,0.0,3.0,0.0004,8064.0,1.0,8064.0
Eureka,7486.0,0.8626,632.0,0.0728,383.0,0.0441,32.0,0.0037,3.0,0.0003,0.0,0.0,10.0,0.0012,8678.0,1.0,8678.0
Euroa,5310.0,0.8476,522.0,0.0833,227.0,0.0362,28.0,0.0045,8.0,0.0013,0.0,0.0,22.0,0.0035,6265.0,1.0,6265.0
Evelyn,8454.0,0.8761,729.0,0.0755,303.0,0.0314,46.0,0.0048,0.0,0.0,0.0,0.0,15.0,0.0016,9650.0,1.0,9650.0
Footscray,7172.0,0.9311,305.0,0.0396,70.0,0.0091,11.0,0.0014,0.0,0.0,0.0,0.0,4.0,0.0005,7703.0,1.0,7703.0
Frankston,5874.0,0.8561,645.0,0.094,243.0,0.0354,19.0,0.0028,3.0,0.0004,0.0,0.0,0.0,0.0,6861.0,1.0,6861.0
Geelong,6857.0,0.9008,514.0,0.0675,158.0,0.0208,7.0,0.0009,0.0,0.0,0.0,0.0,4.0,0.0005,7612.0,1.0,7612.0
Gippsland East,4857.0,0.8563,472.0,0.0832,250.0,0.0441,15.0,0.0026,3.0,0.0005,0.0,0.0,11.0,0.0019,5672.0,1.0,5672.0
Gippsland South,5444.0,0.858,544.0,0.0857,235.0,0.037,11.0,0.0017,0.0,0.0,0.0,0.0,14.0,0.0022,6345.0,1.0,6345.0
Glen Waverley,11159.0,0.9438,400.0,0.0338,69.0,0.0058,35.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,11824.0,1.0,11824.0
Greenvale,10746.0,0.9306,420.0,0.0364,175.0,0.0152,57.0,0.0049,3.0,0.0003,0.0,0.0,0.0,0.0,11548.0,1.0,11548.0
Hastings,6903.0,0.8573,656.0,0.0815,364.0,0.0452,39.0,0.0048,0.0,0.0,0.0,0.0,12.0,0.0015,8052.0,1.0,8052.0
Hawthorn,7739.0,0.9491,269.0,0.033,32.0,0.0039,4.0,0.0005,0.0,0.0,0.0,0.0,5.0,0.0006,8154.0,1.0,8154.0
Ivanhoe,7841.0,0.9336,330.0,0.0393,53.0,0.0063,4.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,8399.0,1.0,8399.0
Kalkallo,13997.0,0.9188,672.0,0.0441,299.0,0.0196,87.0,0.0057,4.0,0.0003,0.0,0.0,7.0,0.0005,15234.0,1.0,15234.0
Kew,9703.0,0.9483,324.0,0.0317,57.0,0.0056,15.0,0.0015,0.0,0.0,0.0,0.0,4.0,0.0004,10232.0,1.0,10232.0
Kororoit,11348.0,0.9003,591.0,0.0469,291.0,0.0231,126.0,0.01,0.0,0.0,0.0,0.0,9.0,0.0007,12605.0,1.0,12605.0
Lara,6294.0,0.8583,566.0,0.0772,260.0,0.0355,54.0,0.0074,0.0,0.0,0.0,0.0,9.0,0.0012,7333.0,1.0,7333.0
Laverton,11257.0,0.9188,474.0,0.0387,169.0,0.0138,137.0,0.0112,0.0,0.0,0.0,0.0,14.0,0.0011,12252.0,1.0,12252.0
Lowan,5687.0,0.8693,385.0,0.0589,231.0,0.0353,11.0,0.0017,0.0,0.0,0.0,0.0,20.0,0.0031,6542.0,1.0,6542.0
Macedon,7151.0,0.9061,422.0,0.0535,199.0,0.0252,17.0,0.0022,3.0,0.0004,0.0,0.0,8.0,0.001,7892.0,1.0,7892.0
Malvern,6683.0,0.9429,253.0,0.0357,33.0,0.0047,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0004,7088.0,1.0,7088.0
Melbourne,4839.0,0.9431,171.0,0.0333,19.0,0.0037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5131.0,1.0,5131.0
Melton,9154.0,0.8594,692.0,0.065,435.0,0.0408,106.0,0.01,3.0,0.0003,0.0,0.0,7.0,0.0007,10652.0,1.0,10652.0
Mildura,5786.0,0.8555,516.0,0.0763,272.0,0.0402,29.0,0.0043,7.0,0.001,0.0,0.0,30.0,0.0044,6763.0,1.0,6763.0
Mill Park,9209.0,0.9161,411.0,0.0409,213.0,0.0212,59.0,0.0059,0.0,0.0,0.0,0.0,0.0,0.0,10052.0,1.0,10052.0
Monbulk,7962.0,0.8897,575.0,0.0643,222.0,0.0248,11.0,0.0012,0.0,0.0,0.0,0.0,11.0,0.0012,8949.0,1.0,8949.0
Mordialloc,9688.0,0.9179,543.0,0.0514,181.0,0.0171,28.0,0.0027,0.0,0.0,0.0,0.0,0.0,0.0,10554.0,1.0,10554.0
Mornington,7351.0,0.8976,525.0,0.0641,190.0,0.0232,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0004,8190.0,1.0,8190.0
Morwell,5637.0,0.8229,650.0,0.0949,377.0,0.055,22.0,0.0032,0.0,0.0,0.0,0.0,19.0,0.0028,6850.0,1.0,6850.0
Mulgrave,8716.0,0.9148,394.0,0.0414,145.0,0.0152,91.0,0.0096,0.0,0.0,0.0,0.0,3.0,0.0003,9528.0,1.0,9528.0
Murray Plains,5479.0,0.8617,506.0,0.0796,250.0,0.0393,17.0,0.0027,0.0,0.0,0.0,0.0,13.0,0.002,6358.0,1.0,6358.0
Narracan,6583.0,0.8493,621.0,0.0801,422.0,0.0544,19.0,0.0025,0.0,0.0,0.0,0.0,19.0,0.0025,7751.0,1.0,7751.0
Narre Warren North,9937.0,0.9076,505.0,0.0461,195.0,0.0178,55.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,10949.0,1.0,10949.0
Narre Warren South,12413.0,0.8971,722.0,0.0522,398.0,0.0288,139.0,0.01,0.0,0.0,0.0,0.0,9.0,0.0007,13837.0,1.0,13837.0
Nepean,4709.0,0.8795,419.0,0.0783,171.0,0.0319,6.0,0.0011,0.0,0.0,0.0,0.0,3.0,0.0006,5354.0,1.0,5354.0
