district,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families,Tot_Families_total
Albert Park,4897.0,418.0,82.0,0.0,0.0,0.0,0.0,5392.0,5392.0
Ashwood,10645.0,327.0,132.0,17.0,0.0,0.0,4.0,11251.0,11251.0
Bass,6059.0,584.0,280.0,17.0,0.0,0.0,9.0,7097.0,7097.0
Bayswater,8290.0,557.0,228.0,18.0,0.0,0.0,4.0,9223.0,9223.0
Bellarine,6573.0,612.0,186.0,12.0,0.0,0.0,8.0,7521.0,7521.0
Benambra,6031.0,510.0,298.0,21.0,0.0,0.0,10.0,7104.0,7104.0
Bendigo East,6859.0,650.0,294.0,26.0,0.0,0.0,3.0,8025.0,8025.0
Bendigo West,5273.0,463.0,202.0,14.0,0.0,0.0,16.0,6105.0,6105.0
Bentleigh,10247.0,406.0,149.0,9.0,0.0,0.0,4.0,11000.0,11000.0
Berwick,11948.0,771.0,361.0,68.0,0.0,0.0,0.0,13254.0,13254.0
Box Hill,9613.0,392.0,96.0,6.0,0.0,0.0,0.0,10258.0,10258.0
Brighton,7559.0,388.0,83.0,6.0,0.0,0.0,0.0,8205.0,8205.0
Broadmeadows,8573.0,288.0,101.0,42.0,0.0,0.0,0.0,9178.0,9178.0
Brunswick,5081.0,197.0,37.0,0.0,0.0,0.0,0.0,5446.0,5446.0
Bulleen,9326.0,391.0,104.0,30.0,0.0,0.0,0.0,9987.0,9987.0
Bundoora,8212.0,375.0,139.0,27.0,0.0,0.0,0.0,8875.0,8875.0
Carrum,8515.0,800.0,299.0,16.0,3.0,0.0,10.0,9848.0,9848.0
Caulfield,7288.0,320.0,46.0,0.0,0.0,0.0,0.0,7763.0,7763.0
Clarinda,8821.0,468.0,183.0,70.0,0.0,0.0,11.0,9735.0,9735.0
Cranbourne,11183.0,713.0,513.0,121.0,0.0,0.0,13.0,12696.0,12696.0
Croydon,8344.0,588.0,232.0,27.0,0.0,0.0,3.0,9450.0,9450.0
Dandenong,9230.0,503.0,179.0,93.0,3.0,0.0,6.0,10254.0,10254.0
Eildon,6127.0,528.0,243.0,8.0,3.0,0.0,3.0,7121.0,7121.0
Eltham,9094.0,512.0,125.0,10.0,0.0,0.0,3.0,9971.0,9971.0
Essendon,7568.0,328.0,60.0,7.0,0.0,0.0,3.0,8064.0,8064.0
Eureka,7486.0,632.0,383.0,32.0,3.0,0.0,10.0,8678.0,8678.0
Euroa,5310.0,522.0,227.0,28.0,8.0,0.0,22.0,6265.0,6265.0
Evelyn,8454.0,729.0,303.0,46.0,0.0,0.0,15.0,9650.0,9650.0
Footscray,7172.0,305.0,70.0,11.0,0.0,0.0,4.0,7703.0,7703.0
Frankston,5874.0,645.0,243.0,19.0,3.0,0.0,0.0,6861.0,6861.0
Geelong,6857.0,514.0,158.0,7.0,0.0,0.0,4.0,7612.0,7612.0
Gippsland East,4857.0,472.0,250.0,15.0,3.0,0.0,11.0,5672.0,5672.0
Gippsland South,5444.0,544.0,235.0,11.0,0.0,0.0,14.0,6345.0,6345.0
Glen Waverley,11159.0,400.0,69.0,35.0,0.0,0.0,0.0,11824.0,11824.0
Greenvale,10746.0,420.0,175.0,57.0,3.0,0.0,0.0,11548.0,11548.0
Hastings,6903.0,656.0,364.0,39.0,0.0,0.0,12.0,8052.0,8052.0
Hawthorn,7739.0,269.0,32.0,4.0,0.0,0.0,5.0,8154.0,8154.0
Ivanhoe,7841.0,330.0,53.0,4.0,0.0,0.0,0.0,8399.0,8399.0
Kalkallo,13997.0,672.0,299.0,87.0,4.0,0.0,7.0,15234.0,15234.0
Kew,9703.0,324.0,57.0,15.0,0.0,0.0,4.0,10232.0,10232.0
Kororoit,11348.0,591.0,291.0,126.0,0.0,0.0,9.0,12605.0,12605.0
Lara,6294.0,566.0,260.0,54.0,0.0,0.0,9.0,7333.0,7333.0
Laverton,11257.0,474.0,169.0,137.0,0.0,0.0,14.0,12252.0,12252.0
Lowan,5687.0,385.0,231.0,11.0,0.0,0.0,20.0,6542.0,6542.0
Macedon,7151.0,422.0,199.0,17.0,3.0,0.0,8.0,7892.0,7892.0
Malvern,6683.0,253.0,33.0,0.0,0.0,0.0,3.0,7088.0,7088.0
Melbourne,4839.0,171.0,19.0,0.0,0.0,0.0,0.0,5131.0,5131.0
Melton,9154.0,692.0,435.0,106.0,3.0,0.0,7.0,10652.0,10652.0
Mildura,5786.0,516.0,272.0,29.0,7.0,0.0,30.0,6763.0,6763.0
Mill Park,9209.0,411.0,213.0,59.0,0.0,0.0,0.0,10052.0,10052.0
Monbulk,7962.0,575.0,222.0,11.0,0.0,0.0,11.0,8949.0,8949.0
Mordialloc,9688.0,543.0,181.0,28.0,0.0,0.0,0.0,10554.0,10554.0
Mornington,7351.0,525.0,190.0,0.0,0.0,0.0,3.0,8190.0,8190.0
Morwell,5637.0,650.0,377.0,22.0,0.0,0.0,19.0,6850.0,6850.0
Mulgrave,8716.0,394.0,145.0,91.0,0.0,0.0,3.0,9528.0,9528.0
Murray Plains,5479.0,506.0,250.0,17.0,0.0,0.0,13.0,6358.0,6358.0
Narracan,6583.0,621.0,422.0,19.0,0.0,0.0,19.0,7751.0,7751.0
Narre Warren North,9937.0,505.0,195.0,55.0,0.0,0.0,0.0,10949.0,10949.0
Narre Warren South,12413.0,722.0,398.0,139.0,0.0,0.0,9.0,13837.0,13837.0
Nepean,4709.0,419.0,171.0,6.0,0.0,0.0,3.0,5354.0,5354.0
Niddrie,8761.0,400.0,89.0,17.0,0.0,0.0,0.0,9438.0,9438.0
Northcote,6987.0,269.0,54.0,0.0,0.0,0.0,0.0,7443.0,7443.0
