district,Intct_fam_no_otr_chld_pre_Fam_pc,Step_fam_no_otr_chld_pre_Fam_pc,Blnd_fam_no_otr_chld_pre_Fam_pc,Intct_fam_othr_child_pres_Fam_pc,Step_fam_othr_child_pres_Fam_pc,Blnd_fam_othr_child_pres_Fam_pc,Otr_cpl_fam_otr_chld_only_Fam_pc,Tot_Families_pc
Albert Park,0.9082,0.0775,0.0152,0.0,0.0,0.0,0.0,1.0
Ashwood,0.9461,0.0291,0.0117,0.0015,0.0,0.0,0.0004,1.0
Bass,0.8537,0.0823,0.0395,0.0024,0.0,0.0,0.0013,1.0
Bayswater,0.8988,0.0604,0.0247,0.002,0.0,0.0,0.0004,1.0
Bellarine,0.874,0.0814,0.0247,0.0016,0.0,0.0,0.0011,1.0
Benambra,0.849,0.0718,0.0419,0.003,0.0,0.0,0.0014,1.0
Bendigo East,0.8547,0.081,0.0366,0.0032,0.0,0.0,0.0004,1.0
Bendigo West,0.8637,0.0758,0.0331,0.0023,0.0,0.0,0.0026,1.0
Bentleigh,0.9315,0.0369,0.0135,0.0008,0.0,0.0,0.0004,1.0
Berwick,0.9015,0.0582,0.0272,0.0051,0.0,0.0,0.0,1.0
Box Hill,0.9371,0.0382,0.0094,0.0006,0.0,0.0,0.0,1.0
Brighton,0.9213,0.0473,0.0101,0.0007,0.0,0.0,0.0,1.0
Broadmeadows,0.9341,0.0314,0.011,0.0046,0.0,0.0,0.0,1.0
Brunswick,0.933,0.0362,0.0068,0.0,0.0,0.0,0.0,1.0
Bulleen,0.9338,0.0392,0.0104,0.003,0.0,0.0,0.0,1.0
Bundoora,0.9253,0.0423,0.0157,0.003,0.0,0.0,0.0,1.0
Carrum,0.8646,0.0812,0.0304,0.0016,0.0003,0.0,0.001,1.0
Caulfield,0.9388,0.0412,0.0059,0.0,0.0,0.0,0.0,1.0
Clarinda,0.9061,0.0481,0.0188,0.0072,0.0,0.0,0.0011,1.0
Cranbourne,0.8808,0.0562,0.0404,0.0095,0.0,0.0,0.001,1.0
Croydon,0.883,0.0622,0.0246,0.0029,0.0,0.0,0.0003,1.0
Dandenong,0.9001,0.0491,0.0175,0.0091,0.0003,0.0,0.0006,1.0
Eildon,0.8604,0.0741,0.0341,0.0011,0.0004,0.0,0.0004,1.0
Eltham,0.912,0.0513,0.0125,0.001,0.0,0.0,0.0003,1.0
Essendon,0.9385,0.0407,0.0074,0.0009,0.0,0.0,0.0004,1.0
Eureka,0.8626,0.0728,0.0441,0.0037,0.0003,0.0,0.0012,1.0
Euroa,0.8476,0.0833,0.0362,0.0045,0.0013,0.0,0.0035,1.0
Evelyn,0.8761,0.0755,0.0314,0.0048,0.0,0.0,0.0016,1.0
Footscray,0.9311,0.0396,0.0091,0.0014,0.0,0.0,0.0005,1.0
Frankston,0.8561,0.094,0.0354,0.0028,0.0004,0.0,0.0,1.0
Geelong,0.9008,0.0675,0.0208,0.0009,0.0,0.0,0.0005,1.0
Gippsland East,0.8563,0.0832,0.0441,0.0026,0.0005,0.0,0.0019,1.0
Gippsland South,0.858,0.0857,0.037,0.0017,0.0,0.0,0.0022,1.0
Glen Waverley,0.9438,0.0338,0.0058,0.003,0.0,0.0,0.0,1.0
Greenvale,0.9306,0.0364,0.0152,0.0049,0.0003,0.0,0.0,1.0
Hastings,0.8573,0.0815,0.0452,0.0048,0.0,0.0,0.0015,1.0
Hawthorn,0.9491,0.033,0.0039,0.0005,0.0,0.0,0.0006,1.0
Ivanhoe,0.9336,0.0393,0.0063,0.0005,0.0,0.0,0.0,1.0
Kalkallo,0.9188,0.0441,0.0196,0.0057,0.0003,0.0,0.0005,1.0
Kew,0.9483,0.0317,0.0056,0.0015,0.0,0.0,0.0004,1.0
Kororoit,0.9003,0.0469,0.0231,0.01,0.0,0.0,0.0007,1.0
Lara,0.8583,0.0772,0.0355,0.0074,0.0,0.0,0.0012,1.0
Laverton,0.9188,0.0387,0.0138,0.0112,0.0,0.0,0.0011,1.0
Lowan,0.8693,0.0589,0.0353,0.0017,0.0,0.0,0.0031,1.0
Macedon,0.9061,0.0535,0.0252,0.0022,0.0004,0.0,0.001,1.0
Malvern,0.9429,0.0357,0.0047,0.0,0.0,0.0,0.0004,1.0
Melbourne,0.9431,0.0333,0.0037,0.0,0.0,0.0,0.0,1.0
Melton,0.8594,0.065,0.0408,0.01,0.0003,0.0,0.0007,1.0
Mildura,0.8555,0.0763,0.0402,0.0043,0.001,0.0,0.0044,1.0
Mill Park,0.9161,0.0409,0.0212,0.0059,0.0,0.0,0.0,1.0
Monbulk,0.8897,0.0643,0.0248,0.0012,0.0,0.0,0.0012,1.0
Mordialloc,0.9179,0.0514,0.0171,0.0027,0.0,0.0,0.0,1.0
Mornington,0.8976,0.0641,0.0232,0.0,0.0,0.0,0.0004,1.0
Morwell,0.8229,0.0949,0.055,0.0032,0.0,0.0,0.0028,1.0
Mulgrave,0.9148,0.0414,0.0152,0.0096,0.0,0.0,0.0003,1.0
Murray Plains,0.8617,0.0796,0.0393,0.0027,0.0,0.0,0.002,1.0
Narracan,0.8493,0.0801,0.0544,0.0025,0.0,0.0,0.0025,1.0
Narre Warren North,0.9076,0.0461,0.0178,0.005,0.0,0.0,0.0,1.0
Narre Warren South,0.8971,0.0522,0.0288,0.01,0.0,0.0,0.0007,1.0
Nepean,0.8795,0.0783,0.0319,0.0011,0.0,0.0,0.0006,1.0
Niddrie,0.9283,0.0424,0.0094,0.0018,0.0,0.0,0.0,1.0
Northcote,0.9387,0.0361,0.0073,0.0,0.0,0.0,0.0,1.0
Oakleigh,0.9419,0.0295,0.0035,0.0003,0.0,0.0,0.0008,1.0
Ovens Valley,0.8624,0.0745,0.0355,0.003,0.0,0.0,0.002,1.0
Pakenham,0.8693,0.068,0.0422,0.0035,0.0003,0.0,0.0019,1.0
Pascoe Vale,0.946,0.0381,0.0098,0.0005,0.0,0.0,0.0005,1.0
Point Cook,0.9071,0.0478,0.0222,0.0028,0.0002,0.0002,0.0002,1.0
Polwarth,0.8915,0.0655,0.023,0.0012,0.0,0.0,0.0017,1.0
Prahran,0.9345,0.0451,0.0048,0.0,0.0,0.0,0.0,1.0
Preston,0.9242,0.0414,0.0096,0.0024,0.0,0.0,0.0,1.0
Richmond,0.925,0.0565,0.0074,0.0012,0.0,0.0,0.0,1.0
Ringwood,0.9289,0.0384,0.01,0.0009,0.0,0.0,0.0,1.0
Ripon,0.8415,0.0757,0.0496,0.003,0.0004,0.0,0.0025,1.0
Rowville,0.9175,0.051,0.0149,0.0024,0.0,0.0,0.0,1.0
Sandringham,0.9272,0.0443,0.0096,0.0,0.0,0.0,0.0,1.0
Shepparton,0.8705,0.063,0.0386,0.0036,0.0,0.0,0.0015,1.0
South Barwon,0.8904,0.0652,0.0308,0.002,0.0,0.0,0.0004,1.0
South-West Coast,0.8697,0.0675,0.0349,0.0018,0.0,0.0,0.0021,1.0
St Albans,0.8882,0.0563,0.024,0.0153,0.0,0.0,0.0011,1.0
Sunbury,0.8887,0.0668,0.0324,0.0012,0.0,0.0,0.0004,1.0
Sydenham,0.9125,0.0467,0.0187,0.0045,0.0,0.0,0.0,1.0
Tarneit,0.9103,0.0431,0.0194,0.011,0.0003,0.0,0.0009,1.0
Thomastown,0.9182,0.0351,0.014,0.0076,0.0003,0.0,0.0,1.0
Warrandyte,0.9301,0.039,0.0109,0.0016,0.0,0.0,0.0005,1.0
Wendouree,0.8565,0.0798,0.0445,0.0035,0.0,0.0,0.0009,1.0
Werribee,0.8856,0.061,0.0279,0.0067,0.0,0.0,0.0006,1.0
Williamstown,0.9268,0.0482,0.0125,0.0024,0.0,0.0,0.0005,1.0
Yan Yean,0.8901,0.0609,0.0328,0.0028,0.0,0.0,0.0,1.0
