district,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_no_child_pc,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_cpl_fam_wth_chld_pc,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_One_parent_fam_pc,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Other_fam_pc,Neg_Nil_inc_Tot,Neg_Nil_inc_Tot_pc,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_no_child_pc,FI_1_149_cpl_fam_with_child,FI_1_149_cpl_fam_with_child_pc,FI_1_149_One_parent_fam,FI_1_149_One_parent_fam_pc,FI_1_149_Other_fam,FI_1_149_Other_fam_pc,FI_1_149_Tot,FI_1_149_Tot_pc,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_no_child_pc,FI_150_299_cpl_fam_with_child,FI_150_299_cpl_fam_with_child_pc,FI_150_299_One_parent_fam,FI_150_299_One_parent_fam_pc,FI_150_299_Other_fam,FI_150_299_Other_fam_pc,FI_150_299_Tot,FI_150_299_Tot_pc,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_no_child_pc,FI_300_399_cpl_fam_with_child,FI_300_399_cpl_fam_with_child_pc,FI_300_399_One_parent_fam,FI_300_399_One_parent_fam_pc,FI_300_399_Other_fam,FI_300_399_Other_fam_pc,FI_300_399_Tot,FI_300_399_Tot_pc,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_no_child_pc,FI_400_499_cpl_fam_with_child,FI_400_499_cpl_fam_with_child_pc,FI_400_499_One_parent_fam,FI_400_499_One_parent_fam_pc,FI_400_499_Other_fam,FI_400_499_Other_fam_pc,FI_400_499_Tot,FI_400_499_Tot_pc,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_no_child_pc,FI_500_649_cpl_fam_with_child,FI_500_649_cpl_fam_with_child_pc,FI_500_649_One_parent_fam,FI_500_649_One_parent_fam_pc,FI_500_649_Other_fam,FI_500_649_Other_fam_pc,FI_500_649_Tot,FI_500_649_Tot_pc,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_no_child_pc,FI_650_799_cpl_fam_with_child,FI_650_799_cpl_fam_with_child_pc,FI_650_799_One_parent_fam,FI_650_799_One_parent_fam_pc,FI_650_799_Other_fam,FI_650_799_Other_fam_pc,FI_650_799_Tot,FI_650_799_Tot_pc,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_no_child_pc,FI_800_999_cpl_fam_wth_chld,FI_800_999_cpl_fam_wth_chld_pc,FI_800_999_One_parent_fam,FI_800_999_One_parent_fam_pc,FI_800_999_Other_fam,FI_800_999_Other_fam_pc,FI_800_999_Tot,FI_800_999_Tot_pc,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_no_child_pc,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_cpl_fam_wth_chld_pc,FI_1000_1249_One_parent_fam,FI_1000_1249_One_parent_fam_pc,FI_1000_1249_Other_fam,FI_1000_1249_Other_fam_pc,FI_1000_1249_Tot,FI_1000_1249_Tot_pc,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_no_child_pc,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_cpl_fam_wth_chld_pc,FI_1250_1499_One_parent_fam,FI_1250_1499_One_parent_fam_pc,FI_1250_1499_Other_fam,FI_1250_1499_Other_fam_pc,FI_1250_1499_Tot,FI_1250_1499_Tot_pc,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_no_child_pc,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_cpl_fam_wth_chld_pc,FI_1500_1749_One_parent_fam,FI_1500_1749_One_parent_fam_pc,FI_1500_1749_Other_fam,FI_1500_1749_Other_fam_pc,FI_1500_1749_Tot,FI_1500_1749_Tot_pc,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_no_child_pc,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_cpl_fam_wth_chld_pc,FI_1750_1999_One_parent_fam,FI_1750_1999_One_parent_fam_pc,FI_1750_1999_Other_fam,FI_1750_1999_Other_fam_pc,FI_1750_1999_Tot,FI_1750_1999_Tot_pc,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_no_child_pc,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_cpl_fam_wth_chld_pc,FI_2000_2499_One_parent_fam,FI_2000_2499_One_parent_fam_pc,FI_2000_2499_Other_fam,FI_2000_2499_Other_fam_pc,FI_2000_2499_Tot,FI_2000_2499_Tot_pc,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_no_child_pc,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_cpl_fam_wth_chld_pc,FI_2500_2999_One_parent_fam,FI_2500_2999_One_parent_fam_pc,FI_2500_2999_Other_fam,FI_2500_2999_Other_fam_pc,FI_2500_2999_Tot,FI_2500_2999_Tot_pc,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_no_child_pc,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_cpl_fam_wth_chld_pc,FI_3000_3499_One_parent_fam,FI_3000_3499_One_parent_fam_pc,FI_3000_3499_Other_fam,FI_3000_3499_Other_fam_pc,FI_3000_3499_Tot,FI_3000_3499_Tot_pc,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_no_child_pc,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_cpl_fam_wth_chld_pc,FI_3500_3999_One_parent_fam,FI_3500_3999_One_parent_fam_pc,FI_3500_3999_Other_fam,FI_3500_3999_Other_fam_pc,FI_3500_3999_Tot,FI_3500_3999_Tot_pc,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_no_child_pc,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_cpl_fam_wth_chld_pc,FI_4000_more_One_parent_fam,FI_4000_more_One_parent_fam_pc,FI_4000_more_Other_fam,FI_4000_more_Other_fam_pc,FI_4000_more_Tot,FI_4000_more_Tot_pc,Prt_inc_std_cpl_fam_no_child,Prt_inc_std_cpl_fam_no_child_pc,Part_inc_std_cpl_fam_wth_chld,Part_inc_std_cpl_fam_wth_chld_pc,Part_inc_statd_One_parent_fam,Part_inc_statd_One_parent_fam_pc,Partial_income_statd_Othr_fam,Partial_income_statd_Othr_fam_pc,Partial_income_stated_Tot,Partial_income_stated_Tot_pc,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_no_child_pc,All_inc_ns_cpl_fam_wth_chld,All_inc_ns_cpl_fam_wth_chld_pc,All_incomes_ns_One_parent_fam,All_incomes_ns_One_parent_fam_pc,All_incomes_ns_Other_fam,All_incomes_ns_Other_fam_pc,All_incomes_ns_Tot,All_incomes_ns_Tot_pc,Tot_cpl_fam_no_child,Tot_cpl_fam_no_child_pc,Tot_cpl_fam_wth_chld,Tot_cpl_fam_wth_chld_pc,Tot_One_parent_fam,Tot_One_parent_fam_pc,Tot_Other_fam,Tot_Other_fam_pc,Tot_Tot,Tot_Tot_pc,Tot_Tot_total
Albert Park,103.0,0.0057,9.0,0.0005,29.0,0.0016,0.0,0.0,241.0,0.0134,5.0,0.0003,0.0,0.0,4.0,0.0002,0.0,0.0,28.0,0.0016,4.0,0.0002,0.0,0.0,4.0,0.0002,3.0,0.0002,34.0,0.0019,0.0,0.0,0.0,0.0,17.0,0.0009,0.0,0.0,35.0,0.0019,45.0,0.0025,3.0,0.0002,42.0,0.0023,0.0,0.0,134.0,0.0074,31.0,0.0017,8.0,0.0004,62.0,0.0034,0.0,0.0,154.0,0.0086,265.0,0.0147,7.0,0.0004,80.0,0.0044,0.0,0.0,442.0,0.0245,243.0,0.0135,24.0,0.0013,91.0,0.0051,16.0,0.0009,485.0,0.0269,398.0,0.0221,56.0,0.0031,109.0,0.0061,17.0,0.0009,727.0,0.0404,579.0,0.0321,65.0,0.0036,115.0,0.0064,10.0,0.0006,929.0,0.0516,300.0,0.0167,94.0,0.0052,79.0,0.0044,9.0,0.0005,654.0,0.0363,493.0,0.0274,89.0,0.0049,84.0,0.0047,7.0,0.0004,828.0,0.046,1254.0,0.0696,398.0,0.0221,208.0,0.0115,30.0,0.0017,2007.0,0.1114,1039.0,0.0577,316.0,0.0175,34.0,0.0019,21.0,0.0012,1536.0,0.0853,990.0,0.055,383.0,0.0213,31.0,0.0017,3.0,0.0002,1534.0,0.0852,796.0,0.0442,331.0,0.0184,3.0,0.0002,8.0,0.0004,1142.0,0.0634,2729.0,0.1515,2700.0,0.1499,171.0,0.0095,6.0,0.0003,5726.0,0.3179,350.0,0.0194,264.0,0.0147,112.0,0.0062,0.0,0.0,878.0,0.0488,53.0,0.0029,0.0,0.0,4.0,0.0002,0.0,0.0,79.0,0.0044,10074.0,0.5594,5392.0,0.2994,2064.0,0.1146,429.0,0.0238,18010.0,1.0,18010.0
Ashwood,215.0,0.0099,15.0,0.0007,62.0,0.0028,4.0,0.0002,413.0,0.0189,41.0,0.0019,7.0,0.0003,10.0,0.0005,3.0,0.0001,89.0,0.0041,16.0,0.0007,6.0,0.0003,17.0,0.0008,0.0,0.0,85.0,0.0039,3.0,0.0001,0.0,0.0,43.0,0.002,0.0,0.0,76.0,0.0035,150.0,0.0069,6.0,0.0003,48.0,0.0022,0.0,0.0,309.0,0.0142,106.0,0.0049,25.0,0.0011,103.0,0.0047,0.0,0.0,273.0,0.0125,566.0,0.0259,35.0,0.0016,86.0,0.0039,0.0,0.0,827.0,0.0379,310.0,0.0142,78.0,0.0036,191.0,0.0088,3.0,0.0001,805.0,0.0369,482.0,0.0221,204.0,0.0094,207.0,0.0095,11.0,0.0005,1057.0,0.0485,601.0,0.0276,330.0,0.0151,174.0,0.008,10.0,0.0005,1254.0,0.0575,245.0,0.0112,347.0,0.0159,156.0,0.0072,11.0,0.0005,947.0,0.0434,331.0,0.0152,393.0,0.018,103.0,0.0047,3.0,0.0001,1016.0,0.0466,793.0,0.0364,995.0,0.0456,303.0,0.0139,23.0,0.0011,2178.0,0.0999,548.0,0.0251,983.0,0.0451,98.0,0.0045,8.0,0.0004,1747.0,0.0801,480.0,0.022,1085.0,0.0497,60.0,0.0028,0.0,0.0,1762.0,0.0808,277.0,0.0127,824.0,0.0378,11.0,0.0005,0.0,0.0,1240.0,0.0568,996.0,0.0457,4710.0,0.2159,150.0,0.0069,10.0,0.0005,5908.0,0.2709,174.0,0.008,687.0,0.0315,137.0,0.0063,0.0,0.0,1101.0,0.0505,39.0,0.0018,39.0,0.0018,4.0,0.0002,0.0,0.0,136.0,0.0062,7249.0,0.3323,11251.0,0.5158,2885.0,0.1323,404.0,0.0185,21812.0,1.0,21812.0
Bass,171.0,0.0095,15.0,0.0008,14.0,0.0008,0.0,0.0,242.0,0.0134,44.0,0.0024,0.0,0.0,9.0,0.0005,0.0,0.0,76.0,0.0042,33.0,0.0018,4.0,0.0002,12.0,0.0007,0.0,0.0,73.0,0.004,17.0,0.0009,0.0,0.0,27.0,0.0015,0.0,0.0,82.0,0.0045,240.0,0.0133,6.0,0.0003,72.0,0.004,0.0,0.0,378.0,0.0209,136.0,0.0075,16.0,0.0009,158.0,0.0087,0.0,0.0,370.0,0.0205,1006.0,0.0557,49.0,0.0027,246.0,0.0136,0.0,0.0,1379.0,0.0763,701.0,0.0388,103.0,0.0057,288.0,0.0159,3.0,0.0002,1154.0,0.0639,769.0,0.0425,290.0,0.016,224.0,0.0124,3.0,0.0002,1471.0,0.0814,777.0,0.043,498.0,0.0276,222.0,0.0123,5.0,0.0003,1567.0,0.0867,386.0,0.0214,508.0,0.0281,113.0,0.0063,0.0,0.0,1086.0,0.0601,529.0,0.0293,595.0,0.0329,68.0,0.0038,0.0,0.0,1254.0,0.0694,966.0,0.0534,1194.0,0.0661,131.0,0.0072,7.0,0.0004,2431.0,0.1345,615.0,0.034,964.0,0.0533,49.0,0.0027,0.0,0.0,1714.0,0.0948,351.0,0.0194,701.0,0.0388,27.0,0.0015,0.0,0.0,1125.0,0.0622,173.0,0.0096,392.0,0.0217,6.0,0.0003,0.0,0.0,642.0,0.0355,348.0,0.0193,777.0,0.043,17.0,0.0009,0.0,0.0,1265.0,0.07,259.0,0.0143,522.0,0.0289,139.0,0.0077,0.0,0.0,1040.0,0.0575,151.0,0.0084,26.0,0.0014,22.0,0.0012,0.0,0.0,266.0,0.0147,8261.0,0.4571,7097.0,0.3927,2475.0,0.1369,116.0,0.0064,18073.0,1.0,18073.0
Bayswater,174.0,0.0085,8.0,0.0004,18.0,0.0009,0.0,0.0,310.0,0.0151,33.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0031,3.0,0.0001,3.0,0.0001,6.0,0.0003,0.0,0.0,48.0,0.0023,14.0,0.0007,0.0,0.0,28.0,0.0014,0.0,0.0,74.0,0.0036,146.0,0.0071,5.0,0.0002,97.0,0.0047,0.0,0.0,324.0,0.0158,109.0,0.0053,16.0,0.0008,122.0,0.006,0.0,0.0,358.0,0.0175,773.0,0.0377,64.0,0.0031,249.0,0.0122,4.0,0.0002,1221.0,0.0596,537.0,0.0262,147.0,0.0072,269.0,0.0131,3.0,0.0001,1124.0,0.0549,550.0,0.0269,298.0,0.0146,394.0,0.0192,3.0,0.0001,1400.0,0.0684,682.0,0.0333,555.0,0.0271,330.0,0.0161,22.0,0.0011,1656.0,0.0809,367.0,0.0179,513.0,0.0251,264.0,0.0129,0.0,0.0,1310.0,0.064,382.0,0.0187,653.0,0.0319,196.0,0.0096,7.0,0.0003,1333.0,0.0651,1021.0,0.0499,1525.0,0.0745,366.0,0.0179,13.0,0.0006,2920.0,0.1426,646.0,0.0315,1363.0,0.0666,125.0,0.0061,0.0,0.0,2213.0,0.1081,460.0,0.0225,1173.0,0.0573,50.0,0.0024,3.0,0.0001,1782.0,0.087,226.0,0.011,683.0,0.0334,18.0,0.0009,0.0,0.0,1047.0,0.0511,391.0,0.0191,1382.0,0.0675,39.0,0.0019,0.0,0.0,1885.0,0.092,157.0,0.0077,490.0,0.0239,178.0,0.0087,0.0,0.0,1017.0,0.0497,66.0,0.0032,15.0,0.0007,12.0,0.0006,0.0,0.0,182.0,0.0089,7390.0,0.3609,9223.0,0.4504,3562.0,0.1739,264.0,0.0129,20479.0,1.0,20479.0
Bellarine,149.0,0.0075,0.0,0.0,0.0,0.0,0.0,0.0,194.0,0.0098,59.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0044,35.0,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.002,8.0,0.0004,0.0,0.0,10.0,0.0005,0.0,0.0,37.0,0.0019,245.0,0.0123,0.0,0.0,17.0,0.0009,0.0,0.0,360.0,0.0181,161.0,0.0081,6.0,0.0003,125.0,0.0063,5.0,0.0003,408.0,0.0205,1106.0,0.0557,35.0,0.0018,142.0,0.0071,0.0,0.0,1336.0,0.0672,799.0,0.0402,69.0,0.0035,239.0,0.012,0.0,0.0,1245.0,0.0627,944.0,0.0475,141.0,0.0071,261.0,0.0131,0.0,0.0,1481.0,0.0745,994.0,0.05,245.0,0.0123,238.0,0.012,4.0,0.0002,1627.0,0.0819,415.0,0.0209,387.0,0.0195,176.0,0.0089,4.0,0.0002,1121.0,0.0564,501.0,0.0252,373.0,0.0188,96.0,0.0048,0.0,0.0,1075.0,0.0541,1011.0,0.0509,1109.0,0.0558,235.0,0.0118,3.0,0.0002,2505.0,0.1261,710.0,0.0357,1047.0,0.0527,55.0,0.0028,0.0,0.0,1934.0,0.0973,464.0,0.0234,927.0,0.0467,10.0,0.0005,0.0,0.0,1492.0,0.0751,283.0,0.0142,578.0,0.0291,0.0,0.0,0.0,0.0,966.0,0.0486,758.0,0.0382,1408.0,0.0709,23.0,0.0012,0.0,0.0,2292.0,0.1154,366.0,0.0184,558.0,0.0281,179.0,0.009,0.0,0.0,1171.0,0.0589,121.0,0.0061,21.0,0.0011,3.0,0.0002,0.0,0.0,199.0,0.01,9566.0,0.4815,7521.0,0.3786,2579.0,0.1298,130.0,0.0065,19867.0,1.0,19867.0
Benambra,47.0,0.0026,0.0,0.0,5.0,0.0003,0.0,0.0,73.0,0.004,19.0,0.001,4.0,0.0002,0.0,0.0,0.0,0.0,42.0,0.0023,0.0,0.0,0.0,0.0,13.0,0.0007,0.0,0.0,33.0,0.0018,0.0,0.0,0.0,0.0,34.0,0.0019,0.0,0.0,53.0,0.0029,137.0,0.0076,8.0,0.0004,78.0,0.0043,0.0,0.0,306.0,0.0169,61.0,0.0034,7.0,0.0004,195.0,0.0108,3.0,0.0002,349.0,0.0193,851.0,0.047,20.0,0.0011,279.0,0.0154,0.0,0.0,1201.0,0.0664,600.0,0.0332,49.0,0.0027,288.0,0.0159,13.0,0.0007,1080.0,0.0597,642.0,0.0355,170.0,0.0094,327.0,0.0181,0.0,0.0,1305.0,0.0721,788.0,0.0435,402.0,0.0222,313.0,0.0173,10.0,0.0006,1578.0,0.0872,441.0,0.0244,439.0,0.0243,154.0,0.0085,3.0,0.0002,1093.0,0.0604,538.0,0.0297,463.0,0.0256,135.0,0.0075,4.0,0.0002,1214.0,0.0671,1147.0,0.0634,1273.0,0.0703,211.0,0.0117,8.0,0.0004,2756.0,0.1523,658.0,0.0364,1031.0,0.057,23.0,0.0013,4.0,0.0002,1805.0,0.0997,394.0,0.0218,754.0,0.0417,18.0,0.001,0.0,0.0,1184.0,0.0654,170.0,0.0094,522.0,0.0288,4.0,0.0002,0.0,0.0,763.0,0.0422,381.0,0.0211,866.0,0.0479,9.0,0.0005,0.0,0.0,1321.0,0.073,283.0,0.0156,551.0,0.0304,157.0,0.0087,6.0,0.0003,1081.0,0.0597,88.0,0.0049,15.0,0.0008,36.0,0.002,0.0,0.0,195.0,0.0108,7847.0,0.4336,7104.0,0.3926,2958.0,0.1635,187.0,0.0103,18096.0,1.0,18096.0
Bendigo East,51.0,0.0026,0.0,0.0,15.0,0.0008,0.0,0.0,98.0,0.0051,16.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0008,0.0,0.0,4.0,0.0002,12.0,0.0006,0.0,0.0,35.0,0.0018,0.0,0.0,0.0,0.0,35.0,0.0018,0.0,0.0,38.0,0.002,127.0,0.0066,0.0,0.0,96.0,0.005,0.0,0.0,306.0,0.0159,77.0,0.004,4.0,0.0002,231.0,0.012,0.0,0.0,393.0,0.0204,884.0,0.0459,33.0,0.0017,245.0,0.0127,0.0,0.0,1311.0,0.0681,631.0,0.0328,90.0,0.0047,364.0,0.0189,3.0,0.0002,1177.0,0.0611,652.0,0.0339,191.0,0.0099,353.0,0.0183,18.0,0.0009,1369.0,0.0711,783.0,0.0407,426.0,0.0221,313.0,0.0163,7.0,0.0004,1657.0,0.0861,421.0,0.0219,425.0,0.0221,243.0,0.0126,0.0,0.0,1229.0,0.0638,427.0,0.0222,562.0,0.0292,163.0,0.0085,0.0,0.0,1285.0,0.0667,1034.0,0.0537,1315.0,0.0683,269.0,0.014,7.0,0.0004,2677.0,0.139,692.0,0.0359,1175.0,0.061,46.0,0.0024,5.0,0.0003,1919.0,0.0997,432.0,0.0224,962.0,0.05,15.0,0.0008,0.0,0.0,1476.0,0.0767,179.0,0.0093,563.0,0.0292,7.0,0.0004,0.0,0.0,866.0,0.045,381.0,0.0198,1242.0,0.0645,7.0,0.0004,0.0,0.0,1735.0,0.0901,234.0,0.0122,534.0,0.0277,127.0,0.0066,0.0,0.0,1049.0,0.0545,61.0,0.0032,17.0,0.0009,7.0,0.0004,0.0,0.0,175.0,0.0091,7668.0,0.3983,8025.0,0.4168,3337.0,0.1733,235.0,0.0122,19253.0,1.0,19253.0
Bendigo West,33.0,0.002,6.0,0.0004,0.0,0.0,0.0,0.0,76.0,0.0045,21.0,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0032,17.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0018,3.0,0.0002,0.0,0.0,62.0,0.0037,0.0,0.0,81.0,0.0048,112.0,0.0067,0.0,0.0,120.0,0.0072,0.0,0.0,330.0,0.0197,125.0,0.0075,6.0,0.0004,228.0,0.0136,0.0,0.0,443.0,0.0264,942.0,0.0562,35.0,0.0021,273.0,0.0163,0.0,0.0,1314.0,0.0784,582.0,0.0347,128.0,0.0076,385.0,0.023,9.0,0.0005,1217.0,0.0726,680.0,0.0406,240.0,0.0143,329.0,0.0196,7.0,0.0004,1317.0,0.0786,704.0,0.042,396.0,0.0236,290.0,0.0173,10.0,0.0006,1555.0,0.0928,395.0,0.0236,402.0,0.024,178.0,0.0106,7.0,0.0004,1047.0,0.0625,400.0,0.0239,407.0,0.0243,100.0,0.006,5.0,0.0003,1061.0,0.0633,884.0,0.0527,1066.0,0.0636,213.0,0.0127,0.0,0.0,2250.0,0.1342,540.0,0.0322,863.0,0.0515,42.0,0.0025,3.0,0.0002,1537.0,0.0917,370.0,0.0221,648.0,0.0387,23.0,0.0014,0.0,0.0,1121.0,0.0669,146.0,0.0087,354.0,0.0211,11.0,0.0007,0.0,0.0,569.0,0.0339,364.0,0.0217,689.0,0.0411,3.0,0.0002,0.0,0.0,1105.0,0.0659,221.0,0.0132,430.0,0.0257,206.0,0.0123,0.0,0.0,970.0,0.0579,104.0,0.0062,15.0,0.0009,27.0,0.0016,0.0,0.0,229.0,0.0137,7214.0,0.4304,6105.0,0.3642,3118.0,0.186,250.0,0.0149,16763.0,1.0,16763.0
Bentleigh,137.0,0.0065,4.0,0.0002,66.0,0.0031,0.0,0.0,296.0,0.0139,32.0,0.0015,0.0,0.0,13.0,0.0006,0.0,0.0,60.0,0.0028,21.0,0.001,3.0,0.0001,35.0,0.0016,0.0,0.0,91.0,0.0043,0.0,0.0,0.0,0.0,28.0,0.0013,0.0,0.0,37.0,0.0017,90.0,0.0042,14.0,0.0007,26.0,0.0012,0.0,0.0,202.0,0.0095,56.0,0.0026,10.0,0.0005,67.0,0.0032,0.0,0.0,249.0,0.0117,553.0,0.026,38.0,0.0018,122.0,0.0057,0.0,0.0,832.0,0.0392,320.0,0.0151,95.0,0.0045,257.0,0.0121,11.0,0.0005,819.0,0.0386,431.0,0.0203,162.0,0.0076,236.0,0.0111,8.0,0.0004,985.0,0.0464,531.0,0.025,315.0,0.0148,238.0,0.0112,7.0,0.0003,1303.0,0.0614,243.0,0.0114,316.0,0.0149,238.0,0.0112,0.0,0.0,936.0,0.0441,303.0,0.0143,367.0,0.0173,141.0,0.0066,0.0,0.0,905.0,0.0426,672.0,0.0317,1044.0,0.0492,416.0,0.0196,9.0,0.0004,2258.0,0.1063,612.0,0.0288,1116.0,0.0526,103.0,0.0049,5.0,0.0002,1944.0,0.0916,483.0,0.0227,1227.0,0.0578,96.0,0.0045,0.0,0.0,1897.0,0.0893,339.0,0.016,918.0,0.0432,0.0,0.0,0.0,0.0,1413.0,0.0666,979.0,0.0461,4198.0,0.1977,147.0,0.0069,0.0,0.0,5410.0,0.2548,117.0,0.0055,576.0,0.0271,101.0,0.0048,0.0,0.0,943.0,0.0444,30.0,0.0014,23.0,0.0011,7.0,0.0003,0.0,0.0,133.0,0.0063,6726.0,0.3168,11000.0,0.5181,3271.0,0.1541,249.0,0.0117,21232.0,1.0,21232.0
Berwick,175.0,0.0079,3.0,0.0001,4.0,0.0002,0.0,0.0,311.0,0.0141,14.0,0.0006,6.0,0.0003,0.0,0.0,0.0,0.0,31.0,0.0014,11.0,0.0005,0.0,0.0,7.0,0.0003,0.0,0.0,41.0,0.0019,13.0,0.0006,3.0,0.0001,19.0,0.0009,0.0,0.0,52.0,0.0024,56.0,0.0025,0.0,0.0,48.0,0.0022,0.0,0.0,170.0,0.0077,55.0,0.0025,20.0,0.0009,95.0,0.0043,0.0,0.0,252.0,0.0114,448.0,0.0203,121.0,0.0055,126.0,0.0057,0.0,0.0,851.0,0.0385,312.0,0.0141,157.0,0.0071,157.0,0.0071,3.0,0.0001,787.0,0.0356,416.0,0.0188,393.0,0.0178,194.0,0.0088,5.0,0.0002,1145.0,0.0518,452.0,0.0204,675.0,0.0305,182.0,0.0082,0.0,0.0,1539.0,0.0696,246.0,0.0111,699.0,0.0316,182.0,0.0082,4.0,0.0002,1260.0,0.057,303.0,0.0137,845.0,0.0382,112.0,0.0051,6.0,0.0003,1342.0,0.0607,866.0,0.0392,2056.0,0.093,248.0,0.0112,6.0,0.0003,3278.0,0.1483,581.0,0.0263,1858.0,0.084,82.0,0.0037,9.0,0.0004,2664.0,0.1205,429.0,0.0194,1607.0,0.0727,72.0,0.0033,0.0,0.0,2177.0,0.0985,210.0,0.0095,998.0,0.0451,0.0,0.0,0.0,0.0,1337.0,0.0605,513.0,0.0232,2652.0,0.12,42.0,0.0019,0.0,0.0,3308.0,0.1496,157.0,0.0071,686.0,0.031,85.0,0.0038,0.0,0.0,1062.0,0.048,62.0,0.0028,34.0,0.0015,0.0,0.0,0.0,0.0,172.0,0.0078,6138.0,0.2776,13254.0,0.5995,2516.0,0.1138,180.0,0.0081,22108.0,1.0,22108.0
