district,Neg_Nil_inc_cpl_fam_no_child_n,Neg_Nil_inc_cpl_fam_wth_chld_n,Neg_Nil_inc_One_parent_fam_n,Neg_Nil_inc_Other_fam_n,Neg_Nil_inc_Tot_n,FI_1_149_cpl_fam_no_child_n,FI_1_149_cpl_fam_with_child_n,FI_1_149_One_parent_fam_n,FI_1_149_Other_fam_n,FI_1_149_Tot_n,FI_150_299_cpl_fam_no_child_n,FI_150_299_cpl_fam_with_child_n,FI_150_299_One_parent_fam_n,FI_150_299_Other_fam_n,FI_150_299_Tot_n,FI_300_399_cpl_fam_no_child_n,FI_300_399_cpl_fam_with_child_n,FI_300_399_One_parent_fam_n,FI_300_399_Other_fam_n,FI_300_399_Tot_n,FI_400_499_cpl_fam_no_child_n,FI_400_499_cpl_fam_with_child_n,FI_400_499_One_parent_fam_n,FI_400_499_Other_fam_n,FI_400_499_Tot_n,FI_500_649_cpl_fam_no_child_n,FI_500_649_cpl_fam_with_child_n,FI_500_649_One_parent_fam_n,FI_500_649_Other_fam_n,FI_500_649_Tot_n,FI_650_799_cpl_fam_no_child_n,FI_650_799_cpl_fam_with_child_n,FI_650_799_One_parent_fam_n,FI_650_799_Other_fam_n,FI_650_799_Tot_n,FI_800_999_cpl_fam_no_child_n,FI_800_999_cpl_fam_wth_chld_n,FI_800_999_One_parent_fam_n,FI_800_999_Other_fam_n,FI_800_999_Tot_n,FI_1000_1249_cpl_fam_no_child_n,FI_1000_1249_cpl_fam_wth_chld_n,FI_1000_1249_One_parent_fam_n,FI_1000_1249_Other_fam_n,FI_1000_1249_Tot_n,FI_1250_1499_cpl_fam_no_child_n,FI_1250_1499_cpl_fam_wth_chld_n,FI_1250_1499_One_parent_fam_n,FI_1250_1499_Other_fam_n,FI_1250_1499_Tot_n,FI_1500_1749_cpl_fam_no_child_n,FI_1500_1749_cpl_fam_wth_chld_n,FI_1500_1749_One_parent_fam_n,FI_1500_1749_Other_fam_n,FI_1500_1749_Tot_n,FI_1750_1999_cpl_fam_no_child_n,FI_1750_1999_cpl_fam_wth_chld_n,FI_1750_1999_One_parent_fam_n,FI_1750_1999_Other_fam_n,FI_1750_1999_Tot_n,FI_2000_2499_cpl_fam_no_child_n,FI_2000_2499_cpl_fam_wth_chld_n,FI_2000_2499_One_parent_fam_n,FI_2000_2499_Other_fam_n,FI_2000_2499_Tot_n,FI_2500_2999_cpl_fam_no_child_n,FI_2500_2999_cpl_fam_wth_chld_n,FI_2500_2999_One_parent_fam_n,FI_2500_2999_Other_fam_n,FI_2500_2999_Tot_n,FI_3000_3499_cpl_fam_no_child_n,FI_3000_3499_cpl_fam_wth_chld_n,FI_3000_3499_One_parent_fam_n,FI_3000_3499_Other_fam_n,FI_3000_3499_Tot_n,FI_3500_3999_cpl_fam_no_child_n,FI_3500_3999_cpl_fam_wth_chld_n,FI_3500_3999_One_parent_fam_n,FI_3500_3999_Other_fam_n,FI_3500_3999_Tot_n,FI_4000_more_cpl_fam_no_child_n,FI_4000_more_cpl_fam_wth_chld_n,FI_4000_more_One_parent_fam_n,FI_4000_more_Other_fam_n,FI_4000_more_Tot_n,Prt_inc_std_cpl_fam_no_child_n,Part_inc_std_cpl_fam_wth_chld_n,Part_inc_statd_One_parent_fam_n,Partial_income_statd_Othr_fam_n,Partial_income_stated_Tot_n,All_inc_ns_cpl_fam_no_child_n,All_inc_ns_cpl_fam_wth_chld_n,All_incomes_ns_One_parent_fam_n,All_incomes_ns_Other_fam_n,All_incomes_ns_Tot_n,Tot_cpl_fam_no_child_n,Tot_cpl_fam_wth_chld_n,Tot_One_parent_fam_n,Tot_Other_fam_n,Tot_Tot_n,Tot_Tot_total
Albert Park,103.0,9.0,29.0,0.0,241.0,5.0,0.0,4.0,0.0,28.0,4.0,0.0,4.0,3.0,34.0,0.0,0.0,17.0,0.0,35.0,45.0,3.0,42.0,0.0,134.0,31.0,8.0,62.0,0.0,154.0,265.0,7.0,80.0,0.0,442.0,243.0,24.0,91.0,16.0,485.0,398.0,56.0,109.0,17.0,727.0,579.0,65.0,115.0,10.0,929.0,300.0,94.0,79.0,9.0,654.0,493.0,89.0,84.0,7.0,828.0,1254.0,398.0,208.0,30.0,2007.0,1039.0,316.0,34.0,21.0,1536.0,990.0,383.0,31.0,3.0,1534.0,796.0,331.0,3.0,8.0,1142.0,2729.0,2700.0,171.0,6.0,5726.0,350.0,264.0,112.0,0.0,878.0,53.0,0.0,4.0,0.0,79.0,10074.0,5392.0,2064.0,429.0,18010.0,18010.0
Ashwood,215.0,15.0,62.0,4.0,413.0,41.0,7.0,10.0,3.0,89.0,16.0,6.0,17.0,0.0,85.0,3.0,0.0,43.0,0.0,76.0,150.0,6.0,48.0,0.0,309.0,106.0,25.0,103.0,0.0,273.0,566.0,35.0,86.0,0.0,827.0,310.0,78.0,191.0,3.0,805.0,482.0,204.0,207.0,11.0,1057.0,601.0,330.0,174.0,10.0,1254.0,245.0,347.0,156.0,11.0,947.0,331.0,393.0,103.0,3.0,1016.0,793.0,995.0,303.0,23.0,2178.0,548.0,983.0,98.0,8.0,1747.0,480.0,1085.0,60.0,0.0,1762.0,277.0,824.0,11.0,0.0,1240.0,996.0,4710.0,150.0,10.0,5908.0,174.0,687.0,137.0,0.0,1101.0,39.0,39.0,4.0,0.0,136.0,7249.0,11251.0,2885.0,404.0,21812.0,21812.0
Bass,171.0,15.0,14.0,0.0,242.0,44.0,0.0,9.0,0.0,76.0,33.0,4.0,12.0,0.0,73.0,17.0,0.0,27.0,0.0,82.0,240.0,6.0,72.0,0.0,378.0,136.0,16.0,158.0,0.0,370.0,1006.0,49.0,246.0,0.0,1379.0,701.0,103.0,288.0,3.0,1154.0,769.0,290.0,224.0,3.0,1471.0,777.0,498.0,222.0,5.0,1567.0,386.0,508.0,113.0,0.0,1086.0,529.0,595.0,68.0,0.0,1254.0,966.0,1194.0,131.0,7.0,2431.0,615.0,964.0,49.0,0.0,1714.0,351.0,701.0,27.0,0.0,1125.0,173.0,392.0,6.0,0.0,642.0,348.0,777.0,17.0,0.0,1265.0,259.0,522.0,139.0,0.0,1040.0,151.0,26.0,22.0,0.0,266.0,8261.0,7097.0,2475.0,116.0,18073.0,18073.0
Bayswater,174.0,8.0,18.0,0.0,310.0,33.0,0.0,0.0,0.0,63.0,3.0,3.0,6.0,0.0,48.0,14.0,0.0,28.0,0.0,74.0,146.0,5.0,97.0,0.0,324.0,109.0,16.0,122.0,0.0,358.0,773.0,64.0,249.0,4.0,1221.0,537.0,147.0,269.0,3.0,1124.0,550.0,298.0,394.0,3.0,1400.0,682.0,555.0,330.0,22.0,1656.0,367.0,513.0,264.0,0.0,1310.0,382.0,653.0,196.0,7.0,1333.0,1021.0,1525.0,366.0,13.0,2920.0,646.0,1363.0,125.0,0.0,2213.0,460.0,1173.0,50.0,3.0,1782.0,226.0,683.0,18.0,0.0,1047.0,391.0,1382.0,39.0,0.0,1885.0,157.0,490.0,178.0,0.0,1017.0,66.0,15.0,12.0,0.0,182.0,7390.0,9223.0,3562.0,264.0,20479.0,20479.0
Bellarine,149.0,0.0,0.0,0.0,194.0,59.0,0.0,0.0,0.0,88.0,35.0,0.0,0.0,0.0,39.0,8.0,0.0,10.0,0.0,37.0,245.0,0.0,17.0,0.0,360.0,161.0,6.0,125.0,5.0,408.0,1106.0,35.0,142.0,0.0,1336.0,799.0,69.0,239.0,0.0,1245.0,944.0,141.0,261.0,0.0,1481.0,994.0,245.0,238.0,4.0,1627.0,415.0,387.0,176.0,4.0,1121.0,501.0,373.0,96.0,0.0,1075.0,1011.0,1109.0,235.0,3.0,2505.0,710.0,1047.0,55.0,0.0,1934.0,464.0,927.0,10.0,0.0,1492.0,283.0,578.0,0.0,0.0,966.0,758.0,1408.0,23.0,0.0,2292.0,366.0,558.0,179.0,0.0,1171.0,121.0,21.0,3.0,0.0,199.0,9566.0,7521.0,2579.0,130.0,19867.0,19867.0
Benambra,47.0,0.0,5.0,0.0,73.0,19.0,4.0,0.0,0.0,42.0,0.0,0.0,13.0,0.0,33.0,0.0,0.0,34.0,0.0,53.0,137.0,8.0,78.0,0.0,306.0,61.0,7.0,195.0,3.0,349.0,851.0,20.0,279.0,0.0,1201.0,600.0,49.0,288.0,13.0,1080.0,642.0,170.0,327.0,0.0,1305.0,788.0,402.0,313.0,10.0,1578.0,441.0,439.0,154.0,3.0,1093.0,538.0,463.0,135.0,4.0,1214.0,1147.0,1273.0,211.0,8.0,2756.0,658.0,1031.0,23.0,4.0,1805.0,394.0,754.0,18.0,0.0,1184.0,170.0,522.0,4.0,0.0,763.0,381.0,866.0,9.0,0.0,1321.0,283.0,551.0,157.0,6.0,1081.0,88.0,15.0,36.0,0.0,195.0,7847.0,7104.0,2958.0,187.0,18096.0,18096.0
Bendigo East,51.0,0.0,15.0,0.0,98.0,16.0,0.0,0.0,0.0,16.0,0.0,4.0,12.0,0.0,35.0,0.0,0.0,35.0,0.0,38.0,127.0,0.0,96.0,0.0,306.0,77.0,4.0,231.0,0.0,393.0,884.0,33.0,245.0,0.0,1311.0,631.0,90.0,364.0,3.0,1177.0,652.0,191.0,353.0,18.0,1369.0,783.0,426.0,313.0,7.0,1657.0,421.0,425.0,243.0,0.0,1229.0,427.0,562.0,163.0,0.0,1285.0,1034.0,1315.0,269.0,7.0,2677.0,692.0,1175.0,46.0,5.0,1919.0,432.0,962.0,15.0,0.0,1476.0,179.0,563.0,7.0,0.0,866.0,381.0,1242.0,7.0,0.0,1735.0,234.0,534.0,127.0,0.0,1049.0,61.0,17.0,7.0,0.0,175.0,7668.0,8025.0,3337.0,235.0,19253.0,19253.0
Bendigo West,33.0,6.0,0.0,0.0,76.0,21.0,0.0,0.0,0.0,54.0,17.0,0.0,0.0,0.0,30.0,3.0,0.0,62.0,0.0,81.0,112.0,0.0,120.0,0.0,330.0,125.0,6.0,228.0,0.0,443.0,942.0,35.0,273.0,0.0,1314.0,582.0,128.0,385.0,9.0,1217.0,680.0,240.0,329.0,7.0,1317.0,704.0,396.0,290.0,10.0,1555.0,395.0,402.0,178.0,7.0,1047.0,400.0,407.0,100.0,5.0,1061.0,884.0,1066.0,213.0,0.0,2250.0,540.0,863.0,42.0,3.0,1537.0,370.0,648.0,23.0,0.0,1121.0,146.0,354.0,11.0,0.0,569.0,364.0,689.0,3.0,0.0,1105.0,221.0,430.0,206.0,0.0,970.0,104.0,15.0,27.0,0.0,229.0,7214.0,6105.0,3118.0,250.0,16763.0,16763.0
Bentleigh,137.0,4.0,66.0,0.0,296.0,32.0,0.0,13.0,0.0,60.0,21.0,3.0,35.0,0.0,91.0,0.0,0.0,28.0,0.0,37.0,90.0,14.0,26.0,0.0,202.0,56.0,10.0,67.0,0.0,249.0,553.0,38.0,122.0,0.0,832.0,320.0,95.0,257.0,11.0,819.0,431.0,162.0,236.0,8.0,985.0,531.0,315.0,238.0,7.0,1303.0,243.0,316.0,238.0,0.0,936.0,303.0,367.0,141.0,0.0,905.0,672.0,1044.0,416.0,9.0,2258.0,612.0,1116.0,103.0,5.0,1944.0,483.0,1227.0,96.0,0.0,1897.0,339.0,918.0,0.0,0.0,1413.0,979.0,4198.0,147.0,0.0,5410.0,117.0,576.0,101.0,0.0,943.0,30.0,23.0,7.0,0.0,133.0,6726.0,11000.0,3271.0,249.0,21232.0,21232.0
Berwick,175.0,3.0,4.0,0.0,311.0,14.0,6.0,0.0,0.0,31.0,11.0,0.0,7.0,0.0,41.0,13.0,3.0,19.0,0.0,52.0,56.0,0.0,48.0,0.0,170.0,55.0,20.0,95.0,0.0,252.0,448.0,121.0,126.0,0.0,851.0,312.0,157.0,157.0,3.0,787.0,416.0,393.0,194.0,5.0,1145.0,452.0,675.0,182.0,0.0,1539.0,246.0,699.0,182.0,4.0,1260.0,303.0,845.0,112.0,6.0,1342.0,866.0,2056.0,248.0,6.0,3278.0,581.0,1858.0,82.0,9.0,2664.0,429.0,1607.0,72.0,0.0,2177.0,210.0,998.0,0.0,0.0,1337.0,513.0,2652.0,42.0,0.0,3308.0,157.0,686.0,85.0,0.0,1062.0,62.0,34.0,0.0,0.0,172.0,6138.0,13254.0,2516.0,180.0,22108.0,22108.0
