district,Neg_Nil_inc_cpl_fam_no_child_pc,Neg_Nil_inc_cpl_fam_wth_chld_pc,Neg_Nil_inc_One_parent_fam_pc,Neg_Nil_inc_Other_fam_pc,Neg_Nil_inc_Tot_pc,FI_1_149_cpl_fam_no_child_pc,FI_1_149_cpl_fam_with_child_pc,FI_1_149_One_parent_fam_pc,FI_1_149_Other_fam_pc,FI_1_149_Tot_pc,FI_150_299_cpl_fam_no_child_pc,FI_150_299_cpl_fam_with_child_pc,FI_150_299_One_parent_fam_pc,FI_150_299_Other_fam_pc,FI_150_299_Tot_pc,FI_300_399_cpl_fam_no_child_pc,FI_300_399_cpl_fam_with_child_pc,FI_300_399_One_parent_fam_pc,FI_300_399_Other_fam_pc,FI_300_399_Tot_pc,FI_400_499_cpl_fam_no_child_pc,FI_400_499_cpl_fam_with_child_pc,FI_400_499_One_parent_fam_pc,FI_400_499_Other_fam_pc,FI_400_499_Tot_pc,FI_500_649_cpl_fam_no_child_pc,FI_500_649_cpl_fam_with_child_pc,FI_500_649_One_parent_fam_pc,FI_500_649_Other_fam_pc,FI_500_649_Tot_pc,FI_650_799_cpl_fam_no_child_pc,FI_650_799_cpl_fam_with_child_pc,FI_650_799_One_parent_fam_pc,FI_650_799_Other_fam_pc,FI_650_799_Tot_pc,FI_800_999_cpl_fam_no_child_pc,FI_800_999_cpl_fam_wth_chld_pc,FI_800_999_One_parent_fam_pc,FI_800_999_Other_fam_pc,FI_800_999_Tot_pc,FI_1000_1249_cpl_fam_no_child_pc,FI_1000_1249_cpl_fam_wth_chld_pc,FI_1000_1249_One_parent_fam_pc,FI_1000_1249_Other_fam_pc,FI_1000_1249_Tot_pc,FI_1250_1499_cpl_fam_no_child_pc,FI_1250_1499_cpl_fam_wth_chld_pc,FI_1250_1499_One_parent_fam_pc,FI_1250_1499_Other_fam_pc,FI_1250_1499_Tot_pc,FI_1500_1749_cpl_fam_no_child_pc,FI_1500_1749_cpl_fam_wth_chld_pc,FI_1500_1749_One_parent_fam_pc,FI_1500_1749_Other_fam_pc,FI_1500_1749_Tot_pc,FI_1750_1999_cpl_fam_no_child_pc,FI_1750_1999_cpl_fam_wth_chld_pc,FI_1750_1999_One_parent_fam_pc,FI_1750_1999_Other_fam_pc,FI_1750_1999_Tot_pc,FI_2000_2499_cpl_fam_no_child_pc,FI_2000_2499_cpl_fam_wth_chld_pc,FI_2000_2499_One_parent_fam_pc,FI_2000_2499_Other_fam_pc,FI_2000_2499_Tot_pc,FI_2500_2999_cpl_fam_no_child_pc,FI_2500_2999_cpl_fam_wth_chld_pc,FI_2500_2999_One_parent_fam_pc,FI_2500_2999_Other_fam_pc,FI_2500_2999_Tot_pc,FI_3000_3499_cpl_fam_no_child_pc,FI_3000_3499_cpl_fam_wth_chld_pc,FI_3000_3499_One_parent_fam_pc,FI_3000_3499_Other_fam_pc,FI_3000_3499_Tot_pc,FI_3500_3999_cpl_fam_no_child_pc,FI_3500_3999_cpl_fam_wth_chld_pc,FI_3500_3999_One_parent_fam_pc,FI_3500_3999_Other_fam_pc,FI_3500_3999_Tot_pc,FI_4000_more_cpl_fam_no_child_pc,FI_4000_more_cpl_fam_wth_chld_pc,FI_4000_more_One_parent_fam_pc,FI_4000_more_Other_fam_pc,FI_4000_more_Tot_pc,Prt_inc_std_cpl_fam_no_child_pc,Part_inc_std_cpl_fam_wth_chld_pc,Part_inc_statd_One_parent_fam_pc,Partial_income_statd_Othr_fam_pc,Partial_income_stated_Tot_pc,All_inc_ns_cpl_fam_no_child_pc,All_inc_ns_cpl_fam_wth_chld_pc,All_incomes_ns_One_parent_fam_pc,All_incomes_ns_Other_fam_pc,All_incomes_ns_Tot_pc,Tot_cpl_fam_no_child_pc,Tot_cpl_fam_wth_chld_pc,Tot_One_parent_fam_pc,Tot_Other_fam_pc,Tot_Tot_pc
Albert Park,0.0057,0.0005,0.0016,0.0,0.0134,0.0003,0.0,0.0002,0.0,0.0016,0.0002,0.0,0.0002,0.0002,0.0019,0.0,0.0,0.0009,0.0,0.0019,0.0025,0.0002,0.0023,0.0,0.0074,0.0017,0.0004,0.0034,0.0,0.0086,0.0147,0.0004,0.0044,0.0,0.0245,0.0135,0.0013,0.0051,0.0009,0.0269,0.0221,0.0031,0.0061,0.0009,0.0404,0.0321,0.0036,0.0064,0.0006,0.0516,0.0167,0.0052,0.0044,0.0005,0.0363,0.0274,0.0049,0.0047,0.0004,0.046,0.0696,0.0221,0.0115,0.0017,0.1114,0.0577,0.0175,0.0019,0.0012,0.0853,0.055,0.0213,0.0017,0.0002,0.0852,0.0442,0.0184,0.0002,0.0004,0.0634,0.1515,0.1499,0.0095,0.0003,0.3179,0.0194,0.0147,0.0062,0.0,0.0488,0.0029,0.0,0.0002,0.0,0.0044,0.5594,0.2994,0.1146,0.0238,1.0
Ashwood,0.0099,0.0007,0.0028,0.0002,0.0189,0.0019,0.0003,0.0005,0.0001,0.0041,0.0007,0.0003,0.0008,0.0,0.0039,0.0001,0.0,0.002,0.0,0.0035,0.0069,0.0003,0.0022,0.0,0.0142,0.0049,0.0011,0.0047,0.0,0.0125,0.0259,0.0016,0.0039,0.0,0.0379,0.0142,0.0036,0.0088,0.0001,0.0369,0.0221,0.0094,0.0095,0.0005,0.0485,0.0276,0.0151,0.008,0.0005,0.0575,0.0112,0.0159,0.0072,0.0005,0.0434,0.0152,0.018,0.0047,0.0001,0.0466,0.0364,0.0456,0.0139,0.0011,0.0999,0.0251,0.0451,0.0045,0.0004,0.0801,0.022,0.0497,0.0028,0.0,0.0808,0.0127,0.0378,0.0005,0.0,0.0568,0.0457,0.2159,0.0069,0.0005,0.2709,0.008,0.0315,0.0063,0.0,0.0505,0.0018,0.0018,0.0002,0.0,0.0062,0.3323,0.5158,0.1323,0.0185,1.0
Bass,0.0095,0.0008,0.0008,0.0,0.0134,0.0024,0.0,0.0005,0.0,0.0042,0.0018,0.0002,0.0007,0.0,0.004,0.0009,0.0,0.0015,0.0,0.0045,0.0133,0.0003,0.004,0.0,0.0209,0.0075,0.0009,0.0087,0.0,0.0205,0.0557,0.0027,0.0136,0.0,0.0763,0.0388,0.0057,0.0159,0.0002,0.0639,0.0425,0.016,0.0124,0.0002,0.0814,0.043,0.0276,0.0123,0.0003,0.0867,0.0214,0.0281,0.0063,0.0,0.0601,0.0293,0.0329,0.0038,0.0,0.0694,0.0534,0.0661,0.0072,0.0004,0.1345,0.034,0.0533,0.0027,0.0,0.0948,0.0194,0.0388,0.0015,0.0,0.0622,0.0096,0.0217,0.0003,0.0,0.0355,0.0193,0.043,0.0009,0.0,0.07,0.0143,0.0289,0.0077,0.0,0.0575,0.0084,0.0014,0.0012,0.0,0.0147,0.4571,0.3927,0.1369,0.0064,1.0
Bayswater,0.0085,0.0004,0.0009,0.0,0.0151,0.0016,0.0,0.0,0.0,0.0031,0.0001,0.0001,0.0003,0.0,0.0023,0.0007,0.0,0.0014,0.0,0.0036,0.0071,0.0002,0.0047,0.0,0.0158,0.0053,0.0008,0.006,0.0,0.0175,0.0377,0.0031,0.0122,0.0002,0.0596,0.0262,0.0072,0.0131,0.0001,0.0549,0.0269,0.0146,0.0192,0.0001,0.0684,0.0333,0.0271,0.0161,0.0011,0.0809,0.0179,0.0251,0.0129,0.0,0.064,0.0187,0.0319,0.0096,0.0003,0.0651,0.0499,0.0745,0.0179,0.0006,0.1426,0.0315,0.0666,0.0061,0.0,0.1081,0.0225,0.0573,0.0024,0.0001,0.087,0.011,0.0334,0.0009,0.0,0.0511,0.0191,0.0675,0.0019,0.0,0.092,0.0077,0.0239,0.0087,0.0,0.0497,0.0032,0.0007,0.0006,0.0,0.0089,0.3609,0.4504,0.1739,0.0129,1.0
Bellarine,0.0075,0.0,0.0,0.0,0.0098,0.003,0.0,0.0,0.0,0.0044,0.0018,0.0,0.0,0.0,0.002,0.0004,0.0,0.0005,0.0,0.0019,0.0123,0.0,0.0009,0.0,0.0181,0.0081,0.0003,0.0063,0.0003,0.0205,0.0557,0.0018,0.0071,0.0,0.0672,0.0402,0.0035,0.012,0.0,0.0627,0.0475,0.0071,0.0131,0.0,0.0745,0.05,0.0123,0.012,0.0002,0.0819,0.0209,0.0195,0.0089,0.0002,0.0564,0.0252,0.0188,0.0048,0.0,0.0541,0.0509,0.0558,0.0118,0.0002,0.1261,0.0357,0.0527,0.0028,0.0,0.0973,0.0234,0.0467,0.0005,0.0,0.0751,0.0142,0.0291,0.0,0.0,0.0486,0.0382,0.0709,0.0012,0.0,0.1154,0.0184,0.0281,0.009,0.0,0.0589,0.0061,0.0011,0.0002,0.0,0.01,0.4815,0.3786,0.1298,0.0065,1.0
Benambra,0.0026,0.0,0.0003,0.0,0.004,0.001,0.0002,0.0,0.0,0.0023,0.0,0.0,0.0007,0.0,0.0018,0.0,0.0,0.0019,0.0,0.0029,0.0076,0.0004,0.0043,0.0,0.0169,0.0034,0.0004,0.0108,0.0002,0.0193,0.047,0.0011,0.0154,0.0,0.0664,0.0332,0.0027,0.0159,0.0007,0.0597,0.0355,0.0094,0.0181,0.0,0.0721,0.0435,0.0222,0.0173,0.0006,0.0872,0.0244,0.0243,0.0085,0.0002,0.0604,0.0297,0.0256,0.0075,0.0002,0.0671,0.0634,0.0703,0.0117,0.0004,0.1523,0.0364,0.057,0.0013,0.0002,0.0997,0.0218,0.0417,0.001,0.0,0.0654,0.0094,0.0288,0.0002,0.0,0.0422,0.0211,0.0479,0.0005,0.0,0.073,0.0156,0.0304,0.0087,0.0003,0.0597,0.0049,0.0008,0.002,0.0,0.0108,0.4336,0.3926,0.1635,0.0103,1.0
Bendigo East,0.0026,0.0,0.0008,0.0,0.0051,0.0008,0.0,0.0,0.0,0.0008,0.0,0.0002,0.0006,0.0,0.0018,0.0,0.0,0.0018,0.0,0.002,0.0066,0.0,0.005,0.0,0.0159,0.004,0.0002,0.012,0.0,0.0204,0.0459,0.0017,0.0127,0.0,0.0681,0.0328,0.0047,0.0189,0.0002,0.0611,0.0339,0.0099,0.0183,0.0009,0.0711,0.0407,0.0221,0.0163,0.0004,0.0861,0.0219,0.0221,0.0126,0.0,0.0638,0.0222,0.0292,0.0085,0.0,0.0667,0.0537,0.0683,0.014,0.0004,0.139,0.0359,0.061,0.0024,0.0003,0.0997,0.0224,0.05,0.0008,0.0,0.0767,0.0093,0.0292,0.0004,0.0,0.045,0.0198,0.0645,0.0004,0.0,0.0901,0.0122,0.0277,0.0066,0.0,0.0545,0.0032,0.0009,0.0004,0.0,0.0091,0.3983,0.4168,0.1733,0.0122,1.0
Bendigo West,0.002,0.0004,0.0,0.0,0.0045,0.0013,0.0,0.0,0.0,0.0032,0.001,0.0,0.0,0.0,0.0018,0.0002,0.0,0.0037,0.0,0.0048,0.0067,0.0,0.0072,0.0,0.0197,0.0075,0.0004,0.0136,0.0,0.0264,0.0562,0.0021,0.0163,0.0,0.0784,0.0347,0.0076,0.023,0.0005,0.0726,0.0406,0.0143,0.0196,0.0004,0.0786,0.042,0.0236,0.0173,0.0006,0.0928,0.0236,0.024,0.0106,0.0004,0.0625,0.0239,0.0243,0.006,0.0003,0.0633,0.0527,0.0636,0.0127,0.0,0.1342,0.0322,0.0515,0.0025,0.0002,0.0917,0.0221,0.0387,0.0014,0.0,0.0669,0.0087,0.0211,0.0007,0.0,0.0339,0.0217,0.0411,0.0002,0.0,0.0659,0.0132,0.0257,0.0123,0.0,0.0579,0.0062,0.0009,0.0016,0.0,0.0137,0.4304,0.3642,0.186,0.0149,1.0
Bentleigh,0.0065,0.0002,0.0031,0.0,0.0139,0.0015,0.0,0.0006,0.0,0.0028,0.001,0.0001,0.0016,0.0,0.0043,0.0,0.0,0.0013,0.0,0.0017,0.0042,0.0007,0.0012,0.0,0.0095,0.0026,0.0005,0.0032,0.0,0.0117,0.026,0.0018,0.0057,0.0,0.0392,0.0151,0.0045,0.0121,0.0005,0.0386,0.0203,0.0076,0.0111,0.0004,0.0464,0.025,0.0148,0.0112,0.0003,0.0614,0.0114,0.0149,0.0112,0.0,0.0441,0.0143,0.0173,0.0066,0.0,0.0426,0.0317,0.0492,0.0196,0.0004,0.1063,0.0288,0.0526,0.0049,0.0002,0.0916,0.0227,0.0578,0.0045,0.0,0.0893,0.016,0.0432,0.0,0.0,0.0666,0.0461,0.1977,0.0069,0.0,0.2548,0.0055,0.0271,0.0048,0.0,0.0444,0.0014,0.0011,0.0003,0.0,0.0063,0.3168,0.5181,0.1541,0.0117,1.0
Berwick,0.0079,0.0001,0.0002,0.0,0.0141,0.0006,0.0003,0.0,0.0,0.0014,0.0005,0.0,0.0003,0.0,0.0019,0.0006,0.0001,0.0009,0.0,0.0024,0.0025,0.0,0.0022,0.0,0.0077,0.0025,0.0009,0.0043,0.0,0.0114,0.0203,0.0055,0.0057,0.0,0.0385,0.0141,0.0071,0.0071,0.0001,0.0356,0.0188,0.0178,0.0088,0.0002,0.0518,0.0204,0.0305,0.0082,0.0,0.0696,0.0111,0.0316,0.0082,0.0002,0.057,0.0137,0.0382,0.0051,0.0003,0.0607,0.0392,0.093,0.0112,0.0003,0.1483,0.0263,0.084,0.0037,0.0004,0.1205,0.0194,0.0727,0.0033,0.0,0.0985,0.0095,0.0451,0.0,0.0,0.0605,0.0232,0.12,0.0019,0.0,0.1496,0.0071,0.031,0.0038,0.0,0.048,0.0028,0.0015,0.0,0.0,0.0078,0.2776,0.5995,0.1138,0.0081,1.0
