district,Neg_Nil_inc_fam_households,Neg_Nil_inc_fam_households_pc,Neg_Nil_inc_Non_fam_househlds,Neg_Nil_inc_Non_fam_househlds_pc,Negative_Nil_income_Tot,Negative_Nil_income_Tot_pc,HI_1_149_Family_households,HI_1_149_Family_households_pc,HI_1_149_Non_family_hseholds,HI_1_149_Non_family_hseholds_pc,HI_1_149_Tot,HI_1_149_Tot_pc,HI_150_299_Family_households,HI_150_299_Family_households_pc,HI_150_299_Non_fam_househlds,HI_150_299_Non_fam_househlds_pc,HI_150_299_Tot,HI_150_299_Tot_pc,HI_300_399_Family_households,HI_300_399_Family_households_pc,HI_300_399_Non_fam_househlds,HI_300_399_Non_fam_househlds_pc,HI_300_399_Tot,HI_300_399_Tot_pc,HI_400_499_Family_households,HI_400_499_Family_households_pc,HI_400_499_Non_fam_househlds,HI_400_499_Non_fam_househlds_pc,HI_400_499_Tot,HI_400_499_Tot_pc,HI_500_649_Family_households,HI_500_649_Family_households_pc,HI_500_649_Non_fam_househlds,HI_500_649_Non_fam_househlds_pc,HI_500_649_Tot,HI_500_649_Tot_pc,HI_650_799_Family_households,HI_650_799_Family_households_pc,HI_650_799_Non_fam_househlds,HI_650_799_Non_fam_househlds_pc,HI_650_799_Tot,HI_650_799_Tot_pc,HI_800_999_Fam_households,HI_800_999_Fam_households_pc,HI_800_999_Non_fam_hsehlds,HI_800_999_Non_fam_hsehlds_pc,HI_800_999_Tot,HI_800_999_Tot_pc,HI_1000_1249_Fam_households,HI_1000_1249_Fam_households_pc,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Non_fam_hsehlds_pc,HI_1000_1249_Tot,HI_1000_1249_Tot_pc,HI_1250_1499_Fam_households,HI_1250_1499_Fam_households_pc,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Non_fam_hsehlds_pc,HI_1250_1499_Tot,HI_1250_1499_Tot_pc,HI_1500_1749_Fam_households,HI_1500_1749_Fam_households_pc,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Non_fam_hsehlds_pc,HI_1500_1749_Tot,HI_1500_1749_Tot_pc,HI_1750_1999_Fam_households,HI_1750_1999_Fam_households_pc,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Non_fam_hsehlds_pc,HI_1750_1999_Tot,HI_1750_1999_Tot_pc,HI_2000_2499_Fam_households,HI_2000_2499_Fam_households_pc,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Non_fam_hsehlds_pc,HI_2000_2499_Tot,HI_2000_2499_Tot_pc,HI_2500_2999_Fam_households,HI_2500_2999_Fam_households_pc,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Non_fam_hsehlds_pc,HI_2500_2999_Tot,HI_2500_2999_Tot_pc,HI_3000_3499_Fam_households,HI_3000_3499_Fam_households_pc,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Non_fam_hsehlds_pc,HI_3000_3499_Tot,HI_3000_3499_Tot_pc,HI_3500_3999_Fam_households,HI_3500_3999_Fam_households_pc,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Non_fam_hsehlds_pc,HI_3500_3999_Tot,HI_3500_3999_Tot_pc,HI_4000_more_Fam_households,HI_4000_more_Fam_households_pc,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Non_fam_hsehlds_pc,HI_4000_more_Tot,HI_4000_more_Tot_pc,Part_inc_stated_Fam_household,Part_inc_stated_Fam_household_pc,Part_inc_std_Non_fam_hhds,Part_inc_std_Non_fam_hhds_pc,Partial_income_stated_Tot,Partial_income_stated_Tot_pc,All_incomes_ns_Famly_househld,All_incomes_ns_Famly_househld_pc,All_inc_ns_Non_famly_househld,All_inc_ns_Non_famly_househld_pc,All_incomes_not_stated_Tot,All_incomes_not_stated_Tot_pc,Tot_Family_households,Tot_Family_households_pc,Tot_Non_family_households,Tot_Non_family_households_pc,Tot_Tot,Tot_Tot_pc,Tot_Tot_total
Albert Park,199.0,0.0056,609.0,0.0172,937.0,0.0264,24.0,0.0007,100.0,0.0028,168.0,0.0047,28.0,0.0008,325.0,0.0092,395.0,0.0111,46.0,0.0013,680.0,0.0192,748.0,0.0211,131.0,0.0037,1023.0,0.0288,1207.0,0.034,155.0,0.0044,837.0,0.0236,1093.0,0.0308,442.0,0.0125,815.0,0.023,1250.0,0.0352,440.0,0.0124,1049.0,0.0296,1508.0,0.0425,660.0,0.0186,1510.0,0.0426,2218.0,0.0625,846.0,0.0238,1453.0,0.041,2226.0,0.0628,632.0,0.0178,1405.0,0.0396,2103.0,0.0593,816.0,0.023,1204.0,0.0339,2042.0,0.0576,2004.0,0.0565,2727.0,0.0769,4726.0,0.1332,1575.0,0.0444,245.0,0.0069,1860.0,0.0524,1570.0,0.0443,847.0,0.0239,2420.0,0.0682,1215.0,0.0343,118.0,0.0033,1320.0,0.0372,5835.0,0.1645,1511.0,0.0426,7309.0,0.206,852.0,0.024,300.0,0.0085,1210.0,0.0341,54.0,0.0015,265.0,0.0075,379.0,0.0107,17958.0,0.5062,17480.0,0.4928,35474.0,1.0,35474.0
Ashwood,270.0,0.0094,319.0,0.0111,671.0,0.0233,67.0,0.0023,57.0,0.002,216.0,0.0075,59.0,0.0021,236.0,0.0082,341.0,0.0119,73.0,0.0025,373.0,0.013,538.0,0.0187,233.0,0.0081,932.0,0.0324,1258.0,0.0437,242.0,0.0084,553.0,0.0192,918.0,0.0319,742.0,0.0258,411.0,0.0143,1244.0,0.0432,751.0,0.0261,527.0,0.0183,1275.0,0.0443,1055.0,0.0367,538.0,0.0187,1641.0,0.057,1214.0,0.0422,436.0,0.0152,1660.0,0.0577,948.0,0.0329,403.0,0.014,1370.0,0.0476,938.0,0.0326,279.0,0.0097,1252.0,0.0435,2129.0,0.074,611.0,0.0212,2834.0,0.0985,1727.0,0.06,104.0,0.0036,1861.0,0.0647,1771.0,0.0615,161.0,0.0056,1978.0,0.0687,1277.0,0.0444,25.0,0.0009,1353.0,0.047,6044.0,0.21,328.0,0.0114,6437.0,0.2237,1169.0,0.0406,116.0,0.004,1374.0,0.0477,115.0,0.004,126.0,0.0044,309.0,0.0107,21353.0,0.7421,7340.0,0.2551,28775.0,1.0,28775.0
Bass,181.0,0.0072,164.0,0.0066,411.0,0.0164,72.0,0.0029,58.0,0.0023,164.0,0.0066,42.0,0.0017,178.0,0.0071,238.0,0.0095,63.0,0.0025,512.0,0.0205,618.0,0.0247,378.0,0.0151,1352.0,0.054,1823.0,0.0729,321.0,0.0128,923.0,0.0369,1299.0,0.0519,1293.0,0.0517,564.0,0.0225,1891.0,0.0756,1137.0,0.0455,662.0,0.0265,1773.0,0.0709,1323.0,0.0529,575.0,0.023,1994.0,0.0797,1502.0,0.06,408.0,0.0163,1942.0,0.0776,1088.0,0.0435,325.0,0.013,1383.0,0.0553,1235.0,0.0494,223.0,0.0089,1501.0,0.06,2404.0,0.0961,254.0,0.0102,2650.0,0.1059,1705.0,0.0682,8.0,0.0003,1734.0,0.0693,1180.0,0.0472,22.0,0.0009,1261.0,0.0504,655.0,0.0262,11.0,0.0004,675.0,0.027,1356.0,0.0542,79.0,0.0032,1467.0,0.0586,1115.0,0.0446,45.0,0.0018,1191.0,0.0476,322.0,0.0129,293.0,0.0117,657.0,0.0263,17663.0,0.7061,7344.0,0.2936,25014.0,1.0,25014.0
Bayswater,126.0,0.0046,255.0,0.0093,452.0,0.0165,52.0,0.0019,40.0,0.0015,151.0,0.0055,43.0,0.0016,159.0,0.0058,220.0,0.008,39.0,0.0014,444.0,0.0162,548.0,0.02,260.0,0.0095,1118.0,0.0408,1476.0,0.0539,275.0,0.01,690.0,0.0252,1022.0,0.0373,1048.0,0.0383,497.0,0.0181,1637.0,0.0598,978.0,0.0357,642.0,0.0234,1724.0,0.0629,1275.0,0.0465,721.0,0.0263,2000.0,0.073,1540.0,0.0562,506.0,0.0185,2085.0,0.0761,1250.0,0.0456,449.0,0.0164,1724.0,0.0629,1247.0,0.0455,367.0,0.0134,1650.0,0.0602,2878.0,0.1051,517.0,0.0189,3439.0,0.1255,2250.0,0.0821,31.0,0.0011,2328.0,0.085,1777.0,0.0649,59.0,0.0022,1917.0,0.07,1123.0,0.041,0.0,0.0,1135.0,0.0414,2096.0,0.0765,64.0,0.0023,2202.0,0.0804,989.0,0.0361,36.0,0.0013,1090.0,0.0398,138.0,0.005,183.0,0.0067,391.0,0.0143,19948.0,0.7281,7476.0,0.2729,27396.0,1.0,27396.0
Bellarine,181.0,0.0067,243.0,0.009,494.0,0.0183,70.0,0.0026,30.0,0.0011,166.0,0.0062,42.0,0.0016,150.0,0.0056,262.0,0.0097,24.0,0.0009,375.0,0.0139,468.0,0.0173,324.0,0.012,1212.0,0.0449,1628.0,0.0603,364.0,0.0135,999.0,0.037,1389.0,0.0515,1345.0,0.0499,625.0,0.0232,1873.0,0.0694,1179.0,0.0437,573.0,0.0212,1825.0,0.0676,1451.0,0.0538,676.0,0.0251,2078.0,0.077,1566.0,0.058,370.0,0.0137,2016.0,0.0747,1044.0,0.0387,389.0,0.0144,1439.0,0.0533,1051.0,0.039,236.0,0.0087,1359.0,0.0504,2421.0,0.0897,444.0,0.0165,2883.0,0.1069,1886.0,0.0699,19.0,0.0007,1918.0,0.0711,1525.0,0.0565,52.0,0.0019,1611.0,0.0597,970.0,0.036,3.0,0.0001,1005.0,0.0373,2406.0,0.0892,135.0,0.005,2576.0,0.0955,1191.0,0.0441,17.0,0.0006,1232.0,0.0457,200.0,0.0074,203.0,0.0075,519.0,0.0192,19598.0,0.7264,7408.0,0.2746,26978.0,1.0,26978.0
Benambra,43.0,0.0017,162.0,0.0064,264.0,0.0104,22.0,0.0009,42.0,0.0017,89.0,0.0035,21.0,0.0008,210.0,0.0083,249.0,0.0098,58.0,0.0023,496.0,0.0195,607.0,0.0239,244.0,0.0096,1383.0,0.0544,1655.0,0.0652,321.0,0.0126,802.0,0.0316,1217.0,0.0479,1168.0,0.046,603.0,0.0237,1727.0,0.068,986.0,0.0388,714.0,0.0281,1804.0,0.071,1265.0,0.0498,754.0,0.0297,2059.0,0.0811,1529.0,0.0602,527.0,0.0207,2118.0,0.0834,1064.0,0.0419,353.0,0.0139,1557.0,0.0613,1228.0,0.0483,239.0,0.0094,1528.0,0.0602,2691.0,0.1059,309.0,0.0122,3039.0,0.1196,1839.0,0.0724,19.0,0.0007,1881.0,0.0741,1201.0,0.0473,45.0,0.0018,1323.0,0.0521,802.0,0.0316,4.0,0.0002,810.0,0.0319,1441.0,0.0567,48.0,0.0019,1551.0,0.0611,1171.0,0.0461,17.0,0.0007,1171.0,0.0461,208.0,0.0082,272.0,0.0107,531.0,0.0209,17756.0,0.6991,7640.0,0.3008,25400.0,1.0,25400.0
Bendigo East,58.0,0.0021,205.0,0.0076,339.0,0.0126,14.0,0.0005,30.0,0.0011,106.0,0.0039,25.0,0.0009,162.0,0.006,244.0,0.009,43.0,0.0016,465.0,0.0172,534.0,0.0198,282.0,0.0105,1371.0,0.0508,1664.0,0.0617,341.0,0.0126,922.0,0.0342,1259.0,0.0467,1159.0,0.0429,572.0,0.0212,1751.0,0.0649,1155.0,0.0428,685.0,0.0254,1839.0,0.0681,1336.0,0.0495,777.0,0.0288,2152.0,0.0797,1552.0,0.0575,497.0,0.0184,2112.0,0.0783,1176.0,0.0436,438.0,0.0162,1677.0,0.0621,1247.0,0.0462,289.0,0.0107,1648.0,0.0611,2718.0,0.1007,442.0,0.0164,3204.0,0.1187,1921.0,0.0712,54.0,0.002,2010.0,0.0745,1533.0,0.0568,32.0,0.0012,1589.0,0.0589,909.0,0.0337,8.0,0.0003,966.0,0.0358,1856.0,0.0688,76.0,0.0028,1999.0,0.0741,1011.0,0.0375,76.0,0.0028,1159.0,0.0429,178.0,0.0066,209.0,0.0077,471.0,0.0175,18897.0,0.7003,8069.0,0.299,26985.0,1.0,26985.0
Bendigo West,71.0,0.0028,192.0,0.0075,291.0,0.0114,37.0,0.0015,74.0,0.0029,135.0,0.0053,34.0,0.0013,240.0,0.0094,313.0,0.0123,63.0,0.0025,631.0,0.0248,737.0,0.029,270.0,0.0106,1744.0,0.0686,2036.0,0.0801,391.0,0.0154,1054.0,0.0414,1445.0,0.0568,1290.0,0.0507,718.0,0.0282,2024.0,0.0796,1112.0,0.0437,827.0,0.0325,2033.0,0.0799,1325.0,0.0521,764.0,0.03,2082.0,0.0819,1478.0,0.0581,518.0,0.0204,2050.0,0.0806,1066.0,0.0419,393.0,0.0155,1478.0,0.0581,1010.0,0.0397,274.0,0.0108,1329.0,0.0523,2231.0,0.0877,403.0,0.0158,2691.0,0.1058,1559.0,0.0613,19.0,0.0007,1612.0,0.0634,1179.0,0.0464,15.0,0.0006,1218.0,0.0479,622.0,0.0245,0.0,0.0,631.0,0.0248,1199.0,0.0471,98.0,0.0039,1354.0,0.0532,970.0,0.0381,59.0,0.0023,1107.0,0.0435,207.0,0.0081,287.0,0.0113,578.0,0.0227,16455.0,0.647,8970.0,0.3527,25431.0,1.0,25431.0
Bentleigh,253.0,0.0089,235.0,0.0083,524.0,0.0185,32.0,0.0011,47.0,0.0017,142.0,0.005,89.0,0.0031,178.0,0.0063,306.0,0.0108,36.0,0.0013,394.0,0.0139,500.0,0.0176,193.0,0.0068,1075.0,0.0379,1368.0,0.0482,235.0,0.0083,607.0,0.0214,926.0,0.0326,791.0,0.0279,489.0,0.0172,1268.0,0.0447,753.0,0.0265,563.0,0.0198,1411.0,0.0497,985.0,0.0347,561.0,0.0198,1556.0,0.0548,1132.0,0.0399,460.0,0.0162,1763.0,0.0621,892.0,0.0314,426.0,0.015,1312.0,0.0462,945.0,0.0333,327.0,0.0115,1363.0,0.048,2237.0,0.0789,649.0,0.0229,2926.0,0.1031,1974.0,0.0696,43.0,0.0015,2043.0,0.072,1890.0,0.0666,121.0,0.0043,2076.0,0.0732,1481.0,0.0522,4.0,0.0001,1487.0,0.0524,5587.0,0.1969,259.0,0.0091,5889.0,0.2076,920.0,0.0324,49.0,0.0017,1044.0,0.0368,103.0,0.0036,142.0,0.005,336.0,0.0118,20924.0,0.7375,7497.0,0.2643,28370.0,1.0,28370.0
Berwick,100.0,0.0039,134.0,0.0053,284.0,0.0112,24.0,0.0009,28.0,0.0011,71.0,0.0028,25.0,0.001,64.0,0.0025,122.0,0.0048,31.0,0.0012,130.0,0.0051,209.0,0.0082,125.0,0.0049,432.0,0.017,641.0,0.0252,184.0,0.0072,343.0,0.0135,638.0,0.0251,684.0,0.0269,229.0,0.009,944.0,0.0372,728.0,0.0287,301.0,0.0118,1127.0,0.0444,1057.0,0.0416,332.0,0.0131,1473.0,0.058,1422.0,0.056,350.0,0.0138,1724.0,0.0678,1132.0,0.0445,225.0,0.0089,1415.0,0.0557,1311.0,0.0516,193.0,0.0076,1550.0,0.061,3151.0,0.124,245.0,0.0096,3458.0,0.1361,2649.0,0.1043,13.0,0.0005,2695.0,0.1061,2240.0,0.0882,33.0,0.0013,2300.0,0.0905,1402.0,0.0552,0.0,0.0,1422.0,0.056,3487.0,0.1372,36.0,0.0014,3567.0,0.1404,1154.0,0.0454,13.0,0.0005,1175.0,0.0462,130.0,0.0051,93.0,0.0037,290.0,0.0114,21396.0,0.842,4052.0,0.1595,25410.0,1.0,25410.0
