district,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot,Tot_Tot_total
Albert Park,199.0,609.0,937.0,24.0,100.0,168.0,28.0,325.0,395.0,46.0,680.0,748.0,131.0,1023.0,1207.0,155.0,837.0,1093.0,442.0,815.0,1250.0,440.0,1049.0,1508.0,660.0,1510.0,2218.0,846.0,1453.0,2226.0,632.0,1405.0,2103.0,816.0,1204.0,2042.0,2004.0,2727.0,4726.0,1575.0,245.0,1860.0,1570.0,847.0,2420.0,1215.0,118.0,1320.0,5835.0,1511.0,7309.0,852.0,300.0,1210.0,54.0,265.0,379.0,17958.0,17480.0,35474.0,35474.0
Ashwood,270.0,319.0,671.0,67.0,57.0,216.0,59.0,236.0,341.0,73.0,373.0,538.0,233.0,932.0,1258.0,242.0,553.0,918.0,742.0,411.0,1244.0,751.0,527.0,1275.0,1055.0,538.0,1641.0,1214.0,436.0,1660.0,948.0,403.0,1370.0,938.0,279.0,1252.0,2129.0,611.0,2834.0,1727.0,104.0,1861.0,1771.0,161.0,1978.0,1277.0,25.0,1353.0,6044.0,328.0,6437.0,1169.0,116.0,1374.0,115.0,126.0,309.0,21353.0,7340.0,28775.0,28775.0
Bass,181.0,164.0,411.0,72.0,58.0,164.0,42.0,178.0,238.0,63.0,512.0,618.0,378.0,1352.0,1823.0,321.0,923.0,1299.0,1293.0,564.0,1891.0,1137.0,662.0,1773.0,1323.0,575.0,1994.0,1502.0,408.0,1942.0,1088.0,325.0,1383.0,1235.0,223.0,1501.0,2404.0,254.0,2650.0,1705.0,8.0,1734.0,1180.0,22.0,1261.0,655.0,11.0,675.0,1356.0,79.0,1467.0,1115.0,45.0,1191.0,322.0,293.0,657.0,17663.0,7344.0,25014.0,25014.0
Bayswater,126.0,255.0,452.0,52.0,40.0,151.0,43.0,159.0,220.0,39.0,444.0,548.0,260.0,1118.0,1476.0,275.0,690.0,1022.0,1048.0,497.0,1637.0,978.0,642.0,1724.0,1275.0,721.0,2000.0,1540.0,506.0,2085.0,1250.0,449.0,1724.0,1247.0,367.0,1650.0,2878.0,517.0,3439.0,2250.0,31.0,2328.0,1777.0,59.0,1917.0,1123.0,0.0,1135.0,2096.0,64.0,2202.0,989.0,36.0,1090.0,138.0,183.0,391.0,19948.0,7476.0,27396.0,27396.0
Bellarine,181.0,243.0,494.0,70.0,30.0,166.0,42.0,150.0,262.0,24.0,375.0,468.0,324.0,1212.0,1628.0,364.0,999.0,1389.0,1345.0,625.0,1873.0,1179.0,573.0,1825.0,1451.0,676.0,2078.0,1566.0,370.0,2016.0,1044.0,389.0,1439.0,1051.0,236.0,1359.0,2421.0,444.0,2883.0,1886.0,19.0,1918.0,1525.0,52.0,1611.0,970.0,3.0,1005.0,2406.0,135.0,2576.0,1191.0,17.0,1232.0,200.0,203.0,519.0,19598.0,7408.0,26978.0,26978.0
Benambra,43.0,162.0,264.0,22.0,42.0,89.0,21.0,210.0,249.0,58.0,496.0,607.0,244.0,1383.0,1655.0,321.0,802.0,1217.0,1168.0,603.0,1727.0,986.0,714.0,1804.0,1265.0,754.0,2059.0,1529.0,527.0,2118.0,1064.0,353.0,1557.0,1228.0,239.0,1528.0,2691.0,309.0,3039.0,1839.0,19.0,1881.0,1201.0,45.0,1323.0,802.0,4.0,810.0,1441.0,48.0,1551.0,1171.0,17.0,1171.0,208.0,272.0,531.0,17756.0,7640.0,25400.0,25400.0
Bendigo East,58.0,205.0,339.0,14.0,30.0,106.0,25.0,162.0,244.0,43.0,465.0,534.0,282.0,1371.0,1664.0,341.0,922.0,1259.0,1159.0,572.0,1751.0,1155.0,685.0,1839.0,1336.0,777.0,2152.0,1552.0,497.0,2112.0,1176.0,438.0,1677.0,1247.0,289.0,1648.0,2718.0,442.0,3204.0,1921.0,54.0,2010.0,1533.0,32.0,1589.0,909.0,8.0,966.0,1856.0,76.0,1999.0,1011.0,76.0,1159.0,178.0,209.0,471.0,18897.0,8069.0,26985.0,26985.0
Bendigo West,71.0,192.0,291.0,37.0,74.0,135.0,34.0,240.0,313.0,63.0,631.0,737.0,270.0,1744.0,2036.0,391.0,1054.0,1445.0,1290.0,718.0,2024.0,1112.0,827.0,2033.0,1325.0,764.0,2082.0,1478.0,518.0,2050.0,1066.0,393.0,1478.0,1010.0,274.0,1329.0,2231.0,403.0,2691.0,1559.0,19.0,1612.0,1179.0,15.0,1218.0,622.0,0.0,631.0,1199.0,98.0,1354.0,970.0,59.0,1107.0,207.0,287.0,578.0,16455.0,8970.0,25431.0,25431.0
Bentleigh,253.0,235.0,524.0,32.0,47.0,142.0,89.0,178.0,306.0,36.0,394.0,500.0,193.0,1075.0,1368.0,235.0,607.0,926.0,791.0,489.0,1268.0,753.0,563.0,1411.0,985.0,561.0,1556.0,1132.0,460.0,1763.0,892.0,426.0,1312.0,945.0,327.0,1363.0,2237.0,649.0,2926.0,1974.0,43.0,2043.0,1890.0,121.0,2076.0,1481.0,4.0,1487.0,5587.0,259.0,5889.0,920.0,49.0,1044.0,103.0,142.0,336.0,20924.0,7497.0,28370.0,28370.0
Berwick,100.0,134.0,284.0,24.0,28.0,71.0,25.0,64.0,122.0,31.0,130.0,209.0,125.0,432.0,641.0,184.0,343.0,638.0,684.0,229.0,944.0,728.0,301.0,1127.0,1057.0,332.0,1473.0,1422.0,350.0,1724.0,1132.0,225.0,1415.0,1311.0,193.0,1550.0,3151.0,245.0,3458.0,2649.0,13.0,2695.0,2240.0,33.0,2300.0,1402.0,0.0,1422.0,3487.0,36.0,3567.0,1154.0,13.0,1175.0,130.0,93.0,290.0,21396.0,4052.0,25410.0,25410.0
Box Hill,436.0,619.0,1095.0,90.0,141.0,276.0,128.0,324.0,526.0,92.0,509.0,634.0,357.0,1190.0,1623.0,369.0,972.0,1371.0,942.0,697.0,1625.0,971.0,826.0,1829.0,1223.0,894.0,2079.0,1356.0,708.0,2140.0,1061.0,544.0,1630.0,1072.0,449.0,1573.0,2388.0,909.0,3293.0,1850.0,85.0,1992.0,1684.0,200.0,1923.0,1295.0,31.0,1356.0,4899.0,296.0,5179.0,1087.0,143.0,1316.0,92.0,185.0,402.0,21709.0,10492.0,32279.0,32279.0
Brighton,178.0,279.0,495.0,34.0,65.0,158.0,30.0,167.0,226.0,15.0,309.0,385.0,122.0,770.0,902.0,114.0,606.0,784.0,354.0,464.0,898.0,340.0,598.0,1061.0,527.0,726.0,1289.0,761.0,675.0,1379.0,599.0,621.0,1235.0,567.0,583.0,1227.0,1480.0,1049.0,2533.0,1261.0,60.0,1356.0,1305.0,294.0,1659.0,924.0,34.0,963.0,7181.0,755.0,7933.0,1024.0,77.0,1132.0,139.0,151.0,333.0,17345.0,8831.0,26133.0,26133.0
Broadmeadows,325.0,344.0,703.0,49.0,56.0,191.0,93.0,241.0,421.0,91.0,624.0,799.0,443.0,1491.0,1934.0,551.0,611.0,1184.0,1435.0,398.0,1919.0,1328.0,622.0,1927.0,1514.0,532.0,2077.0,1573.0,465.0,2058.0,1170.0,450.0,1627.0,1122.0,305.0,1548.0,2259.0,537.0,2863.0,1681.0,83.0,1824.0,1328.0,86.0,1468.0,835.0,40.0,904.0,1722.0,153.0,1980.0,987.0,97.0,1127.0,290.0,282.0,609.0,19187.0,8172.0,27312.0,27312.0
