district,Neg_Nil_inc_fam_households_pc,Neg_Nil_inc_Non_fam_househlds_pc,Negative_Nil_income_Tot_pc,HI_1_149_Family_households_pc,HI_1_149_Non_family_hseholds_pc,HI_1_149_Tot_pc,HI_150_299_Family_households_pc,HI_150_299_Non_fam_househlds_pc,HI_150_299_Tot_pc,HI_300_399_Family_households_pc,HI_300_399_Non_fam_househlds_pc,HI_300_399_Tot_pc,HI_400_499_Family_households_pc,HI_400_499_Non_fam_househlds_pc,HI_400_499_Tot_pc,HI_500_649_Family_households_pc,HI_500_649_Non_fam_househlds_pc,HI_500_649_Tot_pc,HI_650_799_Family_households_pc,HI_650_799_Non_fam_househlds_pc,HI_650_799_Tot_pc,HI_800_999_Fam_households_pc,HI_800_999_Non_fam_hsehlds_pc,HI_800_999_Tot_pc,HI_1000_1249_Fam_households_pc,HI_1000_1249_Non_fam_hsehlds_pc,HI_1000_1249_Tot_pc,HI_1250_1499_Fam_households_pc,HI_1250_1499_Non_fam_hsehlds_pc,HI_1250_1499_Tot_pc,HI_1500_1749_Fam_households_pc,HI_1500_1749_Non_fam_hsehlds_pc,HI_1500_1749_Tot_pc,HI_1750_1999_Fam_households_pc,HI_1750_1999_Non_fam_hsehlds_pc,HI_1750_1999_Tot_pc,HI_2000_2499_Fam_households_pc,HI_2000_2499_Non_fam_hsehlds_pc,HI_2000_2499_Tot_pc,HI_2500_2999_Fam_households_pc,HI_2500_2999_Non_fam_hsehlds_pc,HI_2500_2999_Tot_pc,HI_3000_3499_Fam_households_pc,HI_3000_3499_Non_fam_hsehlds_pc,HI_3000_3499_Tot_pc,HI_3500_3999_Fam_households_pc,HI_3500_3999_Non_fam_hsehlds_pc,HI_3500_3999_Tot_pc,HI_4000_more_Fam_households_pc,HI_4000_more_Non_fam_hsehlds_pc,HI_4000_more_Tot_pc,Part_inc_stated_Fam_household_pc,Part_inc_std_Non_fam_hhds_pc,Partial_income_stated_Tot_pc,All_incomes_ns_Famly_househld_pc,All_inc_ns_Non_famly_househld_pc,All_incomes_not_stated_Tot_pc,Tot_Family_households_pc,Tot_Non_family_households_pc,Tot_Tot_pc,Tot_Tot_total
Albert Park,0.0056,0.0172,0.0264,0.0007,0.0028,0.0047,0.0008,0.0092,0.0111,0.0013,0.0192,0.0211,0.0037,0.0288,0.034,0.0044,0.0236,0.0308,0.0125,0.023,0.0352,0.0124,0.0296,0.0425,0.0186,0.0426,0.0625,0.0238,0.041,0.0628,0.0178,0.0396,0.0593,0.023,0.0339,0.0576,0.0565,0.0769,0.1332,0.0444,0.0069,0.0524,0.0443,0.0239,0.0682,0.0343,0.0033,0.0372,0.1645,0.0426,0.206,0.024,0.0085,0.0341,0.0015,0.0075,0.0107,0.5062,0.4928,1.0,35474.0
Ashwood,0.0094,0.0111,0.0233,0.0023,0.002,0.0075,0.0021,0.0082,0.0119,0.0025,0.013,0.0187,0.0081,0.0324,0.0437,0.0084,0.0192,0.0319,0.0258,0.0143,0.0432,0.0261,0.0183,0.0443,0.0367,0.0187,0.057,0.0422,0.0152,0.0577,0.0329,0.014,0.0476,0.0326,0.0097,0.0435,0.074,0.0212,0.0985,0.06,0.0036,0.0647,0.0615,0.0056,0.0687,0.0444,0.0009,0.047,0.21,0.0114,0.2237,0.0406,0.004,0.0477,0.004,0.0044,0.0107,0.7421,0.2551,1.0,28775.0
Bass,0.0072,0.0066,0.0164,0.0029,0.0023,0.0066,0.0017,0.0071,0.0095,0.0025,0.0205,0.0247,0.0151,0.054,0.0729,0.0128,0.0369,0.0519,0.0517,0.0225,0.0756,0.0455,0.0265,0.0709,0.0529,0.023,0.0797,0.06,0.0163,0.0776,0.0435,0.013,0.0553,0.0494,0.0089,0.06,0.0961,0.0102,0.1059,0.0682,0.0003,0.0693,0.0472,0.0009,0.0504,0.0262,0.0004,0.027,0.0542,0.0032,0.0586,0.0446,0.0018,0.0476,0.0129,0.0117,0.0263,0.7061,0.2936,1.0,25014.0
Bayswater,0.0046,0.0093,0.0165,0.0019,0.0015,0.0055,0.0016,0.0058,0.008,0.0014,0.0162,0.02,0.0095,0.0408,0.0539,0.01,0.0252,0.0373,0.0383,0.0181,0.0598,0.0357,0.0234,0.0629,0.0465,0.0263,0.073,0.0562,0.0185,0.0761,0.0456,0.0164,0.0629,0.0455,0.0134,0.0602,0.1051,0.0189,0.1255,0.0821,0.0011,0.085,0.0649,0.0022,0.07,0.041,0.0,0.0414,0.0765,0.0023,0.0804,0.0361,0.0013,0.0398,0.005,0.0067,0.0143,0.7281,0.2729,1.0,27396.0
Bellarine,0.0067,0.009,0.0183,0.0026,0.0011,0.0062,0.0016,0.0056,0.0097,0.0009,0.0139,0.0173,0.012,0.0449,0.0603,0.0135,0.037,0.0515,0.0499,0.0232,0.0694,0.0437,0.0212,0.0676,0.0538,0.0251,0.077,0.058,0.0137,0.0747,0.0387,0.0144,0.0533,0.039,0.0087,0.0504,0.0897,0.0165,0.1069,0.0699,0.0007,0.0711,0.0565,0.0019,0.0597,0.036,0.0001,0.0373,0.0892,0.005,0.0955,0.0441,0.0006,0.0457,0.0074,0.0075,0.0192,0.7264,0.2746,1.0,26978.0
Benambra,0.0017,0.0064,0.0104,0.0009,0.0017,0.0035,0.0008,0.0083,0.0098,0.0023,0.0195,0.0239,0.0096,0.0544,0.0652,0.0126,0.0316,0.0479,0.046,0.0237,0.068,0.0388,0.0281,0.071,0.0498,0.0297,0.0811,0.0602,0.0207,0.0834,0.0419,0.0139,0.0613,0.0483,0.0094,0.0602,0.1059,0.0122,0.1196,0.0724,0.0007,0.0741,0.0473,0.0018,0.0521,0.0316,0.0002,0.0319,0.0567,0.0019,0.0611,0.0461,0.0007,0.0461,0.0082,0.0107,0.0209,0.6991,0.3008,1.0,25400.0
Bendigo East,0.0021,0.0076,0.0126,0.0005,0.0011,0.0039,0.0009,0.006,0.009,0.0016,0.0172,0.0198,0.0105,0.0508,0.0617,0.0126,0.0342,0.0467,0.0429,0.0212,0.0649,0.0428,0.0254,0.0681,0.0495,0.0288,0.0797,0.0575,0.0184,0.0783,0.0436,0.0162,0.0621,0.0462,0.0107,0.0611,0.1007,0.0164,0.1187,0.0712,0.002,0.0745,0.0568,0.0012,0.0589,0.0337,0.0003,0.0358,0.0688,0.0028,0.0741,0.0375,0.0028,0.0429,0.0066,0.0077,0.0175,0.7003,0.299,1.0,26985.0
Bendigo West,0.0028,0.0075,0.0114,0.0015,0.0029,0.0053,0.0013,0.0094,0.0123,0.0025,0.0248,0.029,0.0106,0.0686,0.0801,0.0154,0.0414,0.0568,0.0507,0.0282,0.0796,0.0437,0.0325,0.0799,0.0521,0.03,0.0819,0.0581,0.0204,0.0806,0.0419,0.0155,0.0581,0.0397,0.0108,0.0523,0.0877,0.0158,0.1058,0.0613,0.0007,0.0634,0.0464,0.0006,0.0479,0.0245,0.0,0.0248,0.0471,0.0039,0.0532,0.0381,0.0023,0.0435,0.0081,0.0113,0.0227,0.647,0.3527,1.0,25431.0
Bentleigh,0.0089,0.0083,0.0185,0.0011,0.0017,0.005,0.0031,0.0063,0.0108,0.0013,0.0139,0.0176,0.0068,0.0379,0.0482,0.0083,0.0214,0.0326,0.0279,0.0172,0.0447,0.0265,0.0198,0.0497,0.0347,0.0198,0.0548,0.0399,0.0162,0.0621,0.0314,0.015,0.0462,0.0333,0.0115,0.048,0.0789,0.0229,0.1031,0.0696,0.0015,0.072,0.0666,0.0043,0.0732,0.0522,0.0001,0.0524,0.1969,0.0091,0.2076,0.0324,0.0017,0.0368,0.0036,0.005,0.0118,0.7375,0.2643,1.0,28370.0
Berwick,0.0039,0.0053,0.0112,0.0009,0.0011,0.0028,0.001,0.0025,0.0048,0.0012,0.0051,0.0082,0.0049,0.017,0.0252,0.0072,0.0135,0.0251,0.0269,0.009,0.0372,0.0287,0.0118,0.0444,0.0416,0.0131,0.058,0.056,0.0138,0.0678,0.0445,0.0089,0.0557,0.0516,0.0076,0.061,0.124,0.0096,0.1361,0.1043,0.0005,0.1061,0.0882,0.0013,0.0905,0.0552,0.0,0.056,0.1372,0.0014,0.1404,0.0454,0.0005,0.0462,0.0051,0.0037,0.0114,0.842,0.1595,1.0,25410.0
