district,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_0_MVs_pc,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_1_MVs_pc,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_2_MVs_pc,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_3_MVs_pc,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_4mo_MVs_pc,Num_MVs_per_dweling_Tot,Num_MVs_per_dweling_Tot_pc,Num_MVs_NS,Num_MVs_NS_pc,Total_dwelings,Total_dwelings_pc,Total_dwelings_total
Albert Park,8555.0,0.2412,18304.0,0.516,6671.0,0.1881,999.0,0.0282,349.0,0.0098,34982.0,0.9861,428.0,0.0121,35474.0,1.0,35474.0
Ashwood,1601.0,0.0556,10394.0,0.3612,11734.0,0.4078,3198.0,0.1111,1447.0,0.0503,28371.0,0.986,245.0,0.0085,28775.0,1.0,28775.0
Bass,799.0,0.0319,7928.0,0.3169,9973.0,0.3987,3548.0,0.1418,2222.0,0.0888,24541.0,0.9811,345.0,0.0138,25014.0,1.0,25014.0
Bayswater,1204.0,0.0439,9442.0,0.3446,11349.0,0.4143,3376.0,0.1232,1626.0,0.0594,27069.0,0.9881,241.0,0.0088,27396.0,1.0,27396.0
Bellarine,630.0,0.0234,8995.0,0.3334,11674.0,0.4327,3491.0,0.1294,1836.0,0.0681,26687.0,0.9892,274.0,0.0102,26978.0,1.0,26978.0
Benambra,1003.0,0.0395,7948.0,0.3129,10067.0,0.3963,3660.0,0.1441,2184.0,0.086,24865.0,0.9789,527.0,0.0207,25400.0,1.0,25400.0
Bendigo East,1132.0,0.0419,8770.0,0.325,10689.0,0.3961,3792.0,0.1405,2279.0,0.0845,26646.0,0.9874,226.0,0.0084,26985.0,1.0,26985.0
Bendigo West,1426.0,0.0561,9315.0,0.3663,9055.0,0.3561,3259.0,0.1282,1970.0,0.0775,25083.0,0.9863,342.0,0.0134,25431.0,1.0,25431.0
Bentleigh,1769.0,0.0624,10955.0,0.3861,11543.0,0.4069,2717.0,0.0958,1192.0,0.042,28067.0,0.9893,206.0,0.0073,28370.0,1.0,28370.0
Berwick,464.0,0.0183,6370.0,0.2507,11971.0,0.4711,3950.0,0.1555,2202.0,0.0867,25197.0,0.9916,206.0,0.0081,25410.0,1.0,25410.0
Box Hill,3353.0,0.1039,13502.0,0.4183,11154.0,0.3455,2715.0,0.0841,1309.0,0.0406,31884.0,0.9878,331.0,0.0103,32279.0,1.0,32279.0
Brighton,1726.0,0.066,10973.0,0.4199,9651.0,0.3693,2428.0,0.0929,1166.0,0.0446,25879.0,0.9903,199.0,0.0076,26133.0,1.0,26133.0
Broadmeadows,2741.0,0.1004,11346.0,0.4154,8707.0,0.3188,2562.0,0.0938,1423.0,0.0521,26810.0,0.9816,493.0,0.0181,27312.0,1.0,27312.0
