district,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings,Total_dwelings_total
Albert Park,8555.0,18304.0,6671.0,999.0,349.0,34982.0,428.0,35474.0,35474.0
Ashwood,1601.0,10394.0,11734.0,3198.0,1447.0,28371.0,245.0,28775.0,28775.0
Bass,799.0,7928.0,9973.0,3548.0,2222.0,24541.0,345.0,25014.0,25014.0
Bayswater,1204.0,9442.0,11349.0,3376.0,1626.0,27069.0,241.0,27396.0,27396.0
Bellarine,630.0,8995.0,11674.0,3491.0,1836.0,26687.0,274.0,26978.0,26978.0
Benambra,1003.0,7948.0,10067.0,3660.0,2184.0,24865.0,527.0,25400.0,25400.0
Bendigo East,1132.0,8770.0,10689.0,3792.0,2279.0,26646.0,226.0,26985.0,26985.0
Bendigo West,1426.0,9315.0,9055.0,3259.0,1970.0,25083.0,342.0,25431.0,25431.0
Bentleigh,1769.0,10955.0,11543.0,2717.0,1192.0,28067.0,206.0,28370.0,28370.0
Berwick,464.0,6370.0,11971.0,3950.0,2202.0,25197.0,206.0,25410.0,25410.0
Box Hill,3353.0,13502.0,11154.0,2715.0,1309.0,31884.0,331.0,32279.0,32279.0
Brighton,1726.0,10973.0,9651.0,2428.0,1166.0,25879.0,199.0,26133.0,26133.0
Broadmeadows,2741.0,11346.0,8707.0,2562.0,1423.0,26810.0,493.0,27312.0,27312.0
Brunswick,5709.0,15700.0,6459.0,1389.0,540.0,29830.0,278.0,30195.0,30195.0
Bulleen,1382.0,9637.0,11152.0,3207.0,1652.0,27155.0,220.0,27380.0,27380.0
Bundoora,1553.0,9016.0,10114.0,2974.0,1592.0,25215.0,276.0,25517.0,25517.0
Carrum,1212.0,9287.0,11572.0,3394.0,1590.0,27099.0,305.0,27429.0,27429.0
Caulfield,3363.0,13559.0,9294.0,1827.0,839.0,28891.0,296.0,29317.0,29317.0
