district,Num_MVs_per_dweling_0_MVs_pc,Num_MVs_per_dweling_1_MVs_pc,Num_MVs_per_dweling_2_MVs_pc,Num_MVs_per_dweling_3_MVs_pc,Num_MVs_per_dweling_4mo_MVs_pc,Num_MVs_per_dweling_Tot_pc,Num_MVs_NS_pc,Total_dwelings_pc,Total_dwelings_total
Albert Park,0.2412,0.516,0.1881,0.0282,0.0098,0.9861,0.0121,1.0,35474.0
Ashwood,0.0556,0.3612,0.4078,0.1111,0.0503,0.986,0.0085,1.0,28775.0
Bass,0.0319,0.3169,0.3987,0.1418,0.0888,0.9811,0.0138,1.0,25014.0
Bayswater,0.0439,0.3446,0.4143,0.1232,0.0594,0.9881,0.0088,1.0,27396.0
Bellarine,0.0234,0.3334,0.4327,0.1294,0.0681,0.9892,0.0102,1.0,26978.0
Benambra,0.0395,0.3129,0.3963,0.1441,0.086,0.9789,0.0207,1.0,25400.0
Bendigo East,0.0419,0.325,0.3961,0.1405,0.0845,0.9874,0.0084,1.0,26985.0
Bendigo West,0.0561,0.3663,0.3561,0.1282,0.0775,0.9863,0.0134,1.0,25431.0
Bentleigh,0.0624,0.3861,0.4069,0.0958,0.042,0.9893,0.0073,1.0,28370.0
Berwick,0.0183,0.2507,0.4711,0.1555,0.0867,0.9916,0.0081,1.0,25410.0
Box Hill,0.1039,0.4183,0.3455,0.0841,0.0406,0.9878,0.0103,1.0,32279.0
Brighton,0.066,0.4199,0.3693,0.0929,0.0446,0.9903,0.0076,1.0,26133.0
Broadmeadows,0.1004,0.4154,0.3188,0.0938,0.0521,0.9816,0.0181,1.0,27312.0
Brunswick,0.1891,0.52,0.2139,0.046,0.0179,0.9879,0.0092,1.0,30195.0
Bulleen,0.0505,0.352,0.4073,0.1171,0.0603,0.9918,0.008,1.0,27380.0
Bundoora,0.0609,0.3533,0.3964,0.1165,0.0624,0.9882,0.0108,1.0,25517.0
Carrum,0.0442,0.3386,0.4219,0.1237,0.058,0.988,0.0111,1.0,27429.0
Caulfield,0.1147,0.4625,0.317,0.0623,0.0286,0.9855,0.0101,1.0,29317.0
Clarinda,0.0574,0.3408,0.3901,0.1305,0.0635,0.9844,0.0133,1.0,25372.0
Cranbourne,0.0292,0.2971,0.4492,0.1408,0.0656,0.9852,0.0116,1.0,27260.0
Croydon,0.0425,0.3528,0.4096,0.1151,0.0674,0.9923,0.0085,1.0,28355.0
Dandenong,0.092,0.3846,0.327,0.1124,0.0607,0.9765,0.02,1.0,29731.0
Eildon,0.0247,0.2776,0.3788,0.1705,0.1306,0.9848,0.0131,1.0,24502.0
Eltham,0.0213,0.2601,0.4509,0.1559,0.1044,0.9939,0.0053,1.0,23126.0
Essendon,0.1238,0.4529,0.2988,0.0746,0.0375,0.988,0.0123,1.0,28589.0
Eureka,0.0376,0.3124,0.3798,0.1525,0.1033,0.9873,0.0114,1.0,27658.0
Euroa,0.0401,0.3065,0.3606,0.1588,0.1111,0.9781,0.0215,1.0,26067.0
Evelyn,0.0254,0.2536,0.4247,0.1655,0.118,0.9891,0.0056,1.0,24141.0
Footscray,0.1238,0.4915,0.2831,0.0619,0.0232,0.9859,0.0121,1.0,29149.0
Frankston,0.0787,0.3917,0.3638,0.1014,0.0474,0.9856,0.0153,1.0,27190.0
Geelong,0.0726,0.3916,0.3629,0.101,0.0576,0.9872,0.011,1.0,29086.0
Gippsland East,0.038,0.3234,0.3798,0.1475,0.0864,0.9805,0.0193,1.0,25531.0
Gippsland South,0.0388,0.3179,0.375,0.1522,0.1002,0.9831,0.0169,1.0,25560.0
