district,Num_MVs_NS,Num_MVs_NS_pc,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_0_MVs_pc,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_1_MVs_pc,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_2_MVs_pc,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_3_MVs_pc,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_4mo_MVs_pc,Num_MVs_per_dweling_Tot,Num_MVs_per_dweling_Tot_pc,Total_dwelings,Total_dwelings_pc,Total_dwelings_total
Albert Park,69.0,50.0,86.0,86.0,86.0,85.0,5.0,3.0,3.0,3.0,4.0,3.0,86.0,40.0,86.0,1.0,86.0
Ashwood,27.0,18.0,57.0,52.0,61.0,57.0,83.0,60.0,36.0,27.0,26.0,25.0,73.0,39.0,73.0,2.0,73.0
Bass,52.0,61.0,21.0,21.0,23.0,28.0,43.0,52.0,56.0,60.0,63.0,64.0,17.0,13.0,18.0,3.0,18.0
Bayswater,26.0,21.0,39.0,39.0,54.0,47.0,74.0,67.0,47.0,41.0,37.0,34.0,57.0,59.0,58.0,4.0,58.0
Bellarine,33.0,31.0,9.0,6.0,45.0,40.0,82.0,78.0,52.0,49.0,47.0,44.0,51.0,70.0,50.0,5.0,50.0
Benambra,81.0,82.0,32.0,33.0,24.0,27.0,47.0,49.0,61.0,61.0,60.0,59.0,22.0,9.0,25.0,6.0,25.0
Bendigo East,19.0,17.0,38.0,37.0,39.0,33.0,61.0,48.0,65.0,56.0,65.0,58.0,50.0,49.0,51.0,7.0,51.0
Bendigo West,51.0,58.0,50.0,53.0,50.0,60.0,15.0,21.0,39.0,47.0,54.0,55.0,27.0,41.0,27.0,8.0,27.0
Bentleigh,13.0,10.0,60.0,58.0,66.0,64.0,76.0,58.0,21.0,20.0,18.0,17.0,69.0,71.0,70.0,9.0,70.0
Berwick,14.0,15.0,2.0,2.0,9.0,3.0,84.0,88.0,75.0,75.0,61.0,61.0,30.0,82.0,26.0,10.0,26.0
Box Hill,47.0,34.0,77.0,76.0,79.0,74.0,72.0,18.0,20.0,15.0,21.0,14.0,84.0,53.0,84.0,11.0,84.0
