district,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_FamHhold_pc,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_NonFamHhold_pc,Num_Psns_UR_1_Total,Num_Psns_UR_1_Total_pc,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_FamHhold_pc,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_NonFamHhold_pc,Num_Psns_UR_2_Total,Num_Psns_UR_2_Total_pc,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_FamHhold_pc,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_NonFamHhold_pc,Num_Psns_UR_3_Total,Num_Psns_UR_3_Total_pc,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_FamHhold_pc,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_NonFamHhold_pc,Num_Psns_UR_4_Total,Num_Psns_UR_4_Total_pc,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_FamHhold_pc,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_NonFamHhold_pc,Num_Psns_UR_5_Total,Num_Psns_UR_5_Total_pc,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_FamHhold_pc,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_NonFamHhold_pc,Num_Psns_UR_6mo_Total,Num_Psns_UR_6mo_Total_pc,Total_FamHhold,Total_FamHhold_pc,Total_NonFamHhold,Total_NonFamHhold_pc,Total_Total,Total_Total_pc,Total_Total_total
Albert Park,Null,Null,14898.0,0.42,14898.0,0.42,11229.0,0.3165,2005.0,0.0565,13215.0,0.3725,3480.0,0.0981,442.0,0.0125,3975.0,0.1121,2496.0,0.0704,99.0,0.0028,2606.0,0.0735,626.0,0.0176,3.0,0.0001,652.0,0.0184,95.0,0.0027,3.0,0.0001,88.0,0.0025,17958.0,0.5062,17480.0,0.4928,35474.0,1.0,35474.0
Ashwood,Null,Null,6036.0,0.2098,6036.0,0.2098,8071.0,0.2805,539.0,0.0187,8648.0,0.3005,4941.0,0.1717,311.0,0.0108,5319.0,0.1848,5822.0,0.2023,192.0,0.0067,6085.0,0.2115,1844.0,0.0641,33.0,0.0011,1908.0,0.0663,573.0,0.0199,7.0,0.0002,631.0,0.0219,21353.0,0.7421,7340.0,0.2551,28775.0,1.0,28775.0
Bass,Null,Null,6715.0,0.2684,6715.0,0.2684,8920.0,0.3566,503.0,0.0201,9389.0,0.3753,3339.0,0.1335,35.0,0.0014,3399.0,0.1359,3267.0,0.1306,3.0,0.0001,3289.0,0.1315,1473.0,0.0589,0.0,0.0,1477.0,0.059,598.0,0.0239,0.0,0.0,599.0,0.0239,17663.0,0.7061,7344.0,0.2936,25014.0,1.0,25014.0
Bayswater,Null,Null,6637.0,0.2423,6637.0,0.2423,8395.0,0.3064,622.0,0.0227,9098.0,0.3321,4806.0,0.1754,71.0,0.0026,4927.0,0.1798,4445.0,0.1622,20.0,0.0007,4500.0,0.1643,1558.0,0.0569,8.0,0.0003,1583.0,0.0578,640.0,0.0234,0.0,0.0,648.0,0.0237,19948.0,0.7281,7476.0,0.2729,27396.0,1.0,27396.0
Bellarine,Null,Null,6788.0,0.2516,6788.0,0.2516,10408.0,0.3858,413.0,0.0153,10861.0,0.4026,3520.0,0.1305,20.0,0.0007,3565.0,0.1321,3733.0,0.1384,4.0,0.0001,3751.0,0.139,1523.0,0.0565,0.0,0.0,1533.0,0.0568,382.0,0.0142,0.0,0.0,391.0,0.0145,19598.0,0.7264,7408.0,0.2746,26978.0,1.0,26978.0
Benambra,Null,Null,7014.0,0.2761,7014.0,0.2761,8787.0,0.3459,461.0,0.0181,9278.0,0.3653,3502.0,0.1379,44.0,0.0017,3587.0,0.1412,3387.0,0.1333,3.0,0.0001,3398.0,0.1338,1474.0,0.058,0.0,0.0,1465.0,0.0577,607.0,0.0239,0.0,0.0,607.0,0.0239,17756.0,0.6991,7640.0,0.3008,25400.0,1.0,25400.0
Bendigo East,Null,Null,7217.0,0.2674,7217.0,0.2674,8736.0,0.3237,621.0,0.023,9421.0,0.3491,3829.0,0.1419,114.0,0.0042,3999.0,0.1482,3794.0,0.1406,23.0,0.0009,3826.0,0.1418,1704.0,0.0631,0.0,0.0,1720.0,0.0637,738.0,0.0273,0.0,0.0,757.0,0.0281,18897.0,0.7003,8069.0,0.299,26985.0,1.0,26985.0
Bendigo West,Null,Null,8100.0,0.3185,8100.0,0.3185,8309.0,0.3267,639.0,0.0251,9018.0,0.3546,3477.0,0.1367,72.0,0.0028,3584.0,0.1409,2972.0,0.1169,3.0,0.0001,2986.0,0.1174,1157.0,0.0455,0.0,0.0,1175.0,0.0462,551.0,0.0217,0.0,0.0,558.0,0.0219,16455.0,0.647,8970.0,0.3527,25431.0,1.0,25431.0
Bentleigh,Null,Null,6698.0,0.2361,6698.0,0.2361,8034.0,0.2832,511.0,0.018,8562.0,0.3018,4951.0,0.1745,64.0,0.0023,5109.0,0.1801,5795.0,0.2043,26.0,0.0009,5874.0,0.207,1774.0,0.0625,9.0,0.0003,1779.0,0.0627,388.0,0.0137,0.0,0.0,400.0,0.0141,20924.0,0.7375,7497.0,0.2643,28370.0,1.0,28370.0
Berwick,Null,Null,3589.0,0.1412,3589.0,0.1412,6379.0,0.251,286.0,0.0113,6697.0,0.2636,4817.0,0.1896,31.0,0.0012,4885.0,0.1922,6451.0,0.2539,3.0,0.0001,6480.0,0.255,2617.0,0.103,0.0,0.0,2640.0,0.1039,1208.0,0.0475,0.0,0.0,1216.0,0.0479,21396.0,0.842,4052.0,0.1595,25410.0,1.0,25410.0
