district,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total,Total_Total_total
Albert Park,Null,14898.0,14898.0,11229.0,2005.0,13215.0,3480.0,442.0,3975.0,2496.0,99.0,2606.0,626.0,3.0,652.0,95.0,3.0,88.0,17958.0,17480.0,35474.0,35474.0
Ashwood,Null,6036.0,6036.0,8071.0,539.0,8648.0,4941.0,311.0,5319.0,5822.0,192.0,6085.0,1844.0,33.0,1908.0,573.0,7.0,631.0,21353.0,7340.0,28775.0,28775.0
Bass,Null,6715.0,6715.0,8920.0,503.0,9389.0,3339.0,35.0,3399.0,3267.0,3.0,3289.0,1473.0,0.0,1477.0,598.0,0.0,599.0,17663.0,7344.0,25014.0,25014.0
Bayswater,Null,6637.0,6637.0,8395.0,622.0,9098.0,4806.0,71.0,4927.0,4445.0,20.0,4500.0,1558.0,8.0,1583.0,640.0,0.0,648.0,19948.0,7476.0,27396.0,27396.0
Bellarine,Null,6788.0,6788.0,10408.0,413.0,10861.0,3520.0,20.0,3565.0,3733.0,4.0,3751.0,1523.0,0.0,1533.0,382.0,0.0,391.0,19598.0,7408.0,26978.0,26978.0
Benambra,Null,7014.0,7014.0,8787.0,461.0,9278.0,3502.0,44.0,3587.0,3387.0,3.0,3398.0,1474.0,0.0,1465.0,607.0,0.0,607.0,17756.0,7640.0,25400.0,25400.0
Bendigo East,Null,7217.0,7217.0,8736.0,621.0,9421.0,3829.0,114.0,3999.0,3794.0,23.0,3826.0,1704.0,0.0,1720.0,738.0,0.0,757.0,18897.0,8069.0,26985.0,26985.0
Bendigo West,Null,8100.0,8100.0,8309.0,639.0,9018.0,3477.0,72.0,3584.0,2972.0,3.0,2986.0,1157.0,0.0,1175.0,551.0,0.0,558.0,16455.0,8970.0,25431.0,25431.0
Bentleigh,Null,6698.0,6698.0,8034.0,511.0,8562.0,4951.0,64.0,5109.0,5795.0,26.0,5874.0,1774.0,9.0,1779.0,388.0,0.0,400.0,20924.0,7497.0,28370.0,28370.0
Berwick,Null,3589.0,3589.0,6379.0,286.0,6697.0,4817.0,31.0,4885.0,6451.0,3.0,6480.0,2617.0,0.0,2640.0,1208.0,0.0,1216.0,21396.0,4052.0,25410.0,25410.0
Box Hill,Null,8670.0,8670.0,9176.0,1083.0,10294.0,5019.0,351.0,5455.0,5189.0,192.0,5462.0,1766.0,34.0,1797.0,528.0,25.0,608.0,21709.0,10492.0,32279.0,32279.0
Brighton,Null,7959.0,7959.0,7881.0,617.0,8508.0,3661.0,99.0,3764.0,4124.0,21.0,4151.0,1438.0,5.0,1458.0,239.0,0.0,245.0,17345.0,8831.0,26133.0,26133.0
Broadmeadows,Null,6932.0,6932.0,7226.0,610.0,7900.0,4292.0,218.0,4544.0,4078.0,130.0,4193.0,2074.0,43.0,2183.0,1555.0,7.0,1570.0,19187.0,8172.0,27312.0,27312.0
Brunswick,Null,10348.0,10348.0,8938.0,1858.0,10780.0,3310.0,1296.0,4547.0,2818.0,596.0,3387.0,710.0,110.0,834.0,106.0,6.0,141.0,15838.0,14273.0,30195.0,30195.0
Bulleen,Null,5911.0,5911.0,8865.0,381.0,9237.0,4933.0,78.0,5058.0,4752.0,30.0,4830.0,1676.0,10.0,1720.0,636.0,0.0,669.0,20858.0,6535.0,27380.0,27380.0
Bundoora,Null,5932.0,5932.0,7699.0,551.0,8285.0,4199.0,220.0,4461.0,4553.0,113.0,4661.0,1477.0,41.0,1575.0,577.0,3.0,628.0,18537.0,6998.0,25517.0,25517.0
Carrum,Null,6726.0,6726.0,7871.0,568.0,8423.0,4825.0,72.0,4932.0,4844.0,0.0,4870.0,1722.0,0.0,1736.0,646.0,0.0,645.0,19955.0,7462.0,27429.0,27429.0
Caulfield,Null,9519.0,9519.0,8688.0,1304.0,9946.0,3648.0,348.0,4048.0,3482.0,107.0,3634.0,1317.0,20.0,1370.0,560.0,8.0,599.0,17698.0,11449.0,29317.0,29317.0
Clarinda,Null,5243.0,5243.0,6979.0,495.0,7499.0,4644.0,157.0,4864.0,4612.0,91.0,4719.0,1912.0,27.0,1973.0,1024.0,7.0,1057.0,19176.0,6229.0,25372.0,25372.0
Cranbourne,Null,4557.0,4557.0,6648.0,479.0,7130.0,5100.0,77.0,5218.0,5884.0,15.0,5930.0,2556.0,0.0,2585.0,1707.0,0.0,1722.0,21960.0,5252.0,27260.0,27260.0
Croydon,Null,7339.0,7339.0,8787.0,527.0,9289.0,4583.0,56.0,4689.0,4582.0,3.0,4627.0,1649.0,5.0,1668.0,667.0,0.0,676.0,20294.0,8023.0,28355.0,28355.0
Dandenong,Null,7263.0,7263.0,7409.0,868.0,8278.0,4956.0,393.0,5453.0,4308.0,161.0,4528.0,2205.0,58.0,2294.0,1889.0,12.0,1949.0,20774.0,8954.0,29731.0,29731.0
Eildon,Null,6330.0,6330.0,8644.0,450.0,9117.0,3317.0,25.0,3367.0,3375.0,7.0,3381.0,1543.0,0.0,1541.0,659.0,6.0,666.0,17503.0,6941.0,24502.0,24502.0
Eltham,Null,4105.0,4105.0,7292.0,160.0,7506.0,4090.0,3.0,4109.0,5022.0,0.0,5040.0,1836.0,0.0,1839.0,482.0,0.0,490.0,18801.0,4350.0,23126.0,23126.0
Essendon,Null,9393.0,9393.0,8119.0,957.0,9100.0,3820.0,288.0,4172.0,3980.0,82.0,4109.0,1432.0,7.0,1466.0,358.0,0.0,378.0,17758.0,10863.0,28589.0,28589.0
Eureka,Null,7085.0,7085.0,8897.0,566.0,9516.0,4034.0,94.0,4152.0,4155.0,28.0,4199.0,1867.0,8.0,1909.0,688.0,0.0,692.0,19785.0,7927.0,27658.0,27658.0
Euroa,Null,7859.0,7859.0,9500.0,555.0,10001.0,3298.0,36.0,3316.0,2826.0,0.0,2841.0,1308.0,0.0,1316.0,573.0,5.0,586.0,17523.0,8549.0,26067.0,26067.0
Evelyn,Null,4623.0,4623.0,7592.0,325.0,7904.0,4086.0,16.0,4141.0,4697.0,3.0,4715.0,1901.0,0.0,1908.0,820.0,3.0,827.0,19072.0,5024.0,24141.0,24141.0
