district,Num_Psns_UR_1_FamHhold_pc,Num_Psns_UR_1_NonFamHhold_pc,Num_Psns_UR_1_Total_pc,Num_Psns_UR_2_FamHhold_pc,Num_Psns_UR_2_NonFamHhold_pc,Num_Psns_UR_2_Total_pc,Num_Psns_UR_3_FamHhold_pc,Num_Psns_UR_3_NonFamHhold_pc,Num_Psns_UR_3_Total_pc,Num_Psns_UR_4_FamHhold_pc,Num_Psns_UR_4_NonFamHhold_pc,Num_Psns_UR_4_Total_pc,Num_Psns_UR_5_FamHhold_pc,Num_Psns_UR_5_NonFamHhold_pc,Num_Psns_UR_5_Total_pc,Num_Psns_UR_6mo_FamHhold_pc,Num_Psns_UR_6mo_NonFamHhold_pc,Num_Psns_UR_6mo_Total_pc,Total_FamHhold_pc,Total_NonFamHhold_pc,Total_Total_pc
Albert Park,Null,0.42,0.42,0.3165,0.0565,0.3725,0.0981,0.0125,0.1121,0.0704,0.0028,0.0735,0.0176,0.0001,0.0184,0.0027,0.0001,0.0025,0.5062,0.4928,1.0
Ashwood,Null,0.2098,0.2098,0.2805,0.0187,0.3005,0.1717,0.0108,0.1848,0.2023,0.0067,0.2115,0.0641,0.0011,0.0663,0.0199,0.0002,0.0219,0.7421,0.2551,1.0
Bass,Null,0.2684,0.2684,0.3566,0.0201,0.3753,0.1335,0.0014,0.1359,0.1306,0.0001,0.1315,0.0589,0.0,0.059,0.0239,0.0,0.0239,0.7061,0.2936,1.0
Bayswater,Null,0.2423,0.2423,0.3064,0.0227,0.3321,0.1754,0.0026,0.1798,0.1622,0.0007,0.1643,0.0569,0.0003,0.0578,0.0234,0.0,0.0237,0.7281,0.2729,1.0
Bellarine,Null,0.2516,0.2516,0.3858,0.0153,0.4026,0.1305,0.0007,0.1321,0.1384,0.0001,0.139,0.0565,0.0,0.0568,0.0142,0.0,0.0145,0.7264,0.2746,1.0
Benambra,Null,0.2761,0.2761,0.3459,0.0181,0.3653,0.1379,0.0017,0.1412,0.1333,0.0001,0.1338,0.058,0.0,0.0577,0.0239,0.0,0.0239,0.6991,0.3008,1.0
Bendigo East,Null,0.2674,0.2674,0.3237,0.023,0.3491,0.1419,0.0042,0.1482,0.1406,0.0009,0.1418,0.0631,0.0,0.0637,0.0273,0.0,0.0281,0.7003,0.299,1.0
Bendigo West,Null,0.3185,0.3185,0.3267,0.0251,0.3546,0.1367,0.0028,0.1409,0.1169,0.0001,0.1174,0.0455,0.0,0.0462,0.0217,0.0,0.0219,0.647,0.3527,1.0
Bentleigh,Null,0.2361,0.2361,0.2832,0.018,0.3018,0.1745,0.0023,0.1801,0.2043,0.0009,0.207,0.0625,0.0003,0.0627,0.0137,0.0,0.0141,0.7375,0.2643,1.0
Berwick,Null,0.1412,0.1412,0.251,0.0113,0.2636,0.1896,0.0012,0.1922,0.2539,0.0001,0.255,0.103,0.0,0.1039,0.0475,0.0,0.0479,0.842,0.1595,1.0
Box Hill,Null,0.2686,0.2686,0.2843,0.0336,0.3189,0.1555,0.0109,0.169,0.1608,0.0059,0.1692,0.0547,0.0011,0.0557,0.0164,0.0008,0.0188,0.6725,0.325,1.0
Brighton,Null,0.3046,0.3046,0.3016,0.0236,0.3256,0.1401,0.0038,0.144,0.1578,0.0008,0.1588,0.055,0.0002,0.0558,0.0091,0.0,0.0094,0.6637,0.3379,1.0
Broadmeadows,Null,0.2538,0.2538,0.2646,0.0223,0.2893,0.1571,0.008,0.1664,0.1493,0.0048,0.1535,0.0759,0.0016,0.0799,0.0569,0.0003,0.0575,0.7025,0.2992,1.0
Brunswick,Null,0.3427,0.3427,0.296,0.0615,0.357,0.1096,0.0429,0.1506,0.0933,0.0197,0.1122,0.0235,0.0036,0.0276,0.0035,0.0002,0.0047,0.5245,0.4727,1.0
Bulleen,Null,0.2159,0.2159,0.3238,0.0139,0.3374,0.1802,0.0028,0.1847,0.1736,0.0011,0.1764,0.0612,0.0004,0.0628,0.0232,0.0,0.0244,0.7618,0.2387,1.0
