district,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_NonFamHhold_pc,Num_Psns_UR_1_Total,Num_Psns_UR_1_Total_pc,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_FamHhold_pc,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_NonFamHhold_pc,Num_Psns_UR_2_Total,Num_Psns_UR_2_Total_pc,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_FamHhold_pc,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_NonFamHhold_pc,Num_Psns_UR_3_Total,Num_Psns_UR_3_Total_pc,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_FamHhold_pc,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_NonFamHhold_pc,Num_Psns_UR_4_Total,Num_Psns_UR_4_Total_pc,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_FamHhold_pc,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_NonFamHhold_pc,Num_Psns_UR_5_Total,Num_Psns_UR_5_Total_pc,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_FamHhold_pc,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_NonFamHhold_pc,Num_Psns_UR_6mo_Total,Num_Psns_UR_6mo_Total_pc,Total_FamHhold,Total_FamHhold_pc,Total_NonFamHhold,Total_NonFamHhold_pc,Total_Total,Total_Total_pc,Total_Total_total
Albert Park,86.0,86.0,86.0,86.0,86.0,61.0,85.0,84.0,86.0,77.0,20.0,4.0,80.0,78.0,29.0,3.0,4.0,4.0,70.0,66.0,3.0,3.0,4.0,3.0,41.0,41.0,4.0,3.0,2.0,2.0,52.0,52.0,2.0,2.0,34.0,4.0,86.0,85.0,86.0,1.0,86.0
Ashwood,35.0,25.0,35.0,25.0,44.0,24.0,48.0,40.0,44.0,22.0,74.0,59.0,74.0,74.0,79.0,68.0,79.0,71.0,81.0,82.0,81.0,73.0,59.0,50.0,75.0,74.0,59.0,52.0,36.0,30.0,70.0,60.0,45.0,35.0,76.0,57.0,38.0,31.0,73.0,2.0,73.0
Bass,42.0,50.0,42.0,50.0,70.0,82.0,42.0,46.0,61.0,78.0,15.0,23.0,24.0,23.0,10.0,20.0,16.0,22.0,12.0,12.0,15.0,22.0,28.0,40.0,1.0,1.0,29.0,39.0,42.0,48.0,1.0,1.0,37.0,44.0,23.0,43.0,39.0,47.0,18.0,3.0,18.0
Bayswater,40.0,37.0,40.0,37.0,52.0,51.0,63.0,59.0,51.0,50.0,69.0,63.0,41.0,39.0,69.0,60.0,52.0,46.0,42.0,42.0,50.0,44.0,40.0,32.0,57.0,54.0,39.0,34.0,51.0,44.0,2.0,2.0,50.0,42.0,62.0,50.0,44.0,40.0,58.0,4.0,58.0
Bellarine,44.0,43.0,44.0,43.0,85.0,87.0,25.0,20.0,83.0,86.0,23.0,18.0,11.0,8.0,17.0,12.0,30.0,31.0,21.0,13.0,30.0,29.0,37.0,31.0,2.0,2.0,34.0,31.0,13.0,16.0,3.0,3.0,13.0,15.0,58.0,47.0,40.0,42.0,50.0,5.0,50.0
Benambra,48.0,56.0,48.0,56.0,65.0,73.0,33.0,37.0,58.0,69.0,22.0,30.0,31.0,31.0,20.0,26.0,20.0,25.0,13.0,14.0,20.0,23.0,29.0,36.0,3.0,3.0,25.0,32.0,43.0,49.0,4.0,4.0,40.0,45.0,26.0,37.0,47.0,51.0,25.0,6.0,25.0
Bendigo East,52.0,49.0,52.0,49.0,63.0,68.0,62.0,61.0,62.0,64.0,34.0,33.0,54.0,53.0,30.0,34.0,31.0,34.0,44.0,45.0,31.0,32.0,53.0,48.0,4.0,4.0,50.0,48.0,59.0,58.0,5.0,5.0,60.0,58.0,48.0,39.0,52.0,49.0,51.0,7.0,51.0
Bendigo West,68.0,74.0,68.0,74.0,51.0,70.0,65.0,68.0,50.0,67.0,19.0,28.0,42.0,44.0,18.0,24.0,13.0,13.0,14.0,15.0,12.0,13.0,9.0,13.0,5.0,5.0,8.0,11.0,31.0,36.0,6.0,6.0,29.0,36.0,5.0,19.0,67.0,71.0,27.0,8.0,27.0
Bentleigh,41.0,36.0,41.0,36.0,43.0,27.0,43.0,36.0,41.0,24.0,75.0,62.0,38.0,37.0,74.0,62.0,78.0,72.0,46.0,46.0,78.0,72.0,56.0,45.0,60.0,55.0,55.0,43.0,14.0,14.0,7.0,7.0,14.0,14.0,73.0,55.0,45.0,34.0,70.0,9.0,70.0
Berwick,5.0,5.0,5.0,5.0,10.0,11.0,8.0,7.0,8.0,10.0,70.0,77.0,17.0,16.0,66.0,77.0,86.0,87.0,15.0,16.0,85.0,87.0,83.0,84.0,6.0,6.0,83.0,83.0,73.0,73.0,8.0,8.0,73.0,73.0,77.0,84.0,5.0,5.0,26.0,10.0,26.0
