district,census_variable,value
Albert Park,Num_Psns_UR_1_FamHhold,Null
Ashwood,Num_Psns_UR_1_FamHhold,Null
Bass,Num_Psns_UR_1_FamHhold,Null
Bayswater,Num_Psns_UR_1_FamHhold,Null
Bellarine,Num_Psns_UR_1_FamHhold,Null
Benambra,Num_Psns_UR_1_FamHhold,Null
Bendigo East,Num_Psns_UR_1_FamHhold,Null
Bendigo West,Num_Psns_UR_1_FamHhold,Null
Bentleigh,Num_Psns_UR_1_FamHhold,Null
Berwick,Num_Psns_UR_1_FamHhold,Null
Box Hill,Num_Psns_UR_1_FamHhold,Null
Brighton,Num_Psns_UR_1_FamHhold,Null
Broadmeadows,Num_Psns_UR_1_FamHhold,Null
Brunswick,Num_Psns_UR_1_FamHhold,Null
Bulleen,Num_Psns_UR_1_FamHhold,Null
Bundoora,Num_Psns_UR_1_FamHhold,Null
Carrum,Num_Psns_UR_1_FamHhold,Null
Caulfield,Num_Psns_UR_1_FamHhold,Null
Clarinda,Num_Psns_UR_1_FamHhold,Null
Cranbourne,Num_Psns_UR_1_FamHhold,Null
Croydon,Num_Psns_UR_1_FamHhold,Null
Dandenong,Num_Psns_UR_1_FamHhold,Null
Eildon,Num_Psns_UR_1_FamHhold,Null
Eltham,Num_Psns_UR_1_FamHhold,Null
Essendon,Num_Psns_UR_1_FamHhold,Null
Eureka,Num_Psns_UR_1_FamHhold,Null
Euroa,Num_Psns_UR_1_FamHhold,Null
Evelyn,Num_Psns_UR_1_FamHhold,Null
Footscray,Num_Psns_UR_1_FamHhold,Null
Frankston,Num_Psns_UR_1_FamHhold,Null
Geelong,Num_Psns_UR_1_FamHhold,Null
Gippsland East,Num_Psns_UR_1_FamHhold,Null
Gippsland South,Num_Psns_UR_1_FamHhold,Null
Glen Waverley,Num_Psns_UR_1_FamHhold,Null
Greenvale,Num_Psns_UR_1_FamHhold,Null
Hastings,Num_Psns_UR_1_FamHhold,Null
Hawthorn,Num_Psns_UR_1_FamHhold,Null
Ivanhoe,Num_Psns_UR_1_FamHhold,Null
Kalkallo,Num_Psns_UR_1_FamHhold,Null
Kew,Num_Psns_UR_1_FamHhold,Null
Kororoit,Num_Psns_UR_1_FamHhold,Null
Lara,Num_Psns_UR_1_FamHhold,Null
Laverton,Num_Psns_UR_1_FamHhold,Null
Lowan,Num_Psns_UR_1_FamHhold,Null
Macedon,Num_Psns_UR_1_FamHhold,Null
Malvern,Num_Psns_UR_1_FamHhold,Null
Melbourne,Num_Psns_UR_1_FamHhold,Null
Melton,Num_Psns_UR_1_FamHhold,Null
Mildura,Num_Psns_UR_1_FamHhold,Null
Mill Park,Num_Psns_UR_1_FamHhold,Null
Monbulk,Num_Psns_UR_1_FamHhold,Null
Mordialloc,Num_Psns_UR_1_FamHhold,Null
Mornington,Num_Psns_UR_1_FamHhold,Null
Morwell,Num_Psns_UR_1_FamHhold,Null
Mulgrave,Num_Psns_UR_1_FamHhold,Null
Murray Plains,Num_Psns_UR_1_FamHhold,Null
Narracan,Num_Psns_UR_1_FamHhold,Null
Narre Warren North,Num_Psns_UR_1_FamHhold,Null
Narre Warren South,Num_Psns_UR_1_FamHhold,Null
Nepean,Num_Psns_UR_1_FamHhold,Null
Niddrie,Num_Psns_UR_1_FamHhold,Null
Northcote,Num_Psns_UR_1_FamHhold,Null
Oakleigh,Num_Psns_UR_1_FamHhold,Null
Ovens Valley,Num_Psns_UR_1_FamHhold,Null
Pakenham,Num_Psns_UR_1_FamHhold,Null
Pascoe Vale,Num_Psns_UR_1_FamHhold,Null
Point Cook,Num_Psns_UR_1_FamHhold,Null
Polwarth,Num_Psns_UR_1_FamHhold,Null
Prahran,Num_Psns_UR_1_FamHhold,Null
Preston,Num_Psns_UR_1_FamHhold,Null
Richmond,Num_Psns_UR_1_FamHhold,Null
Ringwood,Num_Psns_UR_1_FamHhold,Null
Ripon,Num_Psns_UR_1_FamHhold,Null
Rowville,Num_Psns_UR_1_FamHhold,Null
Sandringham,Num_Psns_UR_1_FamHhold,Null
Shepparton,Num_Psns_UR_1_FamHhold,Null
South Barwon,Num_Psns_UR_1_FamHhold,Null
