district,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot,Tot_Tot_total
Albert Park,36.0,121.0,165.0,0.0,0.0,407.0,3.0,6.0,20.0,0.0,0.0,38.0,0.0,10.0,0.0,0.0,0.0,22.0,0.0,18.0,53.0,0.0,0.0,88.0,0.0,23.0,85.0,0.0,0.0,125.0,6.0,104.0,523.0,13.0,0.0,643.0,7.0,81.0,824.0,12.0,0.0,988.0,27.0,255.0,1191.0,21.0,0.0,1570.0,10.0,149.0,561.0,0.0,0.0,793.0,58.0,387.0,459.0,6.0,0.0,950.0,259.0,950.0,335.0,0.0,0.0,1691.0,31.0,154.0,232.0,5.0,0.0,488.0,620.0,2630.0,4768.0,89.0,0.0,8092.0,8092.0
Ashwood,481.0,55.0,30.0,0.0,0.0,604.0,47.0,9.0,0.0,0.0,0.0,79.0,26.0,0.0,0.0,0.0,0.0,43.0,51.0,11.0,0.0,0.0,0.0,88.0,73.0,0.0,16.0,0.0,0.0,116.0,361.0,54.0,72.0,0.0,0.0,576.0,317.0,80.0,94.0,0.0,0.0,629.0,676.0,199.0,216.0,0.0,0.0,1218.0,551.0,216.0,150.0,0.0,0.0,1006.0,1122.0,213.0,167.0,0.0,0.0,1571.0,1903.0,184.0,72.0,0.0,0.0,2277.0,411.0,44.0,42.0,0.0,0.0,578.0,6576.0,1428.0,1194.0,0.0,0.0,9223.0,9223.0
Bass,358.0,8.0,0.0,0.0,0.0,380.0,110.0,0.0,0.0,0.0,0.0,110.0,117.0,0.0,0.0,0.0,0.0,139.0,242.0,12.0,0.0,0.0,0.0,262.0,399.0,7.0,0.0,0.0,0.0,426.0,1403.0,10.0,9.0,0.0,0.0,1426.0,1686.0,12.0,6.0,0.0,0.0,1713.0,2200.0,17.0,6.0,0.0,0.0,2230.0,826.0,6.0,0.0,0.0,0.0,836.0,579.0,3.0,0.0,0.0,0.0,600.0,261.0,0.0,0.0,0.0,0.0,263.0,608.0,0.0,0.0,0.0,0.0,622.0,9120.0,145.0,47.0,0.0,0.0,9365.0,9365.0
Bayswater,411.0,49.0,3.0,0.0,0.0,476.0,86.0,0.0,0.0,0.0,0.0,106.0,62.0,4.0,0.0,0.0,0.0,76.0,195.0,20.0,0.0,0.0,0.0,216.0,327.0,39.0,0.0,0.0,0.0,401.0,1032.0,166.0,51.0,0.0,0.0,1287.0,1190.0,310.0,83.0,0.0,0.0,1620.0,2112.0,445.0,54.0,0.0,0.0,2650.0,1340.0,164.0,18.0,0.0,0.0,1569.0,866.0,79.0,0.0,0.0,0.0,964.0,316.0,11.0,0.0,0.0,0.0,353.0,458.0,48.0,3.0,0.0,0.0,559.0,8785.0,1644.0,284.0,0.0,0.0,10684.0,10684.0
Bellarine,387.0,3.0,0.0,0.0,0.0,418.0,170.0,4.0,0.0,0.0,0.0,193.0,104.0,0.0,0.0,0.0,0.0,121.0,297.0,13.0,0.0,0.0,0.0,314.0,354.0,0.0,0.0,0.0,0.0,368.0,1229.0,25.0,0.0,0.0,0.0,1265.0,1586.0,19.0,0.0,0.0,0.0,1637.0,2128.0,22.0,0.0,0.0,0.0,2132.0,865.0,0.0,0.0,0.0,0.0,865.0,649.0,6.0,0.0,0.0,0.0,664.0,400.0,3.0,0.0,0.0,0.0,415.0,452.0,4.0,0.0,0.0,0.0,467.0,8979.0,182.0,16.0,3.0,3.0,9257.0,9257.0
Benambra,357.0,0.0,0.0,0.0,0.0,373.0,170.0,0.0,0.0,0.0,0.0,169.0,136.0,0.0,0.0,0.0,0.0,148.0,315.0,4.0,0.0,0.0,0.0,352.0,620.0,24.0,3.0,0.0,0.0,683.0,1968.0,25.0,0.0,0.0,0.0,2000.0,1918.0,0.0,0.0,0.0,4.0,1940.0,1479.0,0.0,0.0,0.0,4.0,1492.0,377.0,4.0,0.0,0.0,0.0,385.0,347.0,0.0,0.0,0.0,0.0,342.0,168.0,0.0,0.0,0.0,0.0,168.0,400.0,3.0,0.0,0.0,0.0,422.0,8700.0,148.0,17.0,4.0,13.0,8887.0,8887.0
Bendigo East,352.0,6.0,0.0,0.0,0.0,367.0,182.0,0.0,0.0,0.0,0.0,180.0,163.0,0.0,0.0,0.0,0.0,164.0,422.0,0.0,0.0,0.0,0.0,433.0,658.0,6.0,0.0,0.0,0.0,707.0,2170.0,39.0,3.0,0.0,0.0,2255.0,2240.0,14.0,4.0,0.0,8.0,2301.0,1698.0,10.0,0.0,0.0,0.0,1736.0,467.0,0.0,0.0,0.0,0.0,481.0,336.0,0.0,0.0,0.0,0.0,346.0,201.0,0.0,0.0,0.0,0.0,204.0,504.0,3.0,0.0,0.0,0.0,519.0,9797.0,192.0,8.0,0.0,8.0,10115.0,10115.0
Bendigo West,365.0,0.0,0.0,0.0,0.0,382.0,190.0,0.0,0.0,0.0,0.0,202.0,203.0,6.0,0.0,0.0,0.0,210.0,409.0,7.0,0.0,0.0,0.0,427.0,642.0,11.0,0.0,0.0,0.0,661.0,1972.0,19.0,3.0,0.0,0.0,2043.0,1799.0,8.0,0.0,0.0,0.0,1806.0,1214.0,6.0,0.0,0.0,0.0,1208.0,402.0,0.0,0.0,0.0,0.0,405.0,222.0,0.0,0.0,0.0,0.0,226.0,127.0,0.0,0.0,0.0,0.0,135.0,409.0,0.0,0.0,0.0,0.0,410.0,8268.0,139.0,10.0,0.0,0.0,8477.0,8477.0
Bentleigh,422.0,23.0,38.0,0.0,0.0,569.0,47.0,0.0,0.0,0.0,0.0,102.0,48.0,4.0,3.0,0.0,0.0,76.0,102.0,3.0,9.0,0.0,0.0,123.0,136.0,14.0,9.0,0.0,0.0,186.0,378.0,81.0,150.0,0.0,0.0,730.0,463.0,101.0,248.0,0.0,0.0,906.0,929.0,386.0,393.0,0.0,0.0,1793.0,742.0,246.0,165.0,0.0,0.0,1268.0,1356.0,337.0,123.0,0.0,0.0,1941.0,1403.0,271.0,92.0,0.0,0.0,1902.0,434.0,90.0,54.0,0.0,0.0,655.0,6944.0,1993.0,1487.0,14.0,8.0,10418.0,10418.0
Berwick,348.0,18.0,0.0,0.0,0.0,370.0,82.0,4.0,0.0,0.0,0.0,89.0,82.0,0.0,0.0,0.0,0.0,91.0,104.0,0.0,0.0,0.0,0.0,128.0,231.0,6.0,0.0,0.0,0.0,249.0,953.0,33.0,3.0,0.0,0.0,1010.0,1673.0,61.0,0.0,0.0,0.0,1759.0,3901.0,157.0,4.0,0.0,0.0,4100.0,2319.0,28.0,0.0,0.0,0.0,2388.0,1448.0,14.0,0.0,0.0,0.0,1474.0,833.0,3.0,0.0,0.0,0.0,861.0,753.0,10.0,0.0,0.0,0.0,788.0,13145.0,448.0,15.0,3.0,0.0,13635.0,13635.0
