district,M_0_299_DS_DS_Sept_house_pc,M_0_299_DS_DS_sd_row_tce_hs_t_pc,M_0_299_DS_DS_Flat_apart_pc,M_0_299_DS_DS_Other_dwg_pc,M_0_299_DS_ns_pc,M_0_299_Tot_pc,M_300_449_DS_Separate_hse_pc,M_300_449_DS_sd_row_tc_hse_th_pc,M_300_449_DS_Flat_apart_pc,M_300_449_DS_Other_dwg_pc,M_300_449_DS_ns_pc,M_300_449_Tot_pc,M_450_599_DS_Separate_hse_pc,M_450_599_DS_sd_row_tce_hs_th_pc,M_450_599_DS_Flat_apart_pc,M_450_599_DS_Other_dwg_pc,M_450_599_DS_ns_pc,M_450_599_Tot_pc,M_600_799_DS_Separate_hse_pc,M_600_799_DS_sd_row_tc_hs_th_pc,M_600_799_DS_Flat_apart_pc,M_600_799_DS_Other_dwg_pc,M_600_799_DS_ns_pc,M_600_799_Tot_pc,M_800_999_DS_Separate_hse_pc,M_800_999_DS_sd_row_tc_hs_th_pc,M_800_999_DS_Flat_apart_pc,M_800_999_DS_Other_dwg_pc,M_800_999_DS_ns_pc,M_800_999_Tot_pc,M_1000_1399_DS_Separate_hse_pc,M_1000_1399_DS_sd_rw_tc_h_th_pc,M_1000_1399_DS_Flat_apart_pc,M_1000_1399_DS_Other_dwg_pc,M_1000_1399_DS_ns_pc,M_1000_1399_Tot_pc,M_1400_1799_DS_Separate_hse_pc,M_1400_1799_DS_sd_rw_tc_h_th_pc,M_1400_1799_DS_Flat_apart_pc,M_1400_1799_DS_Other_dwg_pc,M_1400_1799_DS_ns_pc,M_1400_1799_Tot_pc,M_1800_2399_DS_Separate_hse_pc,M_1800_2399_DS_sd_rw_tc_h_th_pc,M_1800_2399_DS_Flat_apart_pc,M_1800_2399_DS_Other_dwg_pc,M_1800_2399_DS_ns_pc,M_1800_2399_Tot_pc,M_2400_2999_DS_Separate_hse_pc,M_2400_2999_DS_sd_rw_tc_h_th_pc,M_2400_2999_DS_Flat_apart_pc,M_2400_2999_DS_Other_dwg_pc,M_2400_2999_DS_ns_pc,M_2400_2999_Tot_pc,M_3000_3999_DS_Separate_hse_pc,M_3000_3999_DS_sd_rw_tc_h_th_pc,M_3000_3999_DS_Flt_apart_pc,M_3000_3999_DS_Other_dwg_pc,M_3000_3999_DS_ns_pc,M_3000_3999_Tot_pc,M_4000_over_DS_Separate_hse_pc,M_4000_ov_DS_sd_rw_tce_hs_th_pc,M_4000_over_DS_Flat_apart_pc,M_4000_over_DS_Other_dwg_pc,M_4000_DS_over_ns_pc,M_4000_over_Tot_pc,Mort_Rpmnt_ns_DS_Separat_hs_pc,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th_pc,Mrt_Rpmt_ns_DS_Flat_apart_pc,Mort_Rpmnt_ns_DS_Other_dwg_pc,Mort_Rpmnt_ns_DS_ns_pc,Mort_Rpmnt_ns_Total_pc,Tot_DS_Separate_hse_pc,Tot_DS_sd_row_tce_hse_thse_pc,Tot_DS_Flat_apartment_pc,Tot_DS_Other_dwg_pc,Tot_DS_ns_pc,Tot_Tot_pc
Albert Park,0.0044,0.015,0.0204,0.0,0.0,0.0503,0.0004,0.0007,0.0025,0.0,0.0,0.0047,0.0,0.0012,0.0,0.0,0.0,0.0027,0.0,0.0022,0.0065,0.0,0.0,0.0109,0.0,0.0028,0.0105,0.0,0.0,0.0154,0.0007,0.0129,0.0646,0.0016,0.0,0.0795,0.0009,0.01,0.1018,0.0015,0.0,0.1221,0.0033,0.0315,0.1472,0.0026,0.0,0.194,0.0012,0.0184,0.0693,0.0,0.0,0.098,0.0072,0.0478,0.0567,0.0007,0.0,0.1174,0.032,0.1174,0.0414,0.0,0.0,0.209,0.0038,0.019,0.0287,0.0006,0.0,0.0603,0.0766,0.325,0.5892,0.011,0.0,1.0
Ashwood,0.0522,0.006,0.0033,0.0,0.0,0.0655,0.0051,0.001,0.0,0.0,0.0,0.0086,0.0028,0.0,0.0,0.0,0.0,0.0047,0.0055,0.0012,0.0,0.0,0.0,0.0095,0.0079,0.0,0.0017,0.0,0.0,0.0126,0.0391,0.0059,0.0078,0.0,0.0,0.0625,0.0344,0.0087,0.0102,0.0,0.0,0.0682,0.0733,0.0216,0.0234,0.0,0.0,0.1321,0.0597,0.0234,0.0163,0.0,0.0,0.1091,0.1217,0.0231,0.0181,0.0,0.0,0.1703,0.2063,0.02,0.0078,0.0,0.0,0.2469,0.0446,0.0048,0.0046,0.0,0.0,0.0627,0.713,0.1548,0.1295,0.0,0.0,1.0
Bass,0.0382,0.0009,0.0,0.0,0.0,0.0406,0.0117,0.0,0.0,0.0,0.0,0.0117,0.0125,0.0,0.0,0.0,0.0,0.0148,0.0258,0.0013,0.0,0.0,0.0,0.028,0.0426,0.0007,0.0,0.0,0.0,0.0455,0.1498,0.0011,0.001,0.0,0.0,0.1523,0.18,0.0013,0.0006,0.0,0.0,0.1829,0.2349,0.0018,0.0006,0.0,0.0,0.2381,0.0882,0.0006,0.0,0.0,0.0,0.0893,0.0618,0.0003,0.0,0.0,0.0,0.0641,0.0279,0.0,0.0,0.0,0.0,0.0281,0.0649,0.0,0.0,0.0,0.0,0.0664,0.9738,0.0155,0.005,0.0,0.0,1.0
Bayswater,0.0385,0.0046,0.0003,0.0,0.0,0.0446,0.008,0.0,0.0,0.0,0.0,0.0099,0.0058,0.0004,0.0,0.0,0.0,0.0071,0.0183,0.0019,0.0,0.0,0.0,0.0202,0.0306,0.0037,0.0,0.0,0.0,0.0375,0.0966,0.0155,0.0048,0.0,0.0,0.1205,0.1114,0.029,0.0078,0.0,0.0,0.1516,0.1977,0.0417,0.0051,0.0,0.0,0.248,0.1254,0.0154,0.0017,0.0,0.0,0.1469,0.0811,0.0074,0.0,0.0,0.0,0.0902,0.0296,0.001,0.0,0.0,0.0,0.033,0.0429,0.0045,0.0003,0.0,0.0,0.0523,0.8223,0.1539,0.0266,0.0,0.0,1.0
Bellarine,0.0418,0.0003,0.0,0.0,0.0,0.0452,0.0184,0.0004,0.0,0.0,0.0,0.0208,0.0112,0.0,0.0,0.0,0.0,0.0131,0.0321,0.0014,0.0,0.0,0.0,0.0339,0.0382,0.0,0.0,0.0,0.0,0.0398,0.1328,0.0027,0.0,0.0,0.0,0.1367,0.1713,0.0021,0.0,0.0,0.0,0.1768,0.2299,0.0024,0.0,0.0,0.0,0.2303,0.0934,0.0,0.0,0.0,0.0,0.0934,0.0701,0.0006,0.0,0.0,0.0,0.0717,0.0432,0.0003,0.0,0.0,0.0,0.0448,0.0488,0.0004,0.0,0.0,0.0,0.0504,0.97,0.0197,0.0017,0.0003,0.0003,1.0
Benambra,0.0402,0.0,0.0,0.0,0.0,0.042,0.0191,0.0,0.0,0.0,0.0,0.019,0.0153,0.0,0.0,0.0,0.0,0.0167,0.0354,0.0005,0.0,0.0,0.0,0.0396,0.0698,0.0027,0.0003,0.0,0.0,0.0769,0.2214,0.0028,0.0,0.0,0.0,0.225,0.2158,0.0,0.0,0.0,0.0005,0.2183,0.1664,0.0,0.0,0.0,0.0005,0.1679,0.0424,0.0005,0.0,0.0,0.0,0.0433,0.039,0.0,0.0,0.0,0.0,0.0385,0.0189,0.0,0.0,0.0,0.0,0.0189,0.045,0.0003,0.0,0.0,0.0,0.0475,0.979,0.0167,0.0019,0.0005,0.0015,1.0
Bendigo East,0.0348,0.0006,0.0,0.0,0.0,0.0363,0.018,0.0,0.0,0.0,0.0,0.0178,0.0161,0.0,0.0,0.0,0.0,0.0162,0.0417,0.0,0.0,0.0,0.0,0.0428,0.0651,0.0006,0.0,0.0,0.0,0.0699,0.2145,0.0039,0.0003,0.0,0.0,0.2229,0.2215,0.0014,0.0004,0.0,0.0008,0.2275,0.1679,0.001,0.0,0.0,0.0,0.1716,0.0462,0.0,0.0,0.0,0.0,0.0476,0.0332,0.0,0.0,0.0,0.0,0.0342,0.0199,0.0,0.0,0.0,0.0,0.0202,0.0498,0.0003,0.0,0.0,0.0,0.0513,0.9686,0.019,0.0008,0.0,0.0008,1.0
Bendigo West,0.0431,0.0,0.0,0.0,0.0,0.0451,0.0224,0.0,0.0,0.0,0.0,0.0238,0.0239,0.0007,0.0,0.0,0.0,0.0248,0.0482,0.0008,0.0,0.0,0.0,0.0504,0.0757,0.0013,0.0,0.0,0.0,0.078,0.2326,0.0022,0.0004,0.0,0.0,0.241,0.2122,0.0009,0.0,0.0,0.0,0.213,0.1432,0.0007,0.0,0.0,0.0,0.1425,0.0474,0.0,0.0,0.0,0.0,0.0478,0.0262,0.0,0.0,0.0,0.0,0.0267,0.015,0.0,0.0,0.0,0.0,0.0159,0.0482,0.0,0.0,0.0,0.0,0.0484,0.9753,0.0164,0.0012,0.0,0.0,1.0
Bentleigh,0.0405,0.0022,0.0036,0.0,0.0,0.0546,0.0045,0.0,0.0,0.0,0.0,0.0098,0.0046,0.0004,0.0003,0.0,0.0,0.0073,0.0098,0.0003,0.0009,0.0,0.0,0.0118,0.0131,0.0013,0.0009,0.0,0.0,0.0179,0.0363,0.0078,0.0144,0.0,0.0,0.0701,0.0444,0.0097,0.0238,0.0,0.0,0.087,0.0892,0.0371,0.0377,0.0,0.0,0.1721,0.0712,0.0236,0.0158,0.0,0.0,0.1217,0.1302,0.0323,0.0118,0.0,0.0,0.1863,0.1347,0.026,0.0088,0.0,0.0,0.1826,0.0417,0.0086,0.0052,0.0,0.0,0.0629,0.6665,0.1913,0.1427,0.0013,0.0008,1.0
Berwick,0.0255,0.0013,0.0,0.0,0.0,0.0271,0.006,0.0003,0.0,0.0,0.0,0.0065,0.006,0.0,0.0,0.0,0.0,0.0067,0.0076,0.0,0.0,0.0,0.0,0.0094,0.0169,0.0004,0.0,0.0,0.0,0.0183,0.0699,0.0024,0.0002,0.0,0.0,0.0741,0.1227,0.0045,0.0,0.0,0.0,0.129,0.2861,0.0115,0.0003,0.0,0.0,0.3007,0.1701,0.0021,0.0,0.0,0.0,0.1751,0.1062,0.001,0.0,0.0,0.0,0.1081,0.0611,0.0002,0.0,0.0,0.0,0.0631,0.0552,0.0007,0.0,0.0,0.0,0.0578,0.9641,0.0329,0.0011,0.0002,0.0,1.0
Box Hill,0.0472,0.0105,0.0019,0.0,0.0,0.07,0.0067,0.0015,0.0003,0.0,0.0,0.0108,0.0048,0.0,0.0,0.0,0.0,0.0075,0.0098,0.0019,0.0009,0.0,0.0,0.0152,0.0127,0.0016,0.0018,0.0,0.0,0.0228,0.039,0.0111,0.0235,0.0,0.0,0.0823,0.0467,0.0149,0.0281,0.0,0.0,0.1,0.0882,0.0369,0.023,0.0,0.0,0.1515,0.069,0.0257,0.0037,0.0,0.0,0.1066,0.1194,0.0305,0.0041,0.0,0.0,0.1605,0.1441,0.0206,0.0013,0.0,0.0,0.1727,0.0411,0.0086,0.0065,0.0,0.0,0.0591,0.6698,0.2094,0.1202,0.0,0.0,1.0
Brighton,0.0358,0.0063,0.0042,0.0,0.0,0.0524,0.0052,0.0005,0.0015,0.0,0.0,0.0091,0.0022,0.0,0.0018,0.0,0.0,0.0051,0.0025,0.0009,0.0023,0.0,0.0,0.0057,0.0089,0.0008,0.0019,0.0,0.0,0.0148,0.0217,0.0065,0.0186,0.0,0.0,0.0583,0.0131,0.0042,0.0326,0.0,0.0,0.0575,0.0471,0.0174,0.0426,0.0004,0.0,0.1244,0.0344,0.0153,0.0273,0.0,0.0,0.0845,0.0786,0.0279,0.0231,0.0,0.0,0.1361,0.2604,0.0538,0.0138,0.0003,0.0,0.3353,0.0448,0.0047,0.0137,0.0,0.0,0.0758,0.5935,0.1905,0.2112,0.0018,0.0,1.0
