district,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot,Tot_Tot_total
Albert Park,28.0,22.0,3.0,0.0,0.0,0.0,148.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,22.0,20.0,5.0,5.0,0.0,0.0,0.0,58.0,20.0,4.0,5.0,0.0,3.0,0.0,75.0,41.0,3.0,0.0,7.0,4.0,0.0,98.0,89.0,23.0,3.0,3.0,0.0,0.0,201.0,120.0,14.0,11.0,7.0,0.0,0.0,204.0,110.0,12.0,0.0,0.0,0.0,0.0,167.0,173.0,79.0,9.0,6.0,0.0,0.0,416.0,66.0,18.0,0.0,0.0,0.0,0.0,160.0,58.0,30.0,0.0,3.0,0.0,0.0,181.0,82.0,43.0,3.0,5.0,0.0,0.0,235.0,256.0,198.0,33.0,14.0,10.0,3.0,683.0,155.0,183.0,20.0,5.0,0.0,0.0,413.0,216.0,452.0,83.0,3.0,6.0,3.0,913.0,84.0,64.0,8.0,0.0,4.0,0.0,298.0,2293.0,1750.0,499.0,236.0,231.0,19.0,5116.0,5116.0
Ashwood,87.0,91.0,74.0,0.0,15.0,0.0,442.0,0.0,5.0,0.0,0.0,0.0,0.0,22.0,9.0,3.0,7.0,0.0,0.0,0.0,56.0,0.0,0.0,5.0,0.0,0.0,0.0,34.0,9.0,0.0,0.0,5.0,5.0,0.0,46.0,9.0,11.0,10.0,0.0,4.0,0.0,81.0,11.0,28.0,54.0,0.0,7.0,0.0,208.0,4.0,22.0,13.0,4.0,3.0,0.0,180.0,13.0,24.0,27.0,0.0,5.0,0.0,220.0,17.0,44.0,16.0,0.0,8.0,0.0,217.0,22.0,50.0,3.0,0.0,9.0,0.0,173.0,85.0,233.0,80.0,0.0,8.0,0.0,619.0,27.0,57.0,14.0,0.0,0.0,0.0,176.0,38.0,109.0,15.0,5.0,0.0,0.0,289.0,86.0,203.0,24.0,6.0,0.0,0.0,556.0,256.0,822.0,187.0,7.0,26.0,0.0,1556.0,116.0,532.0,98.0,14.0,12.0,0.0,952.0,126.0,776.0,160.0,18.0,4.0,0.0,1276.0,62.0,198.0,85.0,9.0,7.0,0.0,547.0,1730.0,4121.0,1689.0,310.0,393.0,19.0,8367.0,8367.0
Bass,44.0,11.0,11.0,0.0,3.0,0.0,141.0,16.0,4.0,5.0,3.0,0.0,0.0,54.0,17.0,21.0,0.0,0.0,0.0,0.0,64.0,10.0,0.0,0.0,0.0,6.0,0.0,86.0,58.0,36.0,20.0,0.0,4.0,0.0,213.0,55.0,89.0,18.0,3.0,19.0,0.0,288.0,133.0,126.0,27.0,22.0,3.0,0.0,480.0,169.0,228.0,62.0,33.0,12.0,0.0,624.0,150.0,240.0,47.0,14.0,3.0,0.0,610.0,169.0,360.0,55.0,40.0,4.0,0.0,774.0,150.0,317.0,11.0,11.0,0.0,5.0,621.0,240.0,438.0,63.0,6.0,12.0,0.0,960.0,141.0,210.0,16.0,3.0,5.0,0.0,468.0,59.0,125.0,18.0,0.0,0.0,0.0,316.0,107.0,231.0,18.0,8.0,1.0,0.0,527.0,157.0,240.0,31.0,3.0,4.0,0.0,537.0,31.0,43.0,0.0,0.0,0.0,0.0,107.0,17.0,38.0,3.0,0.0,0.0,0.0,92.0,149.0,111.0,61.0,0.0,7.0,0.0,507.0,2533.0,3456.0,1085.0,420.0,383.0,18.0,8060.0,8060.0
Bayswater,35.0,22.0,51.0,0.0,0.0,0.0,247.0,16.0,4.0,10.0,0.0,0.0,0.0,51.0,8.0,8.0,9.0,0.0,3.0,0.0,76.0,0.0,9.0,6.0,0.0,0.0,0.0,61.0,19.0,3.0,20.0,0.0,0.0,0.0,124.0,20.0,50.0,25.0,9.0,18.0,0.0,254.0,62.0,116.0,85.0,0.0,3.0,0.0,435.0,75.0,142.0,82.0,6.0,24.0,0.0,553.0,104.0,245.0,62.0,17.0,24.0,0.0,637.0,114.0,276.0,66.0,8.0,37.0,0.0,686.0,98.0,244.0,41.0,3.0,11.0,0.0,593.0,218.0,535.0,101.0,12.0,7.0,0.0,1032.0,140.0,352.0,29.0,3.0,0.0,0.0,660.0,114.0,304.0,16.0,0.0,9.0,0.0,557.0,194.0,479.0,49.0,9.0,4.0,0.0,891.0,173.0,540.0,67.0,0.0,0.0,0.0,980.0,26.0,71.0,18.0,0.0,0.0,0.0,198.0,18.0,40.0,4.0,0.0,0.0,0.0,126.0,89.0,139.0,35.0,0.0,19.0,0.0,424.0,2386.0,4176.0,1522.0,356.0,609.0,23.0,9212.0,9212.0
Bellarine,67.0,15.0,3.0,0.0,3.0,0.0,163.0,8.0,0.0,3.0,0.0,0.0,0.0,30.0,24.0,0.0,19.0,0.0,0.0,0.0,116.0,5.0,12.0,0.0,4.0,6.0,0.0,50.0,60.0,20.0,15.0,0.0,5.0,0.0,221.0,44.0,24.0,40.0,9.0,19.0,0.0,268.0,113.0,43.0,42.0,4.0,20.0,0.0,414.0,122.0,221.0,59.0,21.0,17.0,0.0,603.0,143.0,202.0,40.0,26.0,15.0,0.0,562.0,188.0,358.0,50.0,26.0,31.0,0.0,795.0,111.0,380.0,26.0,3.0,0.0,0.0,621.0,258.0,418.0,110.0,8.0,4.0,4.0,911.0,60.0,162.0,13.0,0.0,0.0,0.0,315.0,35.0,101.0,8.0,0.0,0.0,0.0,231.0,125.0,272.0,53.0,9.0,7.0,0.0,520.0,146.0,316.0,78.0,4.0,4.0,0.0,655.0,25.0,113.0,15.0,0.0,0.0,0.0,220.0,23.0,65.0,13.0,0.0,0.0,0.0,138.0,88.0,130.0,26.0,4.0,8.0,0.0,396.0,2336.0,3520.0,1214.0,355.0,452.0,25.0,7938.0,7938.0
Benambra,47.0,15.0,10.0,0.0,0.0,0.0,162.0,20.0,0.0,3.0,0.0,0.0,0.0,28.0,25.0,14.0,7.0,0.0,0.0,0.0,131.0,30.0,4.0,0.0,0.0,0.0,0.0,79.0,52.0,56.0,13.0,0.0,0.0,0.0,269.0,158.0,138.0,35.0,23.0,4.0,0.0,531.0,158.0,179.0,52.0,19.0,23.0,0.0,644.0,209.0,360.0,53.0,29.0,16.0,3.0,871.0,208.0,363.0,54.0,26.0,7.0,4.0,825.0,185.0,374.0,67.0,23.0,11.0,0.0,823.0,88.0,202.0,42.0,7.0,0.0,0.0,407.0,143.0,275.0,73.0,0.0,3.0,0.0,671.0,13.0,89.0,3.0,0.0,0.0,0.0,186.0,20.0,15.0,0.0,0.0,0.0,0.0,82.0,43.0,104.0,19.0,5.0,0.0,0.0,270.0,43.0,154.0,29.0,5.0,3.0,0.0,319.0,7.0,29.0,3.0,0.0,0.0,0.0,80.0,0.0,12.0,4.0,0.0,0.0,0.0,37.0,72.0,87.0,19.0,10.0,11.0,0.0,364.0,2317.0,3156.0,1046.0,490.0,339.0,28.0,7464.0,7464.0
Bendigo East,39.0,14.0,12.0,0.0,3.0,0.0,179.0,8.0,0.0,8.0,0.0,0.0,0.0,32.0,38.0,10.0,0.0,0.0,5.0,0.0,140.0,10.0,6.0,3.0,0.0,0.0,0.0,116.0,84.0,47.0,16.0,5.0,13.0,0.0,288.0,95.0,98.0,48.0,20.0,17.0,0.0,476.0,179.0,245.0,54.0,37.0,11.0,0.0,696.0,252.0,409.0,77.0,28.0,23.0,0.0,1016.0,284.0,461.0,87.0,62.0,16.0,0.0,1020.0,220.0,439.0,51.0,11.0,12.0,5.0,939.0,72.0,284.0,42.0,12.0,0.0,0.0,553.0,123.0,366.0,57.0,14.0,0.0,0.0,730.0,38.0,105.0,3.0,0.0,0.0,0.0,240.0,9.0,39.0,6.0,0.0,0.0,0.0,113.0,22.0,150.0,40.0,0.0,5.0,0.0,312.0,35.0,138.0,34.0,0.0,0.0,0.0,322.0,19.0,26.0,0.0,0.0,0.0,0.0,89.0,11.0,34.0,0.0,0.0,0.0,0.0,67.0,81.0,78.0,36.0,8.0,5.0,0.0,375.0,2349.0,3746.0,1178.0,511.0,428.0,22.0,8424.0,8424.0
Bendigo West,40.0,28.0,17.0,0.0,3.0,0.0,145.0,14.0,0.0,3.0,0.0,0.0,0.0,49.0,30.0,0.0,3.0,0.0,8.0,0.0,121.0,6.0,3.0,9.0,4.0,3.0,0.0,112.0,62.0,23.0,28.0,12.0,3.0,0.0,270.0,88.0,131.0,60.0,18.0,13.0,0.0,469.0,149.0,181.0,57.0,37.0,22.0,0.0,709.0,204.0,353.0,60.0,54.0,32.0,0.0,850.0,179.0,319.0,38.0,22.0,9.0,0.0,713.0,179.0,355.0,45.0,23.0,15.0,0.0,752.0,66.0,202.0,26.0,0.0,0.0,0.0,403.0,92.0,231.0,52.0,3.0,3.0,0.0,510.0,15.0,73.0,0.0,0.0,0.0,0.0,141.0,6.0,50.0,0.0,0.0,0.0,0.0,75.0,67.0,109.0,22.0,0.0,0.0,0.0,276.0,33.0,88.0,14.0,0.0,0.0,0.0,229.0,9.0,18.0,15.0,0.0,0.0,0.0,60.0,4.0,9.0,3.0,0.0,0.0,0.0,24.0,75.0,74.0,17.0,5.0,3.0,0.0,339.0,2011.0,2775.0,972.0,479.0,401.0,24.0,6787.0,6787.0
Bentleigh,42.0,60.0,35.0,0.0,6.0,0.0,339.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,9.0,7.0,8.0,0.0,5.0,0.0,66.0,6.0,6.0,0.0,0.0,0.0,0.0,39.0,11.0,6.0,10.0,0.0,0.0,0.0,87.0,18.0,16.0,6.0,0.0,0.0,0.0,128.0,17.0,28.0,34.0,0.0,15.0,0.0,243.0,28.0,54.0,42.0,0.0,4.0,0.0,265.0,36.0,66.0,35.0,0.0,7.0,0.0,333.0,28.0,109.0,13.0,6.0,6.0,0.0,297.0,52.0,110.0,15.0,3.0,4.0,0.0,287.0,107.0,322.0,85.0,10.0,17.0,0.0,716.0,65.0,124.0,11.0,14.0,0.0,0.0,315.0,43.0,197.0,30.0,0.0,0.0,0.0,408.0,101.0,354.0,49.0,16.0,3.0,0.0,720.0,321.0,1111.0,163.0,27.0,9.0,0.0,1839.0,137.0,606.0,59.0,11.0,3.0,0.0,1034.0,78.0,493.0,56.0,7.0,7.0,0.0,723.0,67.0,203.0,77.0,4.0,6.0,0.0,519.0,1997.0,4600.0,1611.0,406.0,492.0,20.0,9147.0,9147.0
Berwick,38.0,72.0,51.0,0.0,0.0,0.0,335.0,10.0,0.0,7.0,0.0,0.0,0.0,43.0,19.0,21.0,5.0,0.0,0.0,0.0,71.0,12.0,13.0,20.0,0.0,3.0,0.0,97.0,11.0,10.0,18.0,0.0,0.0,0.0,129.0,41.0,55.0,27.0,7.0,3.0,0.0,212.0,37.0,82.0,65.0,3.0,7.0,0.0,329.0,78.0,180.0,57.0,4.0,4.0,0.0,489.0,57.0,282.0,81.0,3.0,14.0,0.0,665.0,125.0,461.0,136.0,10.0,8.0,0.0,968.0,150.0,541.0,73.0,19.0,0.0,0.0,995.0,296.0,1013.0,236.0,21.0,3.0,0.0,1779.0,171.0,702.0,76.0,3.0,3.0,0.0,1114.0,143.0,631.0,61.0,6.0,0.0,0.0,914.0,175.0,860.0,160.0,0.0,0.0,0.0,1357.0,197.0,991.0,199.0,6.0,5.0,0.0,1547.0,59.0,214.0,56.0,0.0,9.0,0.0,400.0,32.0,173.0,45.0,0.0,4.0,0.0,374.0,104.0,323.0,122.0,4.0,6.0,0.0,741.0,2518.0,7224.0,2333.0,386.0,421.0,26.0,13106.0,13106.0
