district,R_1_74_LT_Real_estate_agent_n,R_1_74_LT_Ste_terr_hsg_auth_n,R_1_74_LT_com_hou_pro_n,R_1_74_LT_Psn_not_Sme_hhd_n,R_1_74_LT_Other_Lld_type_n,R_1_74_LT_Lld_type_ns_n,R_1_74_Tot_n,R_75_99_LT_Real_estate_agent_n,R_75_99_LT_Ste_terr_hsg_auth_n,R_75_99_LT_com_hou_pro_n,R_75_99_LT_Psn_not_Sme_hhd_n,R_75_99_LT_Other_Lld_type_n,R_75_99_LT_Lld_type_ns_n,R_75_99_Tot_n,R_100_149_LT_Real_eSte_agent_n,R_100_149_LT_St_ter_hsg_aut_n,R_100_149_LT_com_hou_pro_n,R_100_149_LT_Psn_not_Sme_hhd_n,R_100_149_LT_Other_Lld_type_n,R_100_149_LT_Lld_type_ns_n,R_100_149_Tot_n,R_150_199_LT_Real_eSte_agent_n,R_150_199_LT_Ste_ter_hsg_aut_n,R_150_199_LT_com_hou_pro_n,R_150_199_LT_Psn_not_Sme_hhd_n,R_150_199_LT_Other_Lld_type_n,R_150_199_LT_Lld_type_ns_n,R_150_199_Tot_n,R_200_224_LT_Real_eSte_agent_n,R_200_224_LT_Ste_ter_hsg_aut_n,R_200_224_LT_com_hou_pro_n,R_200_224_LT_Psn_not_Sme_hhd_n,R_200_224_LT_Other_Lld_type_n,R_200_224_LT_Lld_type_ns_n,R_200_224_Tot_n,R_225_274_LT_Real_eSte_agent_n,R_225_274_LT_Ste_ter_hsg_aut_n,R_225_274_LT_com_hou_pro_n,R_225_274_LT_Psn_not_Sme_hhd_n,R_225_274_LT_Other_Lld_type_n,R_225_274_LT_Lld_type_ns_n,R_225_274_Tot_n,R_275_349_LT_Real_eSte_agent_n,R_275_349_LT_Ste_ter_hsg_aut_n,R_275_349_LT_com_hou_pro_n,R_275_349_LT_Psn_not_Sme_hhd_n,R_275_349_LT_Other_Lld_type_n,R_275_349_LT_Lld_type_ns_n,R_275_349_Tot_n,R_350_449_LT_Real_eSte_agent_n,R_350_449_LT_Ste_ter_hsg_aut_n,R_350_449_LT_com_hou_pro_n,R_350_449_LT_Psn_not_Sme_hhd_n,R_350_449_LT_Other_Lld_type_n,R_350_449_LT_Lld_type_ns_n,R_350_449_Tot_n,R_450_549_LT_Real_eSte_agent_n,R_450_549_LT_Ste_ter_hsg_aut_n,R_450_549_LT_com_hou_pro_n,R_450_549_LT_Psn_not_Sme_hhd_n,R_450_549_LT_Other_Lld_type_n,R_450_549_LT_Lld_type_ns_n,R_450_549_Tot_n,R_550_649_LT_Real_eSte_agent_n,R_550_649_LT_Ste_ter_hsg_aut_n,R_550_649_LT_com_hou_pro_n,R_550_649_LT_Psn_not_Sme_hhd_n,R_550_649_LT_Other_Lld_type_n,R_550_649_LT_Lld_type_ns_n,R_550_649_Tot_n,R_650_749_LT_Real_eSte_agent_n,R_650_749_LT_Ste_ter_hsg_aut_n,R_650_749_LT_com_hou_pro_n,R_650_749_LT_Psn_not_Sme_hhd_n,R_650_749_LT_Other_Lld_type_n,R_650_749_LT_Lld_type_ns_n,R_650_749_Tot_n,R_750_849_LT_Real_eSte_agent_n,R_750_849_LT_Ste_ter_hsg_aut_n,R_750_849_LT_com_hou_pro_n,R_750_849_LT_Psn_not_Sme_hhd_n,R_750_849_LT_Other_Lld_type_n,R_750_849_LT_Lld_type_ns_n,R_750_849_Tot_n,R_850_949_LT_Real_estat_agent_n,R_850_949_LT_Ste_ter_hsg_aut_n,R_850_949_LT_com_hou_pro_n,R_850_949_LT_Psn_not_Sme_hhd_n,R_850_949_LT_Other_Lld_type_n,R_850_949_LT_Lld_type_ns_n,R_850_949_Tot_n,R_950_over_LT_Real_eSte_agent_n,R_950_over_LT_Ste_ter_hsg_aut_n,R_950_ovr_LT_com_hou_pro_n,R_950_over_LT_Psn_not_Sme_hhd_n,R_950_over_LT_Other_Lld_type_n,R_950_over_LT_Lld_type_ns_n,R_950_over_Tot_n,Rent_ns_LT_Real_eSte_agent_n,Rent_ns_LT_Ste_ter_hsg_auth_n,Rent_ns_LT_com_hou_pro_n,Rent_ns_LT_Psn_not_Sme_hhd_n,Rent_ns_LT_Other_Lld_type_n,Rent_ns_LT_Lld_type_ns_n,Rent_ns_Tot_n,Tot_LT_Real_eSte_agent_n,Tot_LT_Ste_ter_hsg_auth_n,Tot_LT_com_hou_pro_n,Tot_LT_Psn_not_Sme_hhd_n,Tot_LT_Other_Lld_type_n,Tot_LT_Lld_type_ns_n,Tot_Tot_n,Tot_Tot_total
Albert Park,0.0,28.0,0.0,0.0,0.0,0.0,37.0,0.0,93.0,4.0,0.0,0.0,0.0,112.0,8.0,599.0,23.0,4.0,0.0,0.0,705.0,21.0,166.0,73.0,38.0,5.0,0.0,350.0,47.0,99.0,140.0,27.0,0.0,0.0,350.0,327.0,73.0,55.0,74.0,4.0,0.0,575.0,2048.0,54.0,27.0,211.0,0.0,0.0,2447.0,4602.0,31.0,7.0,316.0,4.0,4.0,5048.0,3090.0,0.0,0.0,334.0,3.0,0.0,3500.0,1742.0,0.0,0.0,192.0,0.0,0.0,1993.0,1021.0,0.0,0.0,65.0,0.0,0.0,1136.0,635.0,0.0,0.0,29.0,0.0,0.0,701.0,426.0,0.0,0.0,14.0,0.0,0.0,486.0,757.0,0.0,0.0,46.0,0.0,0.0,890.0,209.0,99.0,3.0,94.0,0.0,5.0,543.0,15226.0,1326.0,374.0,2020.0,87.0,28.0,19160.0,19160.0
Ashwood,0.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,25.0,0.0,0.0,0.0,0.0,28.0,0.0,292.0,14.0,14.0,0.0,0.0,363.0,23.0,80.0,36.0,53.0,8.0,0.0,260.0,23.0,57.0,39.0,4.0,4.0,0.0,166.0,50.0,63.0,27.0,34.0,0.0,0.0,227.0,196.0,33.0,20.0,67.0,0.0,0.0,353.0,1535.0,13.0,13.0,205.0,6.0,0.0,1876.0,1556.0,6.0,0.0,118.0,6.0,0.0,1773.0,903.0,0.0,0.0,61.0,0.0,0.0,1002.0,501.0,0.0,0.0,24.0,0.0,0.0,579.0,232.0,0.0,0.0,0.0,0.0,0.0,268.0,70.0,0.0,0.0,8.0,0.0,0.0,94.0,159.0,0.0,0.0,0.0,0.0,0.0,160.0,62.0,36.0,3.0,43.0,0.0,0.0,232.0,5683.0,729.0,169.0,1101.0,55.0,5.0,7958.0,7958.0
Bass,0.0,5.0,0.0,0.0,0.0,0.0,9.0,0.0,16.0,0.0,0.0,0.0,0.0,17.0,0.0,114.0,0.0,9.0,4.0,0.0,150.0,18.0,28.0,21.0,37.0,6.0,0.0,158.0,29.0,10.0,7.0,81.0,5.0,0.0,199.0,275.0,12.0,0.0,160.0,24.0,0.0,526.0,861.0,0.0,20.0,294.0,4.0,0.0,1241.0,1095.0,0.0,0.0,179.0,0.0,0.0,1326.0,317.0,0.0,0.0,41.0,0.0,0.0,387.0,24.0,0.0,0.0,0.0,0.0,0.0,28.0,8.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,18.0,6.0,52.0,11.0,0.0,162.0,2946.0,269.0,57.0,1198.0,95.0,11.0,4690.0,4690.0
Bayswater,0.0,3.0,0.0,0.0,0.0,5.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,27.0,0.0,201.0,4.0,9.0,0.0,0.0,258.0,8.0,55.0,7.0,16.0,0.0,0.0,160.0,7.0,31.0,23.0,18.0,0.0,0.0,106.0,66.0,29.0,27.0,27.0,0.0,0.0,215.0,642.0,19.0,43.0,165.0,0.0,0.0,944.0,2878.0,35.0,3.0,300.0,4.0,0.0,3292.0,1198.0,0.0,0.0,27.0,0.0,0.0,1281.0,129.0,0.0,0.0,3.0,0.0,0.0,138.0,7.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,65.0,36.0,5.0,35.0,0.0,3.0,213.0,5263.0,592.0,148.0,956.0,25.0,11.0,7073.0,7073.0
Bellarine,0.0,0.0,3.0,0.0,0.0,0.0,3.0,7.0,3.0,5.0,0.0,0.0,0.0,10.0,0.0,24.0,0.0,11.0,0.0,0.0,50.0,12.0,6.0,6.0,26.0,13.0,0.0,94.0,18.0,0.0,0.0,27.0,14.0,0.0,83.0,101.0,0.0,0.0,48.0,4.0,0.0,217.0,636.0,4.0,0.0,207.0,3.0,0.0,955.0,1857.0,0.0,0.0,244.0,0.0,0.0,2108.0,604.0,0.0,0.0,45.0,0.0,0.0,686.0,89.0,0.0,0.0,14.0,0.0,0.0,117.0,31.0,0.0,0.0,0.0,0.0,0.0,40.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,0.0,3.0,0.0,0.0,67.0,3644.0,79.0,35.0,942.0,94.0,0.0,4889.0,4889.0
Benambra,3.0,47.0,0.0,0.0,0.0,0.0,58.0,0.0,38.0,3.0,0.0,0.0,0.0,41.0,15.0,358.0,11.0,62.0,0.0,0.0,467.0,190.0,154.0,29.0,99.0,9.0,4.0,547.0,230.0,42.0,0.0,167.0,0.0,0.0,509.0,691.0,81.0,7.0,206.0,144.0,0.0,1268.0,1137.0,14.0,0.0,245.0,37.0,0.0,1577.0,1248.0,0.0,0.0,100.0,5.0,0.0,1427.0,215.0,0.0,0.0,6.0,0.0,0.0,254.0,12.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,57.0,3.0,19.0,13.0,0.0,206.0,4080.0,955.0,81.0,1184.0,276.0,15.0,6663.0,6663.0
Bendigo East,0.0,19.0,0.0,0.0,3.0,0.0,30.0,0.0,19.0,4.0,0.0,0.0,0.0,36.0,5.0,236.0,0.0,41.0,8.0,0.0,334.0,117.0,75.0,30.0,71.0,2.0,0.0,378.0,111.0,33.0,17.0,95.0,8.0,0.0,371.0,702.0,40.0,30.0,205.0,0.0,0.0,1131.0,1594.0,22.0,22.0,320.0,3.0,0.0,2035.0,1463.0,7.0,0.0,121.0,0.0,0.0,1671.0,265.0,0.0,0.0,3.0,0.0,0.0,316.0,18.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,28.0,0.0,22.0,10.0,0.0,152.0,4581.0,628.0,183.0,1308.0,93.0,7.0,6859.0,6859.0
Bendigo West,0.0,35.0,0.0,0.0,0.0,0.0,39.0,0.0,43.0,0.0,0.0,0.0,0.0,56.0,4.0,310.0,7.0,52.0,0.0,0.0,459.0,128.0,120.0,47.0,168.0,18.0,0.0,541.0,147.0,29.0,6.0,163.0,0.0,0.0,454.0,657.0,78.0,18.0,242.0,3.0,0.0,1134.0,1501.0,24.0,14.0,411.0,3.0,4.0,2017.0,986.0,0.0,0.0,166.0,4.0,0.0,1238.0,179.0,0.0,0.0,19.0,0.0,0.0,216.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,36.0,0.0,29.0,3.0,0.0,220.0,3932.0,866.0,180.0,1517.0,82.0,16.0,6610.0,6610.0
Bentleigh,0.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,57.0,7.0,0.0,0.0,0.0,96.0,6.0,7.0,39.0,8.0,3.0,0.0,90.0,0.0,15.0,19.0,6.0,0.0,0.0,67.0,3.0,17.0,26.0,27.0,0.0,0.0,122.0,405.0,3.0,7.0,85.0,3.0,0.0,611.0,1376.0,3.0,4.0,209.0,7.0,0.0,1676.0,1564.0,0.0,0.0,125.0,0.0,0.0,1762.0,839.0,0.0,0.0,54.0,0.0,0.0,989.0,526.0,0.0,0.0,15.0,0.0,0.0,569.0,369.0,0.0,0.0,21.0,0.0,0.0,415.0,251.0,0.0,0.0,5.0,0.0,0.0,255.0,148.0,0.0,0.0,8.0,0.0,0.0,166.0,30.0,4.0,4.0,55.0,4.0,0.0,180.0,5913.0,190.0,130.0,1096.0,31.0,0.0,7530.0,7530.0
Berwick,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,5.0,0.0,0.0,0.0,32.0,0.0,3.0,12.0,3.0,3.0,0.0,38.0,0.0,3.0,5.0,3.0,0.0,0.0,14.0,11.0,3.0,0.0,6.0,24.0,0.0,64.0,317.0,11.0,0.0,62.0,0.0,0.0,455.0,2518.0,3.0,0.0,138.0,4.0,0.0,2783.0,975.0,0.0,0.0,37.0,3.0,0.0,1086.0,101.0,0.0,0.0,0.0,0.0,0.0,123.0,25.0,0.0,0.0,0.0,0.0,0.0,28.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,31.0,0.0,0.0,10.0,0.0,3.0,98.0,4256.0,68.0,32.0,450.0,64.0,3.0,5055.0,5055.0
