district,R_1_74_LT_Real_estate_agent_pc,R_1_74_LT_Ste_terr_hsg_auth_pc,R_1_74_LT_com_hou_pro_pc,R_1_74_LT_Psn_not_Sme_hhd_pc,R_1_74_LT_Other_Lld_type_pc,R_1_74_LT_Lld_type_ns_pc,R_1_74_Tot_pc,R_75_99_LT_Real_estate_agent_pc,R_75_99_LT_Ste_terr_hsg_auth_pc,R_75_99_LT_com_hou_pro_pc,R_75_99_LT_Psn_not_Sme_hhd_pc,R_75_99_LT_Other_Lld_type_pc,R_75_99_LT_Lld_type_ns_pc,R_75_99_Tot_pc,R_100_149_LT_Real_eSte_agent_pc,R_100_149_LT_St_ter_hsg_aut_pc,R_100_149_LT_com_hou_pro_pc,R_100_149_LT_Psn_not_Sme_hhd_pc,R_100_149_LT_Other_Lld_type_pc,R_100_149_LT_Lld_type_ns_pc,R_100_149_Tot_pc,R_150_199_LT_Real_eSte_agent_pc,R_150_199_LT_Ste_ter_hsg_aut_pc,R_150_199_LT_com_hou_pro_pc,R_150_199_LT_Psn_not_Sme_hhd_pc,R_150_199_LT_Other_Lld_type_pc,R_150_199_LT_Lld_type_ns_pc,R_150_199_Tot_pc,R_200_224_LT_Real_eSte_agent_pc,R_200_224_LT_Ste_ter_hsg_aut_pc,R_200_224_LT_com_hou_pro_pc,R_200_224_LT_Psn_not_Sme_hhd_pc,R_200_224_LT_Other_Lld_type_pc,R_200_224_LT_Lld_type_ns_pc,R_200_224_Tot_pc,R_225_274_LT_Real_eSte_agent_pc,R_225_274_LT_Ste_ter_hsg_aut_pc,R_225_274_LT_com_hou_pro_pc,R_225_274_LT_Psn_not_Sme_hhd_pc,R_225_274_LT_Other_Lld_type_pc,R_225_274_LT_Lld_type_ns_pc,R_225_274_Tot_pc,R_275_349_LT_Real_eSte_agent_pc,R_275_349_LT_Ste_ter_hsg_aut_pc,R_275_349_LT_com_hou_pro_pc,R_275_349_LT_Psn_not_Sme_hhd_pc,R_275_349_LT_Other_Lld_type_pc,R_275_349_LT_Lld_type_ns_pc,R_275_349_Tot_pc,R_350_449_LT_Real_eSte_agent_pc,R_350_449_LT_Ste_ter_hsg_aut_pc,R_350_449_LT_com_hou_pro_pc,R_350_449_LT_Psn_not_Sme_hhd_pc,R_350_449_LT_Other_Lld_type_pc,R_350_449_LT_Lld_type_ns_pc,R_350_449_Tot_pc,R_450_549_LT_Real_eSte_agent_pc,R_450_549_LT_Ste_ter_hsg_aut_pc,R_450_549_LT_com_hou_pro_pc,R_450_549_LT_Psn_not_Sme_hhd_pc,R_450_549_LT_Other_Lld_type_pc,R_450_549_LT_Lld_type_ns_pc,R_450_549_Tot_pc,R_550_649_LT_Real_eSte_agent_pc,R_550_649_LT_Ste_ter_hsg_aut_pc,R_550_649_LT_com_hou_pro_pc,R_550_649_LT_Psn_not_Sme_hhd_pc,R_550_649_LT_Other_Lld_type_pc,R_550_649_LT_Lld_type_ns_pc,R_550_649_Tot_pc,R_650_749_LT_Real_eSte_agent_pc,R_650_749_LT_Ste_ter_hsg_aut_pc,R_650_749_LT_com_hou_pro_pc,R_650_749_LT_Psn_not_Sme_hhd_pc,R_650_749_LT_Other_Lld_type_pc,R_650_749_LT_Lld_type_ns_pc,R_650_749_Tot_pc,R_750_849_LT_Real_eSte_agent_pc,R_750_849_LT_Ste_ter_hsg_aut_pc,R_750_849_LT_com_hou_pro_pc,R_750_849_LT_Psn_not_Sme_hhd_pc,R_750_849_LT_Other_Lld_type_pc,R_750_849_LT_Lld_type_ns_pc,R_750_849_Tot_pc,R_850_949_LT_Real_estat_agent_pc,R_850_949_LT_Ste_ter_hsg_aut_pc,R_850_949_LT_com_hou_pro_pc,R_850_949_LT_Psn_not_Sme_hhd_pc,R_850_949_LT_Other_Lld_type_pc,R_850_949_LT_Lld_type_ns_pc,R_850_949_Tot_pc,R_950_over_LT_Real_eSte_agent_pc,R_950_over_LT_Ste_ter_hsg_aut_pc,R_950_ovr_LT_com_hou_pro_pc,R_950_over_LT_Psn_not_Sme_hhd_pc,R_950_over_LT_Other_Lld_type_pc,R_950_over_LT_Lld_type_ns_pc,R_950_over_Tot_pc,Rent_ns_LT_Real_eSte_agent_pc,Rent_ns_LT_Ste_ter_hsg_auth_pc,Rent_ns_LT_com_hou_pro_pc,Rent_ns_LT_Psn_not_Sme_hhd_pc,Rent_ns_LT_Other_Lld_type_pc,Rent_ns_LT_Lld_type_ns_pc,Rent_ns_Tot_pc,Tot_LT_Real_eSte_agent_pc,Tot_LT_Ste_ter_hsg_auth_pc,Tot_LT_com_hou_pro_pc,Tot_LT_Psn_not_Sme_hhd_pc,Tot_LT_Other_Lld_type_pc,Tot_LT_Lld_type_ns_pc,Tot_Tot_pc,Tot_Tot_total
Albert Park,0.0,0.0015,0.0,0.0,0.0,0.0,0.0019,0.0,0.0049,0.0002,0.0,0.0,0.0,0.0058,0.0004,0.0313,0.0012,0.0002,0.0,0.0,0.0368,0.0011,0.0087,0.0038,0.002,0.0003,0.0,0.0183,0.0025,0.0052,0.0073,0.0014,0.0,0.0,0.0183,0.0171,0.0038,0.0029,0.0039,0.0002,0.0,0.03,0.1069,0.0028,0.0014,0.011,0.0,0.0,0.1277,0.2402,0.0016,0.0004,0.0165,0.0002,0.0002,0.2635,0.1613,0.0,0.0,0.0174,0.0002,0.0,0.1827,0.0909,0.0,0.0,0.01,0.0,0.0,0.104,0.0533,0.0,0.0,0.0034,0.0,0.0,0.0593,0.0331,0.0,0.0,0.0015,0.0,0.0,0.0366,0.0222,0.0,0.0,0.0007,0.0,0.0,0.0254,0.0395,0.0,0.0,0.0024,0.0,0.0,0.0465,0.0109,0.0052,0.0002,0.0049,0.0,0.0003,0.0283,0.7947,0.0692,0.0195,0.1054,0.0045,0.0015,1.0,19160.0
Ashwood,0.0,0.0023,0.0,0.0,0.0,0.0,0.0023,0.0,0.0031,0.0,0.0,0.0,0.0,0.0035,0.0,0.0367,0.0018,0.0018,0.0,0.0,0.0456,0.0029,0.0101,0.0045,0.0067,0.001,0.0,0.0327,0.0029,0.0072,0.0049,0.0005,0.0005,0.0,0.0209,0.0063,0.0079,0.0034,0.0043,0.0,0.0,0.0285,0.0246,0.0041,0.0025,0.0084,0.0,0.0,0.0444,0.1929,0.0016,0.0016,0.0258,0.0008,0.0,0.2357,0.1955,0.0008,0.0,0.0148,0.0008,0.0,0.2228,0.1135,0.0,0.0,0.0077,0.0,0.0,0.1259,0.063,0.0,0.0,0.003,0.0,0.0,0.0728,0.0292,0.0,0.0,0.0,0.0,0.0,0.0337,0.0088,0.0,0.0,0.001,0.0,0.0,0.0118,0.02,0.0,0.0,0.0,0.0,0.0,0.0201,0.0078,0.0045,0.0004,0.0054,0.0,0.0,0.0292,0.7141,0.0916,0.0212,0.1384,0.0069,0.0006,1.0,7958.0
Bass,0.0,0.0011,0.0,0.0,0.0,0.0,0.0019,0.0,0.0034,0.0,0.0,0.0,0.0,0.0036,0.0,0.0243,0.0,0.0019,0.0009,0.0,0.032,0.0038,0.006,0.0045,0.0079,0.0013,0.0,0.0337,0.0062,0.0021,0.0015,0.0173,0.0011,0.0,0.0424,0.0586,0.0026,0.0,0.0341,0.0051,0.0,0.1122,0.1836,0.0,0.0043,0.0627,0.0009,0.0,0.2646,0.2335,0.0,0.0,0.0382,0.0,0.0,0.2827,0.0676,0.0,0.0,0.0087,0.0,0.0,0.0825,0.0051,0.0,0.0,0.0,0.0,0.0,0.006,0.0017,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0009,0.0,0.0,0.0011,0.0009,0.0,0.0,0.0,0.0,0.0,0.0009,0.0009,0.0,0.0,0.0,0.0,0.0,0.0009,0.003,0.0038,0.0013,0.0111,0.0023,0.0,0.0345,0.6281,0.0574,0.0122,0.2554,0.0203,0.0023,1.0,4690.0
Bayswater,0.0,0.0004,0.0,0.0,0.0,0.0007,0.0021,0.0,0.0021,0.0,0.0,0.0,0.0,0.0038,0.0,0.0284,0.0006,0.0013,0.0,0.0,0.0365,0.0011,0.0078,0.001,0.0023,0.0,0.0,0.0226,0.001,0.0044,0.0033,0.0025,0.0,0.0,0.015,0.0093,0.0041,0.0038,0.0038,0.0,0.0,0.0304,0.0908,0.0027,0.0061,0.0233,0.0,0.0,0.1335,0.4069,0.0049,0.0004,0.0424,0.0006,0.0,0.4654,0.1694,0.0,0.0,0.0038,0.0,0.0,0.1811,0.0182,0.0,0.0,0.0004,0.0,0.0,0.0195,0.001,0.0,0.0,0.0,0.0,0.0,0.0023,0.0004,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023,0.0,0.0,0.0,0.0,0.0,0.0023,0.0092,0.0051,0.0007,0.0049,0.0,0.0004,0.0301,0.7441,0.0837,0.0209,0.1352,0.0035,0.0016,1.0,7073.0
Bellarine,0.0,0.0,0.0006,0.0,0.0,0.0,0.0006,0.0014,0.0006,0.001,0.0,0.0,0.0,0.002,0.0,0.0049,0.0,0.0022,0.0,0.0,0.0102,0.0025,0.0012,0.0012,0.0053,0.0027,0.0,0.0192,0.0037,0.0,0.0,0.0055,0.0029,0.0,0.017,0.0207,0.0,0.0,0.0098,0.0008,0.0,0.0444,0.1301,0.0008,0.0,0.0423,0.0006,0.0,0.1953,0.3798,0.0,0.0,0.0499,0.0,0.0,0.4312,0.1235,0.0,0.0,0.0092,0.0,0.0,0.1403,0.0182,0.0,0.0,0.0029,0.0,0.0,0.0239,0.0063,0.0,0.0,0.0,0.0,0.0,0.0082,0.0006,0.0,0.0,0.0,0.0,0.0,0.0006,0.0008,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0008,0.0,0.0006,0.0,0.0,0.0137,0.7453,0.0162,0.0072,0.1927,0.0192,0.0,1.0,4889.0
Benambra,0.0005,0.0071,0.0,0.0,0.0,0.0,0.0087,0.0,0.0057,0.0005,0.0,0.0,0.0,0.0062,0.0023,0.0537,0.0017,0.0093,0.0,0.0,0.0701,0.0285,0.0231,0.0044,0.0149,0.0014,0.0006,0.0821,0.0345,0.0063,0.0,0.0251,0.0,0.0,0.0764,0.1037,0.0122,0.0011,0.0309,0.0216,0.0,0.1903,0.1706,0.0021,0.0,0.0368,0.0056,0.0,0.2367,0.1873,0.0,0.0,0.015,0.0008,0.0,0.2142,0.0323,0.0,0.0,0.0009,0.0,0.0,0.0381,0.0018,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0086,0.0005,0.0029,0.002,0.0,0.0309,0.6123,0.1433,0.0122,0.1777,0.0414,0.0023,1.0,6663.0
Bendigo East,0.0,0.0028,0.0,0.0,0.0004,0.0,0.0044,0.0,0.0028,0.0006,0.0,0.0,0.0,0.0052,0.0007,0.0344,0.0,0.006,0.0012,0.0,0.0487,0.0171,0.0109,0.0044,0.0104,0.0003,0.0,0.0551,0.0162,0.0048,0.0025,0.0139,0.0012,0.0,0.0541,0.1023,0.0058,0.0044,0.0299,0.0,0.0,0.1649,0.2324,0.0032,0.0032,0.0467,0.0004,0.0,0.2967,0.2133,0.001,0.0,0.0176,0.0,0.0,0.2436,0.0386,0.0,0.0,0.0004,0.0,0.0,0.0461,0.0026,0.0,0.0,0.0,0.0,0.0,0.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0041,0.0,0.0032,0.0015,0.0,0.0222,0.6679,0.0916,0.0267,0.1907,0.0136,0.001,1.0,6859.0
Bendigo West,0.0,0.0053,0.0,0.0,0.0,0.0,0.0059,0.0,0.0065,0.0,0.0,0.0,0.0,0.0085,0.0006,0.0469,0.0011,0.0079,0.0,0.0,0.0694,0.0194,0.0182,0.0071,0.0254,0.0027,0.0,0.0818,0.0222,0.0044,0.0009,0.0247,0.0,0.0,0.0687,0.0994,0.0118,0.0027,0.0366,0.0005,0.0,0.1716,0.2271,0.0036,0.0021,0.0622,0.0005,0.0006,0.3051,0.1492,0.0,0.0,0.0251,0.0006,0.0,0.1873,0.0271,0.0,0.0,0.0029,0.0,0.0,0.0327,0.0006,0.0,0.0,0.0,0.0,0.0,0.0006,0.0006,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036,0.0054,0.0,0.0044,0.0005,0.0,0.0333,0.5949,0.131,0.0272,0.2295,0.0124,0.0024,1.0,6610.0
Bentleigh,0.0,0.0011,0.0,0.0,0.0,0.0,0.0004,0.0,0.0004,0.0,0.0,0.0,0.0,0.0011,0.0,0.0076,0.0009,0.0,0.0,0.0,0.0127,0.0008,0.0009,0.0052,0.0011,0.0004,0.0,0.012,0.0,0.002,0.0025,0.0008,0.0,0.0,0.0089,0.0004,0.0023,0.0035,0.0036,0.0,0.0,0.0162,0.0538,0.0004,0.0009,0.0113,0.0004,0.0,0.0811,0.1827,0.0004,0.0005,0.0278,0.0009,0.0,0.2226,0.2077,0.0,0.0,0.0166,0.0,0.0,0.234,0.1114,0.0,0.0,0.0072,0.0,0.0,0.1313,0.0699,0.0,0.0,0.002,0.0,0.0,0.0756,0.049,0.0,0.0,0.0028,0.0,0.0,0.0551,0.0333,0.0,0.0,0.0007,0.0,0.0,0.0339,0.0197,0.0,0.0,0.0011,0.0,0.0,0.022,0.004,0.0005,0.0005,0.0073,0.0005,0.0,0.0239,0.7853,0.0252,0.0173,0.1456,0.0041,0.0,1.0,7530.0
Berwick,0.0,0.0006,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044,0.001,0.0,0.0,0.0,0.0063,0.0,0.0006,0.0024,0.0006,0.0006,0.0,0.0075,0.0,0.0006,0.001,0.0006,0.0,0.0,0.0028,0.0022,0.0006,0.0,0.0012,0.0047,0.0,0.0127,0.0627,0.0022,0.0,0.0123,0.0,0.0,0.09,0.4981,0.0006,0.0,0.0273,0.0008,0.0,0.5505,0.1929,0.0,0.0,0.0073,0.0006,0.0,0.2148,0.02,0.0,0.0,0.0,0.0,0.0,0.0243,0.0049,0.0,0.0,0.0,0.0,0.0,0.0055,0.0006,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0006,0.0061,0.0,0.0,0.002,0.0,0.0006,0.0194,0.8419,0.0135,0.0063,0.089,0.0127,0.0006,1.0,5055.0
