district,SH_FHs_CF_no_C_pc,SH_FHs_CF_C_pc,SH_FHs_OnePF_pc,SH_FHs_Oth_fam_pc,SH_FHs_Tot_pc,SH_Lone_P_H_pc,SH_Group_H_pc,SH_Tot_pc,SDRTHT_1_S_FHs_CF_no_C_pc,SDRTHT_1_S_FHs_CF_C_pc,SDRTHT_1_S_FHs_OnePF_pc,SDRTHT_1_S_FHs_Oth_fam_pc,SDRTHT_1_S_FHs_Tot_pc,SDRTHT_1_S_Lone_P_H_pc,SDRTHT_1_S_Group_H_pc,SDRTHT_1_S_Tot_pc,SDRTHT_2more_S_FHs_CF_no_C_pc,SDRTHT_2more_S_FHs_CF_C_pc,SDRTHT_2more_S_FHs_OnePF_pc,SDRTHT_2more_S_FHs_Oth_fam_pc,SDRTHT_2more_S_FHs_Tot_pc,SDRTHT_2more_S_Lone_P_H_pc,SDRTHT_2more_S_Group_H_pc,SDRTHT_2more_S_Tot_pc,SDRTHT_Tot_FHs_CF_no_C_pc,SDRTHT_Tot_FHs_CF_C_pc,SDRTHT_Tot_FHs_OnePF_pc,SDRTHT_Tot_FHs_Oth_fam_pc,SDRTHT_Tot_FHs_Tot_pc,SDRTHT_Tot_Lone_P_H_pc,SDRTHT_Tot_Group_H_pc,SDRTHT_Tot_Tot_pc,FoA_1_or_2_SB_FHs_CF_no_C_pc,FoA_1_or_2_SB_FHs_CF_C_pc,FoA_1_or_2_SB_FHs_OnePF_pc,FoA_1_or_2_SB_FHs_Oth_fam_pc,FoA_1_or_2_SB_FHs_Tot_pc,FoA_1_or_2_SB_Lone_P_H_pc,FoA_1_or_2_SB_Group_H_pc,FoA_1_or_2_SB_Tot_pc,FoA_3SB_FHs_CF_no_C_pc,FoA_3SB_FHs_CF_C_pc,FoA_3SB_FHs_OnePF_pc,FoA_3SB_FHs_Oth_fam_pc,FoA_3SB_FHs_Tot_pc,FoA_3SB_Lone_P_H_pc,FoA_3SB_Group_H_pc,FoA_3SB_Tot_pc,FoA_4_to_8_SB_FHs_CF_no_C_pc,FoA_4_to_8_SB_FHs_CF_C_pc,FoA_4_to_8_SB_FHs_OnePF_pc,FoA_4_to_8_SB_FHs_Oth_fam_pc,FoA_4_to_8_SB_FHs_Tot_pc,FoA_4_to_8_SB_Lone_P_H_pc,FoA_4_to_8_SB_Group_H_pc,FoA_4_to_8_SB_Tot_pc,FoA_9moSB_FHs_CF_no_C_pc,FoA_9moSB_FHs_CF_C_pc,FoA_9moSB_FHs_OnePF_pc,FoA_9moSB_FHs_Oth_fam_pc,FoA_9moSB_FHs_Tot_pc,FoA_9moSB_Lone_P_H_pc,FoA_9moSB_Group_H_pc,FoA_9moSB_Tot_pc,FoA_Att_to_hous_FHs_CF_no_C_pc,FoA_Att_to_hous_FHs_CF_C_pc,FoA_Att_to_hous_FHs_OnePF_pc,FoA_Att_to_hous_FHs_Oth_fam_pc,FoA_Att_to_hous_FHs_Tot_pc,FoA_Att_to_hous_Lone_P_H_pc,FoA_Att_to_hous_Group_H_pc,FoA_Att_to_hous_Tot_pc,FoA_Tot_FHs_CF_no_C_pc,FoA_Tot_FHs_CF_C_pc,FoA_Tot_FHs_OnePF_pc,FoA_Tot_FHs_Oth_fam_pc,FoA_Tot_FHs_Tot_pc,FoA_Tot_Lone_P_H_pc,FoA_Tot_Group_H_pc,FoA_Tot_Tot_pc,OD_C_FHs_CF_no_C_pc,OD_C_FHs_CF_C_pc,OD_C_FHs_OnePF_pc,OD_C_FHs_Oth_fam_pc,OD_C_FHs_Tot_pc,OD_C_Lone_P_H_pc,OD_C_Group_H_pc,OD_C_Tot_pc,OD_CH_FHs_CF_no_C_pc,OD_CH_FHs_CF_C_pc,OD_CH_FHs_OnePF_pc,OD_CH_FHs_Oth_fam_pc,OD_CH_FHs_Tot_pc,OD_CH_Lone_P_H_pc,OD_CH_Group_H_pc,OD_CH_Tot_pc,OD_Imp_home_T_SO_FHs_CF_no_C_pc,OD_Imp_home_T_SO_FHs_CF_C_pc,OD_Imp_home_T_SO_FHs_OnePF_pc,OD_Imp_home_T_SO_FHs_Oth_fam_pc,OD_Imp_home_T_SO_FHs_Tot_pc,OD_Imp_home_T_SO_Lone_P_H_pc,OD_Imp_home_T_SO_Group_H_pc,OD_Imp_home_T_SO_Tot_pc,OD_HorF_at_to_S_O_FHs_CF_no_C_pc,OD_HorF_at_to_S_O_FHs_CF_C_pc,OD_HorF_at_to_S_O_FHs_OnePF_pc,OD_HorF_at_to_S_O_FHs_Oth_fam_pc,OD_HorF_at_to_S_O_FHs_Tot_pc,OD_HorF_at_to_S_O_Lone_P_H_pc,OD_HorF_at_to_S_O_Group_H_pc,OD_HorF_at_to_S_O_Tot_pc,OD_Tot_FHs_CF_no_C_pc,OD_Tot_FHs_CF_C_pc,OD_Tot_FHs_OnePF_pc,OD_Tot_FHs_Oth_fam_pc,OD_Tot_FHs_Tot_pc,OD_Tot_Lone_P_H_pc,OD_Tot_Group_H_pc,OD_Tot_Tot_pc,DS_NS_FHs_CF_no_C_pc,DS_NS_FHs_CF_C_pc,DS_NS_FHs_OnePF_pc,DS_NS_FHs_Oth_fam_pc,DS_NS_FHs_Tot_pc,DS_NS_Lone_P_H_pc,DS_NS_Group_H_pc,DS_NS_Tot_pc,Tot_FHs_CF_no_C_pc,Tot_FHs_CF_C_pc,Tot_FHs_OnePF_pc,Tot_FHs_Oth_fam_pc,Tot_FHs_Tot_pc,Tot_Lone_P_H_pc,Tot_Group_H_pc,Tot_Tot_pc
Albert Park,0.0161,0.0213,0.0038,0.0002,0.0415,0.0097,0.001,0.0548,0.0356,0.0358,0.0107,0.0007,0.0847,0.0367,0.0055,0.127,0.0341,0.0402,0.0125,0.0014,0.0893,0.0299,0.0069,0.1283,0.0717,0.0771,0.0236,0.0021,0.1757,0.0671,0.0134,0.2568,0.0123,0.0039,0.0032,0.0001,0.0204,0.0348,0.0029,0.0587,0.0248,0.0079,0.005,0.0003,0.0405,0.0644,0.0077,0.1112,0.0398,0.0103,0.0084,0.0012,0.0591,0.074,0.005,0.1395,0.1118,0.0293,0.0134,0.0065,0.1633,0.1594,0.0395,0.3624,0.0,0.0001,0.0,0.0,0.0001,0.0002,0.0,0.0002,0.1894,0.0522,0.0306,0.0087,0.282,0.3338,0.0558,0.6719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031,0.0004,0.0003,0.0,0.0044,0.0062,0.0012,0.0121,0.0031,0.0004,0.0003,0.0,0.0044,0.0062,0.0012,0.0121,0.0005,0.0,0.0,0.0,0.0008,0.0006,0.0,0.002,0.2818,0.1506,0.0587,0.0123,0.5062,0.42,0.0746,1.0
Ashwood,0.1613,0.2974,0.0668,0.0059,0.5351,0.1083,0.0266,0.673,0.0186,0.0183,0.0064,0.0005,0.0486,0.0261,0.0013,0.0779,0.0178,0.0286,0.0069,0.0001,0.0584,0.0101,0.005,0.0759,0.0397,0.0509,0.0148,0.0008,0.1066,0.0386,0.0075,0.1554,0.0283,0.037,0.0129,0.0016,0.0807,0.0398,0.0028,0.1257,0.004,0.0011,0.0003,0.0002,0.0066,0.0078,0.0008,0.0153,0.004,0.0009,0.0018,0.0004,0.0066,0.0099,0.0005,0.017,0.002,0.0004,0.0001,0.0,0.0025,0.0031,0.0006,0.0063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0385,0.0397,0.0156,0.0021,0.0966,0.0604,0.0049,0.1649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0005,0.0006,0.0001,0.0016,0.0001,0.0002,0.0,0.0,0.0005,0.0006,0.0001,0.0016,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.2378,0.3899,0.0998,0.0123,0.7421,0.2098,0.0425,1.0
Bass,0.3053,0.2728,0.0921,0.0054,0.681,0.2292,0.0217,0.9322,0.0046,0.0005,0.0006,0.0,0.0072,0.0183,0.0001,0.0276,0.0043,0.0017,0.001,0.0,0.0071,0.0032,0.0004,0.0112,0.0093,0.0024,0.0018,0.0,0.0159,0.0222,0.0004,0.0389,0.0018,0.0007,0.001,0.0,0.0052,0.009,0.0,0.0151,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.001,0.0,0.0,0.0,0.0,0.0002,0.0002,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0003,0.0029,0.0007,0.0007,0.0,0.0061,0.01,0.0,0.0169,0.0,0.0,0.0,0.0,0.0002,0.0016,0.0,0.0018,0.0012,0.0,0.0002,0.0,0.0016,0.0031,0.0,0.0048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0003,0.0012,0.0,0.0002,0.0,0.0018,0.0046,0.0,0.0067,0.0,0.0,0.0,0.0,0.0001,0.0003,0.0,0.0008,0.3201,0.2806,0.0975,0.0054,0.7061,0.2684,0.0245,1.0
Bayswater,0.2066,0.2922,0.1007,0.0057,0.6112,0.1548,0.0219,0.7848,0.0222,0.019,0.0121,0.0008,0.0548,0.0457,0.0023,0.1072,0.017,0.0163,0.0096,0.0005,0.0467,0.0183,0.0031,0.0701,0.0418,0.0356,0.0218,0.0016,0.1032,0.0654,0.0063,0.1761,0.0034,0.002,0.0014,0.0001,0.0082,0.0109,0.0003,0.0207,0.0025,0.0008,0.0009,0.0001,0.0043,0.0063,0.0006,0.0111,0.0007,0.0,0.0007,0.0,0.0016,0.0016,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0065,0.0028,0.0034,0.0003,0.014,0.0192,0.0009,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.2574,0.3326,0.1256,0.0095,0.7281,0.2423,0.0295,1.0
Bellarine,0.3296,0.2727,0.0884,0.0054,0.6958,0.2145,0.0169,0.9291,0.0085,0.0012,0.0029,0.0,0.0151,0.0255,0.0001,0.0424,0.0051,0.001,0.0012,0.0,0.0096,0.004,0.0,0.0139,0.0142,0.0034,0.0046,0.0,0.026,0.0292,0.0003,0.0589,0.0012,0.0001,0.0001,0.0,0.0015,0.0032,0.0,0.0055,0.0001,0.0001,0.0,0.0,0.0002,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,0.0002,0.0001,0.0,0.0017,0.0033,0.0,0.0056,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0002,0.0007,0.0,0.0001,0.0,0.001,0.0029,0.0001,0.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0003,0.0002,0.0,0.0006,0.001,0.0,0.0001,0.0,0.0013,0.0033,0.0001,0.0052,0.0001,0.0,0.0,0.0,0.0004,0.0001,0.0,0.0003,0.3481,0.2772,0.0943,0.0058,0.7264,0.2516,0.019,1.0
Benambra,0.2863,0.2728,0.1029,0.0054,0.6731,0.2196,0.0196,0.9129,0.0067,0.0026,0.0054,0.0002,0.0176,0.042,0.0018,0.0632,0.0002,0.0001,0.0006,0.0002,0.0018,0.0015,0.0,0.0036,0.0073,0.0024,0.0063,0.0005,0.0195,0.0439,0.002,0.0676,0.0013,0.0002,0.0009,0.0,0.0033,0.0081,0.0003,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0013,0.0002,0.0009,0.0,0.0033,0.0081,0.0003,0.0124,0.0001,0.0,0.0,0.0,0.0001,0.0017,0.0,0.0023,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0004,0.0004,0.0,0.0011,0.0006,0.0,0.0001,0.0,0.0012,0.0023,0.0,0.0046,0.0005,0.0002,0.0,0.0,0.0009,0.0,0.0,0.0015,0.3001,0.2778,0.1139,0.0065,0.6991,0.2761,0.0235,1.0
Bendigo East,0.2633,0.2863,0.1142,0.0071,0.6703,0.2157,0.0273,0.917,0.0089,0.004,0.0049,0.0004,0.0207,0.0412,0.0019,0.0646,0.0016,0.0008,0.0011,0.0,0.0048,0.0026,0.0009,0.0089,0.0112,0.005,0.0055,0.0004,0.0245,0.0452,0.0031,0.0722,0.0006,0.0,0.0004,0.0,0.0013,0.002,0.0,0.0036,0.0003,0.0001,0.0,0.0,0.0003,0.0001,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0001,0.0004,0.0,0.0016,0.0022,0.0,0.0041,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0003,0.0004,0.0,0.0,0.0,0.0007,0.0003,0.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0003,0.0004,0.0,0.0005,0.0007,0.0,0.0,0.0,0.0013,0.0009,0.0,0.0025,0.0003,0.0,0.0,0.0,0.0004,0.0002,0.0,0.001,0.2781,0.2939,0.1211,0.0077,0.7003,0.2674,0.032,1.0
Bendigo West,0.2637,0.2365,0.1127,0.0072,0.6209,0.2693,0.029,0.9227,0.0052,0.0021,0.0041,0.0002,0.0138,0.0339,0.001,0.0506,0.0017,0.0005,0.0007,0.0,0.0038,0.0038,0.0001,0.0083,0.0069,0.0028,0.0048,0.0004,0.0175,0.0376,0.0015,0.059,0.0018,0.0003,0.0007,0.0,0.0029,0.0075,0.0001,0.0113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018,0.0003,0.0007,0.0,0.0028,0.0077,0.0001,0.0117,0.0001,0.0,0.0,0.0,0.0001,0.0012,0.0,0.0011,0.0003,0.0,0.0,0.0,0.0003,0.0002,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0002,0.0,0.0007,0.0005,0.0002,0.0013,0.0007,0.0,0.0002,0.0,0.0011,0.002,0.0002,0.0032,0.0,0.0,0.0,0.0,0.0002,0.0005,0.0,0.0009,0.2735,0.2412,0.1208,0.0085,0.647,0.3185,0.033,1.0
Bentleigh,0.1442,0.2915,0.0707,0.0045,0.5115,0.1105,0.0129,0.6383,0.0239,0.0217,0.0099,0.0004,0.0597,0.037,0.0015,0.1,0.0191,0.0422,0.0102,0.0005,0.0762,0.0105,0.0014,0.0908,0.0419,0.0652,0.0236,0.0012,0.1367,0.0495,0.0043,0.1919,0.022,0.0189,0.011,0.0012,0.0565,0.0434,0.003,0.1029,0.0058,0.0018,0.0017,0.0,0.0108,0.0081,0.001,0.0206,0.0103,0.0042,0.0032,0.0002,0.0179,0.0196,0.0016,0.0394,0.0007,0.0003,0.0003,0.0,0.0013,0.0016,0.0003,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0395,0.0265,0.0166,0.0015,0.0869,0.0736,0.0071,0.1662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0001,0.0,0.0,0.0005,0.0009,0.0,0.0027,0.0005,0.0001,0.0,0.0,0.0005,0.001,0.0,0.0028,0.0001,0.0,0.0,0.0,0.0002,0.0,0.0,0.0006,0.2283,0.3864,0.1117,0.0098,0.7375,0.2361,0.0259,1.0
Berwick,0.1989,0.4988,0.0881,0.0044,0.7955,0.1065,0.0129,0.919,0.013,0.0067,0.0036,0.0002,0.0261,0.0241,0.0,0.0514,0.0071,0.0072,0.0034,0.0,0.0176,0.0057,0.0004,0.0245,0.0209,0.0135,0.0073,0.0002,0.0433,0.0301,0.0007,0.0761,0.0006,0.0002,0.0002,0.0,0.0012,0.0004,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0002,0.0002,0.0,0.0012,0.0007,0.0,0.0018,0.0003,0.0,0.0,0.0,0.0003,0.0,0.0,0.0003,0.0005,0.0,0.0,0.0,0.0005,0.0026,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0008,0.0,0.0,0.0,0.0008,0.0025,0.0,0.0035,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.2224,0.5151,0.0963,0.0047,0.842,0.1412,0.0149,1.0
